release_date,peak,artist,track,label
Jan 1,11,Eminem,Mockingbird,Shady/Aftermath Album Cut
Jan 1,75,Big &amp; Rich,Holy Water,Warner Bros. Album Cut
Jan 1,97,Teena Marie Featuring Gerald Levert,A Rose By Any Other Name,Cash Money Classics 003428
Jan 1,98,2 Pac Featuring Nate Dogg,Thugs Get Lonely Too,Amaru 003970
Jan 8,24,John Legend,Ordinary People,Good Music 70794
Jan 8,31,Maroon5,Sunday Morning,Octone/J Album Cut
Jan 8,54,Snoop Dogg,Let’s Get Blown,Doggystyle Album Cut
Jan 8,92,Akon,Ghetto,SRC/Universal 003971
Jan 8,95,"Alchemist, The Featuring Prodigy, Illa Ghee &amp; Nina Sky",Hold You Down,Koch 9670
Jan 15,97,Daryl Hall John Oates,I’ll Be Around,DKE 480105
Jan 22,12,Jennifer Lopez,Get Right,Epic 71896
Jan 22,20,"Trick Daddy Featuring Ludacris, Lil’ Kim &amp; Cee-Lo",Sugar (Gimme Some),Slip-N-Slide 93644
Jan 22,21,Fantasia,Truth Is,J Album Cut
Jan 22,23,T.I.,U Don’t Know Me,Grand Hustle Album Cut
Jan 22,27,Omarion,O,T.U.G. 72769
Jan 22,39,Josh Gracin,Nothin’ To Lose,Lyric Street Album Cut
Jan 22,71,Fabolous Featuring Mike Shorey,Baby,Desert Storm 93665
Jan 29,3,Frankie J. Featuring Baby Bash,Obsession (No Es Amor),Columbia 70386
Jan 29,16,Mariah Carey,It’s Like That,Island 004230
Jan 29,34,Eminem,Like Toy Soldiers,Shady/Aftermath Album Cut
Jan 29,37,Jet,Look What You’ve Done,Elektra Album Cut
Jan 29,66,Lee Ann Womack,I May Hate Myself In The Morning,MCA Nashville Album Cut
Jan 29,68,Billy Dean,Let Them Be Little,Curb Album Cut
Feb 5,1,50 Cent Featuring Olivia,Candy Shop,Shady/Aftermath Album Cut
Feb 5,14,3 Doors Down,Let Me Go,Republic Album Cut
Feb 5,31,Twista Featuring Faith Evans,Hope,Capitol Soundtrack Cut
Feb 5,51,Craig Morgan,That’s What I Love About Sunday,Broken Bow Album Cut
Feb 5,53,Montgomery Gentry,Gone,Columbia Album Cut
Feb 5,64,Nelly,N Dey Say,Derrty/Fo’ Reel Album Cut
Feb 12,2,"Game, The Featuring 50 Cent",Hate It Or Love It,Aftermath/G-Unit PDD
Feb 12,5,Lifehouse,You And Me,Geffen PDD
Feb 12,8,Amerie,1 Thing,Rise 71958
Feb 12,10,"Killers, The",Mr. Brightside,Island 004170
