"","X","id","lyrics","artist","song","album","genre","year"
"147",147,100127,"I heard he's trying to write himself out of a hole he had dug I heard his new mantra is The more I kill the more I love I heard he spends most his time staring at the lock on the door Well some people never change even if change is what they're wishing for Lionkiller got married I heard some slug say I said see you next Tuesday in the English way I heard they married for the wedding that his EQUINOX came true I feel sorry for that kid he had potential I mean it I really do One guy said the dumb kid went looking for censorship And found it on the stage I just wonder why anyone in their right mind would get married nowadays Lionkiller got married or is it just hearsay He said see you next Tuesday but in an English way You see this is what happens when a leitmotif implodes I'll give him one credit though he has memorized his modes And what about the Lion Did it come disguised as a Medici I heard the Lion was invited to the big day but the beast was too cowardly Lionkiller got married to a shrew named K She said see you next Tuesday but in an English way And the girl what's her angle on this I mean like what does she do I heard she came from a family of catholicathiests too Alright I'll cut those kids some slack I'm not really all that conceited I wish them all of my best because they're going to need it Lionkiller got married and they live near LA So I'll see you next Tuesday meant in an English way","Blondie","Hot Shot","Blondie:No_Exit_(1999)","New Wave","1999"
"274",274,100241,"Cynicism is the sickness of my culture We undress each other with an evil eye Concentric circles we look like vultures When we feast on the failures of the lives we criticize Don't stand alone and cast your stones at her Unless you think you're innocent yourself The same measure that we use to condemn men Will be the same that's poured out upon our heads We've all gone astray We kick against the pricks so convinced we know the way But who can repay The love we sacrificed for an empire made of clay Selfpromotions how we function in this culture We fight for the spotlight with a peacocks pride And then condescend to all the lesser men From thrones we make of payed accolades and a compromise There is no power that a man can have Unless it's given to him from above Our ladders of success descend to hell Don't sell your soul and lose your one true love We all gone astray We kick against the pricks so convinced we know the way But who can repay The love we sacrificed for an empire made of clay We've all gone astray We kick against the pricks so convinced we know the way But who can repay The love we sacrificed to kings for a day","Blondie","Dig Up The Conjo","Blondie:No_Exit_(1999)","New Wave","1999"
"275",275,100242,"When the night comes and you dont know which way to go Through the shadowlands and forgotten paths you will find a road Like an owl you must fly in moonlight with an open eye And use your instinct as your guide to navigate the ways that lays before you You were born to take the greatest flight Like a serpent and a dove you will have wisdom born of love And carry visions from above into the places no man dares to follow Every hollow in the dark of night Waiting for the light Take the flame tonight Cause child the time has come for you to go You will never be alone Every dream that you have been shown Will be like living stone Building you into a home A shelter from the storm Like a messenger of peace the beauty waits to be released Upon the sacred path you keep leading deeper into the unveiling As your sailing across the great divide Like a wolf at midnight howls you use your voice in darkest hours To break the silence and the power holding back the others from their glory Every story will be written soon The blood is on the moon Morning will come soon Cause child the time has come for you to go You will never be alone Every dream that you have been shown Will be like living stone Building you into a home A shelter from the storm","Blondie","Divine","Blondie:No_Exit_(1999)","New Wave","1999"
"276",276,100243,"1 The Watcher from the shore I have opened my veins Just the same As the next forest path opens Blood flows to the swamp Like thoughts Which will kill me Definitely Every day when I die Every moment when I hate A second which draws another wrinkle on my face exhaustion repulsion I have opened my veinslike an ocean opens its vast dimensions Before the eyes of the watcher on the shore 2 At the bottom of the murky waters I have found At last Deep in the green waters At the bottom too deep I will never swim out again Ive become a treasure Of these dark murky waters quieter and quieter deep last sigh traces of breath on the surface this is the end 3 WATCHING A ROOM im watching my room in the dark all slowed down the pressure of blood is low cold me watching in the dark a room full of daymares everything has a pulse and dead rhythm goes on old ghost from the past old scars tangled with unknown vast horizons where pain drifts in cold air title by Trist 4 I am buried Open the lid There beneath the planks Is your face Terrified by the whole life Which parts You managed to avoid Open the lid This is the time of the last corpse presentation Amuse your dead eyes With the last light tearsand flowers Now only the earth Giggles Awful giggleshaunted The sound calms down And the grief around also seems to be weakened I am in soil Each one passes away Tears sink into coats In the ground I am ","Blondie","The Dream's Lost On Me","Blondie:No_Exit_(1999)","New Wave","1999"
"277",277,100244,"Love to a man is just a thing apart To take or leave according to his whim Love to a woman means her very heart She only wants to live her life for him Maybe he's not much Just another man doing what he can But what does she care When a woman loves a man She'll just string along all through thick and thin Till his ship comes in It's always that way When a woman loves a man She'll be the first one to praise him when he's going strong The last one to blame him when everything's wrong It's such a one sided game that they play But women are funny that way Tell her she's a fool She'll say yes I know but I love him so And that's how it goes When a woman loves a man She'll be the first one to praise him when he's going strong The last one to blame him when everything's wrong It's such a one sided game that they play But women are funny that way Tell her she's a fool She'll say yes I know but I love him so And that's how it goes When a woman loves a man","Blondie","Happy Dog (For Caggy)","Blondie:No_Exit_(1999)","New Wave","1999"
"278",278,100245,"Baby if you love me then show me that you care Yes baby if you love me then please show me that you care 'Cause everytime I need you you make darn sure that you're not there Don't drift too far Daddy Stick around so that you'll be near Please don't drift too far Daddy Stick around so that you'll be near You don't need to go out for anything 'cause I've got everything you need right here Yes understandin' is somethin' that makes everything just fine Yes understandin' is somethin' that makes everything just fine No I'll never be contented 'til you say that you are mine","Blondie","Out In The Streets","Blondie:No_Exit_(1999)","New Wave","1999"
"279",279,100246,"Well I know my days are numbered And I know I'm livin' fast I've got a mellow man who loves me And mellow whiskey in my glass So I'll just stick around And wait for the time to pass Yes I know I'm not good lookin' But I'll put you in your place No I know I'm not good lookin' But I'll put you in your place You can't tell me what I'm likin' By just lookin' at my face I've got a secret way of lovin' And I own the copyright I'm gonna put it on the market And do all my business right I know my man is crooked And I know my whiskey's straight And I know that man can send me For he feels just like a snake Yes I'll thrill you Baby I can really satisfy your soul Yes I'll really thrill you Baby I can satisfy your soul I've got a secret way of lovin' And it never has been told","Blondie","Under The Gun (For Jeffrey Lee Pierce)","Blondie:No_Exit_(1999)","New Wave","1999"
"280",280,100247,"Should I worry about you baby or forget you were ever on my mind Yes should I worry about you baby or forget you were ever on my mind I can get another man just as easy and one that will treat me just as kind Should I go out and look for you baby when I know that you're for ever gone Should I look for you baby when I know you're for ever gone I'd be more contented if I knew you were all alone If you cared about me daddy you'd come home early every night Yes if you cared about me daddy you'd come home early every night But you don't come home in the mornin's till you're sure it's broad daylight Yes if you wanna get together baby yes that's still okay with me If you wanna get together baby that's still okay with me I'm always open for propositions that I know you can plainly see","Blondie","Night Wind Sent","Blondie:No_Exit_(1999)","New Wave","1999"
"281",281,100248,"I wanna rich man all you poor men have got to go Yes I wanna rich man all you poor men have got to go I want my breakfast in bed and a butler to open my door He must have everything I need plus that good old jelly roll Yes he must have everything I need plus that good old jelly roll He's got to have furs and diamond rings to satisfy my soul I want to travel abroad see Cuba and Spain Don't want to go in a car but on jetpropelled plane That's why he's gotta be rich all you poor men have got to go Must have everything I want yes that includes his gold Girls if you've got a rich man you'd better chain him to your side Yes if you've got a rich man you'd better chain him to your side 'Cause if he ever flags this train I'm sure going to let him ride","Blondie","Boom Boom In The Zoom Zoom Room","Blondie:No_Exit_(1999)","New Wave","1999"
"282",282,100249,"This must be somethin' fine 'Cause nothin' else shakes this way Yes this must be somethin' fine 'Cause nothin' else shakes this way I'm gonna love you daddy 'till the night has turned to day You say you've been around And you've had a lot of chicks But tell me daddy have you ever got so many kicks I know I'm not a doctor But I've got just the thing for you Promise me papa that you always will be true I'll have to see a mechanic For it seems my motor won't stop Yes I'll have to see a mechanic For it seems my motor won't stop C'mon and knock me out papa and we'll go around the clock","Blondie","Nothing Is Real But The Girl","Blondie:No_Exit_(1999)","New Wave","1999"
