playlist_name,spotify_ID
Today's Top Hits,37i9dQZF1DXcBWIGoYBM5M
RapCaviar,37i9dQZF1DX0XUsuxWHRQd
¡Viva Latino!,37i9dQZF1DX10zKzsJ2jva
Baila Reggaeton,37i9dQZF1DWY7IeIP1cdjF
Songs to Sing in the Car,37i9dQZF1DWWMOmoXKqHTD
All Out 00s,37i9dQZF1DX4o1oenSJRJd
Beast Mode,37i9dQZF1DX76Wlfdnj7AP
mint,37i9dQZF1DX4dyzvuaRJ0n
Get Turnt,37i9dQZF1DWY4xHQp97fN6
Hot Country,37i9dQZF1DX1lVhptIYRda
Peaceful Piano,37i9dQZF1DX4sWSpwq3LiO
Are & Be,37i9dQZF1DX4SBhb3fqCJd
Songs to Sing in the Shower,37i9dQZF1DWSqmBTGDYngZ
Chill Hits,37i9dQZF1DX4WYpdgoIcn6
Rock This,37i9dQZF1DXcF6B6QPhFDv
Top Brasil,37i9dQZF1DX0FOF1IUWK1W
Hit Rewind,37i9dQZF1DX0s5kDXi1oC5
Esquenta Sertanejo,37i9dQZF1DXdSjVZQzv2tl
Teen Party,37i9dQZF1DX1N5uK98ms5p
Motivation Mix,37i9dQZF1DXdxcBWuJkbcy
Have a Great Day!,37i9dQZF1DX7KNKjOK0o75
Happy Hits!,37i9dQZF1DXdPec7aLTmlC
Verano Forever,37i9dQZF1DXdnGF35OawbN
Relax & Unwind,37i9dQZF1DWU0ScTcjJBdj
Soft Pop Hits,37i9dQZF1DWTwnEm1IYyoj
Baladas Románticas,37i9dQZF1DX09mi3a4Zmox
Acoustic Covers,37i9dQZF1DWXmlLSKkfdAk
Mood Booster,37i9dQZF1DX3rxVfibe1L0
Sleep,37i9dQZF1DWZd79rJ6a7lp
Top Hits Philippines,37i9dQZF1DXcZQSjptOQtk
Éxitos México,37i9dQZF1DX5BAPG29mHS8
New Music Friday,37i9dQZF1DX4JAvHpjipBk
Rock en Español,37i9dQZF1DWYN0zdqzbEwl
Dance Party,37i9dQZF1DXaXB8fQg7xif
Brain Food,37i9dQZF1DWXLeA8Omikj7
Deep Focus,37i9dQZF1DWZeKCadgRdKQ
Love Pop,37i9dQZF1DX50QitC6Oqtn
Pop Up,37i9dQZF1DX6aTaZa0K6VA
Dance Pop,37i9dQZF1DXcZDD7cfEKhW
Workout,37i9dQZF1DX70RN3TfWWJh
La Brava - Banda & Norteño Hits,37i9dQZF1DXb0COFso7q0D
Cardio,37i9dQZF1DWSJHnPb1f0X3
Power Workout,37i9dQZF1DWUVpAXiEPK8P
Chill Tracks,37i9dQZF1DX6VdMW310YC7
Funk Hits,37i9dQZF1DWTkIwO2HDifB
Broken Heart,37i9dQZF1DXbrUpGvoi3TS
Confidence Boost,37i9dQZF1DX4fpCWaHOned
Hot Hits UK,37i9dQZF1DWY4lFlS4Pnso
Good Vibes,37i9dQZF1DWYBO1MoTDhZI
Dance Rewind,37i9dQZF1DX0BcQWzuB7ZO
Most Necessary,37i9dQZF1DX2RxBh64BHjQ
Infinite Acoustic,37i9dQZF1DX6z20IXmBjWI
The Most Beautiful Songs in the World,37i9dQZF1DX9Z3vMB2b8im
Life Sucks,37i9dQZF1DX3YSRoSdA634
Gold School,37i9dQZF1DWVA1Gq4XHa6U
It's a Hit!,37i9dQZF1DWT1y71ZcMPe5
K-Pop Daebak,37i9dQZF1DX9tPFwDMOaN1
Ultimate Indie,37i9dQZF1DX2Nc3B70tvx0
Éxitos Argentina,37i9dQZF1DXbbu94YBG7Ye
Éxitos España,37i9dQZF1DXaxEKcoCdWHD
Coffee Table Jazz,37i9dQZF1DWVqfgj8NZEp1
mint Latin,37i9dQZF1DX07RJCJCOYpi
Hot Rhythmic,37i9dQZF1DWYs83FtTMQFw
Intense Studying,37i9dQZF1DX8NTLI2TtZa6
Classic Road Trip Songs,37i9dQZF1DX9wC1KY45plY
Dance Rising,37i9dQZF1DX8tZsk68tuDw
Hugot,37i9dQZF1DX12Zn55QZM3w
Roots Rising,37i9dQZF1DWYV7OOaGhoH0
Happy Folk,37i9dQZF1DWSkMjlBZAZ07
Lo-Fi Beats,37i9dQZF1DWWQRwui0ExPn
Canciones del Recuerdo,37i9dQZF1DX20VDU4OIBfS
Pop Brasil,37i9dQZF1DWVLcZxJO5zyf
Hype,37i9dQZF1DX4eRPd9frC1m
Esenciales,37i9dQZF1DX3omIq8ziEt6
