playlist_name,spotify_ID,2019-05-12,2019-05-19
Today's Top Hits,37i9dQZF1DXcBWIGoYBM5M,23163839,23211465
RapCaviar,37i9dQZF1DX0XUsuxWHRQd,11553764,11572111
¡Viva Latino!,37i9dQZF1DX10zKzsJ2jva,9695056,9721637
Baila Reggaeton,37i9dQZF1DWY7IeIP1cdjF,9386883,9413612
Songs to Sing in the Car,37i9dQZF1DWWMOmoXKqHTD,7991715,8030002
All Out 00s,37i9dQZF1DX4o1oenSJRJd,6535621,6599314
Beast Mode,37i9dQZF1DX76Wlfdnj7AP,5871164,5897600
mint,37i9dQZF1DX4dyzvuaRJ0n,5466607,5469924
Get Turnt,37i9dQZF1DWY4xHQp97fN6,5434795,5445380
Hot Country,37i9dQZF1DX1lVhptIYRda,5358769,5368805
Peaceful Piano,37i9dQZF1DX4sWSpwq3LiO,5305008,5319659
Are & Be,37i9dQZF1DX4SBhb3fqCJd,4951847,4958301
Songs to Sing in the Shower,37i9dQZF1DWSqmBTGDYngZ,4779317,4804397
Chill Hits,37i9dQZF1DX4WYpdgoIcn6,4629012,4645956
Rock This,37i9dQZF1DXcF6B6QPhFDv,4478494,4479308
Top Brasil,37i9dQZF1DX0FOF1IUWK1W,4311080,4322272
Hit Rewind,37i9dQZF1DX0s5kDXi1oC5,4214748,4235144
Esquenta Sertanejo,37i9dQZF1DXdSjVZQzv2tl,4207441,4224456
Teen Party,37i9dQZF1DX1N5uK98ms5p,3956509,3955148
Motivation Mix,37i9dQZF1DXdxcBWuJkbcy,3893477,3916142
Have a Great Day!,37i9dQZF1DX7KNKjOK0o75,3880706,3904091
Happy Hits!,37i9dQZF1DXdPec7aLTmlC,3860779,3890686
Verano Forever,37i9dQZF1DXdnGF35OawbN,3740891,3744807
Relax & Unwind,37i9dQZF1DWU0ScTcjJBdj,3669516,3673510
Soft Pop Hits,37i9dQZF1DWTwnEm1IYyoj,3626918,3637476
Baladas Románticas,37i9dQZF1DX09mi3a4Zmox,3365689,3372224
Acoustic Covers,37i9dQZF1DWXmlLSKkfdAk,3328399,3335821
Mood Booster,37i9dQZF1DX3rxVfibe1L0,3343534,3365794
Sleep,37i9dQZF1DWZd79rJ6a7lp,3275402,3282343
Top Hits Philippines,37i9dQZF1DXcZQSjptOQtk,3261430,3272708
Éxitos México,37i9dQZF1DX5BAPG29mHS8,3237757,3241287
New Music Friday,37i9dQZF1DX4JAvHpjipBk,3210088,3218486
Rock en Español,37i9dQZF1DWYN0zdqzbEwl,3180008,3192422
Dance Party,37i9dQZF1DXaXB8fQg7xif,3134799,3150622
Brain Food,37i9dQZF1DWXLeA8Omikj7,3100893,3110386
Deep Focus,37i9dQZF1DWZeKCadgRdKQ,3074945,3078210
Love Pop,37i9dQZF1DX50QitC6Oqtn,3039253,3045760
Pop Up,37i9dQZF1DX6aTaZa0K6VA,2940980,2943904
Dance Pop,37i9dQZF1DXcZDD7cfEKhW,2862507,2865150
Workout,37i9dQZF1DX70RN3TfWWJh,2800114,2810501
La Brava - Banda & Norteño Hits,37i9dQZF1DXb0COFso7q0D,2739785,2742012
Cardio,37i9dQZF1DWSJHnPb1f0X3,2684156,2686217
Power Workout,37i9dQZF1DWUVpAXiEPK8P,2652088,2665317
Chill Tracks,37i9dQZF1DX6VdMW310YC7,2612557,2615302
Funk Hits,37i9dQZF1DWTkIwO2HDifB,2528655,2541357
Broken Heart,37i9dQZF1DXbrUpGvoi3TS,2496693,2511746
Confidence Boost,37i9dQZF1DX4fpCWaHOned,2459188,2480410
Hot Hits UK,37i9dQZF1DWY4lFlS4Pnso,2370799,2377236
Good Vibes,37i9dQZF1DWYBO1MoTDhZI,2321312,2324815
Dance Rewind,37i9dQZF1DX0BcQWzuB7ZO,2217162,2219975
Most Necessary,37i9dQZF1DX2RxBh64BHjQ,2158980,2163544
Infinite Acoustic,37i9dQZF1DX6z20IXmBjWI,2075773,2076829
The Most Beautiful Songs in the World,37i9dQZF1DX9Z3vMB2b8im,2062786,2063428
Life Sucks,37i9dQZF1DX3YSRoSdA634,2053061,2060388
Gold School,37i9dQZF1DWVA1Gq4XHa6U,1991330,1994804
It's a Hit!,37i9dQZF1DWT1y71ZcMPe5,1983102,1987178
K-Pop Daebak,37i9dQZF1DX9tPFwDMOaN1,1987526,2003959
Ultimate Indie,37i9dQZF1DX2Nc3B70tvx0,1951538,1953676
Éxitos Argentina,37i9dQZF1DXbbu94YBG7Ye,1928479,1936034
Éxitos España,37i9dQZF1DXaxEKcoCdWHD,1911960,1917323
Coffee Table Jazz,37i9dQZF1DWVqfgj8NZEp1,1906395,1911991
mint Latin,37i9dQZF1DX07RJCJCOYpi,1884474,1883057
Hot Rhythmic,37i9dQZF1DWYs83FtTMQFw,1875904,1877875
Intense Studying,37i9dQZF1DX8NTLI2TtZa6,1875222,1876546
Classic Road Trip Songs,37i9dQZF1DX9wC1KY45plY,1885764,1912624
Dance Rising,37i9dQZF1DX8tZsk68tuDw,1853213,1854008
Hugot,37i9dQZF1DX12Zn55QZM3w,1845616,1849002
Roots Rising,37i9dQZF1DWYV7OOaGhoH0,1803889,1804613
Happy Folk,37i9dQZF1DWSkMjlBZAZ07,1794829,1798409
Lo-Fi Beats,37i9dQZF1DWWQRwui0ExPn,1804593,1830434
Canciones del Recuerdo,37i9dQZF1DX20VDU4OIBfS,1772786,1781316
Pop Brasil,37i9dQZF1DWVLcZxJO5zyf,1730557,1734040
Hype,37i9dQZF1DX4eRPd9frC1m,1723622,1728184
Esenciales,37i9dQZF1DX3omIq8ziEt6,1729451,1740171
