playlist_name,spotify_ID,2019-05-12,2019-05-19,2019-05-26,2019-06-02,2019-06-09,2019-06-16
Trap Nation,0NCspsyf0OS4BsPgGhkQXM,2038137,2037501,2036760,2036026,2035079,2033797
90s Smash Hits,3C64V048fGyQfCjmu9TIGA,1957206,1956939,1957227,1957283,1956890,1956728
Billboard Hot 100,6UeSakyzhiEt4NB3UAd6NQ,1930611,1931654,1932555,1933373,1934332,1935367
Disney Hits,5NtjgKz4doejP5HJtKXFcS,2404895,2422187,2442493,2466317,2487827,2506785
Tomorrowland Official Playlist,5ZgnTlYPLATJiTg9yTgppb,1146936,1148693,1150500,1152270,1154348,1156806
Reggaeton 2019,7xWuNevFBmwnFEg6wzdCc7,1034514,1041360,1050042,1058052,1066035,1074078
lofi hip hop beats,74sUjcvpGfdOvCHvgzNEDO,1032289,1038623,1043078,1046906,1049945,1051236
Spinnin' Records Top 100,5aHawERps0AMmMLU1KHvv6,754627,755161,756740,758186,758531,758795
NCS Releases - NoCopyrightSounds,7sZbq8QGyMnhKPcLJvCUFD,628272,629497,630676,631843,633235,634295
Electronica 2019,0xrcpsSBNGorqGjSeIgvF6,551835,553171,554474,556230,557541,558579
Sad Songs,4EoPt05ztUjVaujcWbUL2Z,547592,549845,558503,561630,527543,560914
MERRY JANE - Young Stoner Life's Spotify Playlist Takeover,7vvsdLreKDvypUhXnfSfN9,539555,539425,539272,539125,538977,538789
Zoedic - Dance Music Updated Weekly | House Music | Progessive House | EDM playlist 2019 | New Music,6XVhyMuFRS1212blJHTED4,495636,495322,494982,494711,494350,494022
EDM HOUSE 2019 presented by bigFM nitroX,5CTzufLc0f6MufjKYrIaoO,495387,496945,498726,500890,502596,504695
Majestic Casual,6wjCvkAFovrVIRM8VfZLZG,454701,455019,455383,455878,456239,456717
Kontor Top Of The Clubs,1Jl4zMXcGWW9Qf5rzBQkns,438080,438877,439688,440652,441644,442344
Axwell Approved,1tl4L77FJju5zp9bJC83u8,432754,432673,432570,432458,432415,432287
theartistunion,7xRVn4q3S4bsOc4G5x36Ci,422422,424171,425716,427399,429061,430969
