track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Otro Trago,1Ej96GIBCTvgH7tNX1r3qr,2019-06-07T14:50:33Z,Sueños,2019-04-19,225933,95,Sech,77ziqFxp5gaInVrF2lj4ht,314180,92,panamanian pop,0.747,0.7,0,-4.669,1,0.341,0.136,0.000167,0.11,0.62,176.036,4
Soltera - Remix,1c0hsvHLELX6y8qymnpLKL,2019-06-07T14:50:33Z,Soltera (Remix),2019-05-10,266086,93,Lunay,47MpMsUfWtgyIIBEFOr4FE,202191,85,reggaeton flow,0.795,0.783,5,-4.271,1,0.0432,0.361,0,0.437,0.8,92.016,4
Callaita,2TH65lNHgvLxCKXM3apjxI,2019-06-07T14:50:33Z,Callaita,2019-05-31,250533,85,Bad Bunny,4q3ewBCX7sLwd24euuV69X,12923152,95,"reggaeton,trap latino",0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,4
Verte Ir,4lzxJ4jCuFDXXGkE1LmpKR,2019-06-07T14:50:33Z,Verte Ir,2019-03-28,267500,91,DJ Luian,64aJYyrXljOodnUG6jvhRD,328666,85,"latin,reggaeton flow,tropical",0.857,0.647,11,-4.152,0,0.0984,0.391,1.2e-06,0.0842,0.553,95.982,4
Con Calma,5w9c2J52mkdntKOmRLeM2m,2019-06-07T14:50:33Z,Con Calma,2019-01-24,193226,95,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,11356863,95,"latin,latin hip hop,pop,reggaeton,tropical",0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,4
Pa Mí - Remix,224EVTFiLsdQignUFLvDeH,2019-06-07T14:50:33Z,Pa Mí (Remix),2019-02-07,360960,84,Dalex,0KPX4Ucy9dk82uj4GpKesn,90651,86,reggaeton flow,0.688,0.62,11,-8.029,0,0.22,0.753,5.27e-06,0.158,0.727,170.018,4
Latina (feat. Maluma),00Ia46AgCNfnXjzgH8PIKH,2019-06-07T14:50:33Z,Latina (feat. Maluma),2019-05-31,226738,72,Reykon,3PAwspMN27PDm81WwXDsMf,1325937,74,"latin,latin hip hop,latin pop,pop,reggaeton,reggaeton flow,trap latino,tropical",0.826,0.713,9,-4.017,0,0.129,0.0748,0,0.331,0.75,102.071,4
11 PM,7KbF6AdprOXEEHlsq11Z6d,2019-06-07T14:50:33Z,11:11,2019-05-17,175733,87,Maluma,1r4hJ1h58CWwUQe3MxPuau,15708984,94,reggaeton,0.777,0.712,10,-4.84,1,0.277,0.217,0,0.091,0.68,95.692,4
Te Robaré,6v0lAdFF4haL8xjBIUjtOw,2019-06-07T14:50:33Z,Te Robaré,2019-03-22,201818,91,Nicky Jam,1SupJlEpv7RS2tPNRaHViT,9298678,94,"latin,latin hip hop,pop,reggaeton,tropical",0.673,0.752,2,-3.572,0,0.0561,0.241,4.51e-05,0.0813,0.797,175.997,4
No Lo Trates,4gqMVEJSaL5nNeKj5WmVoT,2019-06-07T14:50:33Z,No Lo Trates,2019-04-26,198453,82,Pitbull,0TnOYISbd1XYRBk9myaseg,6960631,85,"dance pop,latin,miami hip hop,pop,pop rap",0.834,0.808,11,-2.597,1,0.0542,0.0569,0.00052,0.222,0.829,104.026,4
