track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Wow.,6MWtB6iiXyIwun0YzU6DFP,2019-06-06T15:53:18Z,Wow.,2018-12-24,149520,92,Post Malone,246dkjvS1zLTtiykXe5h60,14375336,96,"pop,rap",0.833,0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,99.947,4
Chico (feat. Wiz Khalifa & Kap G),39cyYJtB3TMyCSedqoIjRz,2019-06-06T15:53:18Z,I Hate You To The Moon & Back,2019-05-13,222439,45,BrownBoi Maj,4d3sHXRJ6A7WaOOKFBXSIp,725,52,,0.639,0.676,0,-7.881,1,0.184,0.118,0,0.259,0.703,163.95,4
Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,2019-06-06T15:53:18Z,Championships,2018-11-30,180522,89,Meek Mill,20sxb77xiYeusSH8cVdatc,3192244,87,"hip hop,philly rap,pop,pop rap,rap,southern hip hop,trap music",0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,4
SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,2019-06-06T15:53:18Z,ASTROWORLD,2018-08-03,312820,88,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,5732799,95,"pop,pop rap,rap",0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,4
Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,2019-06-06T15:53:18Z,Hoodie SZN,2018-12-21,189486,90,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,2956525,89,"rap,trap music",0.581,0.662,9,-5.239,1,0.303,0.0153,0,0.111,0.434,93.023,4
"Sunflower (Remix) [with Swae Lee, Nicky Jam, and Prince Royce] - Remix",0wt9RjddODlWDetpuaXfRK,2019-06-06T15:53:18Z,Spider-Man: Into the Spider-Verse (Deluxe Edition / Soundtrack From & Inspired By The Motion Picture),2019-02-22,210000,73,Post Malone,246dkjvS1zLTtiykXe5h60,14375336,96,"pop,rap",0.604,0.754,2,-4.243,1,0.119,0.274,3.53e-06,0.0947,0.28,179.836,4
MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,2019-06-06T15:53:18Z,MIDDLE CHILD,2019-01-23,213593,90,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,8405181,92,"conscious hip hop,nc hip hop,pop rap,rap",0.837,0.364,8,-11.713,1,0.276,0.149,0,0.271,0.463,123.984,4
Pure Water (with Migos),63cd4JkwGgYJrbOizbfmsp,2019-06-06T15:53:18Z,Pure Water (with Migos),2019-01-16,194519,88,Mustard,0YinUQ50QDB7ZxSCLyQ40k,391678,81,"cali rap,hip hop,pop,pop rap,rap,southern hip hop,trap music",0.68,0.559,0,-5.545,1,0.129,0.172,0,0.318,0.137,202.006,4
BAD!,7IMGshuSNOXHgmboboPpIH,2019-06-06T15:53:18Z,BAD!,2019-01-18,173040,73,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,1649265,83,"big room,dance pop,dutch house,edm,electro house,pop,pop edm,progressive electro house,tropical house",0.701,0.816,8,-5.95,1,0.0608,0.309,7.79e-05,0.153,0.316,125.068,4
Keanu Reeves,25F6MWrnFBCXVnpN4n76EK,2019-06-06T15:53:18Z,Keanu Reeves,2019-01-18,225986,73,Logic,4xRYI6VqpkE3UwrDrAZL8L,3715700,92,"conscious hip hop,dmv rap,pop rap,rap",0.71,0.888,2,-6.457,1,0.235,0.0591,0,0.134,0.816,170.193,4
