track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Wish You Well,1yAPglN5AGf7UoLK062ZYq,2019-07-05T19:27:26Z,Wish You Well,2019-05-24,205653,79,Sigala,1IueXOQyABrMOprrzwQJWN,849754,80,"dance pop,edm,pop,tropical house,uk dance",0.669,0.895,5,-3.787,0,0.0575,0.128,0,0.297,0.576,124.964,4
Play - Loris Cimino Remix,6Jg3d40jtWFJkBCvxngaNp,2019-07-05T19:27:26Z,Play (Loris Cimino Remix),2019-06-07,178582,37,Betta Lemme,1WZLagiBdNltn918sr8kkw,13003,52,canadian electropop,0.66,0.863,0,-4.852,1,0.042,0.00452,0.000204,0.179,0.407,126.989,4
I'm a Mess - Robin Schulz Remix,4VargQf8dDrDxtffYH78Sk,2019-07-05T19:27:26Z,I'm a Mess (Remixes),2018-11-30,200674,45,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,3770607,90,"dance pop,pop,post-teen pop",0.658,0.848,11,-5.735,0,0.0503,0.0066,2.09e-06,0.204,0.447,121.953,4
With You - Frank Walker Remix,06Z7Hy2LUzbcSFmWzwkun1,2019-07-05T19:27:26Z,With You (Frank Walker Remix),2019-02-01,206875,50,Tyler Shaw,3jERgGiTwNAPxNmDasAb31,22776,56,pop quebecois,0.686,0.613,2,-5.614,1,0.069,0.0386,0,0.251,0.452,104.988,4
Whenever (feat. Conor Maynard),3DGar7krWlmrXRFHBcQF6z,2019-07-05T19:27:26Z,Whenever (feat. Conor Maynard),2018-06-22,163636,77,Kris Kross Amsterdam,4LcUpNlXFEleaLlelmkv2R,79679,76,"dutch house,dutch pop,tropical house",0.734,0.765,7,-5.562,1,0.0621,0.151,0,0.231,0.518,109.989,4
Talk - Alle Farben Remix,06BrHnTVDOydsfg0LZ6mQb,2019-07-05T19:27:26Z,Talk (Alle Farben Remix),2019-04-04,167990,59,Khalid,6LuN9FCkKOj5PcnpouEgny,7177406,98,pop,0.638,0.818,9,-4.517,0,0.05,0.131,1.78e-05,0.107,0.489,126.015,4
"Big Hearts (feat. Stargate, KYLE)",1RP57IhDU2nBu8x2mjqFQi,2019-07-05T19:27:26Z,Abbot Kinney,2018-12-14,201426,51,Netsky,5TgQ66WuWkoQ2xYxaSTnVP,331866,66,"belgian edm,drum and bass,liquid funk",0.766,0.705,2,-5.01,0,0.048,0.066,3.56e-05,0.122,0.154,112.02,4
Feel It Too (feat. Danny Fernandes),3NueI0S6mWHJCJdpK2dX5s,2019-07-05T19:27:26Z,Feel It Too (feat. Danny Fernandes),2019-04-26,140952,44,MOTi,1vo8zHmO1KzkuU9Xxh6J7W,173433,74,"big room,deep big room,edm,electro house,house,pop edm,progressive electro house,progressive house,tropical house",0.665,0.691,3,-6.683,0,0.0698,0.0486,0,0.507,0.66,126.09,4
Sugar (feat. Francesco Yates),5tf1VVWniHgryyumXyJM7w,2019-07-05T19:27:26Z,SUGAR,2015-09-25,219043,76,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,2059250,85,"dance pop,deep euro house,deep house,edm,german dance,pop,tropical house",0.636,0.815,5,-5.098,0,0.0581,0.0185,0,0.163,0.636,123.063,4
This Mountain - Moguai Remix,6VtjygXLFzjBSAbgU3wSQ9,2019-07-05T19:27:26Z,This Mountain (Moguai Remix),2019-01-11,168188,44,Faouzia,5NhgsV7qPWHZqYEMKzbYvo,18418,60,indie cafe pop,0.633,0.847,4,-3.676,0,0.192,0.0569,0,0.576,0.249,127.156,4
