track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Million Things,6JTIUgvuiVXzkVhs5CjvSs,2019-07-12T16:06:22Z,Million Things,2019-05-03,198687,51,GATTÜSO,3PlRvQnVE3XAbtHUNc4nic,30001,65,"electro house,pop edm",0.754,0.763,8,-5.831,1,0.09,0.103,0,0.0587,0.602,105.062,4
A Kick Maybe,5yGbBAF50uvDt9qQzQsuX7,2019-07-12T16:06:22Z,Under Zero (The Edits),2018-11-23,274750,38,Gai Barone,6ITKskiAcS4w9egVKClT7e,3994,39,progressive house,0.654,0.951,6,-6.957,0,0.0401,0.0657,0.822,0.37,0.295,119.978,3
Solstice,1W1nVxbK0GyFonX2mSxkQ7,2019-07-12T16:06:22Z,Solstice,2019-06-21,440685,34,HOSH,3qoTlYFOahAlAh9ee3qnbs,32247,47,"deep disco house,deep melodic euro house,hamburg electronic,minimal tech house,minimal techno,tech house",0.669,0.659,5,-10.457,0,0.0455,0.148,0.826,0.0794,0.333,122.989,4
Sondela feat. Xolisa - Auntie Flo Remix Instrumental,3QOAuo2BDfVJlQr2Rjy9YG,2019-07-12T16:06:22Z,Sondela Remix EP,2019-05-31,393715,36,Floyd Lavine,5VjxZ6Ik0cmnVlXZ3in6nw,2332,38,afro house,0.79,0.504,0,-14.172,1,0.118,0.347,0.874,0.0905,0.266,122.021,4
Disappointment - Original Mix,7cwmKoa6CT51I3O6BVTJLa,2019-07-12T16:06:22Z,Disappointment / Phenomenal,2018-12-17,365341,37,Meeting Molly,55p34uHtqEyL4CoYAwqE2G,518,38,,0.717,0.682,8,-10.847,1,0.0442,9.48e-05,0.885,0.75,0.105,118.006,4
Falling,6uBImZ47dzAPRcPN7gXd44,2019-07-12T16:06:22Z,Brainsugar,2016-09-16,268271,39,Cubicolor,4nMIbZxtt1kWqUZ8VNKvjU,27890,52,progressive house,0.676,0.667,6,-10.255,0,0.0332,0.423,0.824,0.469,0.39,120.026,4
Hearts,3vc6u0eaPIsctv1VpYeFJa,2019-07-12T16:06:22Z,Hearts,2018-12-05,269196,48,Tourist,2ABBMkcUeM9hdpimo86mo6,74420,60,"chillwave,indietronica,shimmer pop,tropical house,vapor soul",0.657,0.584,7,-10.553,1,0.173,0.141,0.915,0.106,0.209,121.993,4
All I Want,6KOcDX1UMQx49ZSnrRY147,2019-07-12T16:06:22Z,All In All,2015-02-09,468113,5,Bob Moses,6LHsnRBUYhFyt01PdKXAF5,162606,62,"canadian electronic,tropical house",0.691,0.514,8,-10.962,1,0.0337,0.0535,0.736,0.111,0.394,116.004,4
All I've Got,1LqcIO6jY4XEsObcuU5YiJ,2019-07-12T16:06:22Z,SOLACE,2018-10-19,223386,52,RÜFÜS DU SOL,5Pb27ujIyYb33zBqVysBkj,422198,74,"australian electropop,tropical house",0.645,0.686,0,-6.952,1,0.0311,0.0359,0.0108,0.456,0.199,121.012,4
Cherry Blossom,6WRTNDVblJW6Dstku4aHix,2019-07-12T16:06:22Z,The Wave,2018-08-25,164659,42,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,1694742,85,"big room,dance pop,dutch house,edm,electro house,pop,progressive electro house,tropical house",0.671,0.457,3,-9.853,0,0.0366,0.108,0.321,0.197,0.318,87.995,4
