track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
"Rocket Man (I Think It's Going To Be A Long, Long Time)",3gdewACMIVMEWVbyb8O9sY,2019-08-02T18:35:06Z,Honky Chateau,1972-05-19,281613,80,Elton John,3PhoLpVuITZKcymswpck5b,3390942,85,"glam rock,mellow gold,piano rock,rock",0.602,0.522,10,-9.031,1,0.0285,0.386,1.44e-05,0.0941,0.36,136.637,4
Crazy Little Thing Called Love - Remastered 2011,35ItUJlMtjOQW3SSiTCrrw,2019-08-02T18:35:06Z,The Game (Deluxe Remastered Version),1980-06-27,163373,64,Queen,1dfeR4HaWDbWqFHLkxsg1d,18693994,92,"glam rock,rock",0.622,0.781,2,-6.756,1,0.0516,0.679,0,0.272,0.718,76.709,4
Here Comes The Sun - Remastered,45yEy5WJywhJ3sDI28ajTm,2019-08-02T18:35:06Z,Abbey Road (Remastered),1969-09-26,185733,29,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,13077630,90,"british invasion,merseybeat,psychedelic rock,rock",0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,4
Go Your Own Way - 2004 Remaster,4xh7W7tlNMIczFhupCPniY,2019-08-02T18:35:06Z,Rumours (Super Deluxe),1977-02-04,223613,72,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,3532083,83,"album rock,classic rock,mellow gold,rock,soft rock,yacht rock",0.586,0.941,5,-5.139,1,0.0375,0.0167,0.000776,0.068,0.831,135.448,4
Take It Easy - 2013 Remaster,4yugZvBYaoREkJKtbG08Qr,2019-08-02T18:35:06Z,Eagles (2013 Remaster),1972,211577,74,Eagles,0ECwFtbIWEVNwjlrfc6xoL,3569886,79,"album rock,classic rock,folk rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock,yacht rock",0.575,0.67,7,-10.39,1,0.0318,0.343,4.95e-06,0.129,0.74,139.191,4
Don't Go Breaking My Heart,0bV4WoGRzmYV6y7OojZvqr,2019-08-02T18:35:06Z,Rocket Man (Deluxe Edition),2007-03-26,275386,17,Elton John,3PhoLpVuITZKcymswpck5b,3390942,85,"glam rock,mellow gold,piano rock,rock",0.73,0.858,5,-8.221,1,0.036,0.179,1.54e-06,0.0611,0.765,131.445,4
Under Pressure,1mSClObliRtgPVT399COQH,2019-08-02T18:35:06Z,Hot Space,1982-05-03,245506,53,Queen,1dfeR4HaWDbWqFHLkxsg1d,18693994,92,"glam rock,rock",0.655,0.538,2,-12.711,1,0.0582,0.417,0,0.0865,0.472,113.521,4
American Pie,2QgWuCtBpNIpl5trmKCxRf,2019-08-02T18:35:06Z,The Best Of Don McLean,1988-01-01,515866,71,Don McLean,1gRNBaI4yn6wCCTvRhGWh8,347764,68,"adult standards,classic rock,folk,folk rock,mellow gold,rock,singer-songwriter,soft rock,traditional folk",0.527,0.509,7,-10.893,1,0.0628,0.6,0,0.144,0.497,138.317,4
Listen to the Music,7Ar4G7Ci11gpt6sfH9Cgz5,2019-08-02T18:35:06Z,Toulouse Street,1972,227266,74,The Doobie Brothers,39T6qqI0jDtSWWioX8eGJz,918469,73,"album rock,art rock,blues-rock,classic rock,country rock,folk rock,hard rock,heartland rock,mellow gold,psychedelic rock,rock,roots rock,singer-songwriter,soft rock,yacht rock",0.645,0.598,1,-13.18,0,0.0335,0.221,3.53e-06,0.0721,0.913,105.929,4
Piano Man,70C4NyhjD5OZUMzvWZ3njJ,2019-08-02T18:35:06Z,Piano Man (Legacy Edition),1973-11-07,339000,71,Billy Joel,6zFYqv1mOsgBRQbae3JJ9e,1951249,79,"album rock,classic rock,folk rock,mellow gold,piano rock,rock,singer-songwriter,soft rock",0.331,0.55,0,-6.483,1,0.0272,0.605,3.96e-06,0.192,0.429,177.734,3
Have You Ever Seen The Rain,2LawezPeJhN4AWuSB0GtAU,2019-08-02T18:35:06Z,Pendulum (40th Anniversary Edition),1970-12-07,160133,75,Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd,2824723,80,"album rock,classic rock,rock,roots rock,southern rock",0.741,0.697,0,-7.028,1,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,4
Africa,2374M0fQpWi3dLnB54qaLX,2019-08-02T18:35:06Z,Toto IV,1982-04-08,295893,82,Toto,0PFtn5NtBbbUNbU9EAmIWF,1131362,77,"album rock,mellow gold,rock,soft rock,yacht rock",0.671,0.373,9,-18.064,1,0.0323,0.257,7.95e-05,0.0481,0.732,92.717,4
Don't You (Forget About Me),4aWn4NHlELpOehxsBaQeoe,2019-08-02T18:35:06Z,Once Upon A Time (Deluxe),1985,263040,70,Simple Minds,6hN9F0iuULZYWXppob22Aj,819010,71,"art rock,dance rock,mellow gold,new romantic,new wave,new wave pop,rock,scottish new wave,soft rock,synthpop",0.66,0.816,2,-6.61,1,0.0299,0.168,0.0181,0.0608,0.678,111.346,4
Give A Little Bit,6XUHsYE38CEbYunT983O9G,2019-08-02T18:35:06Z,Even In The Quietest Moments,1977-01-01,248173,72,Supertramp,3JsMj0DEzyWc0VDlHuy9Bx,1317261,73,"album rock,art rock,classic rock,folk rock,glam rock,mellow gold,piano rock,progressive rock,rock,soft rock",0.531,0.818,2,-5.358,1,0.0452,0.0694,0.0096,0.263,0.471,90.767,4
Walk Of Life,4xxB8QUtn8rF4Z2yaRICqp,2019-08-02T18:35:06Z,The Best of Dire Straits & Mark Knopfler - Private Investigations (Limited Edition),2005-11-07,248906,17,Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,2637317,78,"album rock,classic rock,mellow gold,rock,soft rock",0.437,0.96,4,-4.461,1,0.154,0.356,0.000143,0.163,0.772,172.377,4
Hey Jude - Remastered 2015,0aym2LBJBk9DAYuHHutrIl,2019-08-02T18:35:06Z,1 (Remastered),2000-11-13,425653,77,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,13077630,90,"british invasion,merseybeat,psychedelic rock,rock",0.386,0.607,10,-7.7,1,0.0261,0.0112,1.38e-05,0.088,0.532,147.207,4
Wild World,269OfNY9Je1QWaDnu31KKp,2019-08-02T18:35:06Z,Tea for the Tillerman (Deluxe Edition),1970-11-23,200173,27,Yusuf / Cat Stevens,08F3Y3SctIlsOEmKd6dnH8,821702,74,"british folk,folk,folk rock,mellow gold,rock,singer-songwriter,soft rock",0.484,0.508,0,-9.308,1,0.0364,0.376,0.000791,0.0961,0.554,151.867,4
Wouldn't It Be Nice - Stereo Mix,2Gy7qnDwt8Z3MNxqat4CsK,2019-08-02T18:35:06Z,Pet Sounds (Original Mono & Stereo Mix Versions),1966-06-16,153240,71,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,2076391,77,"baroque pop,brill building pop,folk rock,psychedelic rock,rock,sunshine pop",0.392,0.629,5,-7.056,1,0.0335,0.718,3.76e-06,0.129,0.72,124.511,4
Dancing In the Dark,7FwBtcecmlpc1sLySPXeGE,2019-08-02T18:35:06Z,Born In The U.S.A.,1984-06-04,241306,74,Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,2417206,80,"heartland rock,mellow gold,permanent wave,rock,singer-songwriter",0.527,0.942,1,-5.64,0,0.0366,0.0115,0,0.188,0.495,148.723,4
Cecilia - Single Mix,11CeyEFt21BvAICfd4U8FA,2019-08-02T18:35:06Z,Greatest Hits,1972-06-14,169560,35,Simon & Garfunkel,70cRZdQywnSFp9pnc2WTCE,2073604,76,"folk,folk rock,folk-pop,melancholia,mellow gold,rock",0.675,0.849,0,-9.68,1,0.0386,0.409,1.31e-05,0.0916,0.965,104.765,4
More Than a Feeling,1QEEqeFIZktqIpPI4jSVSF,2019-08-02T18:35:06Z,Boston,1976,285133,76,Boston,29kkCKKGXheHuoO829FxWK,1118281,71,"album rock,art rock,classic rock,hard rock,mellow gold,rock,soft rock",0.377,0.682,7,-8.039,1,0.0299,0.000894,0.00217,0.0504,0.288,108.736,4
You're so Vain,2DnJjbjNTV9Nd5NOa1KGba,2019-08-02T18:35:06Z,No Secrets,1972,258411,73,Carly Simon,4FtSnMlCVxCswABUmdhwpm,428436,67,"adult standards,classic uk pop,folk,folk rock,mellow gold,singer-songwriter,soft rock",0.659,0.678,0,-8.18,1,0.0313,0.157,6.69e-06,0.0784,0.647,106.186,4
Easy - Single Version,3sOzkkTNuvEj01mJH0GSFi,2019-08-02T18:35:06Z,Motown 50,2008-12-01,258839,30,Commodores,6twIAGnYuIT1pncMAsXnEm,756129,72,"adult standards,classic soul,disco,funk,mellow gold,motown,quiet storm,soft rock,soul",0.591,0.498,10,-10.246,0,0.0308,0.416,0.0108,0.0648,0.298,132.611,4
Start Me Up - Remastered,7HKez549fwJQDzx3zLjHKC,2019-08-02T18:35:06Z,Tattoo You (2009 Re-Mastered),1981-08-24,213066,74,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,7179635,83,"album rock,british invasion,classic rock,protopunk,rock",0.638,0.928,5,-4.078,1,0.0388,0.0531,0.11,0.0875,0.966,122.428,4
Mrs. Robinson,6J1sj9dcEM91H80NIz1Gpo,2019-08-02T18:35:06Z,The Collection,2002-10-14,242600,33,Simon & Garfunkel,70cRZdQywnSFp9pnc2WTCE,2073604,76,"folk,folk rock,folk-pop,melancholia,mellow gold,rock",0.61,0.466,6,-13.331,0,0.0426,0.772,1.33e-05,0.0932,0.836,91.965,4
You Make My Dreams,4o6BgsqLIBViaGVbx5rbRk,2019-08-02T18:35:06Z,Voices,1980,190626,76,Daryl Hall & John Oates,77tT1kLj6mCWtFNqiOmP9H,905782,76,"album rock,classic rock,folk rock,mellow gold,rock,soft rock,yacht rock",0.751,0.501,5,-12.151,1,0.0552,0.234,0.112,0.0467,0.902,167.058,4
I'm Still Standing,0lzpfrTARexLFXEACKSXTh,2019-08-02T18:35:06Z,Rocket Man (Deluxe Edition),2007-03-26,181786,24,Elton John,3PhoLpVuITZKcymswpck5b,3390942,85,"glam rock,mellow gold,piano rock,rock",0.489,0.927,10,-6.298,0,0.17,0.455,0.00165,0.305,0.79,177.354,4
My Life,4ZoBC5MhSEzuknIgAkBaoT,2019-08-02T18:35:06Z,52nd Street,1978-10-13,284000,60,Billy Joel,6zFYqv1mOsgBRQbae3JJ9e,1951249,79,"album rock,classic rock,folk rock,mellow gold,piano rock,rock,singer-songwriter,soft rock",0.741,0.647,2,-12.878,1,0.0427,0.108,0.00139,0.0555,0.804,131.097,4
The Boys Of Summer,4gvea7UlDkAvsJBPZAd4oB,2019-08-02T18:35:06Z,Building The Perfect Beast,1984-01-01,288733,74,Don Henley,5dbuFbrHa1SJlQhQX9OUJ2,590229,68,"album rock,art rock,classic rock,folk,folk rock,heartland rock,mellow gold,new wave pop,pop rock,rock,roots rock,singer-songwriter,soft rock,yacht rock",0.522,0.559,6,-13.641,1,0.0387,0.546,0.00565,0.188,0.908,176.894,4
Come On Eileen,2Hw2JEL4tjdcX8aERfIdBF,2019-08-02T18:35:06Z,St. Paddys Day,2018-03-09,283000,70,Dexys Midnight Runners,4QTVePrFu1xuGM9K0kNXkk,107974,68,"bow pop,dance rock,new wave pop",0.45,0.674,2,-6.722,1,0.0485,0.658,4.29e-06,0.404,0.72,106.959,4
I'm On Fire,3PzsbWSQdLCKDLxn7YZfkM,2019-08-02T18:35:06Z,Born In The U.S.A.,1984-06-04,155880,71,Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,2417206,80,"heartland rock,mellow gold,permanent wave,rock,singer-songwriter",0.62,0.446,1,-14.451,0,0.0347,0.589,0.0299,0.0727,0.868,88.591,4
Baba O'Riley,3qiyyUfYe7CRYLucrPmulD,2019-08-02T18:35:06Z,Who's Next,1971-08-14,300000,75,The Who,67ea9eGLXYMsO2eYQRui3w,2694269,75,"album rock,art rock,british invasion,classic rock,folk rock,hard rock,mellow gold,protopunk,rock,roots rock",0.494,0.722,5,-8.373,1,0.0347,0.287,0.186,0.283,0.156,117.312,4
We Didn't Start the Fire,3Cx4yrFaX8CeHwBMReOWXI,2019-08-02T18:35:06Z,Storm Front,1989-10-17,287733,71,Billy Joel,6zFYqv1mOsgBRQbae3JJ9e,1951249,79,"album rock,classic rock,folk rock,mellow gold,piano rock,rock,singer-songwriter,soft rock",0.712,0.967,7,-5.206,1,0.047,0.0771,0,0.356,0.895,145.024,4
"December, 1963 [Oh What A Night!] (45 Version)",4nuPrKithHbRJXuA9spwu4,2019-08-02T18:35:06Z,"December, 1963 [Oh What A Night] / Slip Away [Digital 45]",1975,201093,62,Frankie Valli & The Four Seasons,6mcrZQmgzFGRWf7C0SObou,289314,67,"adult standards,brill building pop,bubblegum pop,doo-wop,folk rock,motown,northern soul,rock-and-roll,rockabilly",0.729,0.6,1,-9.527,1,0.0255,0.0663,7.86e-06,0.0382,0.964,104.414,4
Learning To Fly,17S4XrLvF5jlGvGCJHgF51,2019-08-02T18:35:06Z,Into The Great Wide Open,1991-01-01,242106,68,Tom Petty and the Heartbreakers,4tX2TplrkIP4v05BNC903e,1069099,73,"album rock,classic rock,folk rock,hard rock,heartland rock,mellow gold,pop rock,psychedelic rock,rock,roots rock,singer-songwriter,soft rock",0.651,0.766,0,-9.935,1,0.0299,0.206,0.00103,0.362,0.949,116.74,4
Running on Empty,4MZEZz8MqVgvIMXU6AVP22,2019-08-02T18:35:06Z,Running on Empty,1977-12-06,298093,68,Jackson Browne,5lkiCO9UQ8B23dZ1o0UV4m,525567,68,"album rock,art rock,classic rock,country rock,folk,folk rock,heartland rock,mellow gold,piano rock,pop rock,rock,roots rock,singer-songwriter,soft rock,traditional folk",0.531,0.948,9,-5.438,1,0.0568,0.006,0.0117,0.694,0.498,136.891,4
Faith - Remastered,0HEmnAUT8PHznIAAmVXqFJ,2019-08-02T18:35:06Z,Faith,1987-10-30,193200,72,George Michael,19ra5tSw0tWufvUp8GotLo,1860036,76,"dance rock,europop,new wave pop,soft rock",0.887,0.48,11,-11.994,1,0.117,0.0094,3.58e-05,0.0662,0.607,95.846,4
Rebel Rebel - 1999 Remaster,66lOpKgTyFjOrac4S1s94g,2019-08-02T18:35:06Z,Diamond Dogs (30th Anniversary Edition),1974-04-24,269360,21,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,4355779,82,"album rock,art rock,classic rock,dance rock,glam rock,new wave,permanent wave,protopunk,rock",0.676,0.92,9,-7.96,1,0.0435,0.00101,8.65e-06,0.248,0.624,126.341,4
Born to Run,6hTcuIQa0sxrrByu9wTD7s,2019-08-02T18:35:06Z,Born To Run,1975-08-25,269920,71,Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,2417206,80,"heartland rock,mellow gold,permanent wave,rock,singer-songwriter",0.27,0.944,4,-4.199,1,0.0975,0.00501,2.05e-05,0.116,0.606,146.347,4
Should I Stay or Should I Go - Remastered,3v8PlUFGQQDBIk1J86waCo,2019-08-02T18:35:06Z,Hits Back,2013-08-23,188240,67,The Clash,3RGLhK1IP9jnYFH4BRFJBS,1624802,75,"classic rock,dance rock,new wave,permanent wave,punk,rock",0.742,0.844,2,-6.441,1,0.111,0.0838,0,0.418,0.85,113.371,4
Brass in Pocket,6YrHQ3Uv9YXK2gJNVTlT8P,2019-08-02T18:35:06Z,Original Album Series,2011-11-04,184093,57,Pretenders,0GByy3DcfbQwDvXGCWmzv9,552204,67,"album rock,art rock,classic rock,dance rock,folk,folk rock,folk-pop,lilith,mellow gold,new romantic,new wave,new wave pop,permanent wave,pop rock,rock,roots rock,soft rock",0.766,0.655,9,-6.677,1,0.0324,0.721,0,0.243,0.815,97.771,4
The Logical Song - Remastered 2010,6mHOcVtsHLMuesJkswc0GZ,2019-08-02T18:35:06Z,Breakfast In America (Deluxe Edition),1979-03-29,251253,69,Supertramp,3JsMj0DEzyWc0VDlHuy9Bx,1317261,73,"album rock,art rock,classic rock,folk rock,glam rock,mellow gold,piano rock,progressive rock,rock,soft rock",0.625,0.758,5,-6.213,0,0.0463,0.512,0.00022,0.153,0.695,119.719,4
Heroes - 1999 Remaster,5j6ZZwA9BnxZi5Bk0Ng4jB,2019-08-02T18:35:06Z,Heroes,1977-10-14,370373,23,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,4355779,82,"album rock,art rock,classic rock,dance rock,glam rock,new wave,permanent wave,protopunk,rock",0.478,0.774,7,-6.977,1,0.0292,0.000265,0.585,0.191,0.429,112.577,4
Glory Days,2Y90nL1ohB4sgYELDs7uNx,2019-08-02T18:35:06Z,Born In The U.S.A.,1984-06-04,254733,66,Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,2417206,80,"heartland rock,mellow gold,permanent wave,rock,singer-songwriter",0.574,0.96,9,-4.906,1,0.032,0.0457,0,0.121,0.978,117.486,4
All Right Now,7IhkWF9zpiYKlU7CxHxYT9,2019-08-02T18:35:06Z,Fire And Water (Deluxe Edition),2008-01-01,332906,21,Free,2e53aHBQdCMKWqHDuyJsjC,213118,62,"album rock,art rock,blues-rock,british blues,classic rock,classic uk pop,electric blues,folk rock,hard rock,psychedelic rock,rock,roots rock",0.766,0.446,2,-13.079,1,0.0867,0.25,0.000704,0.318,0.743,119.774,4
Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,2019-08-02T18:35:06Z,Rumours (Super Deluxe),1977-02-04,257800,77,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,3532083,83,"album rock,classic rock,mellow gold,rock,soft rock,yacht rock",0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4
I Want You to Want Me,1JkZg3eMQTmTn93E8Yd3UL,2019-08-02T18:35:06Z,In Color,1977-09,191226,68,Cheap Trick,1LB8qB5BPb3MHQrfkvifXU,623879,67,"album rock,art rock,classic rock,dance rock,glam metal,glam rock,hard rock,heartland rock,mellow gold,new wave pop,pop rock,power pop,rock,soft rock",0.806,0.462,2,-12.778,1,0.0298,0.78,0.0134,0.15,0.736,92.726,4
Jack & Diane,43btz2xjMKpcmjkuRsvxyg,2019-08-02T18:35:06Z,American Fool,1982,254493,72,John Mellencamp,3lPQ2Fk5JOwGWAF3ORFCqH,614778,70,"album rock,classic rock,folk rock,heartland rock,mellow gold,pop rock,rock,singer-songwriter,soft rock",0.807,0.419,9,-8.189,1,0.0426,0.044,4.99e-06,0.0952,0.613,103.967,4
American Girl,7MRyJPksH3G2cXHN8UKYzP,2019-08-02T18:35:06Z,Tom Petty & The Heartbreakers,1976-11-09,214733,72,Tom Petty and the Heartbreakers,4tX2TplrkIP4v05BNC903e,1069099,73,"album rock,classic rock,folk rock,hard rock,heartland rock,mellow gold,pop rock,psychedelic rock,rock,roots rock,singer-songwriter,soft rock",0.55,0.824,2,-5.988,1,0.0334,0.448,0.000127,0.366,0.777,114.512,4
Escape (The Pina Colada Song),5IMtdHjJ1OtkxbGe4zfUxQ,2019-08-02T18:35:06Z,Partners In Crime,1979-01-01,276493,69,Rupert Holmes,0TqIPD4IS1w4e30R38B3vj,33924,64,"soft rock,yacht rock",0.834,0.496,0,-13.653,1,0.0597,0.501,3.07e-06,0.0449,0.944,138.791,4
I Won't Back Down,7gSQv1OHpkIoAdUiRLdmI6,2019-08-02T18:35:06Z,Full Moon Fever,1989-01-01,178360,69,Tom Petty,2UZMlIwnkgAEDBsw1Rejkn,945547,73,"album rock,classic rock,folk rock,heartland rock,mellow gold,pop rock,rock,roots rock,singer-songwriter,soft rock",0.783,0.502,7,-13.395,1,0.0325,0.0512,3.15e-06,0.156,0.962,114.02,4
Everybody Wants To Rule The World,4RvWPyQ5RL0ao9LPZeSouE,2019-08-02T18:35:06Z,Songs From The Big Chair (Super Deluxe Edition),1985-02-25,251488,78,Tears For Fears,4bthk9UfsYUYdcFyqxmSUU,1251819,73,"dance rock,new romantic,new wave,new wave pop,permanent wave,rock,soft rock,synthpop",0.638,0.8,7,-12.077,1,0.0572,0.372,0.00553,0.113,0.569,112.055,4
Kokomo,2STQAr3BRiAeeveJ07gZh7,2019-08-02T18:35:06Z,50 Big Ones: Greatest Hits,2012-01-01,217093,64,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,2076391,77,"baroque pop,brill building pop,folk rock,psychedelic rock,rock,sunshine pop",0.683,0.637,0,-10.256,1,0.032,0.0103,0,0.245,0.931,115.577,4
