track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Dancing With A Stranger (With Normani) - Cheat Codes Remix,0GfS3y8Jd7SHWd9R51s7Fo,2019-05-22T17:08:01Z,Dancing With A Stranger (With Normani) [Cheat Codes Remix],2019-03-08,159404,67,Sam Smith,2wY79sveU1sp5g7SokKOiI,8520035,90,"pop,post-teen pop",0.746,0.557,1,-6.722,1,0.0542,0.103,0.0036,0.138,0.324,111.961,4
Happy Now - R3HAB Remix,7AkLPOwjju8taQCJCaIUts,2019-05-22T17:08:01Z,Happy Now (R3HAB Remix),2019-02-01,189268,67,Kygo,23fqKkggKUBHNkbKtXEls4,4872094,88,"edm,pop,tropical house",0.623,0.84,9,-5.446,1,0.123,0.0173,0,0.363,0.539,123.068,4
Beach House - Ashworth Remix,5tjpOTsbVVbqWRQuymGnuy,2019-05-22T17:08:01Z,Beach House (Ashworth Remix),2018-12-08,204453,56,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,12218990,90,"electropop,pop,tropical house",0.772,0.707,0,-7.031,1,0.0507,0.0521,3.96e-06,0.0719,0.403,112.032,4
Happier - Matt Medved Remix,508lUjbGcPrL0CfvHC7UvI,2019-05-22T17:08:01Z,Happier (Remixes Pt. 2),2018-11-30,170163,58,Marshmello,64KEffDW9EtZ1y2vBYgq8T,12165436,92,"brostep,egyptian pop,progressive electro house",0.816,0.833,5,-5.972,1,0.0511,0.126,9.09e-06,0.0625,0.793,122.032,4
High Hopes - Don Diablo Remix,1FlIzyCvRFQUE4pc7PiaIo,2019-05-22T17:08:01Z,High Hopes (Don Diablo Remix),2019-01-11,185714,66,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,6916381,88,"emo,modern rock,pop punk",0.59,0.888,5,-2.851,1,0.0765,0.0216,0,0.487,0.288,126.094,4
Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,3TjLsDgL0bTbSQIF6M5Ki8,2019-05-22T17:08:01Z,Say My Name (feat. Bebe Rexha & J Balvin) [Lucas & Steve Remix],2018-12-28,189374,63,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,18656690,90,"dance pop,edm,pop",0.678,0.747,10,-5.289,0,0.165,0.0395,0,0.174,0.516,120.002,4
Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,1zzOMDmkRZy0g9f4JTAZKn,2019-05-22T17:08:01Z,Close To Me (Remixes),2019-02-01,175000,46,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,6483674,86,"dance pop,electropop,metropopolis,pop,post-teen pop,r&b,tropical house",0.663,0.905,1,-3.781,0,0.0511,0.0325,0,0.333,0.397,125.996,4
Giant (with Rag'n'Bone Man) - Audien Remix,43IWqSUbgHujwQ6YFGVPth,2019-05-22T17:08:01Z,Giant (with Rag'n'Bone Man) [Remixes],2019-03-08,213333,63,Calvin Harris,7CajNmpbOovFoOoasH2HaY,16688050,90,"edm,electro house,house,pop,progressive house,uk dance",0.698,0.792,1,-3.583,0,0.0418,0.0296,3.9e-05,0.0925,0.333,125.976,4
Here With Me,5icOoE6VgqFKohjWWNp0Ac,2019-05-22T17:08:01Z,Here With Me,2019-03-08,156346,92,Marshmello,64KEffDW9EtZ1y2vBYgq8T,12165436,92,"brostep,egyptian pop,progressive electro house",0.791,0.565,5,-3.933,0,0.0439,0.0623,0,0.156,0.181,99.961,4
Signs - Eden Prince Remix,4YaU1EjXIkdRdkOI4cCZys,2019-05-22T17:08:01Z,Signs (Eden Prince Remix),2018-11-30,172000,53,Starley,02A3cEvlLLCbIMVDrK2GHV,62494,67,aussietronica,0.702,0.814,0,-7.51,0,0.0841,0.107,3.03e-05,0.374,0.503,121.993,4
Only Want You - Sam Feldt Remix,2wOVXsIRIoniqipE9I5ZVx,2019-05-22T17:08:01Z,Only Want You (Sam Feldt Remix),2019-04-05,179150,62,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,4284160,87,"dance pop,pop,post-teen pop,r&b,tropical house,uk pop",0.578,0.786,9,-4.665,1,0.13,0.232,0.000106,0.122,0.347,105.945,4
Think About You,3Kuu5vASpXK8oRsxOvau6P,2019-05-22T17:08:01Z,Think About You,2019-02-14,208566,79,Kygo,23fqKkggKUBHNkbKtXEls4,4872094,88,"edm,pop,tropical house",0.673,0.596,10,-7.891,1,0.0354,0.166,0,0.11,0.19,123.969,4
I Found You (with Calvin Harris),5sdb5pMhcK44SSLsj1moUh,2019-05-22T17:08:01Z,I Found You (with Calvin Harris),2018-11-02,191495,76,benny blanco,5CiGnKThu5ctn9pBxv7DGa,246577,84,"dance pop,pop,tropical house",0.775,0.872,6,-4.194,1,0.0469,0.033,0.0579,0.298,0.379,122.994,4
Rise - Retrovision Remix,749MvEtNXKsgfq5trXJUbk,2019-05-22T17:08:01Z,"Rise (Remixes, Pt. 2)",2018-08-14,190182,57,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,1930786,85,"dance pop,edm,pop,tropical house,uk dance",0.721,0.745,1,-4.31,1,0.127,0.15,0,0.334,0.541,125.088,4
I'm With You (feat. Hannah Jane Lewis) - DAZZ Remix,4Q88Jn7W1Cjr8CJ4oZo1Hi,2019-05-22T17:08:01Z,I'm With You (feat. Hannah Jane Lewis) [Remixes],2018-12-03,152903,56,Hight,34SBu2kvAUh84umN8Pi0iI,1452,57,uk dance,0.376,0.922,9,-3.516,1,0.195,0.00368,1.3e-05,0.359,0.454,123.62,4
Side Effects - Fedde Le Grand Remix,7FDaS1k08rwMoAThmzUkOZ,2019-05-22T17:08:01Z,Side Effects - Remixes,2018-07-25,172360,66,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,12218990,90,"electropop,pop,tropical house",0.633,0.854,0,-4.046,0,0.0432,0.0382,2.83e-05,0.434,0.659,126.026,4
Selfish,6xUy203RnyyOfbqf96Nven,2019-05-22T17:08:01Z,Selfish,2019-02-15,167857,71,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,2413394,76,"belgian dance,belgian edm,big room,dance pop,deep big room,edm,electro house,progressive electro house,tropical house",0.407,0.789,7,-4.229,0,0.282,0.17,0,0.126,0.687,92.933,4
Mama (feat. Ellie Goulding) - Tiësto’s Big Room Remix,3Mong1BzxMKwTZ0SbfLdcQ,2019-05-22T17:08:01Z,Mama (feat. Ellie Goulding) [Tiësto’s Big Room Remix],2019-03-08,156167,66,Clean Bandit,6MDME20pz9RveH9rEXvrOM,2734969,83,"dance pop,edm,pop,post-teen pop,tropical house,uk dance,uk funky",0.684,0.95,1,-2.588,0,0.0809,0.0207,1.25e-06,0.105,0.436,125.974,4
Sweet but Psycho - Morgan Page Remix,1gwwks3lIsvJq5pDJ82fKK,2019-05-22T17:08:01Z,Sweet but Psycho (The Remixes),2019-03-04,226875,54,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,336530,85,"dance pop,pop,post-teen pop",0.645,0.795,1,-5.439,1,0.0343,0.0334,1.05e-05,0.089,0.424,127.959,4
Grip - Jay Pryor Remix,0xARbGHzPT1o5t1sFlmyO2,2019-05-22T17:08:01Z,Grip (Jay Pryor Remix),2019-02-08,186666,59,Seeb,5iNrZmtVMtYev5M9yoWpEq,123963,77,"dance pop,edm,norwegian pop,pop,pop edm,tropical house",0.664,0.967,1,-2.055,0,0.0757,0.0883,2.42e-05,0.175,0.609,125.943,4
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),7Feaw9WAEREY0DUOSXJLOM,2019-05-22T17:08:01Z,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2019-04-25,163804,88,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10106503,87,"big room,edm,pop,progressive house,tropical house",0.661,0.723,5,-6.976,0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,4
No New Friends,3Y7a0typ6ik1KscmebXd6D,2019-05-22T17:08:01Z,No New Friends,2019-03-14,175823,72,Sia,5WUlDfRSoLAfcVSX1WnrxN,11989894,89,"australian dance,australian pop,dance pop,pop",0.724,0.702,7,-4.622,1,0.0429,0.0648,0.000256,0.121,0.688,106.044,4
Promises (with Sam Smith) - David Guetta Remix,3Lv3frZVXU7Q0JEFvLIzWW,2019-05-22T17:08:01Z,Promises (with Sam Smith) [Remixes],2018-10-19,190416,65,Calvin Harris,7CajNmpbOovFoOoasH2HaY,16688050,90,"edm,electro house,house,pop,progressive house,uk dance",0.588,0.697,3,-4.744,0,0.0372,0.186,0.000219,0.103,0.225,125.157,4
Body On My,6e0CvGZf7CouOpYF8toXHC,2019-05-22T17:08:01Z,Body On My,2019-03-29,192506,67,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,108900,78,"dance pop,edm,pop,pop edm,tropical house",0.744,0.726,1,-4.675,1,0.0463,0.0399,0,0.374,0.687,121.985,4
This Feeling - Tom Staar Remix,14NutpUNAYWbWFS7zUHCxk,2019-05-22T17:08:01Z,This Feeling - Remixes,2018-11-09,258693,51,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,12218990,90,"electropop,pop,tropical house",0.607,0.952,1,-4.711,1,0.0337,0.0122,5.5e-05,0.302,0.144,126.017,4
How You Love Me (feat. Conor Maynard & Snoop Dogg) - Mike Williams Remix,3XmDsBbjzSArIMWGcNrQhU,2019-05-22T17:08:01Z,How You Love Me (feat. Conor Maynard & Snoop Dogg) [The Remixes],2019-02-22,174265,52,Hardwell,6BrvowZBreEkXzJQMpL174,2846397,76,"big room,dance pop,deep big room,dutch house,edm,electro house,pop,progressive electro house,progressive house,tropical house",0.699,0.837,9,-2.273,0,0.125,0.122,7.67e-05,0.119,0.542,126.029,4
Headlights - Madison Mars Remix,0w6kxpXufsj7lUk79Nw9cX,2019-05-22T17:08:01Z,Headlights (Madison Mars Remix),2019-01-25,174773,54,Hellberg,1kgxTtyF91VaqLD3J6Krd5,40581,55,"catstep,chillstep,complextro,edm,electro house,pop edm,tracestep",0.408,0.979,1,-1.501,1,0.136,0.00267,0.00338,0.238,0.315,124.569,4
Done - R3hab Remix,13opctvyVx5lDygtSuEk5j,2019-05-22T17:08:01Z,Done (R3hab Remix),2018-12-14,176220,35,Nikki Vianna,5YyGLejM00snCF1RJKlocJ,1986,59,,0.563,0.902,7,-5.922,0,0.413,0.0424,7.26e-05,0.131,0.298,127.255,4
All The Lies (with Felix Jaehn & The Vamps),4Cy5f4JsH1yoeGks7FnoHw,2019-05-22T17:08:01Z,All The Lies (with Felix Jaehn & The Vamps),2019-03-15,179456,71,Alok,0NGAZxHanS9e0iNHpR8f2W,5607671,79,"brazilian edm,electro house,pop nacional",0.611,0.835,6,-4.107,1,0.139,0.167,0,0.107,0.672,102.023,4
Woke Up Late (feat. Hailee Steinfeld) - Sam Feldt Remix,4ciBIS83LHQpKf4noVKP51,2019-05-22T17:08:01Z,Woke Up Late (Sam Feldt Remix),2019-05-02,196475,35,Drax Project,6S0IvKlvPMX1RtAYtVpUV8,28773,69,"australian pop,nz pop",0.63,0.726,0,-3.753,1,0.0978,0.0717,0,0.108,0.499,122.055,4
Audio - CID Remix,3ajiUFrVUHsmU5F2pv3kzd,2019-05-22T17:08:01Z,Audio (CID Remix),2018-06-15,161973,64,Sia,5WUlDfRSoLAfcVSX1WnrxN,11989894,89,"australian dance,australian pop,dance pop,pop",0.524,0.913,3,-3.069,0,0.05,0.106,0.000131,0.177,0.644,123.936,4
Don't Worry Bout Me - Rudimental Remix,4R7ZSlYoJOIaxHJFHszQCR,2019-05-22T17:08:01Z,Don't Worry Bout Me (Rudimental Remix),2019-04-24,193137,65,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,5090308,84,"dance pop,edm,electropop,pop,post-teen pop,scandipop,swedish electropop,swedish pop,tropical house",0.728,0.848,5,-6.248,1,0.185,0.0427,4.49e-06,0.118,0.612,124.993,4
