track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
You,3vToiuX2Xqi1iMIhsDJn2s,2019-07-30T17:51:30Z,You,2014-02-18,221286,43,Galantis,4sTQVOfp9vEMCemLw50sbu,2662276,78,"big room,dance pop,edm,electro house,pop,tropical house",0.184,0.871,8,-3.245,0,0.0661,0.00837,0.167,0.15,0.21,127.972,4
Not Exactly,2WsZF0ctaT7Obz9lUBTSyQ,2019-07-30T17:51:30Z,Random Album Title,2008,555133,37,deadmau5,2CIMQHirSU0MQqyYHq0eOx,2278096,70,"big room,canadian electronic,edm,electro house,progressive house",0.799,0.556,0,-6.89,1,0.0837,0.0124,0.874,0.445,0.769,128.004,4
Innerbloom (Radio Edit),7aOXQ9XfYm5pUNJnk6BOHE,2019-07-30T17:51:30Z,Innerbloom (The Remixes),2016-10-21,238067,40,RÜFÜS DU SOL,5Pb27ujIyYb33zBqVysBkj,434169,72,"australian electropop,tropical house",0.572,0.698,3,-6.193,1,0.0328,0.211,0.152,0.106,0.0382,122.012,4
Sanctuary,2IzU1yGWWCrBXpInWmjJr5,2019-07-30T17:51:30Z,Northern Lights,2010-09-23,469253,35,Gareth Emery,0hprEC0nsWuQPSHag1O2Vi,189812,63,"big room,edm,progressive electro house,progressive house,progressive trance,trance,uplifting trance",0.694,0.603,7,-8.022,0,0.0303,0.00104,0.711,0.34,0.545,133.997,4
Bones (feat. OneRepublic),1pfgsjmxVZhoZpeDx6POKv,2019-07-30T17:51:30Z,Bones (feat. OneRepublic),2019-01-31,205792,77,Galantis,4sTQVOfp9vEMCemLw50sbu,2662276,78,"big room,dance pop,edm,electro house,pop,tropical house",0.658,0.804,0,-5.735,1,0.0377,0.00463,0,0.178,0.508,120.047,4
Don't Stop,282eOXY1rnj6BWTEBmCdVM,2019-07-30T17:51:30Z,Don't Stop,2018-06-01,187008,54,DJ D-Sol,3fzRb5i8Wn7ao2KPDxEiTR,4164,50,,0.628,0.908,4,-3.622,1,0.045,0.00197,0.19,0.235,0.882,122.024,4
Born To Be Yours,0WVAQaxrT0wsGEG4BCVSn2,2019-07-30T17:51:30Z,Born To Be Yours,2018-06-15,193320,65,Kygo,23fqKkggKUBHNkbKtXEls4,5242276,89,"edm,pop,tropical house",0.688,0.688,3,-5.84,1,0.0357,0.3,0,0.0982,0.451,114.011,4
Brazil - 2nd Edit,7lnfxRA1CxvjRcqFUG6Sl4,2019-07-30T17:51:30Z,Random Album Title,2008,397386,37,deadmau5,2CIMQHirSU0MQqyYHq0eOx,2278096,70,"big room,canadian electronic,edm,electro house,progressive house",0.562,0.624,1,-8.842,1,0.0578,0.00409,0.874,0.0606,0.174,128.012,4
The One - Radio Edit,6ulV6BN8zJe3t9JyvaEAsT,2019-07-30T17:51:30Z,The One,2015-06-29,148738,44,W&W,2rTo8KIkBTFjQS7VvaKYQ4,596859,70,"big room,deep big room,edm,electro house,progressive electro house,progressive house,progressive trance,trance,uplifting trance",0.614,0.922,2,-3.257,1,0.23,0.169,0.00664,0.197,0.615,126.025,4
Never Letting Go,5llPdGZJjJFJv9aL6ZaiLY,2019-07-30T17:51:30Z,Never Letting Go,2018-11-09,172519,62,Audien,4xnMDfgEmXZEEDdITKcGuE,127038,64,"big room,edm,electro house,pop,pop edm,progressive electro house,progressive house,tropical house",0.534,0.765,1,-3.151,1,0.0338,0.0915,0.00107,0.225,0.117,127.978,4
No One Knows Who We Are (feat. Lights),4HQYJUVY0zHdGNqMUxbjw7,2019-07-30T17:51:30Z,I Remember,2014-07-22,230028,37,Kaskade,6TQj5BFPooTa08A7pk8AQ1,711191,72,"big room,chicago house,dance pop,edm,electro house,house,pop,pop edm,progressive electro house,progressive house,tropical house,vocal house",0.393,0.835,7,-4.703,1,0.0758,0.0234,0.000331,0.0596,0.195,125.604,4
Chameleon,6400BZ7REh8DshcZKU7Pfp,2019-07-30T17:51:30Z,Chameleon,2017-08-07,198426,47,PNAU,6n28c9qs9hNGriNa72b26u,108752,66,"alternative dance,aussietronica,australian dance,australian electropop,australian pop,dance-punk,indietronica,new rave",0.723,0.931,4,-3.185,1,0.0402,0.00205,0.000356,0.273,0.206,119.988,4
Freaks - Radio Edit,4f3NHOxgC8Bg21IJBg4cZ3,2019-07-30T17:51:30Z,Freaks,2014-03-10,169160,63,Timmy Trumpet,0CbeG1224FS58EUx4tPevZ,490433,74,"australian dance,catstep,edm,melbourne bounce,melbourne bounce international",0.882,0.965,4,-0.818,1,0.13,0.0136,0.388,0.206,0.759,128.129,4
Light,74Ru27B7Jx8mBt5MGvGLLv,2019-07-30T17:51:30Z,Light,2016-11-22,240500,5,San Holo,0jNDKefhfSbLR9sFvcPLHo,487298,69,"edm,electro house,electronic trap,pop,pop edm,tropical house,vapor twitch",0.572,0.754,1,-4.148,1,0.0564,0.0949,1.86e-06,0.0985,0.423,150.068,4
Hey Hey - Radio Edit,6o4KTcGUoN8Xse2SNHorGU,2019-07-30T17:51:30Z,Hey Hey,2009-12-04,190053,44,Dennis Ferrer,0MGTHZpAGf7isSfw8yMIoi,37688,50,"afro house,chicago house,deep house,disco house,house,tribal house,uk funky,vocal house",0.728,0.868,11,-5.446,1,0.0557,0.0433,7.37e-06,0.1,0.921,126.022,4
Good Enough (Michael Brun x The Ready Set),1JlNnlac0f4LWYaLVFB2ue,2019-07-30T17:51:30Z,Good Enough (Michael Brun x The Ready Set),2016-05-20,213112,43,The Ready Set,2eRJjYEaWyGZbOBGYFLBoC,213351,55,"alternative pop rock,neon pop punk,pixie,pop emo,pop punk,post-teen pop",0.683,0.61,5,-5.203,0,0.0344,0.00937,0.00254,0.327,0.428,125.984,4
Piece Of Your Heart,5p1ex0pXv6jSPJ6QbumQpD,2019-07-30T17:51:30Z,Piece Of Your Heart,2019-02-01,152913,55,MEDUZA,0xRXCcSX89eobfrshSVdyu,36856,81,pop house,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,4
Split (Only U),5zwBmW0IbXpIA84cVHDGhe,2019-07-30T17:51:30Z,Split (Only U),2015-09-14,256640,12,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,4512924,84,"big room,brostep,dance pop,edm,electro house,house,pop,trance,tropical house",0.634,0.927,1,-3.282,1,0.136,0.048,0.687,0.0864,0.35,128.016,4
I Still Can't Stop,2ClWt2RN5FdNthxgR2VRDF,2019-07-30T17:51:30Z,Blow The Roof,2013-01-25,256147,50,Flux Pavilion,7muzHifhMdnfN1xncRLOqk,578369,67,"bass trap,brostep,dubstep,edm,electro house,electronic trap",0.661,0.855,0,-6.263,0,0.0419,0.000847,0.0186,0.206,0.124,140.02,4
Strobe - Radio Edit,0DIekYoiwwr1kkTUGmQlSL,2019-07-30T17:51:30Z,Strobe,2009,212066,51,deadmau5,2CIMQHirSU0MQqyYHq0eOx,2278096,70,"big room,canadian electronic,edm,electro house,progressive house",0.656,0.662,8,-9.345,0,0.0307,8.12e-05,0.886,0.104,0.0712,128.022,4
Faxing Berlin,2xFnqwhg3eY69bM6M7kVbv,2019-07-30T17:51:30Z,Random Album Title,2008,521653,38,deadmau5,2CIMQHirSU0MQqyYHq0eOx,2278096,70,"big room,canadian electronic,edm,electro house,progressive house",0.8,0.558,2,-9.391,0,0.0694,0.0149,0.879,0.153,0.562,127.989,4
Where'd U Go,2oL0HIuo0cxIycDtJWbpuN,2019-07-30T17:51:30Z,Awake,2017-09-21,184556,58,ILLENIUM,45eNHdiiabvmbp4erw26rg,612363,80,"edm,electropop,pop,pop edm,tropical house",0.464,0.637,2,-4.37,1,0.0694,0.0302,3.37e-05,0.0876,0.281,186.1,4
The Veldt - Radio Edit,29B5iOEsl6pMnvZke3rcIT,2019-07-30T17:51:30Z,The Veldt (feat. Chris James),2013-07-23,170066,52,deadmau5,2CIMQHirSU0MQqyYHq0eOx,2278096,70,"big room,canadian electronic,edm,electro house,progressive house",0.736,0.759,9,-7.066,1,0.0347,0.0573,0.207,0.0778,0.485,128.039,4
Easy - Radio Edit,5OSJZlfxZwR5jreQSy6r2O,2019-07-30T17:51:30Z,Easy,2013-01-01,213480,43,Mat Zo,2n7USVO8fO8FF8zq4kG2N1,96183,56,"big room,complextro,edm,electro house,progressive house,progressive trance,uplifting trance",0.494,0.882,2,-4.63,1,0.041,0.00493,0,0.128,0.292,128.008,4
Everyday - Netsky Remix,4nXfKCbDWq407E5EAPWcV0,2019-07-30T17:51:30Z,Everyday / Lick The Lizard EP,2011-04-05,251669,1,Rusko,4BTcOR2hEQZQQL5AMo5u10,229262,54,"bassline,brostep,dubstep,edm,electro house,electronic trap,moombahton",0.349,0.935,2,-5.027,1,0.0536,0.000335,0.802,0.333,0.133,173.928,4
Man On The Run - Radio Edit,0EcqJhetbjFVyJhtkdnjsY,2019-07-30T17:51:30Z,Man On The Run,2009-03-02,220444,48,Dash Berlin,1xT5p0VBpnZDrvVSjX9sri,415610,64,"big room,edm,progressive house,progressive trance,trance,uplifting trance",0.661,0.908,11,-6.181,1,0.155,0.0548,7.24e-05,0.236,0.46,135.056,4
Begin Again,19u20B0E3KO1copzKVSJxi,2019-07-30T17:51:30Z,Abandon Ship,2014-11-04,355200,39,Knife Party,2DuJi13MWHjRHrqRUwk8vH,754205,63,"australian dance,big room,brostep,complextro,edm,electro house,moombahton",0.636,0.968,8,-3.408,1,0.0596,0.000219,0.586,0.0853,0.553,127.986,4
Take Over Control (feat. Eva Simons),4iD3msRl5hJUBEtrQwnR4k,2019-07-30T17:51:30Z,Take Over Control (feat. Eva Simons),2011-01-04,220520,49,Afrojack,4D75GcNG95ebPtNvoNVXhz,2955650,76,"big room,dance pop,deep big room,dutch house,edm,electro house,pop,progressive electro house,progressive house,tropical house",0.735,0.699,0,-4.435,0,0.084,0.121,2.82e-05,0.0809,0.603,129.944,4
Midnight City - Eric Prydz Private Remix,53YYzXe4shE5FF13XBrhGz,2019-07-30T17:51:30Z,Midnight City (Eric Prydz Private Remix),2012,357241,43,M83,63MQldklfxkjYDoUE4Tppz,1561205,70,"french shoegaze,indietronica,metropopolis,neo-synthpop",0.534,0.849,11,-7.415,0,0.0678,0.00087,0.508,0.552,0.398,125.009,4
Desire - Gryffin Remix,0dy9clh4KhNnimYUHPpb34,2019-07-30T17:51:30Z,We Are Your Friends (Music From The Original Motion Picture/Deluxe),2015-08-21,268853,50,Years & Years,5vBSrE1xujD2FXYRarbAXc,1093580,75,"dance pop,gauze pop,pop,tropical house",0.55,0.854,10,-5.455,0,0.0488,0.0623,1.49e-06,0.152,0.38,122.038,4
Locked Out of Heaven - Sultan + Shepard Remix,6AIxmLiDNHFQgZstB4lzDB,2019-07-30T17:51:30Z,Locked Out Of Heaven (Remixes),2013-01-21,410859,45,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,21917098,89,"pop,post-teen pop",0.588,0.843,2,-5.25,0,0.0484,0.00481,0.0473,0.356,0.22,128.02,4
Rapture - Avicii New Generation Radio Edit,5Sr4SdwPmLhDuKMs8QviLe,2019-07-30T17:51:30Z,Rapture,2010-12-21,221543,54,Nadia Ali,1C60viSZv6BoYtrnkZ44g5,83751,56,"edm,vocal trance",0.558,0.934,10,-4.072,0,0.0355,0.0185,0.21,0.275,0.385,130.008,4
High On Life (feat. Bonn),4ut5G4rgB1ClpMTMfjoIuy,2019-07-30T17:51:30Z,High On Life (feat. Bonn),2018-07-29,230761,76,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10939761,88,"big room,edm,pop,progressive house,tropical house",0.414,0.486,6,-6.431,0,0.0311,0.0129,0,0.111,0.368,128.038,4
Wakanda (Radio Edit),0ckWBCkfbtg6WrrUXCtFSd,2019-07-30T17:51:30Z,Wakanda,2013-04-09,182769,37,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,2509727,80,"belgian dance,belgian edm,big room,deep big room,edm,electro house,progressive electro house,tropical house",0.581,0.97,5,-2.077,0,0.0757,0.000333,0.674,0.512,0.231,130.015,4
You Don't Know Me (feat. RAYE),6Wx0WncxNsxJnHCaKFkgrk,2019-07-30T17:51:30Z,Snacks,2018-10-12,211933,45,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,535413,81,"dance pop,edm,house,pop,tropical house,uk dance",0.879,0.662,11,-6.082,0,0.163,0.189,0,0.189,0.684,123.971,4
Promises (Myon & Shane 54 Summer Of Love Radio Edit),61MsykwIHSmwOLY2vHlDz6,2019-07-30T17:51:30Z,Promises,2011-06-20,228403,1,Andain,12hXa5arH0RHd2Ec7zjSNy,26032,45,"deep uplifting trance,progressive house,progressive trance,trance,uplifting trance,vocal trance",0.617,0.806,8,-7.466,1,0.0266,0.00802,0.141,0.223,0.44,132.004,4
