track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Moving Mountains - GATTÜSO Remix,3qBnc1nWty6LjPIjXuAigw,2019-05-23T21:26:05Z,Moving Mountains (GATTÜSO Remix),2019-03-29,182295,60,Disco Fries,7G7KvDCLdVG0Ok511Iqc9U,16111,56,"big room,deep big room,deep tropical house,edm,electro house,pop edm,progressive electro house",0.643,0.925,0,-5.642,0,0.0377,0.0488,2.82e-05,0.159,0.616,121.969,4
Nobody Like You,4A94JkVlgSHO943WyoWXc5,2019-05-23T21:26:05Z,Nobody Like You,2019-05-09,188160,48,Landis,7bSDGumYzI7Cehekr534Xn,3537,47,pop edm,0.827,0.93,3,-3.758,0,0.173,0.04,0.000343,0.105,0.306,125.007,4
It´s Not Over,142jMpGhzJl0E7twPAkbY2,2019-05-23T21:26:05Z,It´s Not Over,2019-04-19,189786,40,Mattilo,7gAYkHRXnXtaZk4QMJ5kJC,1113,31,,0.452,0.848,1,-4.036,0,0.0486,0.0294,0,0.72,0.148,127.933,4
All You Need To Know (feat. Calle Lehmann),4Gcv5SsxnQWpmOnUI19EJk,2019-05-23T21:26:05Z,All You Need To Know (feat. Calle Lehmann),2019-03-27,238458,72,Gryffin,2ZRQcIgzPCVaT9XKhXZIzh,258638,77,"dance pop,edm,electro house,indie poptimism,pop,pop edm,tropical house",0.513,0.788,0,-4.629,1,0.0364,0.00968,0,0.11,0.234,139.987,4
So Cold (feat. Lily Denning),0j1CiuNObut67Rw72mUNy0,2019-05-23T21:26:05Z,So Cold (feat. Lily Denning),2019-03-08,197520,56,Mahalo,1SeU8Y2rEUpEoeWmUCdQIR,8964,51,"deep groove house,pop edm",0.778,0.759,8,-6.228,0,0.0426,0.0913,0.0278,0.12,0.108,124.008,4
Say It Right,34BWNv96WnzWqLCvz7fOVM,2019-05-23T21:26:05Z,Say It Right,2019-03-01,191612,49,GATTÜSO,3PlRvQnVE3XAbtHUNc4nic,29265,64,pop edm,0.719,0.873,9,-3.339,1,0.0606,0.0798,1.33e-06,0.329,0.537,124.06,4
Concrete Heart,4jEJEJHmbR7WyZF6mz9Uvr,2019-05-23T21:26:05Z,Concrete Heart,2019-03-15,182659,51,VASSY,7HqEmV7FeCi16bQyHMpIrF,16331,62,australian dance,0.734,0.862,4,-2.793,0,0.115,0.271,0,0.0681,0.791,123.009,4
PROGRESSO,2LLXE4cV9Fcusx2WiSIhwC,2019-05-23T21:26:05Z,ALESSO MIXTAPE - PROGRESSO VOLUME 1,2019-03-08,299520,54,Alesso,4AVFqumd2ogHFlRbKIjp1t,2778554,81,"big room,dance pop,edm,electro house,pop,progressive electro house,tropical house",0.654,0.945,10,-3.018,0,0.032,0.000382,0.316,0.105,0.0824,125.006,4
Higher,4uQzfUUpSPtP8378Qg5aTo,2019-05-23T21:26:05Z,TOGETHER,2019-03-15,288188,56,Third Party,2J80qXI4NHKpq5RT3xUF7V,68494,58,"big room,deep big room,edm,electro house,pop edm,progressive electro house,progressive house",0.472,0.881,6,-6.182,1,0.0491,0.0081,0.111,0.366,0.24,127.014,4
Mood,169JhLk9ysWRnxgYMxJ1bl,2019-05-23T21:26:05Z,Mood,2019-04-19,168773,56,Zack Martino,2US2mjK9hW7QGSBNpprlbu,3601,60,pop edm,0.82,0.775,11,-4.618,1,0.132,0.225,0,0.166,0.291,114.964,4
Keeping Secrets,1ktmtPm0PicIcv8JQLAqEd,2019-05-23T21:26:05Z,Keeping Secrets,2019-04-26,213034,43,KANDY,4mPFPLedaotlYFB3GLn6r7,6258,39,,0.692,0.764,0,-4.239,1,0.0461,0.0133,0,0.104,0.432,124.001,4
Stay (Don't Go Away) [feat. Raye],4YhN72dRYL2Z3MsaKyT7rS,2019-05-23T21:26:05Z,Stay (Don't Go Away) [feat. Raye],2019-05-09,185942,79,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,18656697,90,"dance pop,edm,pop",0.669,0.797,9,-5.68,0,0.0624,0.259,0,0.199,0.552,119.865,4
Shameless,3V8aLu3PG14pzn281ysNVg,2019-05-23T21:26:05Z,Shameless,2019-02-22,185922,53,Sunnery James & Ryan Marciano,7kABWMhjA5GIl9PBEasBPt,38797,59,"big room,circuit,deep big room,dutch house,edm,electro house,progressive electro house",0.624,0.931,6,-5.324,0,0.0913,0.0163,0.036,0.556,0.391,125.982,4
Wait For You (feat. Maia Wright),5Gv1lrNFnL3DhiMj3JOGaX,2019-05-23T21:26:05Z,Wait For You (feat. Maia Wright),2019-05-03,172909,63,Mike Williams,3IpvVrP3VLhruTmnququq7,182050,74,"big room,deep big room,edm,electro house,future house,house,pop edm,progressive electro house,progressive house,tropical house",0.476,0.735,1,-4.166,0,0.0429,0.2,0,0.181,0.405,109.562,4
More,1wFsqkPUZdPVyxsRWFm0ww,2019-05-23T21:26:05Z,Redux 003,2019-05-10,191255,49,Kaskade,6TQj5BFPooTa08A7pk8AQ1,690995,72,"big room,chicago house,dance pop,edm,electro house,house,pop,pop edm,progressive electro house,progressive house,tropical house,vocal house",0.706,0.812,10,-5.503,1,0.0413,0.0167,0,0.368,0.482,123.025,4
