track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,2019-06-28T04:01:00Z,The Best In The World Pack,2019-06-15,205426,92,Drake,3TVXtAsR1Inumwj472S9r4,38156854,100,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.831,0.502,10,-4.045,0,0.046,0.101,0,0.122,0.101,100.541,4
The London (feat. J. Cole & Travis Scott),7DcvwMAiqKJQD1rrdfxSDx,2019-06-28T04:01:00Z,The London (feat. J. Cole & Travis Scott),2019-05-23,200106,92,Young Thug,50co4Is1HCEo8bhOyUWKpn,4125464,90,"atl hip hop,atl trap,gangster rap,hip hop,pop,pop rap,rap,trap music",0.796,0.586,4,-6.946,0,0.147,0.0247,0,0.132,0.179,97.981,4
Out The Mud,2wZjsbwmWfNVslgV5afl1L,2019-06-28T04:01:00Z,Out The Mud,2019-06-21,157816,76,Lil Baby,5f7VJjfbwm532GiveGC0ZK,2299190,90,"atl hip hop,atl trap,rap,trap music",0.746,0.497,1,-5.785,1,0.149,0.00944,8.6e-05,0.101,0.25,160.051,4
Clout (feat. Cardi B),59ywHNwwchG4nZJMLyxSzd,2019-06-28T04:01:00Z,FATHER OF 4,2019-02-22,205803,85,Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,1146541,91,"atl hip hop,pop,pop rap,rap,trap music",0.919,0.622,1,-7.384,1,0.0997,0.228,4.24e-06,0.122,0.424,140.022,4
Suge,2gwkD6igEhQbDQegRCcdoB,2019-06-28T04:01:00Z,Baby On Baby,2019-03-01,163320,90,DaBaby,4r63FhuTkUYltbVAg5TQnk,423586,87,"nc hip hop,rap,trap music",0.876,0.662,2,-6.482,0,0.426,0.0608,0,0.127,0.844,75.445,4
Rodeo,4ak7xjvBeBOcJGWFDX9w5n,2019-06-28T04:01:00Z,7 EP,2019-06-21,158706,84,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,468508,93,country rap,0.706,0.679,9,-5.614,1,0.0324,0.139,6.98e-05,0.465,0.657,140.081,4
Stripper Bowl,7mv4eldXEFbf3s3ZEfbmlC,2019-06-28T04:01:00Z,Stripper Bowl,2019-06-20,202747,74,Migos,6oMuImdp5ZcFhWP0ESe6mG,8957832,88,"atl hip hop,pop,pop rap,rap,southern hip hop,trap music",0.96,0.772,1,-4.677,1,0.219,0.062,0,0.0781,0.826,132.956,4
Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,2019-06-28T04:01:00Z,Hoodie SZN,2018-12-21,189486,89,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,3048450,90,"rap,trap music",0.581,0.662,9,-5.239,1,0.303,0.0153,0,0.111,0.434,93.023,4
MEGATRON,1ZDmxwg7Lywlx68b7SsJjj,2019-06-28T04:01:00Z,MEGATRON,2019-06-21,190746,80,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,15542849,93,"dance pop,hip pop,pop,pop rap,post-teen pop,r&b",0.893,0.641,1,-3.051,1,0.272,0.128,8.06e-05,0.086,0.771,94.017,4
Need A Stack (feat. Lil Wayne & Joyner Lucas),0bM3UGp7nctTP3cowdiDU8,2019-06-28T04:01:00Z,Indigo,2019-06-28,328800,59,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,8900467,94,"dance pop,pop,pop rap,r&b,rap"
Go Loko,3SZqA7rQvROJsCbUu2v0xa,2019-06-28T04:01:00Z,Go Loko,2019-05-03,299226,88,YG,0A0FS04o6zMoto8OKPsDwY,1759654,90,"cali rap,hip hop,pop,pop rap,rap,southern hip hop,trap music",0.88,0.67,2,-5.188,1,0.0429,0.299,5.08e-06,0.0677,0.142,100.995,4
