track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Close To Me (with Diplo) (feat. Swae Lee),5JEx7HbmvHQQswJCsoo9rA,2019-04-26T14:42:21Z,Close To Me (feat. Swae Lee),2018-10-24,182623,88,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,6424841,86,"dance pop,electropop,metropopolis,pop,post-teen pop,r&b,tropical house",0.574,0.758,1,-5.029,0,0.0621,0.0969,0,0.395,0.492,144.111,4
Sucker,4y3OI86AEP6PQoDE6olYhO,2019-04-26T14:42:21Z,Sucker,2019-03-01,181040,96,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,2124278,86,"boy band,dance pop,pop,post-teen pop",0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,4
Happy Now,4keoy2fqgwGnbWlm3ZVZFa,2019-04-26T14:42:21Z,Happy Now,2018-07-18,207029,81,Zedd,2qxJFvFYMEDqd7ui6kSAcq,4246567,85,"complextro,dance pop,edm,german techno,pop,post-teen pop,tropical house",0.503,0.741,4,-5.128,1,0.047,0.579,1.49e-06,0.0712,0.458,88.335,3
Beach House,0N8MGHEDAq29ip7RrlrTeN,2019-04-26T14:42:21Z,Sick Boy...Beach House,2018-11-16,206120,34,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,12041666,89,"dance pop,edm,electropop,pop,tropical house",0.537,0.837,0,-4.477,1,0.039,0.19,0,0.348,0.533,90.083,4
Beautiful (feat. Camila Cabello),4VUwkH455At9kENOfzTqmF,2019-04-26T14:42:21Z,Beautiful (feat. Camila Cabello),2018-08-02,180000,85,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,1431221,85,"dance pop,pop,post-teen pop",0.638,0.717,2,-4.722,1,0.0337,0.346,0,0.105,0.249,100.027,4
Happy Now,14sOS5L36385FJ3OL8hew4,2019-04-26T14:42:21Z,Happy Now,2018-10-26,211362,84,Kygo,23fqKkggKUBHNkbKtXEls4,4809663,88,"edm,pop,tropical house",0.693,0.575,9,-6.998,1,0.0801,0.374,0,0.252,0.492,117.999,4
Rewrite The Stars (with James Arthur & Anne-Marie),78nplE9X2ZGvQh3TKgvldE,2019-04-26T14:42:21Z,The Greatest Showman: Reimagined,2018-11-16,218293,78,James Arthur,4IWBUUAFIplrNtaOHcJPRM,3894900,85,"dance pop,pop,post-teen pop,talent show",0.67,0.743,10,-4.993,1,0.0393,0.237,0,0.465,0.571,125.944,4
Whenever (feat. Conor Maynard),3DGar7krWlmrXRFHBcQF6z,2019-04-26T14:42:21Z,Whenever (feat. Conor Maynard),2018-06-22,163636,79,Kris Kross Amsterdam,4LcUpNlXFEleaLlelmkv2R,71047,74,"dutch house,dutch pop,tropical house",0.734,0.765,7,-5.562,1,0.0621,0.151,0,0.231,0.518,109.989,4
No One Compares To You,2jZIfoe48eUeOEnP9Ho4h2,2019-04-26T14:42:21Z,No One Compares To You,2018-10-05,184080,44,Jack & Jack,1INuLZXjjVbcJRyWvD1iSq,921234,77,"australian pop,dance pop,indie cafe pop,pop,post-teen pop,teen pop",0.703,0.748,1,-6.047,1,0.0435,0.123,0,0.0642,0.625,111.943,4
All Night Long (All Night) - Recorded at Spotify Studios Stockholm,5LKNumPGm1bEyVroDE4rcZ,2019-04-26T14:42:21Z,Spotify Singles,2019-03-15,188166,76,Benjamin Ingrosso,7jEEE187pVG6InOxn03oA5,68936,70,"indie cafe pop,swedish pop",0.649,0.718,8,-7.101,0,0.0506,0.0106,0.000198,0.117,0.715,112.049,4
