track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Youngblood,2iUXsYOEPhVqEBwsqP70rE,2019-06-20T19:33:05Z,Youngblood (Deluxe),2018-06-15,203417,82,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,4894832,87,"boy band,dance pop,pop,post-teen pop",0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,4
Back To You,514rhnksEwHUh6LxXsQ4Y9,2019-06-20T19:33:05Z,13 Reasons Why (Season 2),2018-05-18,210240,72,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,15915488,87,"dance pop,pop,post-teen pop",0.6,0.683,6,-6.271,1,0.0493,0.0984,1.26e-06,0.11,0.494,102.036,4
One Last Time,7xoUc6faLbCqZO6fQEYprd,2019-06-20T19:33:05Z,My Everything (Deluxe),2014-08-25,197266,78,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,32620759,94,"dance pop,pop,post-teen pop",0.628,0.593,8,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.026,4
Blank Space,2sC2P3BN0IXujNaaSyDmtP,2019-06-20T19:33:05Z,1989 (Deluxe Edition),2014-10-27,231826,58,Taylor Swift,06HL4z0CvFAxyc27GXpf02,21335975,92,"dance pop,pop,post-teen pop",0.76,0.703,5,-5.412,1,0.054,0.103,0,0.0913,0.57,95.997,4
Happy Now,4keoy2fqgwGnbWlm3ZVZFa,2019-06-20T19:33:05Z,Happy Now,2018-07-18,207029,78,Zedd,2qxJFvFYMEDqd7ui6kSAcq,4519294,84,"complextro,dance pop,edm,electro house,german techno,pop,post-teen pop,tropical house",0.503,0.741,4,-5.128,1,0.047,0.579,1.49e-06,0.0712,0.458,88.335,3
Shout Out to My Ex,0YHUITU3w6ws1v8ehT264g,2019-06-20T19:33:05Z,Glory Days (Deluxe),2016-11-18,246240,17,Little Mix,3e7awlrlDSwF3iM0WBjGMp,6139022,83,"dance pop,girl group,pop,post-teen pop,r&b,talent show,uk pop",0.774,0.739,0,-4.022,1,0.0952,0.0316,5.95e-06,0.119,0.823,126.002,4
Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,2019-06-20T19:33:05Z,All Your Fault: Pt. 2,2017-08-11,163870,80,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,3828918,88,"dance pop,pop,post-teen pop",0.643,0.783,10,-6.458,1,0.0856,0.047,0,0.083,0.579,154.084,4
Treat You Better,3QGsuHI8jO1Rx4JWLUh9jd,2019-06-20T19:33:05Z,Illuminate,2017-04-20,187973,82,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,18250920,95,"canadian pop,dance pop,pop,viral pop",0.444,0.819,10,-4.078,0,0.341,0.106,0,0.107,0.747,82.695,4
Party In The U.S.A.,3E7dfMvvCLUddWissuqMwr,2019-06-20T19:33:05Z,The Time Of Our Lives (International Version),2009-01-01,202066,77,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,9274939,87,"dance pop,pop,post-teen pop",0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,4
Starving,4Ce37cRWvM1vIGGynKcs22,2019-06-20T19:33:05Z,Starving,2016-07-22,181880,78,Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,4492722,81,"dance pop,pop,post-teen pop,tropical house",0.729,0.615,4,-4.238,1,0.0647,0.378,0,0.105,0.508,99.989,4
