track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Love Someone,43CFDpciGFDm226POTLEXU,2019-05-24T20:04:24Z,Brett Eldredge,2017-08-04,211720,73,Brett Eldredge,0qSX3s5pJnAlSsgsCne8Cz,888516,70,"contemporary country,country,country road,modern country rock",0.423,0.813,9,-5.011,1,0.0507,0.218,1.62e-06,0.0732,0.421,173.995,4
Nobody,2SHbF9xWleu30pAHfOZaEn,2019-05-24T20:04:24Z,Nobody,2019-03-01,160706,55,Dylan Scott,78YqeIji3mgAS2K1Maca6x,455394,70,"contemporary country,country pop,country road,modern country rock",0.573,0.747,0,-6.46,1,0.0319,0.519,1.13e-06,0.0867,0.645,79.952,4
Thought About You,7kCXmYJeltdnCMMsfwaCsf,2019-05-24T20:04:24Z,Thought About You,2018-10-04,225694,30,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,2696456,76,"contemporary country,country,country road",0.563,0.745,2,-4.753,1,0.0288,0.24,4.96e-05,0.11,0.28,121.015,4
Love Ain't,6uVzeU47Qzg0rrMneP5BNg,2019-05-24T20:04:24Z,Love Ain't,2018-05-25,186118,72,Eli Young Band,6eKWqnckwdIlSnjaYgIyxv,490887,69,"contemporary country,country,country pop,country road,heartland rock,modern country rock,outlaw country,red dirt,texas country",0.6,0.851,11,-4.645,1,0.0388,0.00566,9.78e-06,0.0891,0.727,98.007,4
That's How You Got It,0QFvybNsiwupz72jpQWxKn,2019-05-24T20:04:24Z,That's How You Got It,2019-01-07,184746,67,John Gurney,1cn7hpmFEpidzWJySGCTJF,2755,60,country pop,0.673,0.683,4,-4.224,1,0.0321,0.00181,1.06e-05,0.099,0.824,89.984,4
Some Of It,3d1qN7AHge6BXuVPutcpI5,2019-05-24T20:04:24Z,Desperate Man,2018-10-05,195146,67,Eric Church,2IvkS5MXK0vPGnwyJsrEyV,2012492,76,"contemporary country,country,country road,modern country rock",0.56,0.736,0,-7.306,1,0.0446,0.341,9.81e-06,0.155,0.824,79.843,4
Here Tonight,7ELW8QMNYkoxWskwXMD3WW,2019-05-24T20:04:24Z,Here Tonight,2018-09-14,216533,19,Brett Young,0fiWOxhsBsQQvFDtxUQWo0,360223,75,contemporary country,0.517,0.776,11,-5.271,1,0.0362,0.0144,0,0.113,0.448,96.002,4
God's Country,1dyxS3YzBbL0t8rEVwVQ1K,2019-05-24T20:04:24Z,God's Country,2019-03-29,205106,78,Blake Shelton,1UTPBmNbXNTittyMJrNkvw,4225672,77,"contemporary country,country,country road",0.538,0.752,10,-5.106,1,0.0396,0.0608,5.39e-06,0.118,0.217,139.984,4
I Don't Know About You,3yOs8FffuG6hPbzQG9lIqV,2019-05-24T20:04:24Z,Laps Around The Sun,2018-07-13,207933,74,Chris Lane,68abRTdO4meYReMWHvBYb0,221716,68,contemporary country,0.594,0.808,1,-5.749,1,0.0615,0.601,0,0.119,0.73,144.028,4
Take It From Me,7JK0nPw98vJmgEElMUfg5v,2019-05-24T20:04:24Z,Take It From Me,2017-10-20,174254,69,Jordan Davis,77kULmXAQ6vWer7IIHdGzI,116017,70,"contemporary country,country pop",0.598,0.893,10,-3.136,1,0.0497,0.0227,0,0.352,0.667,100.031,4
