track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Higher Love,6oJ6le65B3SEqPwMRNXWjY,2019-08-23T04:01:00Z,Higher Love,2019-06-28,228267,89,Kygo,23fqKkggKUBHNkbKtXEls4,5341254,89,"edm,pop,tropical house",0.693,0.678,8,-7.159,1,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,4
Señorita,0TK2YIli7K1leLovkQiNik,2019-08-23T04:01:00Z,Señorita,2019-06-21,190960,100,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,19302322,96,"canadian pop,pop,viral pop",0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,4
Good As Hell,6uAm7pG66O1XesXS9bpHSF,2019-08-23T04:01:00Z,Good As Hell,2016-03-11,159011,86,Lizzo,56oDRnqbIiwx4mymNEv7dS,819289,89,"escape room,minnesota hip hop,pop,trap queen",0.684,0.905,0,-3.187,0,0.0765,0.285,0,0.525,0.492,95.985,4
Take Me Back to London (feat. Stormzy),1AI7UPw3fgwAFkvAlZWhE0,2019-08-23T04:01:00Z,No.6 Collaborations Project,2019-07-12,189733,83,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,49645460,100,"pop,uk pop",0.885,0.762,8,-5.513,0,0.216,0.219,0,0.162,0.605,138.059,4
3 Nights,1tNJrcVe6gwLEiZCtprs1u,2019-08-23T04:01:00Z,"Don't Forget About Me, Demos",2018-10-16,177666,86,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,139064,78,alternative pop rock,0.815,0.518,7,-6.594,0,0.0897,0.223,0,0.104,0.877,151.891,4
Mad Love,79JBjIq90BrQ8Ws0pUhlzD,2019-08-23T04:01:00Z,Mad Love,2019-06-07,169813,85,Mabel,1MIVXf74SZHmTIp4V4paH4,373593,84,"dance pop,pop,post-teen pop,tropical house,uk pop",0.622,0.796,0,-2.999,0,0.172,0.667,0,0.106,0.62,197.705,4
Outnumbered,6UjZ2Yx2g2a52XxiA8ONxZ,2019-08-23T04:01:00Z,Outnumbered,2019-06-13,245699,81,Dermot Kennedy,5KNNVgR6LBIABRIomyCwKJ,329719,78,"indie folk,uk pop",0.614,0.684,0,-5.79,1,0.157,0.247,0,0.0976,0.258,156.85,4
Castles,3V6BdKbbmSZhFiqgxcXq6i,2019-08-23T04:01:00Z,Castles,2019-05-31,211838,71,Freya Ridings,5pDjmC5mRl7vDJhsjVwNfk,128144,74,"pop,uk pop",0.672,0.753,4,-4.863,1,0.0832,0.00472,0.000496,0.0559,0.421,116.948,4
Harder,6X1CDSn0NoJMwDWc3VCr3i,2019-08-23T04:01:00Z,Harder,2019-07-12,159753,44,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,552742,81,"dance pop,edm,house,pop,tropical house,uk dance,uk pop",0.906,0.832,5,-3.004,0,0.0718,0.0909,0,0.152,0.751,104.03,4
Wish You Well,1yAPglN5AGf7UoLK062ZYq,2019-08-23T04:01:00Z,Wish You Well,2019-05-24,205653,80,Sigala,1IueXOQyABrMOprrzwQJWN,901336,79,"dance pop,edm,pop,tropical house,uk pop",0.669,0.895,5,-3.787,0,0.0575,0.128,0,0.297,0.576,124.964,4
How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,2019-08-23T04:01:00Z,How Do You Sleep?,2019-07-19,202204,93,Sam Smith,2wY79sveU1sp5g7SokKOiI,9471877,92,pop,0.477,0.682,1,-4.931,0,0.0925,0.153,0,0.0763,0.345,110.567,5
Location (feat. Burna Boy),3z4CGd63tpUn9a6oQSG0CI,2019-08-23T04:01:00Z,PSYCHODRAMA,2019-03-08,241293,79,Dave,6Ip8FS7vWT1uKkJSweANQK,477566,81,uk hip hop,0.812,0.496,9,-5.969,0,0.297,0.271,0,0.0955,0.55,109.979,4
Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,2019-08-23T04:01:00Z,Beautiful People (feat. Khalid),2019-06-28,197866,93,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,49645460,100,"pop,uk pop",0.64,0.648,5,-8.113,0,0.187,0.124,0,0.0802,0.548,92.977,4
Post Malone (feat. RANI),0qc4QlcCxVTGyShurEv1UU,2019-08-23T04:01:00Z,Magnets EP,2019-05-24,174444,86,Sam Feldt,20gsENnposVs2I4rQ5kvrf,392030,81,"deep tropical house,edm,pop,pop edm,tropical house",0.59,0.642,7,-3.87,1,0.122,0.0771,0,0.105,0.651,107.356,4
Ritual,3M9Apu4OZfylLTFKvgEtKa,2019-08-23T04:01:00Z,Ritual,2019-05-31,198995,85,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,4558593,85,"big room,brostep,dance pop,edm,electro house,house,pop,trance,tropical house",0.647,0.726,3,-4.389,0,0.0552,0.157,0,0.0844,0.767,114.996,4
Never Really Over,5PYQUBXc7NYeI1obMKSJK0,2019-08-23T04:01:00Z,Never Really Over,2019-05-31,223523,89,Katy Perry,6jJ0s89eD6GaHleKKya26X,13607526,89,"dance pop,pop,post-teen pop",0.77,0.882,8,-4.792,1,0.0602,0.194,0,0.316,0.385,99.991,4
Hold Me While You Wait,60iSKGrGazRzICtMjADNSM,2019-08-23T04:01:00Z,Divinely Uninspired To A Hellish Extent,2019-05-17,205686,78,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,1007003,88,"pop,uk pop",0.688,0.53,11,-5.507,1,0.0333,0.443,0,0.0995,0.162,106.958,4
Ladbroke Grove,7b4ky1LlQLFhXHmhZkFgqV,2019-08-23T04:01:00Z,AJ Tracey,2019-02-08,190537,79,AJ Tracey,4Xi6LSfFqv26XgP9NKN26U,314354,78,"grime,uk drill,uk hip hop",0.903,0.839,11,-9.447,0,0.208,0.0939,0,0.102,0.727,133.986,4
Taste (Make It Shake),3evfXgwjSY5zuFxAHjMW5S,2019-08-23T04:01:00Z,Taste (Make It Shake),2019-07-31,213673,76,Aitch,2PJEagPIxaBugeMjIyKVXF,89279,76,"manchester hip hop,uk hip hop",0.756,0.489,0,-11.275,1,0.383,0.281,0,0.122,0.743,97.589,4
"My One (feat. Tory Lanez, Kranium & Dappy)",3zgKEF4I4ILmTTSBvtiRlJ,2019-08-23T04:01:00Z,"My One (feat. Tory Lanez, Kranium & Dappy)",2019-07-05,186874,69,Wiley,7k9T7lZlHjRAM1bb0r9Rm3,256495,72,"grime,house,uk dancehall,uk hip hop,uk pop",0.543,0.858,11,-5.447,0,0.279,0.0258,0,0.242,0.613,99.604,4
I Could Get Used To This,6u8epWzzk3CsJ05sqExF6T,2019-08-23T04:01:00Z,I Could Get Used To This,2019-03-29,193856,69,Becky Hill,4EPJlUEBy49EX1wuFOvtjK,67289,76,"house,pop house,tropical house,uk pop",0.621,0.653,7,-4.573,1,0.0523,0.0152,0,0.427,0.345,117.129,4
Love Me Again,4QbX1M5JblYzGTVwdZTgfb,2019-08-23T04:01:00Z,Love Me Again,2019-08-02,198133,68,RAYE,5KKpBU5eC2tJDzf0wmlRp2,222915,75,"dance pop,house,pop,post-teen pop,tropical house,uk contemporary r&b,uk pop",0.716,0.511,5,-6.471,1,0.0479,0.283,0,0.0765,0.488,110.019,4
Sorry,6y1UtRcHQU07aUs3oxZ8Yn,2019-08-23T04:01:00Z,Sorry,2019-04-05,188640,76,Joel Corry,6DgP9otnZw5z6daOntINxp,10982,67,"deep groove house,house,uk dance",0.744,0.79,8,-4.617,0,0.0562,0.0547,0.000802,0.32,0.847,125.002,4
boyfriend (with Social House),0Ryd8975WihbObpp5cPW1t,2019-08-23T04:01:00Z,boyfriend,2019-08-02,186106,92,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,34419760,95,"dance pop,pop,post-teen pop",0.4,0.795,10,-3.731,0,0.461,0.119,0,0.159,0.702,190.097,4
Hate Me (with Juice WRLD),6kls8cSlUyHW2BUOkDJIZE,2019-08-23T04:01:00Z,Hate Me (with Juice WRLD),2019-06-26,186223,86,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,6850719,86,"dance pop,edm,electropop,metropopolis,pop,post-teen pop,tropical house,uk pop",0.657,0.768,8,-4.628,1,0.0507,0.108,0,0.144,0.759,75.025,4
bad guy (with Justin Bieber),3yNZ5r3LKfdmjoS3gkhUCT,2019-08-23T04:01:00Z,bad guy (with Justin Bieber),2019-07-11,194839,90,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,12264317,97,"electropop,pop",0.67,0.453,0,-11.265,1,0.295,0.252,0.33,0.117,0.68,135.055,4
Strike a Pose (feat. Aitch),23GvTfcGK454ppLsts3W44,2019-08-23T04:01:00Z,Strike a Pose (feat. Aitch),2019-06-06,214203,76,Young T & Bugsey,6M6XXCcO5gI68XpIlrUL3Z,68497,69,"grime,uk drill,uk hip hop",0.531,0.581,1,-5.801,1,0.101,0.0107,1.62e-05,0.101,0.591,137.776,5
People,39sJbSgJmIrB9J1pkRbpaX,2019-08-23T04:01:00Z,People,2019-08-22,160008,64,The 1975,3mIj9lX2MWuHmhNCA7LSCW,3386581,82,"modern alternative rock,nu gaze,pop,shiver pop",0.492,0.926,0,-5.257,1,0.188,3.74e-05,0.0187,0.475,0.479,149.957,4
Dance Monkey,421leiR6jKlH5KDdwLYrOs,2019-08-23T04:01:00Z,Dance Monkey,2019-05-10,209754,83,Tones and I,2NjfBq1NflQcKSeiDooVjY,54075,81,australian pop,0.824,0.592,6,-6.4,0,0.0969,0.693,0.000158,0.178,0.54,98.074,4
Lover,0bzbvANY6oETSJLc0wlVGY,2019-08-23T04:01:00Z,Lover,2019-08-16,221306,86,Taylor Swift,06HL4z0CvFAxyc27GXpf02,22297244,95,"dance pop,pop,post-teen pop",0.433,0.551,7,-7.684,1,0.0989,0.503,3.45e-05,0.148,0.498,205.716,3
All the Time,3OTSBoYKO7HzGVj8Bu2OH9,2019-08-23T04:01:00Z,All the Time,2019-06-21,228111,78,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,5691759,84,"dance pop,edm,electropop,pop,post-teen pop,scandipop,swedish electropop,swedish pop,tropical house,uk pop",0.665,0.799,6,-2.868,0,0.0617,0.18,0,0.125,0.5,101.976,4
Takeaway,6wo37KVqFJhtuxPTpLCcfe,2019-08-23T04:01:00Z,World War Joy...Takeaway,2019-07-24,209893,88,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,13491490,91,"electropop,pop,tropical house",0.294,0.505,3,-8.106,1,0.042,0.12,0,0.0977,0.357,85.332,1
Motivation,0rIAC4PXANcKmitJfoqmVm,2019-08-23T04:01:00Z,Motivation,2019-08-16,193837,81,Normani,2cWZOOzeOm4WmBJRnD5R7I,464945,82,"dance pop,pop,post-teen pop,r&b,uk pop",0.599,0.887,4,-3.967,1,0.0984,0.0192,1.21e-06,0.3,0.881,170.918,4
