track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Creep On Me (feat. French Montana & DJ Snake) - QUIX Remix,3Qo418FH9pAHApAzOF8hfI,2019-05-22T00:33:46Z,Creep On Me (Remixes) (feat. French Montana & DJ Snake),2018-12-07,238163,67,GASHI,0JOxt5QOwq0czoJxvSc5hS,79205,71,"trap music,trap soul",0.606,0.934,7,-5.524,1,0.0482,0.00384,0.000154,0.0945,0.18,130.088,4
Boing Boing (feat. The Seige),5blgGSISAzYnuX6ONoSQD6,2019-05-22T00:33:46Z,Level 1,2018-06-08,217846,57,Cheat Codes,7DMveApC7UnC2NPfPvlHSU,1153308,81,"dance pop,edm,electropop,pop,pop edm,post-teen pop,tropical house",0.803,0.914,0,-3.297,1,0.199,0.019,1.72e-06,0.463,0.695,130.067,4
KAMIKAZE,47cElLEwnbplOSL5iHeu4o,2019-05-22T00:33:46Z,KAMIKAZE,2019-02-22,231968,60,GRAVEDGR,1kiZfWU37oS0pCOV7Os1Pj,8147,52,electronic trap,0.744,0.801,8,-5.161,1,0.0841,0.0147,0.0227,0.118,0.198,140.07,4
Moon Love,5LCaw96SsbpHAQFAcbFwbI,2019-05-22T00:33:46Z,Moon Love,2018-03-16,243692,62,Boombox Cartel,4m1yRHUMhvB8gKAJTjK4kO,131289,61,"bass trap,brostep,edm,electro house,electronic trap,pop edm,vapor twitch",0.706,0.935,6,-2.418,1,0.0565,0.0168,4.62e-05,0.106,0.214,130.001,4
Undo - AWAY Remix,49v7kRlVxnwrrJzCRxeRXl,2019-05-22T00:33:46Z,"NOVA (The Remixes, Vol. 1)",2018-12-07,212571,57,RL Grime,5eIbEEQnDM8yuDVB0bimSP,259639,69,"bass trap,brostep,edm,electro house,electronic trap,vapor twitch",0.72,0.633,5,-5.212,0,0.0633,0.137,0.00157,0.122,0.634,140.027,4
My Year,6MDjeiUWPPgEwLtiBrr9he,2019-05-22T00:33:46Z,My Year,2019-01-24,190344,69,GASHI,0JOxt5QOwq0czoJxvSc5hS,79205,71,"trap music,trap soul",0.842,0.808,11,-3.243,0,0.0491,0.206,0,0.258,0.705,145.03,4
BANG,5qRUEyakcE4cKgxAFrokNm,2019-05-22T00:33:46Z,BANG,2019-02-21,203750,58,NGHTMRE,76M2Ekj8bG8W7X2nbx2CpF,293148,70,"bass trap,brostep,edm,electro house,electronic trap,moombahton,pop edm,vapor twitch",0.68,0.988,3,-2.579,0,0.0941,0.00303,4.39e-05,0.299,0.176,144.03,4
Rumors - R3HAB & Skytech vs. Marvelus Fame Remix,2rOU98Cy13yvifhme0Ovn5,2019-05-22T00:33:46Z,Rumors (R3HAB & Skytech vs. Marvelus Fame Remix),2018-11-08,142800,59,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,1638056,82,"big room,dance pop,dutch house,edm,electro house,pop,pop edm,progressive electro house,tropical house",0.55,0.9,10,-4.327,0,0.225,0.0145,0,0.322,0.431,150.049,4
Know No Better - Doobious Remix,0mz8ZwZ5KwnO122kS4N0IL,2019-05-22T00:33:46Z,Know No Better (Remixes),2017-08-25,195428,51,Major Lazer,738wLrAtLtCtFOLvQBXOXp,5373060,82,"dance pop,edm,electro house,moombahton,pop,pop rap,tropical house",0.651,0.847,7,-4.214,0,0.0822,0.302,1.23e-05,0.132,0.37,139.971,4
Berserk (feat. Yung Bambi),0OHITRa9pUZN2As1PEBS0b,2019-05-22T00:33:46Z,Berserk (feat. Yung Bambi),2019-03-15,187204,57,QUIX,19EW4WBhl0fvZUQgi7wV5M,30139,63,"bass trap,brostep,electro house,electronic trap,vapor twitch",0.734,0.968,10,-3.105,0,0.0684,0.0301,0,0.163,0.932,150.046,4
