track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Señorita,0TK2YIli7K1leLovkQiNik,2019-06-24T02:37:35Z,Señorita,2019-06-21,190960,96,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,17605443,95,"canadian pop,dance pop,pop,post-teen pop,viral pop",0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,4
Never Really Over,5PYQUBXc7NYeI1obMKSJK0,2019-06-24T02:37:35Z,Never Really Over,2019-05-31,223523,92,Katy Perry,6jJ0s89eD6GaHleKKya26X,13202770,90,"dance pop,pop,post-teen pop",0.77,0.882,8,-4.792,1,0.0602,0.194,0,0.316,0.385,99.991,4
You Need To Calm Down,29fRTIKsJhLUJoldM89GZS,2019-06-24T02:37:35Z,You Need To Calm Down,2019-06-14,171386,92,Taylor Swift,06HL4z0CvFAxyc27GXpf02,20749113,94,"dance pop,pop,post-teen pop",0.767,0.681,2,-5.794,1,0.0501,0.0107,0,0.0707,0.726,85.003,4
Sad Forever,4a5zacCsHLtMC2mcxkqWwn,2019-06-24T02:37:35Z,Sad Forever,2019-05-31,203507,78,Lauv,5JZ7CnR6gTvEMKX4g70Amv,1374451,88,"dance pop,pop,post-teen pop",0.527,0.538,5,-7.434,1,0.104,0.468,0,0.0825,0.389,117.319,4
One Thing Right - feat. Kane Brown,4hPpVbbakQNv8YTHYaOJP4,2019-06-24T02:37:35Z,One Thing Right (feat. Kane Brown),2019-06-21,181823,83,Marshmello,64KEffDW9EtZ1y2vBYgq8T,13458976,92,"brostep,egyptian pop,progressive electro house",0.659,0.623,4,-2.253,1,0.0451,0.0667,0,0.582,0.439,88.042,4
Post Malone (feat. RANI),0qc4QlcCxVTGyShurEv1UU,2019-06-24T02:37:35Z,Magnets EP,2019-05-24,174444,81,Sam Feldt,20gsENnposVs2I4rQ5kvrf,365998,80,"deep tropical house,edm,electro house,pop,pop edm,tropical house",0.59,0.642,7,-3.87,1,0.122,0.0771,0,0.105,0.651,107.356,4
Call You Mine (with Bebe Rexha),05CwHjIk71RXVU40boRMnR,2019-06-24T02:37:35Z,World War Joy,2019-05-31,217653,90,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,12746635,92,"edm,electropop,pop,tropical house",0.591,0.702,7,-5.59,1,0.0289,0.225,0,0.414,0.501,104.003,4
Sad Song (feat. TINI),2JoIjuzRplpYGvvLpSW2on,2019-06-24T02:37:35Z,Sad Song (feat. TINI),2019-06-14,154024,79,Alesso,4AVFqumd2ogHFlRbKIjp1t,2845345,83,"big room,dance pop,edm,electro house,pop,progressive electro house,tropical house",0.734,0.693,0,-6.474,1,0.0361,0.0878,0,0.341,0.55,110.021,4
Find U Again (feat. Camila Cabello),1HpzOCZbNWzxvvXfSGtSrX,2019-06-24T02:37:35Z,Find U Again (feat. Camila Cabello),2019-05-30,176416,86,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,584622,86,"dance pop,pop",0.605,0.664,8,-7.162,1,0.0316,0.00548,3e-06,0.204,0.164,103.997,4
All the Time,3OTSBoYKO7HzGVj8Bu2OH9,2019-06-24T02:37:35Z,All the Time,2019-06-21,228111,77,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,5306887,86,"dance pop,edm,electropop,pop,post-teen pop,scandipop,swedish electropop,swedish pop,tropical house",0.665,0.799,6,-2.868,0,0.0617,0.18,0,0.125,0.5,101.976,4
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,2019-06-24T02:37:35Z,I Don't Care (with Justin Bieber),2019-05-10,219946,100,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,46325773,98,"pop,uk pop",0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,4
Must Have Been The Wind,1PsMieVYFXrSeXMxuE2SbG,2019-06-24T02:37:35Z,Must Have Been The Wind,2019-06-13,179299,75,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,638230,83,pop,0.592,0.475,7,-11.09,1,0.0727,0.822,0.000969,0.122,0.369,178.093,4
MEGATRON,1ZDmxwg7Lywlx68b7SsJjj,2019-06-24T02:37:35Z,MEGATRON,2019-06-21,190746,80,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,15542857,93,"dance pop,hip pop,pop,pop rap,post-teen pop,r&b",0.893,0.641,1,-3.051,1,0.272,0.128,8.06e-05,0.086,0.771,94.017,4
I Believe,1vYh9x8UmFTLbXiizk9Qc5,2019-06-24T02:37:35Z,Happiness Begins,2019-06-07,217533,78,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,2472315,91,"boy band,dance pop,pop,post-teen pop",0.749,0.774,9,-6.221,1,0.12,0.0857,1.14e-05,0.11,0.35,99.019,4
All Night (BTS World Original Soundtrack) [Pt. 3],70sKIAQgaVN2zWEEyOpyMZ,2019-06-24T02:37:35Z,All Night (BTS World Original Soundtrack) [Pt. 3],2019-06-21,216873,77,BTS,3Nrfpe0tUJi4K4DXYWgMUX,11792025,95,"k-pop,k-pop boy group",0.725,0.706,5,-4.766,1,0.121,0.193,0,0.109,0.667,120.042,4
Hold The Line (feat. A R I Z O N A),6EBlOYNcZ8MrdEov9lEdV6,2019-06-24T02:37:35Z,TIM,2019-06-06,171785,80,Avicii,1vCWHaC5f2uS3yhpwWbIA6,13895920,94,"big room,edm,pop",0.648,0.554,9,-7.005,1,0.0341,0.329,2.56e-05,0.0803,0.372,98.045,4
Ritual,3M9Apu4OZfylLTFKvgEtKa,2019-06-24T02:37:35Z,Ritual,2019-05-31,198995,85,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,4432604,85,"big room,brostep,dance pop,edm,electro house,house,pop,trance,tropical house",0.647,0.726,3,-4.389,0,0.0552,0.157,0,0.0844,0.767,114.996,4
tomorrow tonight,6aYwwMcANnpuUm4zLsCzy3,2019-06-24T02:37:35Z,tomorrow tonight,2019-05-17,202266,62,Loote,00TKPo9MxwZ0j4ooveIxWZ,57296,74,"australian pop,dance pop,electropop,indie cafe pop,indie poptimism,nyc pop,pop,pop edm,post-teen pop,tropical house,uk pop",0.458,0.415,8,-10.963,1,0.0665,0.138,0,0.106,0.17,91.623,4
"Greenlight - From ""Songland""",5HgbcQFIHjNcn46w8ORwhu,2019-06-24T02:37:35Z,"Greenlight (From ""Songland"")",2019-06-18,180400,70,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,2472315,91,"boy band,dance pop,pop,post-teen pop",0.74,0.524,5,-8.984,0,0.0669,0.027,0,0.073,0.711,141.972,4
I Miss Myself (with HRVY),5YkmS18BehACOhIIeUqe6l,2019-06-24T02:37:35Z,I Miss Myself (with HRVY),2019-05-03,191611,73,NOTD,5jAMCwdNHWr7JThxtMuEyy,54944,77,"australian pop,dance pop,edm,electropop,pop,pop edm,post-teen pop,tropical house",0.72,0.864,0,-3.249,1,0.208,0.0856,0,0.16,0.659,96.048,4
Left Me Yet,6k2t5GhwOIKep31iyJ8S0L,2019-06-24T02:37:35Z,Left Me Yet,2019-06-21,191340,67,Daya,6Dd3NScHWwnW6obMFbl1BH,896591,80,"australian pop,dance pop,electropop,indie poptimism,pop,post-teen pop,tropical house,viral pop",0.753,0.806,8,-6.396,0,0.275,0.0552,0,0.118,0.424,114.995,4
