track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
sekao,4c2TiYoJHIjEPZ5syRZhsY,2019-06-12T02:41:17Z,running around dreaming,2018-05-27,132000,64,Delayde,254ga0emOv4GhfUUw5J16h,2807,62,"chillhop,lo-fi beats",0.616,0.375,5,-16.921,1,0.0405,0.905,0.896,0.332,0.333,159.972,4
The Dream,1C4bLgUJIKJroNvSU0hz1R,2019-06-12T02:41:17Z,O R B I T,2019-01-21,158132,63,SwuM,2Fc1UZXKRmPpWWx1sxcb9m,30971,65,"chillhop,lo-fi beats",0.637,0.571,11,-11.867,0,0.17,0.755,0.862,0.104,0.286,149.79,4
Fireworks,1GPRmRcadnmINbJlutkseu,2019-06-12T02:41:17Z,Hometown,2018-10-17,138000,63,Nymano,3BoSEarTgKiw8sHE0ixJNK,17776,61,"chillhop,lo-fi beats",0.559,0.31,5,-10.53,0,0.373,0.526,0.937,0.147,0.395,188.177,4
i wish it would never stop snowing,5nKSxq2yNgQLtgzqJxPn41,2019-06-12T02:41:17Z,Chillhop Essentials Spring 2019,2019-03-20,196500,63,Sleepy Fish,1IJe80moz409PtxW4llPFw,1947,61,chillhop,0.804,0.164,4,-14.07,1,0.0492,0.0365,0.831,0.0927,0.419,126.953,4
Ténegro,1zchrk1boRCyXkUcJ22yQZ,2019-06-12T02:41:17Z,001,2018-04-19,224156,64,Chill Children,1HIUSy6Z18XvHfvsGPSWYx,3528,61,"chillhop,lo-fi beats",0.775,0.257,2,-11.814,1,0.308,0.724,0.759,0.0819,0.658,79.965,4
thinking of you,2pZi2b9U8r20AF0Cf3hi2D,2019-06-12T02:41:17Z,Inaudible,2018-11-21,131000,65,mommy,0DJoMHFNyxWdoGqi8XMdfk,6166,66,"chillhop,lo-fi beats",0.797,0.0832,11,-12.673,1,0.203,0.484,0.81,0.239,0.51,160.048,4
_away,2L0jEuPJXfrdrImUUKdtGt,2019-06-12T02:41:17Z,_away,2019-03-16,168589,54,MARTIN $KY,0iK1U5DGAdiqJvL1vq858A,1577,52,,0.634,0.424,2,-14.347,1,0.265,0.942,0.727,0.133,0.131,133.52,4
Murmuration,4pI7VTiN59CZnGJUgVZPoy,2019-06-12T02:41:17Z,Chillhop Essentials Spring 2019,2019-03-20,156000,64,Blue Wednesday,7185Q95lPFld0aoPqO6e0U,7296,55,chillhop,0.686,0.373,11,-16.007,0,0.118,0.532,0.926,0.075,0.203,83.203,4
August,6WnEp9XsKFq5n88FzFT20Z,2019-06-12T02:41:17Z,Loops,2018-04-17,114729,62,Ameba,0YYVUJe2T4XdBza6Y0RA8P,1579,59,"chillhop,lo-fi beats",0.784,0.389,9,-8.485,0,0.101,0.842,0.738,0.111,0.648,89.988,4
Faces,5n16dEoZ1OwdpqOIK13m1X,2019-06-12T02:41:17Z,Faces,2019-01-07,133165,66,Knowmadic,0HcyeAioEKhfwVcJAoyN36,16755,63,"chillhop,lo-fi beats",0.615,0.424,11,-12.324,0,0.114,0.968,0.809,0.106,0.178,159.033,4
With U,0rNpm25xLsckCS9JPAgpwP,2019-06-12T02:41:17Z,With U,2019-02-21,218666,62,SwuM,2Fc1UZXKRmPpWWx1sxcb9m,30971,65,"chillhop,lo-fi beats",0.414,0.309,1,-11.858,0,0.0343,0.863,0.819,0.0923,0.184,90.026,4
Away with the Fairies,6Yp6bCLd4IWur1yL2Xirrk,2019-06-12T02:41:17Z,Away with the Fairies,2018-12-10,166153,63,Philanthrope,13ACz7DIictCpSYGglNTHs,19184,70,"chillhop,lo-fi beats",0.886,0.232,6,-9.919,0,0.4,0.247,0.906,0.114,0.661,130.015,4
No Samples,2cKR957eqapkn6oTaHPFPd,2019-06-12T02:41:17Z,Maugre's Vinyl,2018-09-28,156000,62,Maugre,3wbexOl6INNsdpMetkdhN0,215,51,,0.712,0.31,5,-12.01,0,0.379,0.96,0.936,0.103,0.303,156.123,4
Stay and Wander,0Hm8vke3rwzGKm5sBpY762,2019-06-12T02:41:17Z,Field Notes,2019-03-22,112000,60,Tom Doolie,4C7NcNb9V6lakzMGHQlm8i,667,59,"chillhop,lo-fi beats",0.652,0.425,5,-12.598,1,0.0358,0.875,0.875,0.0957,0.588,87.007,4
I Don't Love You Anymore,6QOVWoZUD3IEszbfO46mYW,2019-06-12T02:41:17Z,I Don't Love You Anymore,2018-10-20,77600,65,Sarcastic Sounds,1bq8rqNnfrojn0OSAfeNXJ,42594,66,"chillhop,emo rap,lo-fi beats",0.708,0.309,6,-19.536,1,0.144,0.428,0.87,0.0843,0.451,74.99,4
It's Ok,19K24V0kGvNLFYCR8jMs88,2019-06-12T02:41:17Z,It's Ok,2019-03-20,168297,63,Pandrezz,65ZGdYSRT3Rmv6P7DN4XCC,15347,66,"chillhop,lo-fi beats",0.702,0.277,7,-11.708,1,0.0466,0.835,0.879,0.121,0.065,87.0,4
Choke,28PYwyQETvCDNXMRBFAtzr,2019-06-12T02:41:17Z,Choke,2018-03-30,180000,63,Sonn,1VURTzU1i6o1agHFXs3V4E,6572,56,,0.652,0.403,9,-14.328,0,0.0802,0.871,0.808,0.0742,0.089,140.012,4
sand castles,5rBQIzDduJsmDbZ97gqWEW,2019-06-12T02:41:17Z,corals 2,2018-09-21,147692,63,Fujitsu,2a42gzUH51UAvwcfy0N6JT,11611,61,"chillhop,lo-fi beats",0.784,0.312,4,-14.648,0,0.0513,0.576,0.851,0.128,0.63,129.94,4
Morning,2rXh4A15kcTFzXlwdNRLkY,2019-06-12T02:41:17Z,Morning,2018-12-10,181524,14,Hyperparadise,4uajeI5EPh9v3im2UwQH5s,389,53,,0.492,0.234,8,-18.824,1,0.212,0.826,0.885,0.14,0.302,165.798,4
Yesterday,3JdcRs53aBDG20OiPBJO9g,2019-06-12T02:41:17Z,Chillhop Daydreams,2018-08-08,154124,63,chief.,0HCAzT0cSCpiNje7AcAQaD,9832,65,"chillhop,lo-fi beats",0.633,0.185,0,-14.68,1,0.0626,0.945,0.868,0.127,0.155,77.223,4
Drxzzl_,76Yal7OOUDF3iaqchERzMf,2019-06-12T02:41:17Z,Re-Leaf,2018-04-30,152361,62,invention_,7uA2p3333eiW9Cknf1twtU,5206,63,"chillhop,lo-fi beats",0.55,0.531,11,-7.094,1,0.239,0.766,0.589,0.381,0.328,71.454,3
City Rain,2ulWL7DcayhjIa0UOw4v8i,2019-06-12T02:41:17Z,City Rain,2019-02-23,213000,58,G93,01kKwMSA10JavvAaD0Jj5u,130,48,,0.457,0.293,10,-18.631,0,0.0591,0.916,0.831,0.444,0.0775,160.224,5
