track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Lie To Me,5s4useNfZqXHdXrRdDrzWc,2019-08-16T04:01:00Z,Lie To Me,2018-12-21,149877,13,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,5016643,87,"boy band,dance pop,pop,post-teen pop,uk pop",0.611,0.52,0,-5.445,1,0.0346,0.0132,0,0.105,0.771,159.927,4
i'm so tired...,7COXchtUOMd6uIT6HvmRaI,2019-08-16T04:01:00Z,i'm so tired...,2019-01-24,162582,85,Lauv,5JZ7CnR6gTvEMKX4g70Amv,1544048,87,"dance pop,pop,post-teen pop",0.599,0.733,11,-7.058,1,0.203,0.176,0,0.242,0.534,102.211,4
If I Can't Have You,6LsAAHotRLMOHfCsSfYCsz,2019-08-16T04:01:00Z,If I Can't Have You,2019-05-03,190800,90,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,19081027,96,"canadian pop,pop,viral pop",0.692,0.809,2,-4.198,1,0.0602,0.524,0,0.147,0.864,123.911,4
Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,2019-08-16T04:01:00Z,Beautiful People (feat. Khalid),2019-06-28,197866,93,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,49210902,100,"pop,uk pop",0.64,0.648,5,-8.113,0,0.187,0.124,0,0.0802,0.548,92.977,4
"Fire On Fire - From ""Watership Down""",5rFj8OzffT0iggSjcBaeND,2019-08-16T04:01:00Z,"Fire On Fire (From ""Watership Down"")",2018-12-21,246735,80,Sam Smith,2wY79sveU1sp5g7SokKOiI,9379776,91,pop,0.584,0.407,1,-7.356,0,0.046,0.476,0,0.18,0.341,115.124,4
What A Time (feat. Niall Horan),5WtfUKzXircvW8l5aaVZWT,2019-08-16T04:01:00Z,Inner Monologue Part 1,2019-01-24,173306,75,Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m,2051581,85,"dance pop,pop,post-teen pop",0.518,0.467,0,-6.184,1,0.0302,0.662,0,0.0853,0.386,132.854,4
You & Me,5g45gvxgaYVuhkDACPnvfh,2019-08-16T04:01:00Z,You & Me,2019-01-18,231653,43,James TW,0B3N0ZINFWvizfa8bKiz4v,361576,77,"australian pop,dance pop,neo mellow,pop,uk pop",0.714,0.683,11,-6.333,1,0.0443,0.196,7.73e-06,0.102,0.824,127.021,4
Señorita,0TK2YIli7K1leLovkQiNik,2019-08-16T04:01:00Z,Señorita,2019-06-21,190960,100,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,19081027,96,"canadian pop,pop,viral pop",0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,4
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,2019-08-16T04:01:00Z,I Don't Care (with Justin Bieber),2019-05-10,219946,94,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,49210902,100,"pop,uk pop",0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,4
No One Compares To You,2jZIfoe48eUeOEnP9Ho4h2,2019-08-16T04:01:00Z,No One Compares To You,2018-10-05,184080,24,Jack & Jack,1INuLZXjjVbcJRyWvD1iSq,995085,76,"australian pop,dance pop,pop,post-teen pop,teen pop",0.703,0.748,1,-6.047,1,0.0435,0.123,0,0.0642,0.625,111.943,4
There's No Way (feat. Julia Michaels),2hnxrRNzF74mdDzpQZQukQ,2019-08-16T04:01:00Z,There's No Way (feat. Julia Michaels),2018-09-27,174860,78,Lauv,5JZ7CnR6gTvEMKX4g70Amv,1544048,87,"dance pop,pop,post-teen pop",0.755,0.625,2,-7.114,1,0.0896,0.49,0,0.157,0.374,147.02,4
Rewrite The Stars (with James Arthur & Anne-Marie),6mQLN3zRtAp6ovjusyYKrV,2019-08-16T04:01:00Z,Rewrite The Stars (with James Arthur & Anne-Marie),2018-10-25,218293,73,James Arthur,4IWBUUAFIplrNtaOHcJPRM,4414245,85,"dance pop,pop,post-teen pop,talent show,uk pop",0.67,0.743,10,-4.993,1,0.0393,0.237,0,0.465,0.571,125.944,4
Use Somebody - Recorded at Spotify Studios NYC,5My4LtZW8JQJoKFDWodqIt,2019-08-16T04:01:00Z,Spotify Singles,2018-11-14,176586,72,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,19081027,96,"canadian pop,pop,viral pop",0.366,0.519,5,-6.066,1,0.0331,0.35,0,0.145,0.308,124.632,4
Big Plans,6Yx181fZzA0YE2EkUsYruq,2019-08-16T04:01:00Z,Big Plans,2019-01-17,179929,76,Why Don't We,2jnIB6XdLvnJUeNTy5A0J2,1473900,82,"boy band,dance pop,pop,post-teen pop,teen pop,uk pop",0.693,0.604,11,-5.279,1,0.0427,0.0668,0,0.114,0.651,75.014,4
Good Years,22pBf2FVR5WYMcZ1ROSINP,2019-08-16T04:01:00Z,Good Years,2018-12-06,180120,12,ZAYN,5ZsFI1h6hIdQRw2ti0hz81,8793761,84,"dance pop,pop,post-teen pop,uk pop",0.638,0.411,2,-5.979,1,0.042,0.55,0,0.141,0.158,96.969,4
Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,2019-08-16T04:01:00Z,Dancing With A Stranger (with Normani),2019-01-11,171029,87,Sam Smith,2wY79sveU1sp5g7SokKOiI,9379776,91,pop,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,4
Best Part of Me (feat. YEBBA),5ug4vqGZ3eisGhY1IsziNX,2019-08-16T04:01:00Z,Best Part of Me (feat. YEBBA),2019-07-05,243266,79,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,49210902,100,"pop,uk pop",0.565,0.242,2,-8.367,1,0.0318,0.762,9.3e-06,0.285,0.237,81.657,4
Fallin' All In You,5I8oEqbk2ZBmQfXCrZbUFb,2019-08-16T04:01:00Z,Shawn Mendes,2018-05-25,235746,17,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,19081027,96,"canadian pop,pop,viral pop",0.853,0.477,8,-6.697,1,0.0362,0.401,0,0.111,0.8,92.03,4
Peer Pressure (feat. Julia Michaels),4JWQC6gyYoPRnxRxk0ta2M,2019-08-16T04:01:00Z,Peer Pressure (feat. Julia Michaels),2019-02-22,176880,46,James Bay,4EzkuveR9pLvDVFNx6foYD,2434378,80,"neo mellow,pop,uk pop",0.631,0.715,1,-6.083,0,0.0277,0.0299,0,0.121,0.42,135.826,4
There You Are,7MmnLaftYzin7boRbplKdA,2019-08-16T04:01:00Z,Icarus Falls,2018-12-14,199600,63,ZAYN,5ZsFI1h6hIdQRw2ti0hz81,8793761,84,"dance pop,pop,post-teen pop,uk pop",0.452,0.685,0,-4.828,0,0.0385,0.0257,0,0.11,0.305,76.986,4
Ruin My Life,5tAa8Uaqr4VvA3693mbIhU,2019-08-16T04:01:00Z,Ruin My Life,2018-10-18,190931,80,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,5645234,84,"dance pop,edm,electropop,pop,post-teen pop,scandipop,swedish electropop,swedish pop,tropical house,uk pop",0.665,0.699,11,-5.265,1,0.0578,0.423,0,0.0969,0.585,124.896,4
Say Love,1csB4kgdyglOQdH0EyFIqy,2019-08-16T04:01:00Z,Say Love,2018-03-30,219440,21,James TW,0B3N0ZINFWvizfa8bKiz4v,361576,77,"australian pop,dance pop,neo mellow,pop,uk pop",0.753,0.457,1,-7.533,1,0.0541,0.119,1.15e-06,0.355,0.549,84.038,4
South of the Border (feat. Camila Cabello & Cardi B),4vUmTMuQqjdnvlZmAH61Qk,2019-08-16T04:01:00Z,No.6 Collaborations Project,2019-07-12,204466,87,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,49210902,100,"pop,uk pop",0.857,0.621,9,-6.376,0,0.0824,0.148,0,0.0865,0.668,97.986,4
"Never Seen Anything ""Quite Like You"" - Acoustic",018Idkvf82hi44UZmIXiGB,2019-08-16T04:01:00Z,Acoustic Sessions,2018-04-18,228146,67,The Script,3AQRLZ9PuTAozP28Skbq8V,5313957,79,"celtic rock,dance pop,neo mellow,pop,pop rock,post-teen pop,uk pop,viral pop",0.444,0.398,6,-8.01,1,0.03,0.799,0,0.114,0.361,79.874,3
How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,2019-08-16T04:01:00Z,How Do You Sleep?,2019-07-19,202204,92,Sam Smith,2wY79sveU1sp5g7SokKOiI,9379776,91,pop,0.477,0.682,1,-4.931,0,0.0925,0.153,0,0.0763,0.345,110.567,5
Let Me Down Slowly,2uaiyLKnYvazyfR0Ky3Kbk,2019-08-16T04:01:00Z,Let Me Down Slowly,2018-05-25,169180,19,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,763312,82,"dance pop,pop",0.649,0.548,1,-5.692,0,0.0318,0.733,0,0.136,0.506,150.036,4
Be Alright,3EPXxR3ImUwfayaurPi3cm,2019-08-16T04:01:00Z,Be Alright,2018-06-29,196373,82,Dean Lewis,3QSQFmccmX81fWCUSPTS7y,662388,81,"australian pop,pop,uk pop",0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,4
Patient,2ZrHbO88rM6Ijeg0aJmSzl,2019-08-16T04:01:00Z,Voicenotes,2018-05-11,190533,69,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,7459149,83,"dance pop,pop,post-teen pop,uk pop,viral pop",0.675,0.604,1,-6.266,1,0.193,0.752,0,0.111,0.456,168.034,4
Happier,2RttW7RAu5nOAfq6YFvApB,2019-08-16T04:01:00Z,÷ (Deluxe),2017-03-03,207520,81,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,49210902,100,"pop,uk pop",0.522,0.385,0,-7.355,1,0.0288,0.536,0,0.135,0.236,89.792,4
Naked,7krbSH3rd8lhIZvuzTV3Bl,2019-08-16T04:01:00Z,Naked,2017-11-24,234106,76,James Arthur,4IWBUUAFIplrNtaOHcJPRM,4414245,85,"dance pop,pop,post-teen pop,talent show,uk pop",0.529,0.607,6,-6.781,1,0.0574,0.104,0,0.0631,0.238,101.966,4
Sucker,4y3OI86AEP6PQoDE6olYhO,2019-08-16T04:01:00Z,Sucker,2019-03-01,181040,87,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,2752911,88,"boy band,dance pop,pop,post-teen pop",0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,4
You Are The Reason - Duet Version,4gJAWJnE5cvAAWyTMTxgdY,2019-08-16T04:01:00Z,You Are The Reason (Duet Version),2018-02-09,190299,16,Calum Scott,6ydoSd3N2mwgwBHtF6K7eX,1442618,79,"pop,uk pop",0.379,0.329,10,-8.796,1,0.0301,0.447,0,0.148,0.127,171.09,3
It's You,6moU77g9RQyMzHNuKEaQKq,2019-08-16T04:01:00Z,It's You,2019-06-14,212606,89,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,199441,81,"canadian hip hop,pop",0.732,0.463,11,-6.972,0,0.0287,0.374,0,0.194,0.397,95.971,4
Suitcase,5HlFO9E6TgsCpJWVjguZDl,2019-08-16T04:01:00Z,Suitcase,2019-02-22,214746,36,James TW,0B3N0ZINFWvizfa8bKiz4v,361576,77,"australian pop,dance pop,neo mellow,pop,uk pop",0.669,0.396,0,-8.724,1,0.0545,0.267,0,0.0913,0.546,86.927,4
At My Weakest,6rcTyXe8W8kjQLyALBRj1v,2019-08-16T04:01:00Z,You Deserve Better / At My Weakest,2018-06-01,217293,66,James Arthur,4IWBUUAFIplrNtaOHcJPRM,4414245,85,"dance pop,pop,post-teen pop,talent show,uk pop",0.636,0.433,10,-8.346,1,0.0614,0.536,0,0.123,0.234,75.02,3
I Can't Fall in Love Without You,4VPXFi4vFTtS9wHe6oMQaT,2019-08-16T04:01:00Z,So Good,2017-03-17,180640,73,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,5645234,84,"dance pop,edm,electropop,pop,post-teen pop,scandipop,swedish electropop,swedish pop,tropical house,uk pop",0.485,0.332,4,-9.244,1,0.0338,0.784,0.000122,0.146,0.273,130.813,4
7 Minutes,2BkyYZmU4JuWW2sYi9EzpC,2019-08-16T04:01:00Z,7 Minutes,2019-01-18,211453,72,Dean Lewis,3QSQFmccmX81fWCUSPTS7y,662388,81,"australian pop,pop,uk pop",0.613,0.739,10,-6.478,1,0.0311,0.526,0,0.149,0.712,104.966,4
Love Someone (feat. Sabina Ddumba) - Recorded at Spotify Studios Stockholm,0XxW0lU2ZgFvMzVF6F3Xb5,2019-08-16T04:01:00Z,Spotify Singles,2019-01-25,208949,9,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,1394664,77,"danish pop,pop,scandipop",0.624,0.441,9,-8.366,0,0.0355,0.034,0,0.119,0.227,85.929,4
I Am Falling In Love,0VWE11LUDOc9Jo78vbpAxB,2019-08-16T04:01:00Z,Yours,2018-10-19,248000,19,Isak Danielson,5ie2SvXgvXlTpyqkwLtSd7,32914,61,swedish pop,0.67,0.396,5,-7.967,1,0.03,0.256,0,0.112,0.359,77.988,4
Turn Back Time,4KnnWpUyPfQD6X5SQSTlH3,2019-08-16T04:01:00Z,Turn Back Time,2017-11-03,223561,64,Daniel Schulz,3pVuaUisHmRfVy53qWwmql,5279,54,scandipop,0.68,0.346,7,-6.533,1,0.0302,0.231,0,0.26,0.224,95.952,4
The Story Never Ends,3u5bTqHMM1P34ZkbwzdckV,2019-08-16T04:01:00Z,I met you when I was 18. (the playlist),2018-05-31,229029,69,Lauv,5JZ7CnR6gTvEMKX4g70Amv,1544048,87,"dance pop,pop,post-teen pop",0.614,0.126,9,-9.403,1,0.0376,0.911,0,0.148,0.351,119.945,4
All These Years,4XLu3tTSZiPFVC9mmuR6Zp,2019-08-16T04:01:00Z,Camila,2018-01-12,164373,69,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,11158521,94,"dance pop,pop,post-teen pop",0.732,0.436,1,-7.409,0,0.117,0.609,0,0.108,0.475,94.852,4
Is It Really Me You're Missing,1WO6kvO7P8TOsuhBaqun5w,2019-08-16T04:01:00Z,"The Sun Will Come up, The Seasons Will Change",2019-02-01,232800,47,Nina Nesbitt,7AzjETXRUKNRSJHMW9GIqd,187948,72,"australian pop,dance pop,electropop,neo-singer-songwriter,pop,post-teen pop,uk pop,viral pop",0.535,0.297,6,-6.043,1,0.0665,0.653,0,0.118,0.0492,147.569,4
Before I Lose My Mind - Stripped,2UTHTASTtmJXiBUmSIXERT,2019-08-16T04:01:00Z,Before I Lose My Mind (Stripped),2018-11-16,226646,58,Etham,5fywYLnKJi950Y5yMqavxm,22153,56,"australian pop,indie anthem-folk,uk pop",0.635,0.247,0,-11.141,0,0.0387,0.608,0,0.111,0.181,124.813,4
You Say,72b0ANL1ZiV71OiZRs0Lny,2019-08-16T04:01:00Z,You Say,2018-07-13,274693,18,Lauren Daigle,40LHVA5BTQp9RxHOQ9JPYj,895159,76,"ccm,christian music,worship",0.494,0.637,5,-6.381,1,0.0333,0.669,0,0.0882,0.1,147.924,4
The Bones,3npzogdOEiVsieXmmhBepL,2019-08-16T04:01:00Z,GIRL,2019-03-08,197293,80,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,365372,81,contemporary country,0.612,0.57,11,-6.642,0,0.0347,0.279,0,0.0963,0.335,77.004,4
Nobody,2qfEcCkEo5NscA9GL7ER72,2019-08-16T04:01:00Z,Nobody,2019-03-01,211040,74,Martin Jensen,4ehtJnVumNf6xzSCDk8aLB,559819,75,"big room,dance pop,danish electronic,edm,electro house,pop,pop edm,tropical house,uk pop",0.673,0.687,6,-5.295,0,0.0623,0.269,0,0.181,0.524,96.964,4
Too Much To Ask,3hRZsdTF5uyGA2uhNqEuhm,2019-08-16T04:01:00Z,Too Much To Ask,2017-09-14,223043,17,Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,3979868,77,"australian pop,dance pop,neo mellow,pop,post-teen pop,uk pop",0.517,0.552,0,-6.401,1,0.039,0.375,0,0.106,0.196,153.747,4
Hate How Much I Love You,2v00WuRHH1WdnXxlHnyURi,2019-08-16T04:01:00Z,Hate How Much I Love You,2019-06-28,175897,69,Conor Maynard,6mU8ucezzms5I2kNH6HNlu,1561342,76,"australian pop,dance pop,pop,post-teen pop,uk pop,viral pop",0.779,0.42,0,-8.396,1,0.221,0.665,0,0.0862,0.688,105.076,4
For You,2SvO59G9QOuDjdcli1rEYV,2019-08-16T04:01:00Z,For You,2018-09-14,202582,50,My Sun and Stars,6ZzQtFgvmqdNtmB3pvh6UR,7156,45,,0.644,0.782,2,-5.848,1,0.0278,0.758,0,0.215,0.511,91.023,4
Stay Awake,6iey2E15nqKQ60KW8vBQQi,2019-08-16T04:01:00Z,Stay Awake,2019-03-18,185546,36,Dean Lewis,3QSQFmccmX81fWCUSPTS7y,662388,81,"australian pop,pop,uk pop",0.727,0.797,11,-7.956,0,0.0454,0.311,4.27e-05,0.0922,0.6,106.033,4
Unbelievable,3anNizayrIeuVv3Mb2KnIR,2019-08-16T04:01:00Z,Unbelievable,2019-05-16,189384,75,Why Don't We,2jnIB6XdLvnJUeNTy5A0J2,1473900,82,"boy band,dance pop,pop,post-teen pop,teen pop,uk pop",0.532,0.66,7,-7.138,1,0.0825,0.105,0.000222,0.0996,0.676,130.013,4
Can I Be Him - Acoustic Live Version,0iVAPfPW2NkfxCqu0a1UBl,2019-08-16T04:01:00Z,Can I Be Him (Acoustic Live Version),2017-05-26,305160,61,James Arthur,4IWBUUAFIplrNtaOHcJPRM,4414245,85,"dance pop,pop,post-teen pop,talent show,uk pop",0.483,0.248,9,-9.368,1,0.0502,0.91,0,0.713,0.415,98.136,4
I'll Never Love Again - Film Version,4A7EkKijzA4ryEoCRWJzdG,2019-08-16T04:01:00Z,A Star Is Born Soundtrack,2018-10-05,281066,70,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,8688801,88,"dance pop,pop",0.451,0.34,7,-7.466,1,0.031,0.763,2.49e-06,0.135,0.221,110.502,4
Too Good At Goodbyes,7oAraczbemGSNWqnbkU87R,2019-08-16T04:01:00Z,Too Good At Goodbyes,2017-09-08,201000,19,Sam Smith,2wY79sveU1sp5g7SokKOiI,9379776,91,pop,0.515,0.378,5,-8.264,1,0.065,0.618,0,0.172,0.536,91.883,4
