track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Baby,2nKYHpmwjLaEOXS3o7QMiz,2019-07-19T04:01:00Z,Baby,2019-07-17,142417,68,Quality Control,6i392l38cR3uBPF0DbNs7S,327785,71,"hip hop,pop,pop rap,rap,southern hip hop,trap music",0.97,0.463,10,-7.259,1,0.366,0.0957,0,0.151,0.46,108.003,4
Bossanova,12MGFZIqiXncwMsufAwfC9,2019-07-19T04:01:00Z,Bossanova,2019-07-18,123600,54,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,169873,81,trap music,0.725,0.497,5,-7.276,0,0.289,0.00384,0,0.16,0.249,139.875,4
Shotta Flow (Feat. Blueface) [Remix],67XyC1GdSkKb9sbRRkUDXS,2019-07-19T04:01:00Z,Shotta Flow (Feat. Blueface) [Remix],2019-06-20,176631,78,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,238200,80,memphis hip hop,0.894,0.511,2,-4.768,1,0.42,0.0251,0,0.14,0.568,120.08,4
Bussdown (feat. Offset),2RYRhxFeiiMMJPUZZiNbfR,2019-07-19T04:01:00Z,Bussdown,2019-07-12,183760,64,Blueface,3Fl1V19tmjt57oBdxXKAjJ,830721,82,cali rap,0.905,0.659,1,-4.785,1,0.433,0.0583,0,0.0775,0.87,121.103,4
Panini,68poZGRClFTzLdeRz9X0M2,2019-07-19T04:01:00Z,Panini,2019-06-20,114893,64,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,621953,93,country rap,0.703,0.594,5,-6.146,0,0.0752,0.342,0,0.123,0.475,153.848,4
Pose To Do (feat. French Montana and Quavo),5WkyhmqrQT8iGq0Y5VMa4a,2019-07-19T04:01:00Z,Pose To Do (feat. French Montana and Quavo),2019-07-19,167094,57,Lil Pump,3wyVrVrFCkukjdVIdirGVY,5801265,82,"emo rap,miami hip hop,trap music",0.638,0.633,4,-4.436,0,0.256,0.136,0,0.0999,0.624,159.919,4
10 Bands,4dGLMiOBMUD74iiAGQ17cK,2019-07-19T04:01:00Z,10 Bands,2019-07-11,214154,68,Joyner Lucas,6C1ohJrd5VydigQtaGy5Wa,797029,81,"boston hip hop,hip hop,pop rap,rap",0.893,0.839,11,-6.785,1,0.0671,0.0911,1.83e-05,0.113,0.801,129.998,4
Party Bus,2RPNu8WTEHuInQJqRYDlWA,2019-07-19T04:01:00Z,Party Bus,2019-06-28,246861,69,Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,1685275,84,"atl hip hop,pop,pop rap,rap,southern hip hop,trap music",0.724,0.636,0,-8.476,1,0.205,0.0477,0,0.133,0.45,139.958,4
Uno,3AEgic4yp82NxMWUjHtxnO,2019-07-19T04:01:00Z,Uno,2019-05-10,109090,76,Ambjaay,3BbPRvYQ0M9SFmhkHXozLm,10090,67,,0.978,0.477,8,-8.159,1,0.155,0.000143,0,0.133,0.196,110.002,4
The Relays (feat. Travis Scott),3tA12hlBltPtw6ArshsopB,2019-07-19T04:01:00Z,Brandon Banks,2019-07-19,177060,53,Maxo Kream,6xS5PpBWaVYraexEkEjjXv,204797,68,"houston rap,rap,southern hip hop,trap music,underground hip hop,vapor trap",0.877,0.574,2,-7.041,1,0.132,0.0897,0,0.169,0.518,130.051,4
Floor Seats,5eowjdonKBB0sBT3gJpl0t,2019-07-19T04:01:00Z,Floor Seats,2019-07-18,157610,51,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,1977319,80,"hip hop,pop,pop rap,rap,southern hip hop,trap music,underground hip hop",0.706,0.735,5,-4.942,1,0.0957,0.069,0.154,0.804,0.682,135.996,4
Come On,6aiH3vzf6KPRsJbiGaJR3A,2019-07-19T04:01:00Z,Come On,2019-07-17,188461,50,Quality Control,6i392l38cR3uBPF0DbNs7S,327785,71,"hip hop,pop,pop rap,rap,southern hip hop,trap music",0.956,0.785,1,-5.474,1,0.235,0.0555,0,0.219,0.304,107.59,4
Ransom,1xbtojAZsQjOgiGdGX6ChU,2019-07-19T04:01:00Z,Ransom,2019-05-22,131248,78,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,169873,81,trap music,0.745,0.642,7,-6.257,0,0.287,0.0204,0,0.0658,0.226,179.974,4
"Costa Rica (feat. Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",1MJYFJ2igOWZpTo2kDcolx,2019-07-19T04:01:00Z,ROTD3.COM,2019-07-01,217866,66,Dreamville,1iNqsUDUraNWrj00bqssQG,100358,84,"hip hop,pop rap,rap,trap music",0.832,0.648,7,-6.383,0,0.37,0.532,0,0.0705,0.624,120.933,4
Pop Out Again (feat. Lil Baby & Gunna),2VIMXmWUIqhMqg6h5FOFPG,2019-07-19T04:01:00Z,Die A Legend,2019-06-07,223786,74,Polo G,6AgTAQt8XS6jRWi4sX7w49,245704,82,chicago rap,0.862,0.689,1,-5.68,1,0.323,0.118,0,0.0729,0.364,83.964,4
No Cap (feat. Rich The Kid),7gYE3GWQN3Jf6z9J8EEbdy,2019-07-19T04:01:00Z,No Cap (feat. Rich The Kid),2019-05-06,260855,68,83 Babies,0IBDUrXqsJZAAnipcupIRc,4206,59,,0.815,0.454,8,-8.916,1,0.333,0.413,0,0.105,0.712,139.929,4
Tap (feat. Meek Mill),1xkMNjOFNCw3OCI7Gtjpjb,2019-07-19T04:01:00Z,Bad Habits,2019-03-22,148278,34,NAV,7rkW85dBwwrJtlHRDkJDAC,1466568,84,"canadian hip hop,pop,pop rap,rap,southern hip hop,toronto rap,trap music",0.901,0.676,2,-7.033,1,0.251,0.0646,0,0.0863,0.452,85.018,4
