track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Happy Now,14sOS5L36385FJ3OL8hew4,2019-05-24T09:55:12Z,Happy Now,2018-10-26,211362,83,Kygo,23fqKkggKUBHNkbKtXEls4,4872093,88,"edm,pop,tropical house",0.693,0.575,9,-6.998,1,0.0801,0.374,0,0.252,0.492,117.999,4
Heaven (feat. Veronica),5ql2mP9FUhB3SgMzv2akuO,2019-05-24T09:55:12Z,Heaven (feat. Veronica),2019-01-04,195000,70,Dzeko,5vQfv3s2Z2SRdPZKr82ABw,25579,74,"big room,canadian electronic,deep big room,edm,electro house,pop edm,progressive electro house",0.657,0.882,0,-3.565,0,0.0456,0.247,0.00202,0.112,0.179,127.994,4
High On Life (feat. Bonn),4ut5G4rgB1ClpMTMfjoIuy,2019-05-24T09:55:12Z,High On Life (feat. Bonn),2018-07-29,230761,80,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10106493,87,"big room,edm,pop,progressive house,tropical house",0.414,0.486,6,-6.431,0,0.0311,0.0129,0,0.111,0.368,128.038,4
Where Have You Gone (Anywhere),3zECQWhwAEydeK9jUTPamo,2019-05-24T09:55:12Z,Where Have You Gone (Anywhere),2018-09-28,158602,73,Lucas & Steve,5wwneIFdawNgQ7GvKK29Z3,222507,72,"big room,deep big room,edm,electro house,house,pop edm,progressive electro house,progressive house,tropical house,uk dance",0.618,0.767,5,-5.024,1,0.0489,0.00552,0,0.147,0.239,124.071,4
Better When You're Gone,4Tvw0lweq9l2JPQKFbpbBQ,2019-05-24T09:55:12Z,Better When You're Gone,2019-02-08,192402,81,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,18656686,90,"dance pop,edm,pop",0.647,0.795,1,-3.548,0,0.0372,0.0635,0,0.188,0.409,127.992,4
Side Effects - Fedde Le Grand Remix,7FDaS1k08rwMoAThmzUkOZ,2019-05-24T09:55:12Z,Side Effects - Remixes,2018-07-25,172360,66,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,12218979,90,"electropop,pop,tropical house",0.633,0.854,0,-4.046,0,0.0432,0.0382,2.83e-05,0.434,0.659,126.026,4
I Found You (with Calvin Harris),5sdb5pMhcK44SSLsj1moUh,2019-05-24T09:55:12Z,I Found You (with Calvin Harris),2018-11-02,191495,76,benny blanco,5CiGnKThu5ctn9pBxv7DGa,246575,84,"dance pop,pop,tropical house",0.775,0.872,6,-4.194,1,0.0469,0.033,0.0579,0.298,0.379,122.994,4
Burn Out (feat. Dewain Whitmore),7IWTIkiWGWNQyYfOLdMrGD,2019-05-24T09:55:12Z,Burn Out (feat. Dewain Whitmore),2018-09-14,200322,74,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10106493,87,"big room,edm,pop,progressive house,tropical house",0.594,0.722,4,-5.751,0,0.0398,0.0156,0,0.0667,0.407,127.877,4
Nothing Breaks Like a Heart - Don Diablo Remix,5xBafmhrJzzMsd1dxErIbJ,2019-05-24T09:55:12Z,Nothing Breaks Like a Heart (Don Diablo Remix),2019-01-25,216774,69,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,541117,82,"dance pop,pop",0.712,0.871,7,-3.571,0,0.225,0.179,1.94e-06,0.203,0.379,123.974,4
Don’t Tell Me,7gq9Mo03Zr417T2C5sgR03,2019-05-24T09:55:12Z,Don't Tell Me,2019-01-18,173571,65,Matisse & Sadko,2QMCcKIPHnjQaPPgoEst88,54806,67,"big room,deep big room,edm,electro house,pop edm,progressive electro house,progressive house",0.597,0.785,4,-3.219,0,0.04,0.113,0,0.336,0.575,126.002,4
Save Me Tonight,1nufXiTCTTAeJfO9hLHvO8,2019-05-24T09:55:12Z,Save Me Tonight,2019-01-25,170079,70,ARTY,1rSGNXhhYuWoq9BEz5DZGO,118488,68,"big room,edm,electro house,pop edm,progressive electro house,progressive house,progressive trance,trance,tropical house,uplifting trance",0.55,0.899,5,-3.284,0,0.0458,0.0113,9.65e-05,0.137,0.408,125.85,4
