track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,2019-07-05T04:01:00Z,Goodbyes (Feat. Young Thug),2019-07-05,174960,77,Post Malone,246dkjvS1zLTtiykXe5h60,15194199,96,"dfw rap,pop,rap",0.593,0.645,5,-3.71,1,0.0809,0.473,0,0.108,0.183,149.853,4
Proud,4YXKVaWzHaVyDq2pVS5cgR,2019-07-05T04:01:00Z,Joytime III,2019-07-03,191000,67,Marshmello,64KEffDW9EtZ1y2vBYgq8T,13696531,93,"brostep,egyptian pop,progressive electro house",0.521,0.716,0,-4.999,1,0.0364,0.0372,0,0.148,0.12,77.562,4
Best Part of Me (feat. YEBBA),5ug4vqGZ3eisGhY1IsziNX,2019-07-05T04:01:00Z,Best Part of Me (feat. YEBBA),2019-07-05,243266,70,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,46688461,98,"pop,uk pop"
"Costa Rica (feat. Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",1MJYFJ2igOWZpTo2kDcolx,2019-07-05T04:01:00Z,ROTD3.COM,2019-07-01,217866,68,Dreamville,1iNqsUDUraNWrj00bqssQG,74685,78,"hip hop,rap,underground hip hop",0.832,0.648,7,-6.383,0,0.37,0.532,0,0.0705,0.624,120.933,4
Glass House (feat. Naomi Wild),0YP8kt3sAYTj6eEyesreQH,2019-07-05T04:01:00Z,Hotel Diablo,2019-07-05,201740,61,Machine Gun Kelly,6TIYQ3jFPwQSRmorSezPxX,1514718,83,"hip hop,pop rap,rap"
Phone Numbers,3f9Mzvd3URfbbIJBX4pz9Z,2019-07-05T04:01:00Z,Phone Numbers,2019-07-04,146826,58,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,102295,79,alternative pop rock,0.884,0.539,1,-6.389,0,0.208,0.239,0,0.0805,0.776,85.008,4
gone girl,6G0FACzGN80Dj2v4ass5rq,2019-07-05T04:01:00Z,gone girl,2019-07-04,136568,63,iann dior,6ASri4ePR7RlsvIQgWPJpS,65622,73,"emo rap,vapor trap",0.677,0.714,11,-5.637,1,0.0287,0.162,0,0.0717,0.355,94.956,4
Happy Days,4rCNq8D7JvhYUUzGgn35pL,2019-07-05T04:01:00Z,Happy Days,2019-07-01,179000,63,blink-182,6FBDaR13swtiWwGhX1WQsP,5087383,83,"modern rock,pop punk,punk,socal pop punk",0.535,0.875,11,-4.501,1,0.0586,0.00278,0,0.126,0.655,154.976,4
BLOW (with Chris Stapleton & Bruno Mars),6EbduYTr62sSzvl36wWiFM,2019-07-05T04:01:00Z,BLOW (with Chris Stapleton & Bruno Mars),2019-07-05,209120,67,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,46688461,98,"pop,uk pop"
Linked,0izbMfR7hvGHEoGBD5bBli,2019-07-05T04:01:00Z,Linked,2019-07-01,369461,25,Bonobo,0cmWgDlu9CwTgxPhf403hb,890746,71,"acid jazz,downtempo,electronic,indietronica,jazztronica,ninja,nu jazz,trip hop",0.713,0.725,6,-9.951,1,0.0385,0.539,0.886,0.111,0.24,122.041,4
Run it Up,41MlSJxqdr60xsfYocAgRA,2019-07-05T04:01:00Z,Joytime III,2019-07-03,142500,64,Marshmello,64KEffDW9EtZ1y2vBYgq8T,13696531,93,"brostep,egyptian pop,progressive electro house",0.422,0.875,11,-3.3,0,0.296,0.0084,1.07e-06,0.396,0.594,71.761,4
