track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Début,6YS1MXqso0zlmcL4OV1kXk,2019-05-03T21:27:48Z,En t'attendant,2011-05-02,160066,68,Mélanie Laurent,7HS5tD2CPw2AgG4AgWpxpN,40972,62,french pop,0.377,0.0239,0,-30.245,1,0.0403,0.99,0.882,0.0998,0.0629,119.263,4
Gaze,2XeZi7qwChzLOt32tsoPXV,2019-05-03T21:27:48Z,Gaze,2017-01-06,160160,66,Moux,4jsMhXef3DBlwIfiVLEGDZ,3191,62,focus,0.574,0.0577,3,-22.165,0,0.0393,0.991,0.912,0.111,0.0849,140.994,3
Where's My Love - Piano Solo,7ih16mauHrpUMOIeWEOyVO,2019-05-03T21:27:48Z,Where's My Love (Piano Solo),2017-05-05,274493,24,SYML,6AyATGg7mDgBlZ4N5uNog0,153431,71,"indie anthem-folk,indie cafe pop,indie folk",0.539,0.0511,3,-16.503,1,0.0588,0.989,0.928,0.127,0.135,179.994,4
A Catalogue Of Afternoons,42c1ppLBsSbUjFNDzYLY10,2019-05-03T21:27:48Z,A Catalogue Of Afternoons,2018-04-20,110880,66,Max Richter,2VZNmg4vCnew4Pavo8zDdW,360110,77,"compositional ambient,focus,soundtrack",0.124,0.0924,11,-31.726,1,0.0412,0.996,0.848,0.0935,0.135,205.999,5
igloo - acoustique,6BiU4ludo2zY6YqmUdmdly,2019-05-03T21:27:48Z,eviction sessions,2018-11-30,182040,62,Jean-Michel Blais,2uHlq6ERoXk8dqRZmq2OEr,26215,64,"compositional ambient,focus,neo-classical",0.315,0.0196,1,-34.737,0,0.0319,0.988,0.952,0.221,0.15,102.44,4
Norrsken,3toYHht60pj16nNK0e2HZy,2019-05-03T21:27:48Z,Norrsken,2016-07-20,95316,64,Karin Borg,0mWi0Jr9Ir8GPGVBpQqI1W,5018,59,focus,0.278,0.0434,0,-22.396,0,0.0383,0.98,0.919,0.121,0.0397,133.853,4
Strata,0NkxSU0b1Jsw6yK2mJZru3,2019-05-03T21:27:48Z,Sketches,2017-08-04,273165,58,Poppy Ackroyd,5q3wKuiaCK8BRPZQSvehFd,15269,61,"bow pop,compositional ambient,focus,neo-classical",0.32,0.0773,4,-27.053,0,0.0644,0.991,0.909,0.075,0.0368,73.589,4
Downstreams,0PfQd8JoZTLC7QmuSALrnH,2019-05-03T21:27:48Z,Downstreams,2018-05-06,138810,63,Max Swan,2d1JYQW1AqWDJYigDlLLPj,864,57,focus,0.383,0.0444,10,-25.15,0,0.0536,0.991,0.956,0.112,0.162,69.647,3
Interlude For Piano,0gQiiQnqlY45tRn6AAh8Hj,2019-05-03T21:27:48Z,Between Us,2011-06-14,115546,19,Peter Bradley Adams,0CdbG1eHVjqjkQsGoH2u1V,65226,62,"acoustic pop,chamber pop,folk-pop,indie folk,indiecoustica,neo mellow,new americana,stomp and holler",0.218,0.00993,2,-28.235,1,0.0424,0.973,0.922,0.0602,0.153,68.65,5
Our Remains - For Piano,2aqtO1TsSu7sI9J3fGgRmj,2019-05-03T21:27:48Z,Our Remains (For Piano),2019-03-29,178881,65,Beta Radio,0syIRg9MPSpJIC0QCPUaHB,38136,62,"acoustic pop,chamber pop,folk-pop,indie anthem-folk,indie folk,indiecoustica,new americana,stomp and flutter,stomp and holler",0.543,0.0389,9,-19.496,0,0.0654,0.995,0.906,0.143,0.346,76.869,4
Lucida,316nnoeN99STxwMJWNnH0a,2019-06-26T11:31:27Z,Lucida,2019-06-07,127250,59,Odin Sørlie,5El7zD8iCQu87fDwPBlPbN,11,50,,0.377,0.0306,5,-28.678,1,0.0423,0.995,0.92,0.108,0.235,93.243,3
Plus tôt,3ODEuZjfxec5fYnzVhxANv,2019-05-03T21:27:48Z,Plus tôt,2018-05-31,179895,64,Alexandra Streliski,0HyM2wwUfOsZYD4Dj5IOOZ,21452,66,"focus,indie quebecois,neo-classical",0.335,0.154,2,-20.918,1,0.0417,0.964,0.918,0.106,0.186,133.951,1
Wolfpack,2uaSFwufXiS5OuuN4sqFGv,2019-06-12T11:13:12Z,Dear Sleep,2019-06-07,211619,62,Johannes Bornlöf,1yLIaxyVkZnLMXhfRSYEjV,19786,69,focus,0.367,0.0367,11,-23.052,0,0.0404,0.985,0.944,0.0919,0.0814,69.542,3
Dear Lara,4zXzlkdNOLcd1BHFVYeTe2,2019-05-03T21:27:48Z,Dear Lara,2019-02-10,83750,62,Lorraine J. Kovach,3H92L5ns19ZFEIcvVj2KhY,34,53,,0.582,0.0305,7,-20.496,0,0.095,0.995,0.964,0.111,0.445,76.68,3
Preludium,4rifuSeAw7WGLKSLgAGIJU,2019-07-04T09:06:01Z,Preludium,2019-03-15,165633,57,Robin Bennich,1GfrQqvl1vPBIgZZJTDAvM,47,48,,0.32,0.221,4,-21.398,1,0.0391,0.992,0.946,0.101,0.453,68.639,3
Qi,2PgVEaqgmMh1hdhcnuqDEd,2019-05-03T21:27:48Z,Qi,2015-02-04,326023,64,PHILDEL,7B0uXJvJUTwwbeSToeZeJ4,28455,56,uk alternative pop,0.187,0.24,7,-15.324,0,0.0409,0.974,0.897,0.183,0.0765,142.546,4
Song for A,181ybi6b0dYJBcQzETKv67,2019-05-03T21:27:48Z,Song for A,2016-07-16,145811,67,Charlie Key,7ELVHaQs7k7LmWozyBJXzM,2674,61,"focus,neo-classical",0.466,0.00472,5,-28.546,1,0.0531,0.992,0.938,0.0712,0.233,81.181,4
Ouka,5PmphV79Uwa13Ki91EYDFp,2019-06-26T11:31:27Z,Ouka,2019-05-24,213990,57,Daigo Hanada,7kxdoQTibsQW5pOim1p2i3,3699,61,"compositional ambient,focus,neo-classical",0.223,0.032,10,-30.058,0,0.0472,0.964,0.903,0.0866,0.094,116.932,4
Improv #10 - One Last Thought,4ponbmD53QAmxjHyXCHDFo,2019-05-03T21:27:48Z,Piano Project,2016-04-11,167000,63,The Daydream Club,3U6eCXHFS6wQVuFuqeW09m,8622,59,,0.452,0.0669,9,-19.454,0,0.0388,0.994,0.914,0.0966,0.197,74.852,1
Længsel,1lwVlrh8sqai2WuvVqfZYy,2019-07-11T08:43:11Z,Længsel,2019-06-29,115750,46,Tosh Møller,2CUZliHXKYjXEV2BOZqMvi,2,36,,0.34,0.0456,1,-26.886,1,0.0722,0.994,0.962,0.113,0.307,130.58,4
Bergamo,1bHXbuM7CqRCSn5Zg1knnZ,2019-05-03T21:27:48Z,Bergamo,2019-02-10,126888,64,Renato Luigi,6BXKYC9Iz51qNqjpAnu72f,58,57,,0.265,0.0365,0,-24.41,1,0.0501,0.991,0.926,0.0872,0.168,69.552,4
Remove The Complexities,4xfCXK9eixyPpn9SWbvPog,2019-05-03T21:27:48Z,Dismantle,2016-06-17,135668,21,Peter Sandberg,3LtlJprzuq0Ii8p8YFZXai,22999,67,"focus,neo-classical",0.235,0.111,4,-21.701,1,0.0323,0.987,0.949,0.122,0.104,167.205,5
For Stormboy,1gLbbnyTOnx6LrCQ87c0gp,2019-05-03T21:27:48Z,Ambrosia (Official Soundtrack),2015-07-28,96500,63,Rhiannon Bannenberg,5gXJLUsp1nn6OPYnXczUHy,2828,57,focus,0.197,0.0473,8,-29.125,0,0.0441,0.992,0.861,0.0878,0.127,123.367,3
Grace,3kCv0qog8yLPc5P262zMOi,2019-07-04T09:06:01Z,Grace,2019-06-30,135253,60,Carl Stark Willgold,6NlWW71ojh1uY2qoQorYr9,2,50,,0.238,0.0309,3,-24.666,1,0.0486,0.983,0.918,0.116,0.377,76.389,3
The Book of Jen,7LnU4vflcZ8fyuFaVxGtuN,2019-05-03T21:27:48Z,The Book of Jen,2018-08-15,167882,68,Tedosio,3El5MgGZoJYZvUhnn9O94A,623,59,focus,0.278,0.017,0,-22.542,0,0.0344,0.976,0.935,0.15,0.0381,72.951,5
Prelude In G Major,70FROKEHubzMxSstCgaZZl,2019-06-26T11:31:27Z,Bach Reworks (Pt. 2),2019-04-26,234880,56,Víkingur Ólafsson,0iqgjl0OG3z53PZVIB7ZyD,8398,58,"classical piano,compositional ambient",0.314,0.0249,7,-34.402,1,0.0469,0.995,0.938,0.0914,0.238,102.328,5
The Road to Mandalay,0119caMtQHReUG2YpMbhyr,2019-05-03T21:27:48Z,The Road to Mandalay,2019-03-19,215000,40,Guy Chambers,1hxkikLyXDIwfMF6dt50Gr,817,52,,0.353,0.032,0,-26.106,0,0.052,0.992,0.913,0.116,0.239,87.359,4
