track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Brisa,5rNNZ6fVYxkhwqUfImVhU1,2019-05-10T10:17:53Z,Brisa,2019-04-18,151500,68,IZA,3zgnrYIltMkgeejmvMCnes,1182891,69,"baile pop,pop nacional,r&b brasileiro",0.693,0.822,8,-2.478,1,0.259,0.459,0,0.261,0.791,159.663,4
Onda diferente (feat. Papatinho),2H8ETIUEoN9YMf56X66bxd,2019-05-10T10:17:53Z,Kisses,2019-04-05,160900,80,Anitta,7FNnA9vBm6EKceENgCGRMb,7443572,87,"baile pop,funk carioca,funk das antigas",0.705,0.721,1,-5.545,0,0.514,0.333,0,0.101,0.574,75.132,4
Pior Que Possa Imaginar,40s35Bws3HIO5DLRlrosyL,2019-05-10T10:17:53Z,Pior Que Possa Imaginar,2019-03-22,136406,71,Luísa Sonza,4PzYKhC14sTJNEr0dzoo0d,467083,66,"baile pop,funk carioca,pop nacional",0.655,0.816,10,-4.604,0,0.0372,0.297,0.000158,0.299,0.644,102.052,4
A boba fui eu (Participação especial de Jão) - Ao vivo,4Y9DWmJ0Pbz5QWODRG1YKr,2019-05-10T10:17:53Z,A boba fui eu (Participação especial de Jão) [Ao vivo],2019-05-03,251500,65,Ludmilla,3CDoRporvSjdzTrm99a3gi,2615843,76,"baile pop,funk carioca,funk das antigas",0.71,0.737,8,-5.872,0,0.0454,0.755,0,0.912,0.42,120.956,4
Hoje Lembrei Do Teu Amor,64Z7zO9eYMqznZAw1vXj2i,2019-05-10T10:17:53Z,Reconstrução,2019-05-05,243607,69,Tiago Iorc,4iWkwAVzssjb8XgxdoOL6M,2279732,76,"baile pop,folk brasileiro,mpb,nova mpb",0.689,0.531,6,-9.669,0,0.056,0.269,1.25e-05,0.14,0.685,139.923,4
Café,7uADzGJikvFYjfx7ITSJDO,2019-05-10T10:17:53Z,Café,2019-03-08,190434,48,Vitão,06lnOkY99sXVW44Y0M4BDP,75691,70,pop nacional,0.776,0.5,11,-4.788,1,0.0979,0.0537,0,0.344,0.491,92.027,4
Ouvi Dizer,1qCLx3nX25NuhfPjM5E1qV,2019-05-10T10:17:53Z,Melim,2018-06-08,210889,78,Melim,6uYrXgVHctAJtIdSODcyLJ,1008986,75,"baile pop,mpb,nova mpb,pop nacional",0.641,0.614,7,-7.847,1,0.0532,0.0745,0,0.093,0.727,81.011,4
Andar Sozinho (feat. Jão),6VgqKm7c4chTnDmyInAxPS,2019-05-10T10:17:53Z,Andar Sozinho (feat. Jão),2019-05-10,180213,51,Lagum,5D56dZmhE9DgT01XixdHiD,178867,70,"belo horizonte indie,brazilian electronica,funk carioca,nova mpb",0.785,0.439,5,-8.223,0,0.0374,0.176,0,0.335,0.437,130.021,4
Salvou meu dia (Participação especial de Gusttavo Lima),7CBImG41isOs2r7lQU7CCy,2019-05-10T10:17:53Z,Salvou meu dia (Participação especial de Gusttavo Lima),2019-04-30,163666,69,MC Kevinho,1mXAhKnZEdF6rotyyd4GBi,6131822,78,"funk carioca,funk ostentacao",0.782,0.73,11,-2.688,0,0.0807,0.409,0,0.326,0.83,162.077,4
Combate,2gV8yu7sEnewmsVa4CnbOG,2019-05-10T10:17:53Z,Combate,2019-04-26,179253,54,UM44K,3zhKxZr516VdNDa8v3oft2,840172,70,"funk carioca,nova mpb",0.663,0.597,6,-6.116,1,0.145,0.315,0,0.0974,0.831,88.04,4
Dizeres,3Vc8vnid3noqupe9PvUKxP,2019-05-10T10:17:53Z,Dizeres,2018-12-07,257645,72,Orgânico,5UOOgRWguRmVZo1voJuQpf,10065,64,brazilian hip hop,0.832,0.484,10,-4.06,1,0.189,0.665,1.02e-05,0.0822,0.83,142.111,4
Idas e Vindas,37I2kAE7QRxd9WCax1Z9dE,2019-05-10T10:17:53Z,Idas e Vindas,2019-01-27,238763,62,MTK,6Wovvjcj6QZTEyKRkXdLL9,1846,52,,0.671,0.484,1,-10.339,0,0.047,0.658,0,0.0778,0.557,123.866,4
Bola Rebola,1OUPXna2MCgAt3VNmXJBtg,2019-05-10T10:17:53Z,Bola Rebola,2019-02-22,193440,84,Tropkillaz,5bzWtCkjIAMgN93gLt56SO,146882,74,"baile pop,bass trap,electronic trap,funk carioca,pop nacional",0.834,0.777,5,-4.538,0,0.0593,0.22,0.00609,0.335,0.865,129.984,4
Ela É do Tipo,2x8TNY9KwNvD19gVGs4WOP,2019-05-10T10:17:53Z,Ela É do Tipo,2019-03-07,204930,83,MC Kevin o Chris,2UMj7NCbuqy1yUZmiSYGjJ,91346,79,funk carioca,0.632,0.398,6,-6.615,1,0.373,0.945,0,0.228,0.633,90.695,4
