track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Special,0WcIO2suuZIgpfSTZzQqJY,2019-06-14T04:01:00Z,Special,2019-06-13,172605,50,Simple Creatures,4svozL97Y6aqWeZNJPqvsL,40677,57,pop punk,0.692,0.513,8,-4.916,1,0.0424,0.039,0,0.0785,0.56,81.003,4
I Think I'm OKAY (with YUNGBLUD & Travis Barker),6bWBLZLBRQEJ5KsLicouNB,2019-06-14T04:01:00Z,I Think I'm OKAY (with YUNGBLUD & Travis Barker),2019-06-06,170439,75,Machine Gun Kelly,6TIYQ3jFPwQSRmorSezPxX,1474017,80,"hip hop,pop rap,rap",0.624,0.726,7,-4.691,1,0.036,0.0327,0,0.3,0.24,119.94,4
2all,0ZfEeIu7CNHQhbCTiVv3cx,2019-06-14T04:01:00Z,The Balance,2019-04-26,188440,64,Catfish and the Bottlemen,2xaAOVImG2O6lURwqperlD,662558,76,"indie rock,modern alternative rock,modern rock,rock,stomp pop,welsh rock",0.396,0.778,7,-3.99,0,0.0718,0.00246,0.00291,0.0952,0.362,166.846,4
Can't Stop The Bleeding (feat. Gary Clark Jr. & Gramatik),79DQcqdOuzHH5g0fI8KShf,2019-06-14T04:01:00Z,Can't Stop The Bleeding (feat. Gary Clark Jr. & Gramatik),2019-04-11,278297,60,Tom Morello,74NBPbyyftqJ4SpDZ4c1Ed,50044,61,modern alternative rock,0.523,0.896,11,-3.221,0,0.138,0.00283,0.0315,0.183,0.639,188.137,4
Blame It On My Youth,5VYRZ0PFFpHX8Hp0turWxI,2019-06-14T04:01:00Z,Blame It On My Youth,2019-05-08,186000,70,blink-182,6FBDaR13swtiWwGhX1WQsP,5013884,82,"modern rock,pop punk,punk",0.452,0.936,8,-3.028,1,0.19,0.0331,0,0.197,0.666,170.12,4
mother tongue,5IwUFTiNkarb5HEtNRtRtc,2019-06-14T04:01:00Z,amo,2019-01-25,217424,67,Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,2391548,79,"melodic metalcore,metalcore,rock,screamo,uk metalcore",0.598,0.872,6,-4.567,0,0.0328,0.0196,0,0.326,0.609,107.009,4
Go,1IWom0fqK0dJKITk1H95BB,2019-06-14T04:01:00Z,Go / Eagle Birds / Lo/Hi,2019-05-16,146596,70,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,2806341,78,"alternative rock,blues-rock,garage rock,indie rock,modern blues rock,modern rock,punk blues,rock",0.478,0.666,1,-7.766,1,0.0566,0.0428,0.725,0.336,0.718,149.974,4
Rebel Girl,1EEt3kxO1yZSZd13DqvT8f,2019-06-14T04:01:00Z,Rebel Girl,2019-04-30,226007,64,Angels & Airwaves,7xklw3WodFZiNNmQt3DIgp,344543,65,"emo,modern rock,pop rock",0.582,0.946,0,-3.801,1,0.034,9.66e-05,0.00129,0.251,0.806,124.986,4
Parents,3zR5cAShCz1ugKIWXGTjI3,2019-06-14T04:01:00Z,Parents,2019-05-24,172026,69,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,221277,75,"british indie rock,modern rock",0.594,0.833,9,-4.287,0,0.0507,0.00967,0,0.3,0.599,82.041,4
"Bullet Holes (From ""John Wick: Chapter 3 - Parabellum"")",4Nr465nCPqLBUi6xmms5uL,2019-06-14T04:01:00Z,"Bullet Holes (From ""John Wick: Chapter 3 - Parabellum"")",2019-05-17,226666,60,Bush,78SHxLdtysAXgywQ4vE0Oa,806345,68,"alternative metal,alternative rock,grunge,modern rock,nu metal,pop rock,post-grunge,rock",0.49,0.82,8,-4.122,1,0.0614,0.00493,3.68e-05,0.129,0.358,149.943,4
Shockwave,2UnqgtIfVMfZOvCDGZuUMI,2019-06-14T04:01:00Z,Shockwave,2019-06-07,211191,66,Liam Gallagher,6sN51vEARnAAdBw1IKZ8Q9,417659,65,"britpop,indie rock,rock",0.434,0.891,2,-3.238,0,0.0439,7.56e-06,0,0.257,0.39,123.958,4
Hurricane,2GFwwTIVLjnOrtP7m9luHC,2019-06-14T04:01:00Z,TRAUMA,2019-03-29,223173,66,I Prevail,3Uobr6LgQpBbk6k4QGAb3V,422779,74,"nu-metalcore,screamo",0.389,0.885,6,-5.063,0,0.0551,0.000372,0.000311,0.202,0.187,164.989,4
Edge Of Darkness,4rhUBIlzi7zgV7TryhVujl,2019-06-14T04:01:00Z,From The Fires,2017-11-10,268400,64,Greta Van Fleet,4NpFxQe2UvRCAjto3JqlSl,864875,74,"modern blues rock,modern hard rock,rock",0.452,0.944,2,-3.785,1,0.0587,0.00717,0.161,0.0766,0.673,148.07,4
Die Happy,3sZSnOUL2kskr3gpyXCEWk,2019-06-14T04:01:00Z,Die Happy,2019-02-22,186902,46,DREAMERS,1FgsVeOhRYuSw2ghkIXV0A,60431,64,"indie pop,indie poptimism,modern alternative rock,modern rock",0.573,0.875,0,-3.841,1,0.0297,0.000456,0,0.403,0.843,102.003,4
Way Down,31cVLkCPfvIyWiqiCZhDqm,2019-06-14T04:01:00Z,Way Down,2019-04-15,201229,56,The Dangerous Summer,0iMnpaEHXkgMT956CmP1kj,44062,56,"alternative emo,anthem emo,dreamo,emo,neon pop punk,pop emo,pop punk",0.401,0.923,8,-5.596,1,0.0469,0.0037,0,0.469,0.237,83.241,4
Miracle Man,6VWnV3to6fZdaLQyhhLPRE,2019-06-14T04:01:00Z,Miracle Man,2019-06-06,124680,69,Oliver Tree,6TLwD7HPWuiOzvXEa3oCNe,275102,74,alternative hip hop,0.677,0.46,0,-8.175,1,0.0312,0.0754,0,0.429,0.677,139.982,4
Apologize,1JG8pJ7G8qJiy98DzCBL2E,2019-06-14T04:01:00Z,Apologize,2019-02-01,198693,68,grandson,4ZgQDCtRqZlhLswVS6MHN4,280791,73,"modern alternative rock,modern rock",0.535,0.836,2,-5.593,1,0.0746,0.00121,0,0.102,0.443,85.005,4
