track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
bad guy,2Fxmhks0bxGSBdJ92vM42m,2019-06-07T04:01:00Z,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,194087,100,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,8598580,100,"electropop,pop",0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4
Find U Again (feat. Camila Cabello),1HpzOCZbNWzxvvXfSGtSrX,2019-06-07T04:01:00Z,Find U Again (feat. Camila Cabello),2019-05-30,176416,83,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,553175,84,"dance pop,pop",0.605,0.664,8,-7.162,1,0.0316,0.00548,3e-06,0.204,0.164,103.997,4
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,2019-06-07T04:01:00Z,I Don't Care (with Justin Bieber),2019-05-10,219946,99,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,45193444,97,"pop,uk pop",0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,4
Only Human,0DiDStADDVh3SvAsoJAFMk,2019-06-07T04:01:00Z,Happiness Begins,2019-06-07,183000,71,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,2299002,88,"boy band,dance pop,pop,post-teen pop",0.793,0.49,2,-5.857,0,0.0784,0.121,0,0.0638,0.838,94.006,4
Sucker,4y3OI86AEP6PQoDE6olYhO,2019-06-07T04:01:00Z,Sucker,2019-03-01,181040,94,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,2299002,88,"boy band,dance pop,pop,post-teen pop",0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,4
If I Can't Have You,6LsAAHotRLMOHfCsSfYCsz,2019-06-07T04:01:00Z,If I Can't Have You,2019-05-03,190800,95,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,17039495,93,"canadian pop,dance pop,pop,post-teen pop,viral pop",0.692,0.809,2,-4.198,1,0.0602,0.524,0,0.147,0.864,123.911,4
7 rings,6ocbgoVGwYJhOv1GgI9NsF,2019-06-07T04:01:00Z,"thank u, next",2019-02-08,178626,88,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,30346061,96,"dance pop,pop,post-teen pop",0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,4
Heaven,0vrmHPfoBadXVr2n0m1aqZ,2019-06-07T04:01:00Z,TIM,2019-06-06,277261,76,Avicii,1vCWHaC5f2uS3yhpwWbIA6,13596685,92,"big room,edm,pop",0.592,0.873,9,-5.65,1,0.0275,0.0715,0.00982,0.142,0.516,122.011,4
Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,2019-06-07T04:01:00Z,Dancing With A Stranger (with Normani),2019-01-11,171029,91,Sam Smith,2wY79sveU1sp5g7SokKOiI,8622449,90,"pop,post-teen pop",0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,4
Never Really Over,5PYQUBXc7NYeI1obMKSJK0,2019-06-07T04:01:00Z,Never Really Over,2019-05-31,223523,87,Katy Perry,6jJ0s89eD6GaHleKKya26X,13040698,88,"dance pop,pop,post-teen pop",0.77,0.882,8,-4.792,1,0.0602,0.194,0,0.316,0.385,99.991,4
i'm so tired...,7COXchtUOMd6uIT6HvmRaI,2019-06-07T04:01:00Z,i'm so tired...,2019-01-24,162582,90,Lauv,5JZ7CnR6gTvEMKX4g70Amv,1296061,88,"dance pop,pop,post-teen pop",0.599,0.733,11,-7.058,1,0.203,0.176,0,0.242,0.534,102.211,4
Easier,4tNXntkAzQ5A2dfYRYGIIQ,2019-06-07T04:01:00Z,Easier,2019-05-23,157492,87,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,4690292,88,"boy band,dance pop,pop,post-teen pop",0.648,0.433,2,-5.533,0,0.147,0.496,0,0.0996,0.614,87.997,4
Rescue Me,0mjAU3yKR1QnXnHtjGJqTM,2019-06-07T04:01:00Z,Rescue Me,2019-05-17,158899,87,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,7686336,86,"dance pop,piano rock,pop,pop rap,pop rock,post-teen pop",0.759,0.605,7,-7.737,1,0.0433,0.156,0,0.694,0.64,121.049,4
Call You Mine (with Bebe Rexha),05CwHjIk71RXVU40boRMnR,2019-06-07T04:01:00Z,World War Joy,2019-05-31,217653,83,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,12454417,91,"edm,electropop,pop,tropical house",0.591,0.702,7,-5.59,1,0.0289,0.225,0,0.414,0.501,104.003,4
Boy With Luv (feat. Halsey),5KawlOMHjWeUjQtnuRs22c,2019-06-07T04:01:00Z,MAP OF THE SOUL : PERSONA,2019-04-12,229773,92,BTS,3Nrfpe0tUJi4K4DXYWgMUX,11323349,94,"k-pop,k-pop boy group",0.645,0.862,11,-4.757,0,0.0965,0.0923,0,0.192,0.798,119.991,4
Mad Love,79JBjIq90BrQ8Ws0pUhlzD,2019-06-07T04:01:00Z,Mad Love,2019-06-07,169813,66,Mabel,1MIVXf74SZHmTIp4V4paH4,256160,83,"dance pop,pop,post-teen pop,r&b,tropical house,uk pop",0.622,0.796,0,-2.999,0,0.172,0.667,0,0.106,0.62,197.705,4
Old Town Road - Remix,6u7jPi22kF8CTQ3rb9DHE7,2019-06-07T04:01:00Z,Old Town Road,2019-04-05,157066,98,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,313603,91,country rap,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,4
Dream Glow (BTS World Original Soundtrack) - Pt. 1,4c1WgUnHXq2LEncGHKgj1I,2019-06-07T04:01:00Z,Dream Glow (BTS World Original Soundtrack) [Pt. 1],2019-06-07,187457,73,BTS,3Nrfpe0tUJi4K4DXYWgMUX,11323349,94,"k-pop,k-pop boy group",0.735,0.74,0,-3.837,0,0.0519,0.0967,0,0.101,0.541,141.948,4
Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,2019-06-07T04:01:00Z,Ivy To Roses (Mixtape),2019-01-18,178480,92,Mabel,1MIVXf74SZHmTIp4V4paH4,256160,83,"dance pop,pop,post-teen pop,r&b,tropical house,uk pop",0.674,0.881,9,-2.853,1,0.147,0.296,3.01e-06,0.0793,0.234,98.994,4
In My Bed,2o0KMNhcw5KO7CuslvR4Xs,2019-06-07T04:01:00Z,In My Bed,2019-06-07,189980,57,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,2269231,81,"dance pop,pop,post-teen pop,viral pop",0.813,0.385,9,-6.024,0,0.095,0.0773,0.00229,0.0847,0.666,109.046,4
