track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Lover,0bzbvANY6oETSJLc0wlVGY,2019-08-23T04:01:39Z,Lover,2019-08-16,221306,86,Taylor Swift,06HL4z0CvFAxyc27GXpf02,22297205,95,"dance pop,pop,post-teen pop",0.433,0.551,7,-7.684,1,0.0989,0.503,3.45e-05,0.148,0.498,205.716,3
Señorita,0TK2YIli7K1leLovkQiNik,2019-08-23T04:01:39Z,Señorita,2019-06-21,190960,100,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,19302304,96,"canadian pop,pop,viral pop",0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,4
How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,2019-08-23T04:01:39Z,How Do You Sleep?,2019-07-19,202204,93,Sam Smith,2wY79sveU1sp5g7SokKOiI,9471872,92,pop,0.477,0.682,1,-4.931,0,0.0925,0.153,0,0.0763,0.345,110.567,5
Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,2019-08-23T04:01:39Z,Goodbyes (Feat. Young Thug),2019-07-05,174960,95,Post Malone,246dkjvS1zLTtiykXe5h60,16655509,96,"dfw rap,pop,rap",0.58,0.653,5,-3.818,1,0.0745,0.447,0,0.111,0.175,150.231,4
boyfriend (with Social House),0Ryd8975WihbObpp5cPW1t,2019-08-23T04:01:39Z,boyfriend,2019-08-02,186106,92,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,34419711,95,"dance pop,pop,post-teen pop",0.4,0.795,10,-3.731,0,0.461,0.119,0,0.159,0.702,190.097,4
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,2019-08-23T04:01:39Z,Divinely Uninspired To A Hellish Extent,2019-05-17,182160,90,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,1007000,88,"pop,uk pop",0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,4
Dance Monkey,421leiR6jKlH5KDdwLYrOs,2019-08-23T04:01:39Z,Dance Monkey,2019-05-10,209754,83,Tones and I,2NjfBq1NflQcKSeiDooVjY,54075,81,australian pop,0.824,0.592,6,-6.4,0,0.0969,0.693,0.000158,0.178,0.54,98.074,4
Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,2019-08-23T04:01:39Z,Beautiful People (feat. Khalid),2019-06-28,197866,93,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,49645372,100,"pop,uk pop",0.64,0.648,5,-8.113,0,0.187,0.124,0,0.0802,0.548,92.977,4
Ransom,1kBbgxAUc4HQv7cgIayIDH,2019-08-23T04:01:39Z,Ransom,2019-06-04,131280,95,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,395227,88,trap music,0.745,0.642,7,-6.257,0,0.287,0.0204,0,0.0658,0.226,179.974,4
"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",322tcqPhma7F6hfCeLisx0,2019-08-23T04:01:39Z,"fuck, i'm lonely (with Anne-Marie) (from “13 Reasons Why: Season 3”)",2019-08-02,198973,86,Lauv,5JZ7CnR6gTvEMKX4g70Amv,1572302,87,"dance pop,pop,post-teen pop",0.806,0.558,9,-6.46,1,0.0683,0.482,0,0.0618,0.678,95.016,4
