track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Sentou e Gostou,6V43u5SCjkfMpxMAXRPifr,2019-08-09T02:57:00Z,Sentou e Gostou,2019-07-01,163253,76,MC JottaPê,5GqnSMX8p2hxqsM6LqDty3,24876,66,,0.702,0.672,7,-3.308,1,0.397,0.261,0.000988,0.0916,0.722,131.453,4
Hit Contagiante,5dKesZwp6deuhEeW8F1UEi,2019-08-09T02:57:00Z,Hit Contagiante,2019-07-26,137125,70,Felipe Original,2Cra8I2P4OnMkVguqZRVwi,1305,60,funk carioca,0.819,0.684,6,-7.169,0,0.119,0.132,0,0.0942,0.959,170.187,4
Uma nora pra cada dia,2bbFhnxYjeb9jYEX2MDKLQ,2019-08-09T02:57:00Z,Uma nora pra cada dia,2019-06-28,131200,78,MC Kevinho,1mXAhKnZEdF6rotyyd4GBi,6325944,77,"funk carioca,funk ostentacao",0.888,0.528,9,-8.751,0,0.192,0.0394,0,0.0964,0.924,150.181,4
Todo Mundo Vai Sofrer - Ao Vivo,4E6RdcCWMiHTu7zy1VTNDo,2019-08-09T02:57:00Z,"Todos Os Cantos, Vol. 2 (ao Vivo)",2019-05-17,154661,81,Marília Mendonça,1yR65psqiazQpeM79CcGh8,10362130,87,sertanejo,0.621,0.743,3,-3.864,1,0.0738,0.281,0,0.411,0.581,111.454,4
Bebe e Vem Me Procurar,2CDGHlrCDAcNbCFw7YuLu6,2019-08-09T02:57:00Z,Revigora,2019-06-14,154291,65,Saia Rodada,0xcSCzG87AgHso0rLl4die,386684,71,"axe,forro,pagode,sertanejo universitario",0.571,0.941,5,-6.712,0,0.0334,0.415,6.51e-06,0.299,0.969,169.95,4
Tijolão - Ao Vivo,6QwFUcPc5nhsqZuhXUYtV7,2019-08-09T02:57:00Z,Tijolão (ao Vivo),2019-05-24,175219,80,Jorge & Mateus,1elUiq4X7pxej6FRlrEzjM,10394200,82,"sertanejo,sertanejo universitario",0.637,0.877,4,-3.68,0,0.198,0.469,0,0.343,0.691,118.889,4
Lençol Dobrado,5pRGXCDY0eT6R1QicAn7Uk,2019-08-09T02:57:00Z,Espelho no Teto,2018-12-21,179164,80,João Gustavo e Murilo,6xerOqBLmelL3xZNZkVbGl,55850,71,sertanejo pop,0.707,0.664,2,-5.042,1,0.0382,0.361,0,0.331,0.674,124.991,4
Quarta Cadeira - Ao Vivo,5q0NlM6Pm8Pp3orq7zGiRn,2019-08-09T02:57:00Z,Tem Moda Pra Tudo (Ao Vivo),2019-03-22,224001,77,Matheus & Kauan,2Z0lRIqr997lIUiPtrpKCr,5964268,81,"pop nacional,sertanejo universitario",0.565,0.82,5,-5.031,0,0.243,0.589,0,0.621,0.604,76.471,4
quando a bad bater - ao vivo,1nVIlX3h3Ds9bH6JMQopIU,2019-08-09T02:57:00Z,quando a bad bater (ao vivo),2019-06-28,179722,78,Luan Santana,3qvcCP2J0fWi0m0uQDUf6r,3444450,76,"funk carioca,sertanejo,sertanejo universitario",0.647,0.787,1,-4.767,1,0.0413,0.307,0,0.532,0.535,128.121,4
Cobaia,6qDvzHbstT1Tr45okT8eN4,2019-08-09T02:57:00Z,Cobaia,2018-07-20,219442,76,Lauana Prado,6TYimByryGphZCtwYopH0y,465980,72,"sertanejo pop,sertanejo universitario",0.751,0.709,8,-4.216,1,0.0382,0.125,0,0.807,0.515,114.094,4
Ela Vem,31yFXM26dazFnWI2eoOM5R,2019-08-09T02:57:00Z,Ela Vem,2019-06-18,196800,70,MC G15,3Nipsl6GVwwGyeAk0J29C6,3071314,68,"brega funk,funk carioca,funk das antigas,funk ostentacao",0.616,0.634,11,-7.389,1,0.546,0.619,0,0.0732,0.586,185.186,5
Trip do Boyzinho,41GMwa6sCB3iA2aS5T30iE,2019-08-09T02:57:00Z,Trip do Boyzinho,2019-04-02,169903,67,Boyzinho o Rei da Bregadeira,3JlDzWcj1jl5fVSJ7YyHgK,22199,58,"forro,funk carioca,tecnobrega",0.734,0.75,5,-3.072,0,0.0465,0.158,0.048,0.784,0.529,135.974,4
Não sou obrigada,0nkDm27DGppCSk8dnGtvPa,2019-08-09T02:57:00Z,Não sou obrigada,2019-03-29,148340,74,POCAH,11iQCRz636WFdHj42qxAF6,13368,68,"baile pop,funk carioca",0.819,0.951,6,-2.896,0,0.141,0.356,0,0.145,0.963,153.963,4
Senta braba,2SgVsDXzET5EU8VngMh9dv,2019-08-09T02:57:00Z,Senta braba,2019-02-08,149615,74,MC WM,14D0I0RYqvIorkPL2EWoQh,2589420,70,"baile pop,funk carioca,funk ostentacao",0.876,0.724,7,-2.915,1,0.0955,0.228,0.000655,0.104,0.789,100.021,4
Quando a vontade bater (Participação especial de PK Delas),26WpOBpHiIMoBuMEIwtOCH,2019-08-09T02:57:00Z,Quando a vontade bater (Participação especial de PK Delas),2019-03-04,166400,78,Pk,5xYkM2vMrE23taj6tl7qkm,31302,71,funk carioca,0.621,0.7,8,-5.502,1,0.247,0.539,0,0.152,0.704,149.902,4
Brisa,5rNNZ6fVYxkhwqUfImVhU1,2019-08-09T02:57:00Z,Brisa,2019-04-18,151500,72,IZA,3zgnrYIltMkgeejmvMCnes,1323152,72,"baile pop,pop nacional,r&b brasileiro",0.693,0.822,8,-2.478,1,0.259,0.459,0,0.261,0.791,159.663,4
