track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Giving Up,20CZyFEt1f9MAikYqM7vjU,2019-06-14T08:01:00Z,Giving Up,2019-06-06,190466,60,Whitney,32aUoW94mJ7xTJI7fG0V1G,133413,64,"art pop,chamber pop,chicago indie,folk-pop,freak folk,indie folk,indie pop,indie rock,indietronica,modern rock,new americana,stomp and holler",0.64,0.6,6,-7.27,1,0.0345,0.603,0.468,0.109,0.161,90.519,4
Sunlight,6XpJw6mIuTQ7tPYTvjYyVX,2019-05-31T08:01:00Z,Sunlight,2019-05-14,212160,56,Yuno,36BjLtXEXIifbRrfc1Rtqa,21933,56,"gamecore,jacksonville indie",0.4,0.739,2,-6.763,1,0.0309,9.52e-06,0.443,0.117,0.531,76.977,4
Turn The Light,6vw4YLRXNvtFxA2yxVrR6H,2019-03-15T08:01:00Z,Lux Prima,2019-03-15,199320,58,Karen O,6emHCSoB4tJxTVXakbrpPz,96842,58,"art pop,folk-pop,indie pop,indie rock,new jersey indie,new rave",0.752,0.462,4,-10.538,0,0.0519,0.0454,0.000954,0.091,0.845,101.999,4
True Blue (feat. Angel Olsen),4iALA6dAUWWjONe6pPPSGs,2019-06-28T15:55:13Z,Late Night Feelings,2019-06-21,348488,60,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,584624,86,"dance pop,pop",0.558,0.781,6,-7.577,1,0.0611,0.0631,0.0177,0.55,0.514,101.84,4
Can I Call You Tonight?,5Ti99QiUdIwe0xG4gS22FL,2019-06-21T08:01:00Z,Fuzzybrain,2018-09-28,278769,66,Dayglow,6eJa3zG1QZLRB3xgRuyxbm,24385,59,austindie,0.641,0.842,9,-7.27,1,0.0292,0.132,0.91,0.419,0.5,129.98,4
Bags,6X3FZtz4cKU2MKSQlGG9ZG,2019-05-31T08:01:00Z,Bags,2019-05-24,260519,71,Clairo,3l0CmX0FuQjFxr8SK7Vqag,523573,78,"bedroom pop,boston indie,pop",0.742,0.546,1,-7.694,1,0.0315,0.172,0.38,0.115,0.868,104.996,4
When Am I Gonna Lose You,5wCVLW9qMtIY9IkBeyYnh6,2019-04-26T08:01:00Z,Violet Street,2019-04-26,264213,67,Local Natives,75dQReiBOHN37fQgWQrIAJ,413817,70,"chamber pop,electropop,folk-pop,indie folk,indie pop,indie rock,indietronica,la indie,modern rock,shimmer pop,stomp and holler",0.452,0.834,11,-4.657,1,0.0967,0.0417,0.00036,0.119,0.514,142.088,4
Metamodernity,61GiMDN1kUiEQK6zHGMdnx,2019-06-21T08:01:00Z,Metamodernity,2019-06-11,162663,51,Vansire,6ft7JnxMyZhp7N52qzHymY,35041,60,"bedroom pop,indie garage rock,rochester mn indie",0.822,0.544,5,-10.077,1,0.0358,0.389,0.165,0.108,0.826,121.968,4
Habit,1M321puDN1WBd5NF0ogOKW,2019-02-01T08:01:00Z,Habit,2018-12-07,153857,71,Still Woozy,4iMO20EPodreIaEl8qW66y,165232,73,"bedroom pop,indie r&b,oakland indie",0.766,0.402,1,-11.155,1,0.107,0.27,0.0007,0.106,0.466,125.107,4
Fall Down,5UoGeHzsUbEImTCwtLeM8K,2019-06-14T08:01:00Z,Fall Down,2019-05-29,173000,56,Crumb,4kSGbjWGxTchKpIxXPJv0B,111791,66,"indie garage rock,neo-psychedelic",0.715,0.53,7,-8.674,1,0.0284,0.487,0.902,0.196,0.606,120.021,4
Lately,2eozBltJ8YldbOryyWzSFc,2019-06-28T15:55:13Z,Lately,2019-05-29,194640,63,Metronomy,54QMjE4toDfiCryzYWCpXX,575997,68,"alternative dance,dance-punk,electronic,electropop,garage rock,indie rock,indietronica,modern rock,new rave,socal pop punk",0.667,0.674,8,-7.891,1,0.0603,0.0451,0.146,0.112,0.314,160.029,4
Stop Thinking (About Me),5dQcubBc2J3Pl0RVWL0wrb,2019-04-26T08:01:00Z,Stop Thinking (About Me),2019-04-09,251061,51,Alfie Templeman,6QzMY3tnu0m56eKUnr4uCF,7821,51,,0.626,0.725,11,-7.782,0,0.177,0.0119,0.0675,0.0882,0.633,174.869,4
"Hey, Ma",6YEyNkfWYAFTib8j1eXg1A,2019-06-07T08:01:00Z,"Hey, Ma",2019-06-03,216706,79,Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,2306580,79,"chamber pop,eau claire indie,folk-pop,indie folk,indie pop,melancholia,slow core,stomp and holler",0.326,0.285,9,-10.972,0,0.0339,0.872,0.000278,0.0968,0.198,143.702,4
