track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Desconocidos,0s5DNDV6LAKn2u2Ufa3VjQ,2019-05-10T19:30:18Z,Desconocidos,2018-10-12,204453,88,Mau y Ricky,2wkoKEfS6dXwThbyTnZWFU,997178,82,"latin,latin pop,tropical",0.709,0.771,7,-4.598,1,0.166,0.146,3.29e-06,0.249,0.709,174.006,4
Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,2019-05-10T19:30:18Z,Calma (Remix),2018-10-05,238200,92,Pedro Capó,4QVBYiagIaa6ZGSPMbybpy,206742,82,latin pop,0.826,0.773,11,-4.218,0,0.0524,0.323,0,0.143,0.761,126.899,4
Un Año,5BDP2tky8oMQJPS33frKVp,2019-05-10T19:30:18Z,Un Año,2019-01-18,164440,86,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,6960543,89,colombian pop,0.771,0.382,1,-6.808,0,0.0514,0.148,0,0.104,0.535,94.931,4
Swing (Bonus Track),5zUGr7GcNo7UNjvkNYkjiH,2019-05-10T19:30:18Z,Swing,2019-02-15,155058,61,Danny Ocean,5H1nN1SzW0qNeUEZvuXjAj,1533518,80,"latin,pop,reggaeton,tropical",0.729,0.616,8,-6.422,1,0.249,0.458,0,0.082,0.532,106.486,4
Secreto,5W83ErFkO3aKAIS1WMi6u0,2019-05-10T19:30:18Z,Secreto,2019-01-15,258800,91,Anuel Aa,2R21vXR83lH98kGeO99Y66,6029284,94,"reggaeton flow,trap latino",0.807,0.803,11,-4.156,1,0.126,0.602,0.00853,0.136,0.706,91.987,4
Esclavo de Tus Besos,3g4UyIcQwutiG0TfW32GnX,2019-05-10T19:30:18Z,Esclavo de Tus Besos,2019-02-15,219302,87,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,3736756,88,"colombian pop,latin,reggaeton",0.805,0.671,5,-5.316,1,0.111,0.113,0,0.278,0.522,90.979,4
Aullando,7BuHdm4lQqcyG3qTwdkxus,2019-05-10T19:30:18Z,"Los Campeones del Pueblo ""The Big Leagues""",2018-12-14,226200,86,Wisin & Yandel,1wZtkThiXbVNtj6hee6dz9,2822891,83,"electro latino,latin,latin hip hop,reggaeton,tropical",0.8,0.74,10,-4.52,0,0.0479,0.184,0,0.0558,0.775,90.035,4
Déjate Querer,3mN2DtljBhnrIpc3Nu2pJ8,2019-05-10T19:30:18Z,Déjate Querer,2019-02-28,202823,83,Lalo Ebratt,1GAymyGBvB4gQy5Z5LZ1Wj,200414,78,"colombian hip hop,latin,tropical",0.755,0.792,6,-4.238,1,0.0484,0.028,0,0.0754,0.844,106.014,4
Baby,2IA8cFA46DkjgbsRG7kKbp,2019-05-10T19:30:18Z,Baby,2018-12-21,235973,84,Amenazzy,6kq4GHwUcUojGIu0ziSNXf,344391,76,"rap dominicano,reggaeton flow",0.7,0.71,11,-4.835,1,0.0532,0.327,0,0.129,0.582,167.971,4
Tal Vez,46lvmzK8wxAy66tjzXXSh0,2019-05-10T19:30:18Z,Tal Vez,2019-04-03,264483,90,Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z,4878622,87,"argentine hip hop,trap argentino,trap latino",0.849,0.655,8,-2.899,1,0.106,0.266,0,0.0781,0.76,161.966,4
Mañana Es Too Late,3AnFYXJMTNJtQUwsJWmTK4,2019-05-10T19:30:18Z,Mañana Es Too Late,2019-04-12,195213,77,Jesse & Joy,1mX1TWKpNxDSAH16LgDfiR,2799694,78,"latin,latin arena pop,latin pop,mexican pop,pop",0.71,0.772,11,-3.291,0,0.162,0.262,0,0.357,0.867,183.957,4
Dile la Verdad,6qP73DRFGojLuIk1siIhNE,2019-05-10T19:30:18Z,Dile la Verdad,2019-01-11,219029,80,The Rudeboyz,7ciBW1p3KBsYIkFk4UmwS8,6933,70,trap brasileiro,0.886,0.701,7,-3.504,1,0.141,0.292,1.16e-05,0.0574,0.823,103.002,4
Duele,3NncP0ajz9lqYAZcQD7Bpo,2019-05-10T19:30:18Z,Duele,2019-03-20,238360,76,Reik,0vR2qb8m9WHeZ5ByCbimq2,2880800,84,"latin,latin arena pop,latin pop,mexican pop,pop,reggaeton",0.684,0.842,7,-4.54,0,0.201,0.0356,0,0.204,0.483,174.051,4
Te Robaré,6v0lAdFF4haL8xjBIUjtOw,2019-05-10T19:30:18Z,Te Robaré,2019-03-22,201818,91,Nicky Jam,1SupJlEpv7RS2tPNRaHViT,9186373,93,"latin,latin hip hop,pop,reggaeton,tropical",0.673,0.752,2,-3.572,0,0.0561,0.241,4.51e-05,0.0813,0.797,175.997,4
Vivir Bailando,7gL0eIncXB5ELO8BFMR3Uv,2019-05-10T19:30:18Z,Vivir Bailando,2019-01-25,214413,73,Silvestre Dangond,3OcvS8PzSGYMBvLdzY6g3e,1419197,71,"colombian pop,latin,latin pop,tropical,vallenato",0.846,0.848,5,-4.752,1,0.121,0.104,0,0.0837,0.553,91.971,4
Destino,3tOmzBrWaHg97FKgsqhhEd,2019-05-10T19:30:18Z,Destino,2019-03-15,180480,80,Greeicy,5dbaLmK5SHLLg8Z4CcTJpX,854744,77,"colombian pop,latin,latin pop,r&b en espanol,tropical",0.708,0.761,0,-3.02,1,0.093,0.0105,8.51e-06,0.0462,0.71,188.124,4
Pa Olvidarte (feat. Manuel Turizo) - Remix,2ktoFujjJtantyMoVdBJlX,2019-05-10T19:30:18Z,Pa Olvidarte (feat. Manuel Turizo) [Remix],2019-02-01,256417,84,ChocQuibTown,6tkyhGe9hGI3Lcfo4gVh6Z,298836,73,"colombian hip hop,colombian pop,latin,latin alternative,latin pop,latin rock",0.724,0.791,7,-5.411,1,0.169,0.0441,6.55e-06,0.239,0.856,176.011,4
No Te Vayas,4k9byIhs9ppbYWE22waJMB,2019-05-10T19:30:18Z,No Te Vayas,2019-03-29,201226,76,Camilo,28gNT5KBp7IjEOQoevXf9N,53766,79,colombian pop,0.766,0.721,6,-4.46,0,0.0738,0.0527,0,0.128,0.81,92.001,4
Pretend,78Nyf6RlqBANlMhSnKyClT,2019-05-10T19:30:18Z,Pretend,2019-02-15,200566,75,CNCO,0eecdvMrqBftK0M1VKhaF4,5440717,79,"boy band,latin,latin pop,pop,reggaeton,tropical",0.68,0.883,11,-3.862,0,0.103,0.284,0,0.14,0.834,101.983,4
