track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,2019-07-26T13:38:19Z,No.6 Collaborations Project,2019-07-12,197866,84,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,48010718,100,"pop,uk pop",0.64,0.648,5,-8.113,0,0.187,0.124,0,0.0802,0.548,92.977,4
Post Malone (feat. RANI),0qc4QlcCxVTGyShurEv1UU,2019-07-26T13:38:19Z,Magnets EP,2019-05-24,174444,85,Sam Feldt,20gsENnposVs2I4rQ5kvrf,379029,80,"deep tropical house,edm,electro house,pop,pop edm,tropical house",0.59,0.642,7,-3.87,1,0.122,0.0771,0,0.105,0.651,107.356,4
Viva La Vida,7fcgisGFCr4mfbfNSztr84,2019-07-26T13:38:19Z,Viva La Vida (Prospekt's March Edition),2008-11-24,241426,56,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,20975194,88,"permanent wave,pop",0.489,0.615,5,-7.185,0,0.0286,0.113,4.41e-06,0.156,0.456,138.005,4
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,2019-07-26T13:38:19Z,Woodstock,2017-06-16,163253,78,Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,953213,74,"indie pop,indie rock,modern rock",0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,4
I Don't Care (with Justin Bieber),0hVXuCcriWRGvwMV1r5Yn9,2019-07-26T13:38:19Z,No.6 Collaborations Project,2019-07-12,219946,83,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,48010718,100,"pop,uk pop",0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,4
One Touch,5EKiBMhzRLALeGDPdoAKkQ,2019-07-26T13:38:19Z,One Touch,2019-05-24,197875,76,Jess Glynne,4ScCswdRlyA23odg9thgIO,1668348,82,"dance pop,pop,post-teen pop,tropical house,uk pop",0.686,0.693,0,-6.245,0,0.131,0.329,0,0.136,0.699,124.206,4
New Rules,4LihUZcWy0B6lGLqcJ8u9B,2019-07-26T13:38:19Z,Dua Lipa (Deluxe),2017-06-02,212000,63,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,12616987,87,"dance pop,pop,post-teen pop,uk pop",0.763,0.72,9,-5.181,0,0.0691,0.00261,1.11e-05,0.114,0.592,116.01,4
I'm Yours,1EzrEOXmMH3G43AXT1y7pA,2019-07-26T13:38:19Z,We Sing. We Dance. We Steal Things.,2008-05-12,242186,80,Jason Mraz,4phGZZrJZRo4ElhRtViYdl,4620164,80,"acoustic pop,neo mellow,pop,pop rock",0.686,0.457,11,-8.322,1,0.0468,0.595,0,0.105,0.718,150.953,4
"Don't Give Up On Me - From ""Five Feet Apart""",31Y7dmcZFeJsMKXtJNeQya,2019-07-26T13:38:19Z,"Don't Give Up On Me (From ""Five Feet Apart"")",2019-02-13,196187,66,Andy Grammer,2oX42qP5ineK3hrhBECLmj,645119,76,"neo mellow,pop,pop rock,post-teen pop,viral pop",0.641,0.537,0,-5.452,0,0.0282,0.0875,9.05e-06,0.115,0.0681,112.864,4
Shotgun,4ofwffwvvnbSkrMSCKQDaC,2019-07-26T13:38:19Z,Staying at Tamara's,2018-03-23,201287,80,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,2443817,80,"neo-singer-songwriter,pop",0.672,0.735,5,-4.733,1,0.0457,0.286,0,0.242,0.754,115.741,4
Kids (with Robbie Williams),0E6LsKGri2bpBhVmHDW0kK,2019-07-26T13:38:19Z,Step Back in Time: The Definitive Collection,2019-06-28,260133,40,Kylie Minogue,4RVnAU35WRWra6OZ3CbbMA,833178,71,"australian dance,australian pop,dance pop,electropop,eurodance,europop,new wave pop,pop,pop rock",0.662,0.885,2,-4.406,1,0.175,0.00792,1.3e-06,0.578,0.389,92.415,4
My Type,2Iq6HhIquO7JKr0KfTNLzU,2019-07-26T13:38:19Z,My Type EP,2014-08-16,204811,66,Saint Motel,1dWEYMPtNmvSVaDNLgB6NV,304363,65,"indie pop,indie poptimism,indietronica,la indie,modern rock,shimmer pop",0.596,0.897,10,-2.94,1,0.0462,0.0641,5.24e-05,0.0628,0.578,118.0,4
Unwritten,1D1nixOVWOxvNfWi0UD7VX,2019-07-26T13:38:19Z,Unwritten,2004-08-30,259333,74,Natasha Bedingfield,7o95ZoZt5ZYn31e9z1Hc0a,819622,69,"australian pop,dance pop,europop,folk-pop,neo mellow,pop,pop rock,post-teen pop,r&b",0.706,0.801,5,-6.333,1,0.0399,0.00577,0,0.0822,0.63,100.013,4
When Love Takes Over (feat. Kelly Rowland),77FULy278MulVvGWS8BfK7,2019-07-26T13:38:19Z,One Love (Deluxe Version),2009-08-21,191000,49,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,19357102,89,"dance pop,edm,pop",0.674,0.862,11,-4.614,1,0.0253,0.0157,0.000427,0.169,0.5,129.965,4
Everywhere - 2017 Remaster,254bXAqt3zP6P50BdQvEsq,2019-07-26T13:38:19Z,Tango In the Night (Deluxe Edition),1987-04-13,226653,75,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,3453597,82,"album rock,classic rock,mellow gold,rock,soft rock,yacht rock",0.73,0.487,4,-10.991,1,0.0303,0.258,0.01,0.0852,0.731,114.965,4
Don’t Feel Like Crying,1oLSje4Ot5qRUq8FqYeXOl,2019-07-26T13:38:19Z,Don't Feel Like Crying,2019-01-17,157010,67,Sigrid,4TrraAsitQKl821DQY42cZ,372531,71,"dance pop,electropop,norwegian pop,pop,tropical house",0.749,0.814,5,-3.769,0,0.0404,0.156,0,0.0673,0.715,119.964,4
Stay Young,7wjprvfscpUNacftNovfQO,2019-07-26T13:38:19Z,Stay Young,2019-02-15,202139,61,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,75157,68,"australian pop,dance pop,indie anthem-folk,indie cafe pop,pop,uk pop",0.685,0.691,9,-4.673,1,0.0864,0.058,5.62e-06,0.136,0.302,92.95,4
3 Nights,1tNJrcVe6gwLEiZCtprs1u,2019-07-26T13:38:19Z,"Don't Forget About Me, Demos",2018-10-16,177666,85,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,118466,77,alternative pop rock,0.815,0.518,7,-6.594,0,0.0897,0.223,0,0.104,0.877,151.891,4
Riptide,7yq4Qj7cqayVTp3FF9CWbm,2019-07-26T13:38:19Z,Dream Your Life Away,2014-09-08,204280,74,Vance Joy,10exVja0key0uqUkk6LJRT,1742549,78,"indie folk,modern rock,neo mellow,pop",0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,4
Higher Love,6oJ6le65B3SEqPwMRNXWjY,2019-07-26T13:38:19Z,Higher Love,2019-06-28,228267,87,Kygo,23fqKkggKUBHNkbKtXEls4,5208109,89,"edm,pop,tropical house",0.693,0.678,8,-7.159,1,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,4
Every Morning,2ouURa1AIXp3AvkS52Jry5,2019-07-26T13:38:19Z,14:59,1999,219866,63,Sugar Ray,4uN3DsfENc7dp0OLO0FEIb,454634,65,"alternative metal,alternative rock,funk metal,neo mellow,pop punk,pop rock,post-grunge",0.833,0.679,8,-4.496,1,0.0365,0.0834,0.00258,0.0769,0.975,109.916,4
Follow Me,4KoecuyOpZaNFZ0UqVsllc,2019-07-26T13:38:19Z,Double Wide,2000-06-13,218439,70,Uncle Kracker,2DnqqkzzDKm3vAoyHtn8So,286665,66,"contemporary country,country,country road,pop rock,post-grunge",0.817,0.585,5,-4.688,1,0.0301,0.439,0,0.147,0.916,105.014,4
Valerie (feat. Amy Winehouse) - Version Revisited,631U6DaszJisq3TiaQ0vTM,2019-07-26T13:38:19Z,Version,2007-07-10,219413,58,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,614460,84,"dance pop,pop,tropical house",0.698,0.843,1,-4.789,1,0.0544,0.00253,0.000454,0.124,0.894,105.83,4
Can't Get You out of My Head,7dxiorC4Um7Ph0fAPsVn76,2019-07-26T13:38:19Z,Step Back in Time: The Definitive Collection,2019-06-28,230640,39,Kylie Minogue,4RVnAU35WRWra6OZ3CbbMA,833178,71,"australian dance,australian pop,dance pop,electropop,eurodance,europop,new wave pop,pop,pop rock",0.766,0.563,9,-7.516,0,0.0339,0.0263,0.683,0.115,0.964,126.007,4
Naked Alone,2C1V8JFnm2OqZVkHhNu4qe,2019-07-26T13:38:19Z,Naked Alone,2019-05-17,217565,57,L Devine,5dhyUSoGhz79WTzP39vKs4,27985,52,"electropop,indie cafe pop,indie electro-pop,indie poptimism,uk pop",0.9,0.527,7,-5.445,1,0.0449,0.0291,0.000536,0.31,0.702,104.978,4
High Hopes,2djdCbLj1pzRmrDNe7PkW2,2019-07-26T13:38:19Z,High Hopes on Saturday Night,2018-05-23,192133,59,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,7498759,88,"baroque pop,emo,modern rock,pop punk",0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,4
Fascination,1A5NvsXUXc4MrXfOEojQ6p,2019-07-26T13:38:19Z,This Is Alphabeat,2008-06-02,181666,14,Alphabeat,7Defmv25Kj9knpobhHIghm,41310,53,"danish pop,electropop,europop,metropopolis",0.491,0.831,6,-5.321,0,0.0349,0.000285,7.88e-05,0.0761,0.828,193.968,4
Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,2019-07-26T13:38:19Z,÷ (Deluxe),2017-03-03,261153,77,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,48010718,100,"pop,uk pop",0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,4
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,2019-07-26T13:38:19Z,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",2018-01-19,210772,78,Rudimental,4WN5naL3ofxrVBgFpguzKo,1052949,77,"dance pop,edm,liquid funk,pop,tropical house,uk funky",0.653,0.809,0,-4.057,1,0.0474,0.194,0,0.165,0.55,92.213,4
Perfect To Me,0DC7Zs2qvAbNK1owWQ4mlL,2019-07-26T13:38:19Z,Perfect To Me,2018-11-02,197853,73,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,4110660,84,"dance pop,pop,post-teen pop,tropical house,uk pop",0.604,0.546,8,-5.691,1,0.151,0.0889,0,0.0734,0.402,179.847,4
Bad Day,0mUyMawtxj1CJ76kn9gIZK,2019-07-26T13:38:19Z,Daniel Powter (U.S. Release),2005-02-22,233640,73,Daniel Powter,7xTcuBOIAAIGDOSvwYFPzk,155566,64,"canadian pop,neo mellow,pop rock",0.599,0.785,3,-4.013,1,0.0309,0.448,0.00336,0.151,0.52,140.046,4
My Love Goes On (feat. Joss Stone),5M9XpS7kkTRjIge1IAz3yI,2019-07-26T13:38:19Z,You're Stronger Than You Know,2019-03-08,216800,48,James Morrison,3LpLGlgRS1IKPPwElnpW35,1068076,68,"folk-pop,neo mellow,neo soul,pop,pop rock,r&b",0.463,0.772,7,-4.315,0,0.0367,0.00678,0,0.11,0.364,91.931,4
Respect,5AoTuHE5P5bvC7BBppYnja,2019-07-26T13:38:19Z,"Atlantic 60th: Soul, Sweat And Strut",2007-10-30,142186,66,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,1949753,75,"classic soul,jazz blues,memphis soul,soul,southern soul",0.744,0.612,0,-6.386,1,0.0333,0.0723,0.000532,0.0692,0.961,114.991,4
Brass in Pocket - 2006 Remaster,2hvOsGJc6qll4WzW8Ljqc3,2019-07-26T13:38:19Z,Pretenders [Expanded & Remastered],1980-01-11,185960,60,Pretenders,0GByy3DcfbQwDvXGCWmzv9,537444,67,"album rock,art rock,classic rock,dance rock,folk,folk rock,folk-pop,lilith,mellow gold,new romantic,new wave,new wave pop,permanent wave,pop rock,rock,roots rock,soft rock",0.751,0.703,9,-5.687,1,0.0287,0.368,0.00123,0.196,0.907,97.931,4
Time Is Now,7xG0XZhUxTu6Axewwq0jfN,2019-07-26T13:38:19Z,Catalogue,2006-07-17,222226,53,Moloko,4aaBjq7VqqQvpSF69GglvO,218084,57,"alternative dance,big beat,dance pop,electronic,electropop,trip hop",0.7,0.729,9,-10.157,0,0.0878,0.436,0.00209,0.0967,0.735,127.988,4
New Shoes,265Anh9hGoozFigjUVLUeD,2019-07-26T13:38:19Z,These Streets,2007-01-30,203653,63,Paolo Nutini,7x5rK9BClDQ8wmCkYAGsQp,794104,68,"british soul,folk-pop,neo mellow,neo soul,scottish singer-songwriter",0.748,0.735,8,-8.692,1,0.0903,0.47,1.09e-05,0.0851,0.854,150.04,4
Either You Love Me Or You Don't,20dLwdByS6il74d9UR7hcU,2019-07-26T13:38:19Z,Either You Love Me Or You Don't,2019-04-25,201481,56,Plested,2nJYGgfTf2846LtVB3AES8,18689,58,"australian pop,indie anthem-folk,indie cafe pop,uk pop",0.562,0.65,9,-5.599,1,0.0356,0.0061,0,0.0891,0.393,81.02,4
This Is Me,45aBsnKRWUzhwbcqOJLwfe,2019-07-26T13:38:19Z,The Greatest Showman (Original Motion Picture Soundtrack),2017-12-08,234706,75,Keala Settle,7HV2RI2qNug4EcQqLbCAKS,103730,73,"broadway,hollywood,show tunes",0.284,0.704,2,-7.276,1,0.186,0.00583,0.000115,0.0424,0.1,191.702,4
Shape of You,7qiZfU4dY1lWllzX7mPBI3,2019-07-26T13:38:19Z,÷ (Deluxe),2017-03-03,233712,84,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,48010718,100,"pop,uk pop",0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,4
Harder,2b1BwUGGyKq0CoJd8G1B6M,2019-07-26T13:38:19Z,Snacks,2019-07-12,159753,51,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,529262,81,"dance pop,edm,house,pop,tropical house,uk dance",0.906,0.832,5,-3.004,0,0.0718,0.0909,0,0.152,0.751,104.03,4
24K Magic,6b8Be6ljOzmkOmFslEb23P,2019-07-26T13:38:19Z,24K Magic,2016-11-17,225983,75,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,21852731,89,"pop,post-teen pop",0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97,4
Rather Be (feat. Jess Glynne),3s4U7OHV7gnj42VV72eSZ6,2019-07-26T13:38:19Z,Rather Be (feat. Jess Glynne),2014-01-17,227833,70,Clean Bandit,6MDME20pz9RveH9rEXvrOM,3025919,82,"dance pop,edm,pop,post-teen pop,tropical house,uk dance,uk funky",0.799,0.586,11,-6.735,1,0.0377,0.162,2.03e-06,0.193,0.549,120.97,4
Pack Up,6TWEilSWDg8dCyTDIRqb50,2019-07-26T13:38:19Z,Eliza Doolittle,2010-07-09,191026,49,Eliza Doolittle,14L5rpGTLVUz1pD8fUeJB1,117159,64,lilith,0.672,0.809,11,-5.704,1,0.0595,0.325,0,0.336,0.88,133.036,4
Pumpin Blood,3dNcq4dzEtbFUM4PGeHHXp,2019-07-26T13:38:19Z,Pumpin Blood,2013-04-08,209485,40,NONONO,513t0jZUP0K98C4h7KHtEb,51617,51,"swedish alternative rock,swedish indie pop",0.618,0.848,7,-4.36,1,0.0279,0.000469,0.522,0.189,0.413,118.998,4
Wow,1KmqJunkjyiMCrXqZ5uu6q,2019-07-26T13:38:19Z,Step Back in Time: The Definitive Collection,2019-06-28,192573,36,Kylie Minogue,4RVnAU35WRWra6OZ3CbbMA,833178,71,"australian dance,australian pop,dance pop,electropop,eurodance,europop,new wave pop,pop,pop rock",0.661,0.833,9,-7.51,1,0.183,0.128,0.000604,0.4,0.874,124.039,4
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,2Foc5Q5nqNiosCNqttzHof,2019-07-26T13:38:19Z,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],2013-04-19,248413,73,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,5429697,82,"electro,electronic,filter house",0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,4
Move On Up,0MHXrqn909p0LRTPsNsGEi,2019-07-26T13:38:19Z,Move On Up (Single Edit),1970,165789,63,Curtis Mayfield,2AV6XDIs32ofIJhkkDevjm,570640,64,"chicago soul,classic soul,disco,funk,neo soul,soul",0.538,0.969,11,-5.626,0,0.0906,0.417,0.00154,0.119,0.928,138.652,4
Stars,5QJSD5GQOq72OmwLV5IHUV,2019-07-26T13:38:19Z,Stars [Expanded] (US DMD),1991,248599,45,Simply Red,1fa0cOhromAZdq2xRA4vv8,967700,70,"british soul,dance rock,disco,mellow gold,new romantic,new wave pop,soft rock",0.716,0.818,7,-7.456,1,0.0256,0.154,0.000806,0.236,0.817,103.668,4
Keeping Your Head Up,6lyjWvSUgYtX26zfrQ6gn8,2019-07-26T13:38:19Z,Beautiful Lies,2016-03-25,208395,45,Birdy,2WX2uTcsvV5OnS0inACecP,2810141,74,"dance pop,neo mellow,pop",0.599,0.78,11,-5.033,1,0.0527,0.156,0,0.189,0.529,122.077,4
Anywhere,7EI6Iki24tBHAMxtb4xQN2,2019-07-26T13:38:19Z,Anywhere,2017-10-20,215064,73,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,4581750,86,"dance pop,edm,pop,post-teen pop,r&b,tropical house,uk pop",0.628,0.797,11,-3.953,0,0.0596,0.0364,0,0.104,0.321,106.93,4
Suddenly I See,5p9XWUdvbUzmPCukOmwoU3,2019-07-26T13:38:19Z,Eye To The Telescope,2005-01-01,201706,65,KT Tunstall,5zzrJD2jXrE9dZ1AklRFcL,230745,62,"folk-pop,lilith,neo mellow,pop rock,scottish singer-songwriter",0.587,0.767,0,-5.713,1,0.0449,0.225,0,0.112,0.664,100.38,4
Adventure of a Lifetime,69uxyAqqPIsUyTO8txoP2M,2019-07-26T13:38:19Z,A Head Full of Dreams,2015-12-04,263786,71,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,20975194,88,"permanent wave,pop",0.638,0.924,7,-3.887,1,0.0359,0.00205,0.000173,0.149,0.529,111.995,4
We Are Young (feat. Janelle Monáe),5rgy6ghBq1eRApCkeUdJXf,2019-07-26T13:38:19Z,Some Nights,2012-02-14,250626,70,fun.,5nCi3BB41mBaMH9gfr6Su0,3251342,71,"baroque pop,metropopolis,modern rock,pop,pop rap",0.378,0.638,10,-5.576,1,0.075,0.02,7.66e-05,0.0849,0.735,184.086,4
Material Girl,22sLuJYcvZOSoLLRYev1s5,2019-07-26T13:38:19Z,Celebration (double disc version),2009-09-18,240280,71,Madonna,6tbjWDEIzxoDsBA1FuhfPW,3212244,82,dance pop,0.742,0.883,0,-3.419,1,0.0329,0.333,7.51e-06,0.0964,0.978,136.506,4
Crazy,1vxw6aYJls2oq3gW0DujAo,2019-07-26T13:38:19Z,St. Elsewhere,2006-04-24,177466,72,Gnarls Barkley,5SbkVQYYzlw1kte75QIabH,282948,67,"atl hip hop,neo soul",0.855,0.587,8,-4.589,1,0.0336,0.0505,0.00714,0.105,0.64,111.97,4
Mercy,78twQ5XCFJMTE37ZSU0gsj,2019-07-26T13:38:19Z,Rockferry,2008-01-01,219920,56,Duffy,37NqXwtb6nIEqRt4EJSoIO,619979,62,"british soul,dance pop,folk-pop,neo soul,pop rock,r&b",0.792,0.85,0,-3.621,1,0.0329,0.289,0.00012,0.132,0.965,129.906,4
Want to Want Me,7oGZAicScQt96OAW4AruYy,2019-07-26T13:38:19Z,Everything Is 4,2015-05-29,207719,73,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,6934491,83,"dance pop,pop,pop rap,post-teen pop,r&b",0.775,0.68,0,-5.508,0,0.0629,0.00906,0,0.109,0.656,114.025,4
One More Time - Radio Edit [Short Radio Edit],0ijhkvBpA7OBlY4clWSUZw,2019-07-26T13:38:19Z,"Musique, Vol. 1",2006-03-31,235466,60,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,5429697,82,"electro,electronic,filter house",0.648,0.671,2,-8.49,1,0.104,0.0348,0,0.376,0.533,122.891,4
Don't Be So Hard On Yourself,1L8ywX9DcRYBcMTv5X1mF9,2019-07-26T13:38:19Z,Don't Be So Hard On Yourself,2015-07-31,211460,49,Jess Glynne,4ScCswdRlyA23odg9thgIO,1668348,82,"dance pop,pop,post-teen pop,tropical house,uk pop",0.571,0.815,6,-3.267,1,0.0321,0.0608,0,0.163,0.664,120.008,4
Different Kind Of Love,1oeEOXycp3QGqzCiL4toFp,2019-07-26T13:38:19Z,Different Kind Of Love,2019-03-01,187814,33,Ian Janco,7aV3497dprpnqVKw1UYtGc,303,29,,0.483,0.729,1,-5.157,1,0.0575,0.478,0,0.0898,0.346,176.284,4
Uptown Girl,5zA8vzDGqPl2AzZkEYQGKh,2019-07-26T13:38:19Z,An Innocent Man,1983-08-08,197706,75,Billy Joel,6zFYqv1mOsgBRQbae3JJ9e,1894720,78,"album rock,folk rock,mellow gold,piano rock,rock,singer-songwriter,soft rock",0.701,0.943,4,-2.986,1,0.0456,0.0747,0,0.601,0.791,128.992,4
Raspberry Beret,5jSz894ljfWE0IcHBSM39i,2019-07-26T13:38:19Z,Around The World In A Day,1985-04-22,215173,65,Prince,5a2EaR3hamoenG9rDuVn8j,3652599,75,"funk,minneapolis sound",0.761,0.67,2,-12.759,1,0.0438,0.21,0.000426,0.0685,0.91,120.752,4
