track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Hold Me While You Wait - Recorded at Spotify Studios NYC,4XJ2SmdXNTkMkkx6PFPU8m,2019-07-30T08:40:14Z,Spotify Singles,2019-06-12,204814,63,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,922489,87,"pop,uk pop",0.733,0.282,4,-9.793,0,0.0391,0.823,0,0.101,0.338,108.039,4
Sing It With Me - Guitar Acoustic,3ervcAbQlmDNb619YwfZ1I,2019-07-30T08:40:14Z,Sing It With Me (Guitar Acoustic),2019-05-24,204805,51,JP Cooper,4kYGAK2zu9EAomwj3hXkXy,392106,77,"australian pop,dance pop,neo mellow,pop,r&b,tropical house,uk pop",0.568,0.364,4,-9.771,1,0.0316,0.851,0,0.115,0.361,105.314,4
Waves - Guitar Acoustic,0kgWvuna9g2jJyirw5OHx7,2019-08-05T16:57:23Z,Waves Remix EP,2019-07-26,248427,34,Dean Lewis,3QSQFmccmX81fWCUSPTS7y,650070,80,"australian pop,pop,uk pop",0.412,0.285,11,-9.918,0,0.0444,0.935,0,0.11,0.377,151.739,4
Tell Me That You Love Me,2wHA4yJKT8TJhGz20QxUqX,2019-07-30T09:59:18Z,Tell Me That You Love Me,2018-12-06,194658,63,James Smith,543ccHFPnZfJMD8tRGPtu7,20341,62,"indie anthem-folk,uk pop",0.536,0.317,6,-8.752,1,0.0359,0.402,0,0.11,0.319,143.89,4
Ritual - Acoustic,08gjnkgIVbsxef23eWiudm,2019-08-08T16:30:35Z,Ritual (Acoustic),2019-07-26,204453,60,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,4527301,84,"big room,brostep,dance pop,edm,electro house,house,pop,trance,tropical house",0.477,0.472,3,-4.771,0,0.0303,0.587,0,0.129,0.64,109.118,4
I Don't Care - Acoustic,1m84zLz4WizjR4mCDoXReg,2019-07-30T08:40:14Z,I Don't Care (Acoustic),2019-05-31,238220,73,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,48801053,100,"pop,uk pop",0.706,0.349,6,-8.125,1,0.0302,0.791,0,0.108,0.624,94.058,4
What I Like About You (feat. Theresa Rex) - Acoustic,1f7xmvWU3bsgqRsgR2E0ZZ,2019-07-30T08:40:14Z,What I Like About You (feat. Theresa Rex) [Acoustic],2019-05-10,236160,49,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,2179398,86,"dance pop,edm,pop,tropical house,uk dance",0.426,0.437,1,-7.248,1,0.0497,0.892,2.78e-05,0.107,0.369,181.763,4
Eastside (with Halsey & Khalid) - Acoustic,5iQ0Va8Dt5Yky4TXuqO5TF,2019-07-30T08:40:14Z,Eastside (with Halsey & Khalid) [Acoustic],2018-08-17,173004,60,benny blanco,5CiGnKThu5ctn9pBxv7DGa,321446,81,"dance pop,edm,pop,tropical house",0.689,0.491,9,-6.042,1,0.0317,0.711,0,0.172,0.868,90.011,4
In My Blood - Acoustic,6Pce5yn5oOSDB6hZm8Ou2U,2019-07-30T08:40:14Z,In My Blood (Acoustic),2018-05-11,212933,61,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,18869591,96,"canadian pop,pop,viral pop",0.57,0.519,5,-5.671,1,0.0309,0.733,0,0.139,0.24,139.701,4
Polaroid - Acoustic,2f2gz6LZSz67HWq84Hqn2j,2019-07-30T08:40:14Z,Polaroid (Acoustic),2018-11-23,217586,59,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,2179398,86,"dance pop,edm,pop,tropical house,uk dance",0.617,0.34,7,-7.825,0,0.029,0.775,0,0.11,0.517,101.58,4
