track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Heaven,0vrmHPfoBadXVr2n0m1aqZ,2019-06-14T16:05:57Z,TIM,2019-06-06,277261,86,Avicii,1vCWHaC5f2uS3yhpwWbIA6,13696521,93,"big room,edm,pop",0.592,0.873,9,-5.65,1,0.0275,0.0715,0.00982,0.142,0.516,122.011,4
Ritual,3M9Apu4OZfylLTFKvgEtKa,2019-06-14T16:05:57Z,Ritual,2019-05-31,198995,82,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,4395383,84,"big room,brostep,dance pop,edm,electro house,house,pop,trance,tropical house",0.647,0.726,3,-4.389,0,0.0552,0.157,0,0.0844,0.767,114.996,4
Piece Of Your Heart,5p1ex0pXv6jSPJ6QbumQpD,2019-06-14T16:05:57Z,Piece Of Your Heart,2019-02-01,152913,74,MEDUZA,0xRXCcSX89eobfrshSVdyu,15586,80,pop house,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,4
I Don't Care (with Justin Bieber) - Jonas Blue Remix,1VYj8u5I4L5Xl21zQiQMx7,2019-06-14T16:05:57Z,I Don't Care (with Justin Bieber) [Jonas Blue Remix],2019-06-07,192681,65,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,45550160,97,"pop,uk pop",0.708,0.872,6,-5.775,1,0.0502,0.0736,0,0.337,0.25,124.026,4
SOS (feat. Aloe Blacc),2x0RZdkZcD8QRI53XT4GI5,2019-06-14T16:05:57Z,TIM,2019-06-06,157202,85,Avicii,1vCWHaC5f2uS3yhpwWbIA6,13696521,93,"big room,edm,pop",0.802,0.645,5,-6.181,0,0.0715,0.272,0,0.119,0.376,100.001,4
All Around The World (La La La),02itaCXOdC54J0ISjqqFAp,2019-06-14T16:05:57Z,All Around The World (La La La),2019-04-05,147840,80,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,1656101,84,"big room,dance pop,dutch house,edm,electro house,pop,pop edm,progressive electro house,tropical house",0.733,0.859,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948,4
Possible,5KyUs8TfzBYrToqSYVCDrV,2019-06-14T16:05:57Z,Possible,2019-03-15,174556,64,Darius & Finlay,1w67D3PakcxjYGt6xPnnke,54802,61,"eurodance,hands up,pop house",0.436,0.808,9,-3.988,0,0.0446,0.0209,0,0.268,0.214,127.939,4
What I Like About You (feat. Theresa Rex),4NSW0Km5ZG60L8FthUebPJ,2019-06-14T16:05:57Z,What I Like About You (feat. Theresa Rex),2019-03-22,220396,86,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,2006931,87,"dance pop,edm,pop,tropical house,uk dance",0.46,0.8,1,-3.584,1,0.05,0.289,6.16e-06,0.121,0.553,102.46,4
Here We Go Again - Just Kiddin Edit,1acqYjbcpu0EcKqus5hZZr,2019-06-14T16:05:57Z,Here We Go Again (Just Kiddin Edit),2019-05-03,162857,44,Sigma,01pKrlgPJhm5dB4lneYAqS,199849,67,"dance pop,drum and bass,house,liquid funk,pop,tropical house,uk dance",0.685,0.851,11,-5.079,1,0.0828,0.00733,0.206,0.102,0.591,125.934,4
Time After Time - Steve Modana Remix,6m1dWpmsCEUUt5nbKDv24T,2019-06-14T16:05:57Z,Time After Time,2019-06-07,177865,32,Marc Korn,2ds47hSr82tLZR2kS5aNdt,1408,43,hands up,0.669,0.876,0,-4.537,1,0.0454,0.0361,2.75e-06,0.392,0.544,127.924,4
