track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,2019-06-14T16:47:58Z,I Don't Care (with Justin Bieber),2019-05-10,219946,99,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,45550181,97,"pop,uk pop",0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,4
Tal Vez,46lvmzK8wxAy66tjzXXSh0,2019-06-14T16:47:58Z,Tal Vez,2019-04-03,264483,90,Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z,5381108,90,"argentine hip hop,trap argentino,trap latino",0.849,0.655,8,-2.899,1,0.106,0.266,0,0.0781,0.76,161.966,4
Stay (Don't Go Away) [feat. Raye],4YhN72dRYL2Z3MsaKyT7rS,2019-06-14T16:47:58Z,Stay (Don't Go Away) [feat. Raye],2019-05-09,185942,80,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,18913612,90,"dance pop,edm,pop",0.669,0.797,9,-5.68,0,0.0624,0.259,0,0.199,0.552,119.865,4
Contando Lunares (feat. Cruz Cafuné),6uW0PIRcyZLvkoonm763xD,2019-06-14T16:47:58Z,La Dura Vida del Joven Rapero,2019-01-27,219666,80,Don Patricio,6vPXtLmNd3mW0dd1Rb9eQ9,74739,75,trap espanol,0.856,0.523,4,-10.481,0,0.131,0.444,0,0.0537,0.709,105.935,4
So Am I,0uUNN1nSoUx1A4fkDCWDQ7,2019-06-14T16:47:58Z,So Am I,2019-03-07,183026,89,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,389870,85,"dance pop,pop,post-teen pop",0.684,0.677,6,-4.034,1,0.0464,0.0754,0,0.133,0.595,130.141,4
Swing (Bonus Track),5zUGr7GcNo7UNjvkNYkjiH,2019-06-14T16:47:58Z,Swing,2019-02-15,155058,51,Danny Ocean,5H1nN1SzW0qNeUEZvuXjAj,1613021,81,"latin,pop,reggaeton,tropical",0.729,0.616,8,-6.422,1,0.249,0.458,0,0.082,0.532,106.486,4
Paradise,7njKgVl3AnLflRad38o7AG,2019-06-14T16:47:58Z,Paradise,2019-04-04,169038,89,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,1602205,86,"dance pop,pop,post-teen pop",0.844,0.644,11,-6.273,0,0.0479,0.0828,0,0.113,0.591,122.061,4
Serpiente Veneno (feat. Ele A El Dominio),63c2jMnVyf8dtnbaQK910d,2019-06-14T16:47:58Z,Serpiente Veneno (feat. Ele A El Dominio),2019-04-26,268437,76,Kidd Keo,0VZrPa7mWAYXH4CwmYk8Km,729718,74,trap espanol,0.918,0.527,1,-6.733,1,0.276,0.108,8.62e-05,0.0549,0.553,99.973,4
Me llama,7piXNyrajEfqhOkzgDq2Ts,2019-06-14T16:47:58Z,Me llama,2019-04-26,211180,75,Beret,0ZHPrnImGh4re3TbSNkoZl,1123019,78,spanish hip hop,0.682,0.55,1,-5.91,1,0.105,0.175,0,0.116,0.271,90.727,4
Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles),53rkN7z3bKorDSIxDvqXNt,2019-06-14T16:47:58Z,Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles),2019-05-14,268794,80,Paulo Londra,3vQ0GE3mI0dAaxIMYe5g7z,5381108,90,"argentine hip hop,trap argentino,trap latino",0.86,0.697,1,-4.727,1,0.0718,0.102,0,0.159,0.586,129.978,4
