track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Common Ground,2ZwVKcRlJA5tbQhoF7Wj1G,2019-06-01T13:07:05Z,Common Ground,2019-04-19,200000,49,TWO LANES,7mnuMLgvXdCWzyB4sQCG7k,4546,48,"traprun,uk dance",0.534,0.601,0,-9.352,1,0.0422,0.0148,0.00395,0.0908,0.139,117.999,4
Dreaming Lucid,2dIfvATnIVbdpWPpdk2sJQ,2019-06-01T13:07:05Z,Dreaming Lucid,2019-03-01,144906,48,Ambar Lucid,4nzV0hThyodYzrwksnS86G,14751,54,bedroom pop,0.398,0.2,1,-13.003,1,0.0306,0.909,0.00122,0.149,0.101,135.175,3
Places I'll Go,53VzkmZXH5JCTj1JipSEsK,2019-06-01T13:07:05Z,Places I'll Go,2019-05-30,224550,30,Blonde Maze,7jKdwKEJDwdloy2X6fyk9Y,1380,45,indie electro-pop,0.507,0.641,4,-8.111,0,0.0327,0.0014,4.07e-06,0.497,0.333,99.89,4
What You Promised,4fxeVw0mf5eHVvunUtcVZG,2019-06-01T13:07:05Z,What You Promised,2019-05-23,262400,45,Fairlane,3L7JnVovGbYSUmRyqhXMYO,3682,49,"pop edm,traprun",0.367,0.645,11,-6.432,0,0.0408,0.189,0,0.105,0.0742,149.955,4
Back to You,78IafDC0fc0WB2NmUTZ7xe,2019-06-01T13:07:05Z,Drifting,2019-05-31,159044,22,TWO LANES,7mnuMLgvXdCWzyB4sQCG7k,4546,48,"traprun,uk dance",0.634,0.495,2,-7.631,1,0.0483,0.00332,0.0426,0.211,0.217,135.912,4
Follow Me,5DPOfryCVUVQTVrcOKt5HN,2019-06-01T13:07:05Z,Follow Me,2019-02-07,215454,40,Attom,1Xq5wasmlEwC6TqCqJtP5o,10020,53,,0.512,0.823,8,-5.887,1,0.0854,0.127,0.331,0.102,0.235,87.877,4
All Night Long,6RVHqpGf18CX4OJjCCAx0u,2019-06-01T13:07:05Z,All Night Long,2019-05-17,171230,48,Nora Van Elken,04m3oUGzjO3EJTQidFzTgM,3931,53,"deep tropical house,pop edm",0.806,0.653,6,-6.386,0,0.0393,0.0501,0.314,0.146,0.177,119.984,4
Spark,455dBlLbb20MByIVmlSwEg,2019-06-01T13:07:05Z,Spark,2019-05-13,240500,45,Forester,3d13oWvwmjcodRr3NzdArc,92,33,,0.339,0.405,8,-9.59,1,0.192,0.592,0,0.125,0.0504,179.751,4
Pins & Needles,1ff41bnyMgmrBGPMzzUXLc,2019-06-01T13:07:05Z,Pins & Needles,2019-05-16,214186,44,888,2KOCXIEmkM6K82nL9fovWf,17524,47,"indie poptimism,modern rock",0.463,0.608,8,-4.417,1,0.0282,0.22,0,0.141,0.278,171.836,4
Looking For Love,6egF6gwtOJrePFjFpEaes0,2019-06-01T13:07:05Z,Looking For Love,2019-05-09,182210,48,Mickey Valen,2tLI4kPsmsxQQv6zr2jbgt,24135,56,"bass trap,pop edm,traprun",0.626,0.604,10,-8.714,1,0.117,0.352,0,0.158,0.528,94.913,4
Hold On To Me,5WBvm2NqOyd1aEy60ccVvc,2019-06-01T13:07:05Z,Hold On To Me,2019-05-06,200780,42,Blonde Maze,7jKdwKEJDwdloy2X6fyk9Y,1380,45,indie electro-pop,0.376,0.572,9,-7.818,1,0.0345,0.00243,0.000357,0.0816,0.337,122.0,4
Those Three Words,2BlnGaPGoXF9myyP9GUeXh,2019-06-01T13:07:05Z,Those Three Words,2019-05-24,202013,36,Portair,5eNDu0xRakAeO0Za8pRIuG,433,38,,0.378,0.354,11,-12.366,0,0.173,0.909,1.28e-05,0.0796,0.172,75.804,4
Want You,1Xy9aJeQXnEcKLhfQfoLyq,2019-06-01T13:07:05Z,Want You,2019-04-25,170000,46,IHF,34P1IGH1mIqdaVkfRuTebV,23110,48,"vapor soul,vapor twitch",0.493,0.566,4,-8.871,0,0.0617,0.39,0.779,0.386,0.195,120.004,4
Crumble,3WqzI7rkURWRD1XnlhP4tz,2019-06-01T13:07:05Z,Crumble,2019-03-15,189600,51,Fairlane,3L7JnVovGbYSUmRyqhXMYO,3682,49,"pop edm,traprun",0.484,0.709,7,-6.428,1,0.263,0.327,0.000469,0.133,0.27,199.908,4
Back Together,50rBOd5DbsettwBaTvAMyX,2019-06-01T13:07:05Z,Back Together,2019-04-24,211666,50,William Black,7d5SfGXKpgS3JK8BFIq59h,13756,54,"bass trap,pop edm,traprun",0.537,0.697,1,-4.58,0,0.0385,0.132,0,0.104,0.228,144.009,4
Pineapple Death,697q9sUTGrDGrQZ747X48h,2019-06-01T13:07:05Z,Dreaming Lucid,2019-03-01,143420,38,Ambar Lucid,4nzV0hThyodYzrwksnS86G,14751,54,bedroom pop,0.619,0.182,2,-12.928,1,0.0317,0.836,9.98e-06,0.106,0.152,105.278,4
Does It Even Matter,3P7GhBnhMVXigKm2xI71RD,2019-06-01T13:07:05Z,Follow Me,2019-02-07,240000,46,Attom,1Xq5wasmlEwC6TqCqJtP5o,10020,53,,0.591,0.682,5,-6.546,1,0.0344,0.077,0.0831,0.104,0.0395,109.979,4
Missing You,2vQOXq9C3RZppazhyyGpYW,2019-06-01T13:07:05Z,Missing You,2018-11-30,174923,46,Nora Van Elken,04m3oUGzjO3EJTQidFzTgM,3931,53,"deep tropical house,pop edm",0.577,0.685,5,-5.475,0,0.0412,0.315,1.16e-06,0.158,0.346,119.952,4
Always Afternoon,6GMaQmdpwGolGyuW6ZJ9X9,2019-06-01T13:07:05Z,Always Afternoon,2019-05-10,183226,49,Medasin,62vbsDRAq0qHdezaCOzB0T,49513,67,vapor twitch,0.598,0.357,3,-12.104,1,0.0492,0.869,0.0957,0.27,0.168,75.017,4
iLoveittho,3L8vflkq0oH26MGJoGMroZ,2019-06-01T13:30:44Z,iLoveittho,2019-05-31,182666,23,Ash Cartell,6FEDVxTlU8haERzWS9RQgD,58,13,,0.546,0.476,5,-6.04,0,0.345,0.309,0,0.123,0.601,88.06,4
Anywhere,6IGxxiSifipUlqId7cioWW,2019-06-01T13:07:05Z,Anywhere,2019-01-10,189642,50,Attom,1Xq5wasmlEwC6TqCqJtP5o,10020,53,,0.561,0.833,9,-5.933,1,0.0596,0.042,0.000318,0.103,0.149,111.992,4
Stardust,0G1X4OGcMtEAMII10izoB8,2019-06-01T13:07:05Z,Stardust,2019-05-22,205106,45,daydream Masi,7d1ybPEhoZkeQhKHIyl9U9,519,38,,0.652,0.542,8,-6.278,1,0.0833,0.374,0.00155,0.104,0.408,110.054,4
Needed You (feat. Trove),1VWUvQbNSmvYcMORiYXunQ,2019-06-01T13:07:05Z,Needed You (feat. Trove),2019-04-05,169384,50,Nora Van Elken,04m3oUGzjO3EJTQidFzTgM,3931,53,"deep tropical house,pop edm",0.715,0.798,0,-4.774,0,0.121,0.00849,0.0002,0.247,0.78,121.874,4
Higher Than The Moon (Alle Farben Remix),5t1Gzp47m5mHBxJeCjUygF,2019-06-01T13:07:05Z,Higher Than The Moon (Alle Farben Remix),2019-04-26,247797,45,Trove,66tyfeU6ZerzudGCX9mXcg,2372,57,,0.888,0.478,9,-6.406,0,0.0627,0.0513,0.0157,0.0807,0.728,124.075,4
Meaning,0OjgLzwCvAmKoiYpaTlMmf,2019-06-01T13:07:05Z,Closure,2019-04-05,262400,46,Neovaii,45f1m9SROETaiqSyGcqTzv,16004,57,"bass trap,pop edm,tracestep,traprun",0.541,0.712,5,-4.828,0,0.0326,0.0137,0.00052,0.107,0.21,150.025,4
Candy,4FlRQo7c2FLkKE6GsGqBJa,2019-06-01T13:07:05Z,Candy,2018-12-07,170686,48,Ambar Lucid,4nzV0hThyodYzrwksnS86G,14751,54,bedroom pop,0.605,0.137,8,-15.085,0,0.031,0.986,8.82e-05,0.273,0.182,134.539,4
Time,5zsdWXfGLVSn606lWkx7tG,2019-06-01T13:07:05Z,Time After Time,2019-05-17,166397,38,MKJ,2mdhxkqoWFBLtEC5FRkMD0,2346,37,finnish edm,0.723,0.542,4,-8.313,0,0.0331,0.0178,0.00769,0.284,0.381,119.065,4
Giants,2R92Lq8g6bgcBAd8VFjQoF,2019-06-01T13:07:05Z,Giants,2019-05-14,190592,53,Jackson Guthy,5n4GpmlM9nTuOiMWpQhHKo,4149,46,,0.405,0.651,10,-5.761,1,0.0583,0.0115,0,0.13,0.156,154.707,4
Back Down,0ww9IfRZtVFvfQ42RKP7B3,2019-06-01T13:07:05Z,Back Down,2019-03-08,204571,48,TWO LANES,7mnuMLgvXdCWzyB4sQCG7k,4546,48,"traprun,uk dance",0.602,0.649,8,-6.835,1,0.0488,0.123,0.000547,0.164,0.129,105.007,4
Strangers,55BmcYqf7OCjepGCKfmJRo,2019-06-01T13:07:05Z,Strangers,2019-03-22,188147,50,Far Out,7aB2KbM3pphL9mU3dXbyh2,23611,57,"bass trap,pop edm,tracestep,traprun",0.499,0.872,5,-4.58,1,0.102,0.0561,0,0.106,0.25,146.888,4
The East,0mG0tLlpThB4MAZDSgCxFl,2019-06-01T13:07:05Z,Drifting,2019-05-31,199067,10,TWO LANES,7mnuMLgvXdCWzyB4sQCG7k,4546,48,"traprun,uk dance",0.561,0.524,7,-10.02,0,0.0377,0.00521,0.885,0.136,0.0391,117.906,4
Snow White,3HZ6JtRuqNsiUkHXYeX0LX,2019-06-01T13:07:05Z,Snow White,2019-05-03,164571,51,Adon,7l7IyxqOyGDSU6iF4FzisA,1017,53,"deep tropical house,tropical house",0.387,0.613,7,-7.594,1,0.169,0.343,0.00941,0.306,0.108,104.627,4
Time,5NaM1Pvh51i5Ja5EMb7D31,2019-06-01T13:07:05Z,I C U U C ME Pt. II,2019-04-05,210909,51,Sebastian Mikael,4hknFHNFp3UMm2Rbc6Ansf,93042,44,"alternative r&b,deep pop r&b,indie r&b",0.549,0.792,3,-6.279,1,0.226,0.452,0,0.0954,0.563,134.824,4
Anything Anymore,1pBf0CWD1gMxRtaLSSh46m,2019-06-01T13:07:05Z,Anything Anymore,2019-03-04,210967,46,LZRD,6O2ODylN42JL651p1vcIYQ,8165,52,pop edm,0.674,0.566,10,-9.137,1,0.0469,0.136,0,0.0877,0.381,124.082,4
Awake,7lmWLVGB3A8w62J6opghk0,2019-06-01T13:07:05Z,Drifting,2019-05-31,160218,12,TWO LANES,7mnuMLgvXdCWzyB4sQCG7k,4546,48,"traprun,uk dance",0.5,0.586,11,-9.641,0,0.283,0.605,0.0124,0.194,0.172,160.179,4
Swimming Pool,104HmJyCYlCJFF2JgVVEcj,2019-06-01T13:07:05Z,Swimming Pool,2019-03-29,235882,42,TARI,2IkXfRlqGZgE7rvDkp30wf,702,40,,0.65,0.646,2,-6.089,1,0.234,0.201,2.43e-05,0.346,0.58,102.047,4
About Life,1ldCE6YOvnGKMocwO02DgI,2019-06-01T13:07:05Z,About Life,2019-03-22,188181,51,Adon,7l7IyxqOyGDSU6iF4FzisA,1017,53,"deep tropical house,tropical house",0.627,0.745,7,-6.923,1,0.0323,0.0168,0.00302,0.639,0.543,109.961,4
Coke & Henny Pt. 1,2DICpQzdDdeUeL8SkJ5g3W,2019-06-01T13:07:05Z,Coke & Henny Pt. 1,2019-03-22,149538,55,Pink Sweat$,1W7FNibLa0O0b572tB2w7t,111414,73,"bedroom soul,indie r&b,pop",0.859,0.287,10,-12.85,0,0.0515,0.469,3.01e-06,0.0852,0.853,129.954,4
You Remind Me (feat. Stanaj) - Nora Van Elken Remix,6HvV5N1j3Npo5WXLgCA2yR,2019-06-01T13:07:05Z,Gravity Pt. 1 (Remixes),2019-03-01,203709,41,Gryffin,2ZRQcIgzPCVaT9XKhXZIzh,262038,77,"dance pop,edm,electro house,pop,pop edm,tropical house",0.735,0.875,3,-4.726,0,0.0385,0.0218,0.00842,0.0792,0.322,124.003,4
