track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Up & Down,5ZaGbMqMDU70Tg5fVzq8hA,2019-05-03T11:56:04Z,Up & Down,2019-04-12,164893,62,Marnik,6S3KljEiIOWoLMUyZrkQUc,45026,62,deep big room,0.758,0.746,0,-7.209,0,0.0285,0.442,0.000834,0.154,0.658,137.968,4
Not Ok,6aoGtdWXBkYQ2O2wnyIz2x,2019-05-24T10:00:40Z,Not Ok,2019-05-23,210943,0,Kygo,23fqKkggKUBHNkbKtXEls4,4871863,88,"edm,pop,tropical house",0.618,0.66,11,-8.14,0,0.0372,0.0292,2.07e-06,0.325,0.408,105.0,4
Wish You Well,1yAPglN5AGf7UoLK062ZYq,2019-05-24T10:00:40Z,Wish You Well,2019-05-24,205653,0,Sigala,1IueXOQyABrMOprrzwQJWN,807732,77,"dance pop,edm,pop,tropical house",0.669,0.895,5,-3.787,0,0.0575,0.128,0,0.297,0.576,124.964,4
Obsessed,4rTZbEQtDtlZZW1Ag9Umbk,2019-05-03T11:56:04Z,Obsessed,2019-03-22,208774,52,Dynoro,3v6Ji4uoWtKRkhuDUaxi9n,76796,77,edm,0.581,0.818,11,-4.412,0,0.0591,0.0648,2.63e-06,0.153,0.191,117.972,4
Holterdiepolter,1JLkfGbg0vw9VBTZeuPPNZ,2019-05-03T11:56:04Z,Holterdiepolter,2018-12-14,192600,62,Anstandslos & Durchgeknallt,5R8zS6ofKclznKk3ffudoO,29080,60,german pop,0.725,0.76,0,-4.836,1,0.0444,0.0311,0.000161,0.199,0.59,122.068,4
Cooler Than Me - Radio Edit,525GY0mXYnxajolwgS8Eaz,2019-05-17T09:33:50Z,Cooler Than Me (Radio Edit),2019-05-17,179760,47,Lucky Luke,5ee4yhrWOxaxvL77BoVpVR,23230,63,lithuanian electronic,0.889,0.716,7,-6.146,1,0.0708,0.0595,0.0409,0.168,0.296,128.022,4
Moonlight,0A5gdlrpAuQqZ2iFgnqBFW,2019-05-03T11:56:04Z,Moonlight,2018-09-07,173066,83,Gaullin,1aQwKFn00nswXRDUDipm0K,31954,72,lithuanian electronic,0.813,0.761,10,-5.687,0,0.085,0.0529,0.0119,0.337,0.29,124.957,4
Narcotic,7M9w4C8WenlvWfNRAulZOX,2019-05-03T11:56:04Z,Narcotic,2019-04-26,192386,57,Younotus,67ghKnycRX6VM1xfqJSMlH,3474,64,german dance,0.749,0.668,10,-5.964,0,0.0608,0.0373,0.000272,0.045,0.366,108.0,4
On My Way,4n7jnSxVLd8QioibtTDBDq,2019-05-03T11:56:04Z,On My Way,2019-03-21,193797,90,Alan Walker,7vk5e3vY1uw9plTHJAMwjN,9582077,89,tropical house,0.509,0.689,1,-4.929,0,0.102,0.0209,0,0.301,0.297,170.087,4
Piece Of Your Heart,5p1ex0pXv6jSPJ6QbumQpD,2019-05-03T11:56:04Z,Piece Of Your Heart,2019-02-01,152913,82,MEDUZA,0xRXCcSX89eobfrshSVdyu,9838,77,pop house,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,4
Take It,14fIlfcmFPlj4V2IazeJ25,2019-05-03T11:56:04Z,Take It,2018-07-27,234440,62,Dom Dolla,205i7E8fNVfojowcQSfK9m,25077,59,"bass house,deep groove house,house",0.851,0.742,0,-6.126,1,0.0377,0.0259,0.256,0.111,0.236,123.033,4
This Is How We Do It,0S45wqGbuBLuSFUAi9nkXw,2019-05-17T08:54:18Z,This Is How We Do It,2019-05-17,149386,44,Fresh Mode,166MwtUacodwKnPxyroDV3,17,33,,0.822,0.867,5,-4.398,0,0.0449,0.0436,0,0.0875,0.595,120.025,4
SOS,6nDKrPlXdpomGBgAlO7UdP,2019-05-03T11:56:04Z,SOS,2019-04-10,157202,95,Avicii,1vCWHaC5f2uS3yhpwWbIA6,13378173,90,"big room,edm,pop",0.802,0.645,5,-6.181,0,0.0715,0.272,0,0.119,0.376,100.001,4
Shadow,0S58a0NGg5wyJt95pwgrjY,2019-05-03T11:56:04Z,Shadow,2018-10-30,178306,52,Triplo Max,5vie0556qntEu1EgA7ijtF,1142,48,,0.803,0.63,1,-5.616,0,0.102,0.0659,0.604,0.158,0.285,114.008,4
