track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Mess with My Head,1rR0l6YBjzAHdgKO06zEek,2019-08-09T15:54:17Z,Mess with My Head,2019-08-09,153000,49,Miranda Lambert,66lH4jAE7pqPlOlzUKbwA0,1956528,71,"contemporary country,country,country dawn,country road,modern country rock",0.715,0.846,11,-4.31,0,0.0303,0.00104,0.00113,0.076,0.972,114.008,4
Beer Never Broke My Heart,7nfmK6oHPDlAd68A11d7AN,2019-08-09T15:54:17Z,The Prequel - EP,2019-06-07,186800,76,Luke Combs,718COspgdWOnwOFpJHRZHS,1526484,84,"contemporary country,country road",0.54,0.863,1,-4.483,1,0.0481,0.0138,0,0.0871,0.64,77.0,4
Homesick,3Z6ZB2rAjuqsErN2gWzojW,2019-08-09T15:54:17Z,Experiment,2018-11-09,205400,62,Kane Brown,3oSJ7TBVCWMDMiYjXNiCKE,1757444,83,"contemporary country,country road",0.701,0.5,8,-8.82,1,0.0303,0.46,0,0.234,0.409,97.028,4
The Bones,3npzogdOEiVsieXmmhBepL,2019-08-09T15:54:17Z,GIRL,2019-03-08,197293,80,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,362578,80,contemporary country,0.612,0.57,11,-6.642,0,0.0347,0.279,0,0.0963,0.335,77.004,4
One Man Band,3ksmU0DaEUMEVzx5V6cc3z,2019-08-09T15:54:17Z,Old Dominion,2019-01-18,186520,73,Old Dominion,6y8XlgIV8BLlIg1tT1R10i,549322,75,"contemporary country,country road",0.705,0.363,6,-8.327,1,0.0355,0.667,0,0.112,0.482,75.98,4
One Thing Right,4hPpVbbakQNv8YTHYaOJP4,2019-08-09T15:54:17Z,One Thing Right,2019-06-21,181823,88,Marshmello,64KEffDW9EtZ1y2vBYgq8T,14984707,91,"brostep,progressive electro house",0.659,0.623,4,-2.253,1,0.0451,0.0667,0,0.582,0.439,88.042,4
GOOD TIME,5EmRdnYpBnMWFu8PLGxYYj,2019-08-09T15:54:17Z,GOOD TIME,2019-07-19,213486,54,Niko Moon,6Rw7DRa1dzChBvxGPCpOxU,770,48,country pop,0.791,0.64,5,-5.876,1,0.0468,0.134,0,0.371,0.616,138.043,4
It All Comes Out in the Wash,5QZFaimQx9Hgv0hZQp9hpp,2019-08-09T15:54:17Z,It All Comes Out in the Wash,2019-07-18,214786,66,Miranda Lambert,66lH4jAE7pqPlOlzUKbwA0,1956528,71,"contemporary country,country,country dawn,country road,modern country rock",0.602,0.73,0,-4.925,1,0.0314,0.00106,0.000115,0.095,0.923,164.027,4
Anything She Says (feat. Seaforth),6LQxv30jh0lCISHsPYwqoy,2019-08-09T15:54:17Z,Anything She Says (feat. Seaforth),2019-07-25,169154,58,Mitchell Tenpenny,1p6CdzJRoicjRcSdWoB9Qc,77385,69,"contemporary country,country pop,heartland rock",0.612,0.621,7,-5.657,1,0.0734,0.169,0,0.137,0.883,185.857,4
To a T,64wjSAPLRnrjNByQCxnX3u,2019-08-09T15:54:17Z,To a T,2019-01-04,178813,70,Ryan Hurd,7lDVEkjIURPMyUYwoQRrpw,52223,65,"contemporary country,country pop,modern country rock",0.687,0.641,11,-5.814,1,0.03,0.17,0,0.111,0.663,120.04,4
Redesigning Women,2XhiUG5cGOkiFsdPLMKV4z,2019-08-09T15:54:17Z,Redesigning Women,2019-07-19,174933,56,The Highwomen,3iyG1duuxWpcuWa57VSeZ0,12554,55,,0.579,0.621,5,-5.934,1,0.0353,0.27,0,0.0965,0.611,139.39,4
Never Be Sorry,1sE1zYYMBsHd7iR6nPN16p,2019-08-09T15:54:17Z,Never Be Sorry,2019-07-26,207986,60,Old Dominion,6y8XlgIV8BLlIg1tT1R10i,549322,75,"contemporary country,country road",0.735,0.846,11,-5.423,1,0.0289,0.0123,2.55e-05,0.121,0.842,125.988,4
