track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
If I Can't Have You,6LsAAHotRLMOHfCsSfYCsz,2019-05-31T21:47:09Z,If I Can't Have You,2019-05-03,190800,95,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,16896733,92,"canadian pop,dance pop,pop,post-teen pop,viral pop",0.692,0.809,2,-4.198,1,0.0602,0.524,0,0.147,0.864,123.911,4
Sucker,4y3OI86AEP6PQoDE6olYhO,2019-05-31T21:47:09Z,Sucker,2019-03-01,181040,95,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,2235371,86,"boy band,dance pop,pop,post-teen pop",0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,4
Never Really Over,5PYQUBXc7NYeI1obMKSJK0,2019-05-31T21:47:09Z,Never Really Over,2019-05-31,223523,74,Katy Perry,6jJ0s89eD6GaHleKKya26X,12992871,87,"dance pop,pop,post-teen pop",0.765,0.883,8,-4.736,1,0.0688,0.2,0,0.303,0.36,99.987,4
SOS,6nDKrPlXdpomGBgAlO7UdP,2019-05-31T21:47:09Z,SOS,2019-04-10,157202,95,Avicii,1vCWHaC5f2uS3yhpwWbIA6,13477259,90,"big room,edm,pop",0.802,0.645,5,-6.181,0,0.0715,0.272,0,0.119,0.376,100.001,4
"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",1WSGTYKLEpKfNQYYW5Oymt,2019-05-31T21:47:09Z,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",2019-02-28,158027,87,benny blanco,5CiGnKThu5ctn9pBxv7DGa,254249,84,"dance pop,pop,tropical house",0.541,0.468,10,-4.039,0,0.362,0.404,3.65e-06,0.358,0.69,95.266,4
ME! (feat. Brendon Urie of Panic! At The Disco),4Sib57MmYGJzSvkW84jTwh,2019-05-31T21:47:09Z,ME!,2019-04-26,193040,90,Taylor Swift,06HL4z0CvFAxyc27GXpf02,20113788,92,"dance pop,pop,post-teen pop",0.614,0.839,0,-4.143,1,0.0702,0.0291,0,0.112,0.657,182.123,4
Glad He's Gone,6aIAuKNU8JlVaTmoCYYN6U,2019-05-31T21:47:09Z,Glad He's Gone,2019-05-31,196348,64,Tove Lo,4NHQUGzhtTLFvgF5SZesLK,1988936,80,"dance pop,electropop,metropopolis,pop,post-teen pop,r&b,swedish electropop,swedish pop,swedish synthpop",0.795,0.595,1,-8.073,1,0.0698,0.0823,0,0.128,0.502,91.025,4
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,2019-05-31T21:47:09Z,I Don't Care (with Justin Bieber),2019-05-10,219946,98,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,44826274,96,"pop,uk pop",0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,4
Nightmare,340UVheS8z3ncW9TTUhAbc,2019-05-31T21:47:09Z,Nightmare,2019-05-17,231998,87,Halsey,26VFTg2z8YR0cCuwLzESi2,6324406,93,"dance pop,electropop,etherpop,indie poptimism,pop,post-teen pop",0.611,0.622,9,-5.075,0,0.0734,0.0188,0,0.359,0.538,146.11,4
Easier,4tNXntkAzQ5A2dfYRYGIIQ,2019-05-31T21:47:09Z,Easier,2019-05-23,157492,85,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,4658832,87,"boy band,dance pop,pop,post-teen pop",0.648,0.433,2,-5.533,0,0.147,0.496,0,0.0996,0.614,87.997,4
MONOPOLY (with Victoria Monét),6tsOcBnaKgzK22yEiqRh8P,2019-05-31T21:47:09Z,MONOPOLY,2019-04-01,158586,83,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,29972805,96,"dance pop,pop,post-teen pop",0.892,0.507,0,-8.282,1,0.378,0.704,3.14e-05,0.109,0.695,143.96,4
Diva (with Swae Lee & Tove Lo),7sxA24QDCYRSEUQqEAsaKR,2019-05-31T21:47:09Z,Diva (with Swae Lee & Tove Lo),2019-05-10,165600,70,Aazar,7oNtf1MwhHcyXRsYXE1WsG,20190,61,electronic trap,0.694,0.717,5,-5.468,0,0.0467,0.0674,0,0.143,0.306,100.063,4
Superhuman,4baWaXmm0BFFT3Qe3uSvs9,2019-05-31T21:47:09Z,NCT #127 WE ARE SUPERHUMAN - The 4th Mini Album,2019-05-24,237853,65,NCT 127,7f4ignuCJhLXfZ9giKT7rH,1392113,75,"k-pop,k-pop boy group",0.679,0.797,2,-4.627,1,0.338,0.0438,0,0.0748,0.609,117.018,4
bad guy,2Fxmhks0bxGSBdJ92vM42m,2019-05-31T21:47:09Z,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,194087,100,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,8258507,100,"electropop,pop",0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4
Con Calma - Remix,4au7FRcgZzChASRYu279xH,2019-05-31T21:47:09Z,Con Calma (Remix),2019-04-19,181280,83,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,11220387,94,"latin,latin hip hop,pop,reggaeton,tropical",0.736,0.868,8,-3.01,0,0.0454,0.166,1.48e-06,0.0419,0.613,94.026,4
Kill This Love,3VHrwffnUZFb7FidvPV3OA,2019-05-31T21:47:09Z,Kill This Love,2019-04-04,189052,62,BLACKPINK,41MozSoPIsD1dJM0CLPjZF,7058364,88,"k-pop,k-pop girl group",0.738,0.861,2,-4.141,1,0.237,0.32,0.00175,0.325,0.58,131.974,4
Wow. - Remix,3IKRHd9ihUdGffgz4Mbgv0,2019-05-31T21:47:09Z,Wow. (Remix),2019-03-15,170053,52,Post Malone,246dkjvS1zLTtiykXe5h60,14169715,96,"pop,rap",0.797,0.64,11,-6.272,0,0.194,0.148,0,0.209,0.486,100.002,4
