track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Wish You Well,1yAPglN5AGf7UoLK062ZYq,2019-05-24T15:23:55Z,Wish You Well,2019-05-24,205653,0,Sigala,1IueXOQyABrMOprrzwQJWN,807732,77,"dance pop,edm,pop,tropical house",0.669,0.895,5,-3.787,0,0.0575,0.128,0,0.297,0.576,124.964,4
On My Way,4n7jnSxVLd8QioibtTDBDq,2019-05-24T15:23:55Z,On My Way,2019-03-21,193797,90,Alan Walker,7vk5e3vY1uw9plTHJAMwjN,9582050,89,tropical house,0.509,0.689,1,-4.929,0,0.102,0.0209,0,0.301,0.297,170.087,4
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),7Feaw9WAEREY0DUOSXJLOM,2019-05-24T15:23:55Z,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2019-04-25,163804,88,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10105946,87,"big room,edm,pop,progressive house,tropical house",0.661,0.723,5,-6.976,0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,4
Not Ok,6aoGtdWXBkYQ2O2wnyIz2x,2019-05-24T15:23:55Z,Not Ok,2019-05-23,210943,0,Kygo,23fqKkggKUBHNkbKtXEls4,4871863,88,"edm,pop,tropical house",0.618,0.66,11,-8.14,0,0.0372,0.0292,2.07e-06,0.325,0.408,105.0,4
Made For You,1bZCA8kaaYYIMpU3Mh7R7U,2019-05-24T15:23:55Z,Made For You,2019-03-22,196480,54,John De Sohn,3TVjdmhfFoYJLgBEkkZTBm,62771,66,"big room,dance pop,deep pop edm,edm,progressive electro house,swedish pop,swedish tropical house,tropical house",0.628,0.673,1,-5.943,1,0.0406,0.0193,0,0.0858,0.57,149.955,4
Moonlight,0A5gdlrpAuQqZ2iFgnqBFW,2019-05-24T15:23:55Z,Moonlight,2018-09-07,173066,83,Gaullin,1aQwKFn00nswXRDUDipm0K,31954,72,lithuanian electronic,0.813,0.761,10,-5.687,0,0.085,0.0529,0.0119,0.337,0.29,124.957,4
Old Town Road - Diplo Remix,3kgKVcBpBGuSeaEC0AZGlb,2019-05-24T15:23:55Z,Old Town Road (Diplo Remix),2019-04-29,204026,75,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,256943,90,country rap,0.766,0.771,6,-9.108,1,0.0576,0.00407,3.76e-06,0.113,0.297,140.036,4
Who Do You Love,11cDEev79fPKi6uJCjUhu8,2019-05-24T15:23:55Z,Who Do You Love,2019-02-07,226746,75,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,12218399,90,"electropop,pop,tropical house",0.51,0.835,3,-4.673,1,0.0447,0.00791,0,0.219,0.435,140.024,4
SOS,6nDKrPlXdpomGBgAlO7UdP,2019-05-24T15:23:55Z,SOS,2019-04-10,157202,95,Avicii,1vCWHaC5f2uS3yhpwWbIA6,13378160,90,"big room,edm,pop",0.802,0.645,5,-6.181,0,0.0715,0.272,0,0.119,0.376,100.001,4
Happier (feat. Chris Medina),5yO3kbAQD37ge4S3YKao2t,2019-05-24T15:23:55Z,Happier (feat. Chris Medina),2019-05-17,193046,41,JOWST,2m0y0cDl1US03sYgxv9r6s,6940,43,"eurovision,norwegian pop",0.758,0.705,5,-7.301,0,0.0858,0.0789,1.55e-06,0.308,0.642,108.971,4
You and I,2zenXe3zo8bO6AvN3pYGRH,2019-05-24T15:23:55Z,Lucidfantasy,2019-05-17,154560,45,Wahlstedt,7yOWqfe8iP613Ne5SV9XPP,6986,55,pop edm,0.774,0.8,11,-2.716,0,0.0311,0.0746,4.42e-06,0.0703,0.444,124.957,4
Crying Over You,3EBhdBNTPyyr7WesrLxoOL,2019-05-24T15:23:55Z,Crying Over You,2019-05-03,177173,44,COY,5tbKiV0G6Xx529nPcTapgF,15,32,,0.631,0.694,0,-5.582,0,0.0414,0.00851,0,0.121,0.452,114.956,4
Miracles (feat. Tina Stachowiak),1tE9no1NyExKy7NCsg9ucW,2019-05-24T15:23:55Z,Miracles (feat. Tina Stachowiak),2019-05-17,191500,44,Axel Johansson,2xW3pBjCngD69hC1wIUgjA,10992,51,deep pop edm,0.54,0.604,7,-5.915,1,0.0337,0.0265,0,0.196,0.122,97.964,4
Tough Love,4XZxalvnG4Yo8YZLuiT1kV,2019-05-24T15:23:55Z,Tough Love,2019-05-09,191248,84,Avicii,1vCWHaC5f2uS3yhpwWbIA6,13378160,90,"big room,edm,pop",0.402,0.754,8,-4.837,1,0.0432,0.143,0,0.358,0.621,108.17,4
I Found U,6jSPbxZLd2yemJTjz2gqOT,2019-05-24T15:23:55Z,I Found U,2019-05-15,207342,60,Passion Pit,7gjAu1qr5C2grXeQFFOGeh,969417,67,"alternative dance,folk-pop,indie folk,indie pop,indie rock,indietronica,modern rock,shimmer pop,stomp and holler",0.53,0.731,8,-5.299,1,0.0453,0.0713,2.59e-06,0.109,0.385,123.943,4
Told You Once,3tGhzuFRXJdHEge0MN0sC2,2019-05-24T15:23:55Z,Told You Once,2019-05-17,157884,32,Foxa,6lmt4U7hMQhnQzqpDJ1Tor,832,45,"belgian edm,pop edm",0.575,0.974,3,-1.693,0,0.117,0.221,0.00967,0.0949,0.534,127.776,4
No Sleep (feat. Bonn),1ahVFh0ViDZr8LvkEVlq3B,2019-05-24T15:23:55Z,No Sleep (feat. Bonn),2019-02-21,207094,83,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10105946,87,"big room,edm,pop,progressive house,tropical house",0.44,0.635,11,-6.385,1,0.0326,0.129,0,0.121,0.327,128.133,4
Think About You - Galantis Remix,4fC6tDEFmSBBCRBUOPeQ8b,2019-05-24T15:23:55Z,Think About You (Galantis Remix),2019-04-12,181040,67,Kygo,23fqKkggKUBHNkbKtXEls4,4871863,88,"edm,pop,tropical house",0.621,0.898,10,-4.569,1,0.0401,0.0976,1.08e-05,0.404,0.332,124.018,4
Freed from Desire (feat. Indiiana),1lr5prHQn7Q766Ix6eGRKK,2019-05-24T15:23:55Z,Freed from Desire (feat. Indiiana),2018-11-09,161453,67,Drenchill,3nmaO18tcMzfrrR7sdJHnH,1716,56,,0.789,0.758,2,-4.957,0,0.114,0.0665,0,0.0711,0.147,126.0,4
Rebels of the Sun,0lATEvmAb77iuzskkzeTT4,2019-05-24T15:23:55Z,Rebels of the Sun,2019-05-03,178124,42,Ben Ambergen,2YgyIHbFLxiQrpTOeKmEv2,344,31,,0.582,0.878,9,-4.117,0,0.126,0.0107,1.57e-06,0.125,0.28,128.031,4
Can We Pretend (feat. Cash Cash),3O0e0LHTpza0rYVDbZfQ4r,2019-05-24T15:23:55Z,Can We Pretend (feat. Cash Cash),2019-04-11,224360,76,P!nk,1KCSPY1glIKqW2TotWuXOR,6361281,88,"dance pop,pop,post-teen pop,r&b",0.524,0.806,1,-3.447,0,0.406,0.197,0,0.101,0.45,115.172,4
