track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
SOS,6nDKrPlXdpomGBgAlO7UdP,2019-06-06T13:32:48Z,SOS,2019-04-10,157202,92,Avicii,1vCWHaC5f2uS3yhpwWbIA6,13594171,92,"big room,edm,pop",0.802,0.645,5,-6.181,0,0.0715,0.272,0,0.119,0.376,100.001,4
So Am I - Steve Void Remix,7GLWtwtQICFEKNYLZEQKXL,2019-06-06T18:35:02Z,So Am I (Steve Void Remix),2019-06-06,187142,38,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,370868,85,"dance pop,pop,post-teen pop",0.687,0.707,6,-4.924,1,0.0414,0.158,0,0.119,0.805,126.081,4
Get Loud,4Mh6d3ROs8pZVdqQC8fnGs,2019-06-06T13:32:48Z,Get Loud,2019-05-17,144497,42,DMNDS,0U3b0BjITtQHwjwBVtiGcO,127,43,,0.755,0.888,6,-4.696,0,0.0706,0.00255,0.00566,0.222,0.5,123.052,4
Somebody,7dMkq3poFJtz6299Jsr08S,2019-06-06T13:32:48Z,Somebody,2019-06-07,165552,29,Nick Peters,4Rm7UAexBAJqL3LHAUepbw,1191,43,new french touch,0.819,0.815,1,-4.63,1,0.0414,0.0279,0.0142,0.223,0.244,123.969,4
Closure,08H2gS7cSUaO8mHeiBiDye,2019-06-06T13:32:48Z,Closure,2018-12-07,166446,62,Steve Void,3WSK3JppX3N41XHVwQp7Gt,40332,61,"deep tropical house,edm,pop edm,tropical house",0.596,0.834,0,-4.095,1,0.0542,0.126,1.05e-06,0.65,0.562,123.981,4
Honey,0R0o8ASFnjFUKi3uoPzgen,2019-06-06T13:32:48Z,Honey,2019-04-26,200059,53,DMNDS,0U3b0BjITtQHwjwBVtiGcO,127,43,,0.701,0.908,5,-4.499,0,0.0533,0.0011,6.36e-05,0.614,0.181,124.039,4
Bad Love,06m9IzcE90sFufzRwCxEmI,2019-06-06T13:32:48Z,Bad Love,2019-06-07,146378,30,Rich James,35KtMJ3zEIvITK6xssqTWq,2745,45,funk,0.761,0.715,0,-5.231,1,0.035,0.118,4.28e-06,0.0668,0.65,123.087,4
Somebody,7CIx6zasWwRTzu9TmuIzAN,2019-06-06T13:32:48Z,Somebody,2019-05-03,178743,48,Jonas Hahn,7tBpLbevy1QHXITbLo5SIn,138,39,,0.727,0.833,6,-5.047,0,0.0779,0.0105,2.99e-05,0.211,0.35,125.003,4
When You Leave - Steve Void Remix,4vUGTQLxiRWEzqP6PHHlLf,2019-06-06T13:32:48Z,When You Leave (Steve Void Remix),2019-04-26,147840,52,Nikki Vianna,5YyGLejM00snCF1RJKlocJ,2080,60,,0.694,0.862,1,-5.319,1,0.0467,0.00809,1.41e-05,0.156,0.798,124.945,4
Aleya,51pG3akIzO8TH7JokTVHhm,2019-06-06T13:32:48Z,Aleya,2019-06-07,153692,23,Vijay & Sofia Zlatko,23BtKJexFLn0Ri6s7BEC4d,12957,55,"deep house,deep tropical house,groove room,new french touch,tropical house",0.796,0.564,11,-5.932,1,0.0393,0.527,0.192,0.0866,0.632,121.972,4
