track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Can't Get Over You,3dTmgecC7MCMbteWjf8Ls7,2019-08-09T20:24:02Z,Can't Get Over You,2019-07-12,142439,61,KVSH,2uGKgNuq7MnKksXiSO6HjB,161075,69,brazilian edm,0.714,0.795,9,-4.621,0,0.0354,0.013,2.33e-05,0.0917,0.347,123.002,4
Tech Party,11aB8t1wCv2sSfEQQ2X5CJ,2019-08-09T20:24:02Z,Tech Party,2019-08-09,220646,29,Evokings,2PHZw1JCGqwqxZdZ0tt222,43276,57,"brazilian edm,brazilian house",0.746,0.807,10,-6.078,1,0.0527,0.00787,0.832,0.075,0.525,123.993,4
Takeaway,6wo37KVqFJhtuxPTpLCcfe,2019-08-09T20:24:02Z,World War Joy...Takeaway,2019-07-24,209893,85,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,13303866,90,"edm,electropop,pop,tropical house",0.294,0.505,3,-8.106,1,0.042,0.12,0,0.0977,0.357,85.332,1
Dancin (feat. Luvli) - Krono Remix,6WkJ2OK163XXS2oARUC9JM,2019-08-09T20:24:02Z,Dancin (feat. Luvli) [Krono Remix],2014-11-07,198053,82,Aaron Smith,77qukKzmdI5BeMBR7WGUrN,120677,72,chicago house,0.72,0.741,10,-6.529,0,0.0287,0.101,1.41e-05,0.289,0.357,119.896,4
Techno Prank,4t8ilMPQ7E7S6pB4i4Kf2I,2019-08-09T20:24:02Z,Techno Prank,2019-06-07,203406,66,Dubdogz,4cdyqaBREB68H77QKCrKP1,116346,66,brazilian edm,0.741,0.807,2,-6.562,1,0.0451,0.0563,0.747,0.351,0.118,124.062,4
Flash Pose,5GsJcnO3rgpZFOrzL2EISO,2019-08-09T20:24:02Z,Flash Pose,2019-07-26,152932,76,Pabllo Vittar,6tzRZ39aZlNqlUzQlkuhDV,2438691,75,"baile pop,dance pop,funk carioca,pop,pop nacional",0.773,0.859,1,-4.516,1,0.216,0.0226,0.000251,0.342,0.432,124.017,4
Colours & Lights,2Dotbvpzwo75ZW8ZaItbSR,2019-08-09T20:24:02Z,Colours & Lights,2019-07-26,192986,54,GoldFish,0uRdK8gy7fXJGRywrlmPM7,125448,62,"cape town indie,downtempo,electro swing,nu jazz,tropical house",0.647,0.759,9,-5.99,1,0.0444,0.0129,2.13e-06,0.394,0.397,125.014,4
Gone Too Long,5pHzIjrVsV1GG3E1G0fsWU,2019-08-09T20:24:02Z,Gone Too Long,2019-01-18,191086,65,Cat Dealers,3q2dSq7VZnj8TmoJUyRm40,332149,71,"brazilian edm,funk carioca",0.632,0.803,10,-5.77,0,0.125,0.00742,1.09e-05,0.404,0.434,123.997,4
Me Gusta,4Kk8Xc3UaEPAQ0CepN6AaL,2019-08-09T20:24:02Z,Me Gusta,2019-04-05,183517,62,KVSH,2uGKgNuq7MnKksXiSO6HjB,161075,69,brazilian edm,0.762,0.696,7,-5.465,1,0.0497,0.0358,0.00394,0.505,0.259,123.081,4
Call You Mine,05CwHjIk71RXVU40boRMnR,2019-08-09T20:24:02Z,World War Joy,2019-05-31,217653,88,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,13303866,90,"edm,electropop,pop,tropical house",0.591,0.702,7,-5.59,1,0.0289,0.225,0,0.414,0.501,104.003,4
Bright (feat. Ipe),4zg57hWLs9PaEHwtb8yS4F,2019-08-09T20:24:02Z,Bright (feat. Ipe),2019-06-07,164000,45,Lacosh,4y9qH7IVzokjn5N2Y2kQVi,3353,48,brazilian edm,0.648,0.763,7,-5.091,0,0.0467,0.0302,0,0.0879,0.386,120.01,4
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),7Feaw9WAEREY0DUOSXJLOM,2019-08-09T20:24:02Z,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2019-04-25,163804,89,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,11012991,88,"big room,edm,pop,progressive house,tropical house",0.661,0.723,5,-6.976,0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,4
Favela,2JVbZEpewmqNlSzmXJTx2E,2019-08-09T20:24:02Z,Favela,2018-08-17,185104,67,Alok,0NGAZxHanS9e0iNHpR8f2W,5999021,80,"electro house,pop nacional",0.777,0.812,2,-3.206,0,0.0598,0.0125,0.00233,0.0264,0.283,103.023,4
So Wrong - Zuffo Remix,0B2V9WBc8ctqO821oUUn2j,2019-08-09T20:24:02Z,So Wrong (Remixes),2019-08-09,251520,24,JØRD,2dhLVCzAEMbAu1SSkAoOGV,67120,56,brazilian edm,0.698,0.819,5,-5.203,0,0.0332,0.00873,0.483,0.391,0.17,125.062,4
Live Fast - PUBGM,1VUGWjzlqudhTqvhc17miB,2019-08-09T20:24:02Z,Live Fast (PUBGM),2019-07-25,225096,73,Alan Walker,7vk5e3vY1uw9plTHJAMwjN,12338839,87,electro house,0.691,0.557,7,-5.448,0,0.0454,0.104,0,0.427,0.193,87.546,4
Higher Love,6oJ6le65B3SEqPwMRNXWjY,2019-08-09T20:24:02Z,Higher Love,2019-06-28,228267,88,Kygo,23fqKkggKUBHNkbKtXEls4,5273983,89,"edm,pop,tropical house",0.693,0.678,8,-7.159,1,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,4
One Thing Right,4hPpVbbakQNv8YTHYaOJP4,2019-08-09T20:24:02Z,One Thing Right,2019-06-21,181823,88,Marshmello,64KEffDW9EtZ1y2vBYgq8T,14984749,91,"brostep,progressive electro house",0.659,0.623,4,-2.253,1,0.0451,0.0667,0,0.582,0.439,88.042,4
Instagram,0U6bQIAh6MCGo1xjbIIx2S,2019-08-09T20:24:02Z,Instagram,2019-07-05,184558,83,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,2518906,80,"belgian dance,belgian edm,big room,dance pop,deep big room,edm,electro house,progressive electro house,tropical house",0.765,0.906,8,-2.097,0,0.0965,0.125,0,0.423,0.95,96.071,4
In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,2019-08-09T20:24:02Z,In My Mind,2018-06-08,184560,83,Dynoro,3v6Ji4uoWtKRkhuDUaxi9n,118105,77,"edm,tropical house",0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905,4
Old Town Road - Diplo Remix,3kgKVcBpBGuSeaEC0AZGlb,2019-08-09T20:24:02Z,Old Town Road (Diplo Remix),2019-04-29,204026,76,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,798129,92,country rap,0.766,0.771,6,-9.108,1,0.0576,0.00407,3.76e-06,0.113,0.297,140.036,4
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",3y3brCCecHC3Db18aIOnny,2019-08-09T20:24:02Z,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",2019-04-19,215315,83,Kygo,23fqKkggKUBHNkbKtXEls4,5273983,89,"edm,pop,tropical house",0.591,0.705,9,-6.519,0,0.079,0.381,0.000116,0.131,0.27,121.799,4
Not Ok,6aoGtdWXBkYQ2O2wnyIz2x,2019-08-09T20:24:02Z,Not Ok,2019-05-23,210943,78,Kygo,23fqKkggKUBHNkbKtXEls4,5273983,89,"edm,pop,tropical house",0.618,0.66,11,-8.14,0,0.0372,0.0292,2.07e-06,0.325,0.408,105.0,4
Move Your Body,0Wx83TJtc5xYCIHrherjoM,2019-08-09T20:24:02Z,Move Your Body,2019-07-05,226086,48,Evokings,2PHZw1JCGqwqxZdZ0tt222,43276,57,"brazilian edm,brazilian house",0.718,0.964,11,-6.76,1,0.0411,0.0186,0.822,0.327,0.106,124.007,4
Giant (with Rag'n'Bone Man),5itOtNx0WxtJmi1TQ3RuRd,2019-08-09T20:24:02Z,Giant (with Rag'n'Bone Man),2019-01-11,229184,83,Calvin Harris,7CajNmpbOovFoOoasH2HaY,17731373,89,"edm,electro house,house,pop,progressive house,uk dance",0.807,0.887,1,-4.311,0,0.0361,0.016,0.000503,0.0811,0.606,122.015,4
Take Control,2cN12nD4H3vjHfvPewTdco,2019-08-09T20:24:02Z,Take Control,2019-07-26,173914,46,Felguk,3eH2apcLhzhnr3eWmH3VBf,94716,61,"brazilian edm,complextro,electro house,melbourne bounce",0.824,0.961,0,-4.434,1,0.164,0.00113,0.581,0.241,0.172,123.966,4
