track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
A Prayer Away,4FuLfxipUBPOy821OLB0CT,2019-05-11T19:56:33Z,Witches Lake,2019-05-08,198000,31,JT Roach,5CtI0OHj5x6rHQDqpM4JPy,3075,53,,0.679,0.182,6,-15.865,0,0.0559,0.919,0.00286,0.097,0.365,132.998,4
UFOF,1DXvEWgI1xoxmKv2Zd3pNE,2019-05-11T19:56:33Z,U.F.O.F.,2019-05-03,188413,58,Big Thief,5QdyldG4Fl4TPiOIeMNpBZ,146741,65,"art pop,brooklyn indie,chamber pop,folk-pop,freak folk,indie folk,indie pop,indie rock,modern rock,preverb,singer-songwriter,small room,stomp and holler",0.623,0.613,10,-9.241,0,0.0309,0.638,0.572,0.143,0.745,147.168,4
Bite,5V4HwTBSPSWzTLhc8oaqDx,2019-05-11T19:56:33Z,Bite,2019-05-10,212826,36,Charlie Cunningham,78CiW0UJbHspFaVuVexOK6,85216,65,"british singer-songwriter,chamber pop,folk-pop,indie anthem-folk,indie folk",0.552,0.375,4,-16.464,0,0.0372,0.641,0.0277,0.358,0.366,86.507,4
When Does a Heart Move On,1MuJutz1eF3zvtxkKjLKKO,2019-05-05T04:56:54Z,No Place Like You,2019-04-19,232453,19,Joy Williams,4TCXgdDPm10ensLNCVnIYa,70569,64,"acoustic pop,christian indie,folk-pop,indie folk,indiecoustica,nashville singer-songwriter,neo mellow,new americana",0.464,0.289,4,-10.765,1,0.0313,0.915,2.26e-05,0.0923,0.255,144.656,4
Betsy,3YWje5qpVVfsTryReMOWWB,2019-05-11T19:56:33Z,U.F.O.F.,2019-05-03,208466,44,Big Thief,5QdyldG4Fl4TPiOIeMNpBZ,146741,65,"art pop,brooklyn indie,chamber pop,folk-pop,freak folk,indie folk,indie pop,indie rock,modern rock,preverb,singer-songwriter,small room,stomp and holler",0.578,0.381,1,-13.71,1,0.0403,0.64,0.743,0.127,0.461,78.322,4
Wild Time,7rYRkSaw2woYFnNgfCylmJ,2019-05-05T04:56:54Z,Titanic Rising,2019-04-05,369265,46,Weyes Blood,3Uqu1mEdkUJxPe7s31n1M9,67112,61,"art pop,chamber pop,chamber psych,experimental folk,folk-pop,freak folk,indie folk,indie pop,modern rock",0.379,0.424,7,-9.958,1,0.027,0.551,0.00749,0.212,0.244,141.329,4
Stop At Nothing,3UUELRlvvAh5cKVDlDzo7p,2019-05-05T04:56:54Z,Stop At Nothing,2019-04-26,227860,25,Craig Stickland,6wBV2mHGWBe2Mz4jZJi21K,4350,38,,0.611,0.387,0,-6.986,0,0.0287,0.188,0,0.111,0.215,89.806,4
Front Porch,21tFgyx6DR8YmfqNQ7cwSP,2019-05-05T04:56:54Z,No Place Like You,2019-04-19,231813,31,Joy Williams,4TCXgdDPm10ensLNCVnIYa,70569,64,"acoustic pop,christian indie,folk-pop,indie folk,indiecoustica,nashville singer-songwriter,neo mellow,new americana",0.567,0.224,1,-10.024,1,0.0299,0.887,0,0.109,0.2,124.44,4
Love Has All Been Done Before,3doGhU5cBEyyEI7szArdIw,2019-04-27T05:11:34Z,Jade Bird,2019-04-19,196935,49,Jade Bird,7D8LuVnlyu91ndcPe70j7S,86271,62,"folk-pop,uk americana",0.522,0.842,5,-4.039,0,0.0507,0.0302,0,0.0564,0.674,95.92,4
Forgive Me Friend - Acoustic Version,4eQWC9bpUAQT88QNBS2Z7C,2019-04-27T05:11:34Z,Forgive Me Friend (Acoustic Version),2019-04-18,228160,43,Smith & Thell,1ZrBGJWLL8NiAjgNifCy90,22362,64,swedish pop,0.634,0.622,11,-9.426,1,0.0341,0.72,0,0.277,0.404,119.992,4
