track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Sorry,6y1UtRcHQU07aUs3oxZ8Yn,2019-08-23T10:32:22Z,Sorry,2019-04-05,188640,76,Joel Corry,6DgP9otnZw5z6daOntINxp,10978,67,"deep groove house,house,uk dance",0.744,0.79,8,-4.617,0,0.0562,0.0547,0.000802,0.32,0.847,125.002,4
About You,2dzmO8gQgQQBFchqng9MKx,2019-08-23T10:32:22Z,About You,2019-07-26,159184,51,Papa Zeus,34Q1USAO0pv4gNxcnOKNav,101,48,,0.693,0.915,11,-5.342,0,0.0453,0.0699,5.65e-05,0.114,0.504,125.013,4
We Got That Cool (feat. Afrojack & Icona Pop),2cFK03sObtI6AK3QKeOT5g,2019-08-23T10:32:22Z,We Got That Cool (feat. Afrojack & Icona Pop),2019-06-28,213000,69,Yves V,47BEc2RoW53owMyxacXWdV,202552,68,"belgian edm,big room,deep big room,edm,electro house,house,pop edm,progressive electro house,progressive house,tropical house",0.639,0.865,1,-5.01,1,0.0357,0.00462,1.26e-06,0.208,0.611,124.01,4
Wish You Well,1yAPglN5AGf7UoLK062ZYq,2019-08-23T10:32:22Z,Wish You Well,2019-05-24,205653,80,Sigala,1IueXOQyABrMOprrzwQJWN,901311,79,"dance pop,edm,pop,tropical house,uk pop",0.669,0.895,5,-3.787,0,0.0575,0.128,0,0.297,0.576,124.964,4
Go Somewhere,71rHHK9L22rVdmofJTjuSd,2019-08-23T10:32:22Z,Go Somewhere,2019-08-16,174480,58,KREAM,0DdDnziut7wOo6cAYWVZC5,64560,67,"big room,dance pop,deep tropical house,edm,electro house,house,pop,pop edm,tropical house,uk dance",0.706,0.78,0,-5.588,1,0.154,0.0105,0,0.164,0.677,124.022,4
I Was Lovin' You (feat. Dots Per Inch & Ayak),5fOJe6vJ3vJXMrN6v362WJ,2019-08-23T10:32:22Z,I Was Lovin' You (feat. Dots Per Inch & Ayak),2019-06-14,141445,62,James Hype,43BxCL6t4c73BQnIJtry5v,17673,67,"deep groove house,house",0.65,0.936,8,-4.977,0,0.0841,0.0503,0.00179,0.0711,0.472,124.04,4
Take Me Back,2HQb8gTiNfVkwCxLNkhHJO,2019-08-23T10:32:22Z,Take Me Back,2019-08-09,164224,50,Coldabank,3JOvRLynmP4mA6dvlWARoA,1139,44,uk dance,0.636,0.802,11,-6.568,0,0.0529,0.00791,0.00411,0.159,0.362,119.977,4
Something About You (with Rudimental),3hYdai5p5sQ3vAmHQ6uaK6,2019-08-23T10:32:22Z,Something About You (with Rudimental),2019-08-09,203200,66,Elderbrook,2vf4pRsEY6LpL5tKmqWb64,76494,71,"house,tropical house,vapor soul",0.799,0.51,9,-8.998,1,0.196,0.547,0.00091,0.221,0.586,107.065,4
Post Malone (feat. RANI),0qc4QlcCxVTGyShurEv1UU,2019-08-23T10:32:22Z,Magnets EP,2019-05-24,174444,86,Sam Feldt,20gsENnposVs2I4rQ5kvrf,392019,81,"deep tropical house,edm,pop,pop edm,tropical house",0.59,0.642,7,-3.87,1,0.122,0.0771,0,0.105,0.651,107.356,4
Higher Love,6oJ6le65B3SEqPwMRNXWjY,2019-08-23T10:32:22Z,Higher Love,2019-06-28,228267,89,Kygo,23fqKkggKUBHNkbKtXEls4,5341154,89,"edm,pop,tropical house",0.693,0.678,8,-7.159,1,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,4
So Cold (feat. Lily Denning),0j1CiuNObut67Rw72mUNy0,2019-08-23T10:32:22Z,So Cold (feat. Lily Denning),2019-03-08,197520,55,Mahalo,1SeU8Y2rEUpEoeWmUCdQIR,9559,54,,0.778,0.759,8,-6.228,0,0.0426,0.0913,0.0278,0.12,0.108,124.008,4
All Mine,3c9RceD6okF9YiMGUpuCdE,2019-08-23T10:32:22Z,All Mine,2019-08-16,178085,57,Disciples,5EehXjjMktLuJmbRsM7YfB,166022,69,"deep groove house,disco house,edm,house,tropical house,uk dance",0.722,0.748,4,-4.291,0,0.0447,0.0162,0.255,0.0554,0.855,122.952,4
Finding Our Way,0Uc2Bg05ybIP7eMu2U73O5,2019-08-23T10:32:22Z,Finding Our Way,2019-08-23,173258,38,Jay Pryor,1ZUpQr4VSnnP86WbaRRMpd,7762,57,"deep groove house,edm,house,pop edm",0.773,0.804,9,-6.408,1,0.102,0.0243,1.3e-05,0.347,0.65,124.034,4
Repeat After Me (feat. Melissa Steel),3t2Cyq3GntNxnffzRRlCLp,2019-08-23T10:32:22Z,Repeat After Me (feat. Melissa Steel),2019-05-31,172940,58,Nathan Dawe,2gduEC76ry33RVurAvT05p,3128,53,,0.684,0.886,8,-4.74,0,0.0679,0.048,1.53e-05,0.0961,0.564,124.913,4
Choosy (feat. Dantae The Kid),31F6r4J0qRBpXOUELOiybQ,2019-08-23T10:32:22Z,Choosy (feat. Dantae The Kid),2019-08-15,131610,42,Robin M,2XOzTjiQuB1TeW6JQKU3j7,42,33,,0.869,0.616,4,-6.593,0,0.0715,0.0792,0.000103,0.111,0.711,120.044,4
All Of You,5OmmrKLwGEh0JLtNw7nCPz,2019-08-23T10:32:22Z,All Of You,2019-04-26,173888,52,Fuse,7xCCjSSqo7y2OUpJ2DMMrs,136,44,,0.77,0.891,9,-6.556,0,0.137,0.157,0.0175,0.225,0.623,124.027,4
