track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Stars,5E00xRhYsooyC3MBA2H848,2019-07-12T09:49:40Z,Stars,2019-05-03,165468,72,VIZE,09agIJMxCD2k87ys9Al0f0,4117,71,german dance,0.617,0.85,6,-2.945,1,0.114,0.0287,0,0.159,0.35,127.883,4
Heart Beating,2OxNbg9aiHTPQvXrzeA7Zn,2019-07-12T09:49:40Z,Heart Beating,2019-07-12,163320,31,Nora En Pure,24DO0PijjITGIEWsO8XaPs,156779,68,"deep house,deep tropical house,edm,electra,house,progressive house,tropical house",0.736,0.808,7,-5.187,0,0.0761,0.121,2.54e-05,0.146,0.501,125.03,4
Light,79zshLLUoqncCBkd9YfVUE,2019-07-12T09:49:40Z,Light,2019-05-10,185915,59,Jerome,4xcDVatLFh6qlcm41er3LV,5279,53,german house,0.36,0.89,8,-5.645,1,0.0383,0.0171,0.252,0.146,0.0897,106.554,3
More Than Friends,2MB1aCLNk31d1Ty2Wr8KqH,2019-07-12T09:49:40Z,More Than Friends,2019-07-12,174575,32,Leony,2NpPlwwDVYR5dIj0F31EcC,1371,34,,0.78,0.616,11,-5.618,1,0.0534,0.0182,0.0212,0.112,0.489,104.965,4
I'm Not Alright,6HeJjtpjpM14EvYhhgkQEj,2019-07-12T09:49:40Z,I'm Not Alright,2019-07-12,185061,38,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,134313,79,"dance pop,edm,house,pop,tropical house",0.876,0.856,4,-3.884,1,0.0486,0.0812,1.29e-06,0.457,0.685,121.991,4
All Day And Night - Jax Jones & Martin Solveig Present Europa,3O83h4LS797N23DpweeRAa,2019-07-12T20:09:30Z,Snacks,2018-10-12,169303,76,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,516934,82,"dance pop,edm,house,pop,tropical house,uk dance",0.585,0.782,1,-4.101,0,0.0897,0.269,0,0.156,0.521,121.908,4
Truth Never Lies,4Q1HcvTHozFOyWQzUTQoK6,2019-07-12T09:49:40Z,Truth Never Lies,2019-06-06,191762,52,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,1353611,78,"belgian edm,edm,pop,tropical house",0.681,0.631,6,-8.113,0,0.0368,0.146,0,0.186,0.435,119.958,4
Love Is in the Air,3L3N7zbYMoqRB7M8FX5Yby,2019-07-12T09:49:40Z,Love Is in the Air,2019-07-12,181500,32,Milk & Sugar,159cwGtgCzNpyHWY6tzihH,22195,49,"deep house,disco house,funky tech house,munich electronic,vocal house",0.638,0.856,0,-6.401,1,0.034,0.00132,0.0867,0.313,0.49,124.009,4
Glad You Came,5ohL55vbPhN999ETafibnk,2019-07-12T09:49:40Z,Glad You Came,2018-06-15,198095,74,VIZE,09agIJMxCD2k87ys9Al0f0,4117,71,german dance,0.757,0.757,2,-5.803,1,0.0433,0.02,0.000776,0.0941,0.274,126.04,4
Piece Of Your Heart,5p1ex0pXv6jSPJ6QbumQpD,2019-07-12T09:49:40Z,Piece Of Your Heart,2019-02-01,152913,63,MEDUZA,0xRXCcSX89eobfrshSVdyu,27567,83,pop house,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,4
Queen for the Day,77AC4QBwPwRxqJNYduJzF2,2019-07-12T09:49:40Z,Queen for the Day,2019-06-07,190056,36,Lookee,5JJHnW1bhWbA3Slljbdktc,217,43,,0.716,0.941,5,-4.598,0,0.04,0.000687,0.432,0.295,0.589,124.004,4
Later Bitches,3SCVUhmOKIhWYDhWBU1yC2,2019-07-12T09:49:40Z,Later Bitches,2018-11-09,247976,69,The Prince Karma,6ew7qRw24oov125Oly8pFD,14758,66,house,0.769,0.518,8,-6.563,1,0.102,0.000573,0.108,0.342,0.504,121.116,4
Rodeo,5q52WE6uJ7D7ZhRQI44XuV,2019-07-12T09:49:40Z,Rodeo,2019-07-12,159385,22,Trinix,3HqP3nd8WI0VfHRhApPlan,27193,57,"bass trap,new french touch,tropical house",0.877,0.688,8,-5.977,0,0.0875,0.277,0.0106,0.0801,0.702,117.057,4
Swahili,6B8iUuNIAyccP743sUGSXL,2019-07-12T09:49:40Z,Swahili,2019-06-28,183000,35,Swan Williams,4odSHLTzc2JC4ZtL6p2I0u,7,30,,0.779,0.653,6,-10.785,0,0.0562,0.577,0.164,0.0767,0.836,115.955,4
This Time It's My Life,78yXm1eY5XmIKIoecURYuO,2019-07-12T20:22:32Z,This Time It's My Life,2015-07-07,187337,56,Micar,3QqlKdJRY4IqUry390xfvJ,9272,57,"deep tropical house,german dance,tropical house",0.678,0.7,9,-5.7,1,0.0439,0.135,1.33e-06,0.245,0.363,123.985,4
Herzlos,0Q07lwH2dNMPjsFIIdsInj,2019-07-12T09:49:40Z,Herzlos,2019-05-10,193920,61,Mila,4NRdSJJGAVKkyQgmRyn6dk,374,52,,0.396,0.744,1,-5.308,1,0.0654,0.067,0.429,0.0803,0.164,187.514,4
God Save the Rave,6g1VQsGGteeFbJm4IEn3N4,2019-07-12T09:49:40Z,God Save the Rave,2019-05-31,192000,63,Scooter,0HlxL5hisLf59ETEPM3cUA,334697,71,"bubblegum dance,eurodance,europop,german techno,hamburg electronic,happy hardcore",0.438,0.926,8,-3.269,0,0.0841,0.0146,1.62e-05,0.161,0.386,150.036,4
Something Real,5ItFmk5SHMSuFW8dRxaxb2,2019-07-12T09:49:40Z,Something Real,2019-07-12,179531,21,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2919235,82,"edm,progressive house,progressive trance,trance",0.575,0.808,1,-4.578,1,0.0439,0.0446,0,0.0693,0.232,127.922,4
Gravity (feat. Laura Korinth),30WnQsvwFeYEd9k08vV7Dl,2019-07-12T20:11:35Z,Gravity (feat. Laura Korinth),2019-07-12,216000,43,Boris Brejcha,6caPJFLv1wesmM7gwK1ACy,350449,64,"german house,german techno,minimal techno,tech house",0.783,0.616,7,-11.131,1,0.0691,0.00149,0.769,0.117,0.0734,125.023,4
The Twenty Five (Official Nature One Anthem 2019),4a9DD73M93HLGGhSHiIUL1,2019-07-12T09:49:40Z,The Twenty Five (Official Nature One Anthem 2019),2019-07-05,294857,49,Neelix,5X3rdmEE2Mif6kFQkb2PxB,143729,60,"german techno,progressive psytrance",0.645,0.86,6,-6.419,0,0.0866,0.0029,0.786,0.0696,0.622,140.012,4
