track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Muito Calor,5uVgsAzjO6eJR06VPrqUga,2019-07-19T08:57:40Z,Muito Calor,2019-07-11,185146,71,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,17762367,95,"reggaeton,trap latino",0.814,0.863,9,-2.885,1,0.0589,0.116,0.000226,0.0736,0.597,98.048,4
11 PM,7KbF6AdprOXEEHlsq11Z6d,2019-07-19T08:57:40Z,11:11,2019-05-17,175733,89,Maluma,1r4hJ1h58CWwUQe3MxPuau,16142455,93,reggaeton,0.777,0.712,10,-4.84,1,0.277,0.217,0,0.091,0.68,95.692,4
Con Altura,2qG5sZ7Si6sdK74qLxedYM,2019-07-19T08:57:40Z,Con Altura,2019-03-28,161626,88,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,920717,84,r&b en espanol,0.882,0.689,6,-4.027,1,0.124,0.39,0.00325,0.0501,0.746,97.963,4
Cambio,3cg9A9GVyZAT2CPevqWr65,2019-07-19T08:57:40Z,Cambio,2019-06-25,370491,79,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,17762367,95,"reggaeton,trap latino",0.548,0.542,11,-6.839,0,0.139,0.274,0,0.0967,0.649,174.043,4
Delincuente,3TqLIW3qd4qFYkfYsBjVN6,2019-07-19T08:57:40Z,Gangalee,2019-04-26,396120,78,Farruko,329e4yvIujISKGKz1BZZbO,5759344,93,"latin,reggaeton,trap latino,tropical",0.655,0.858,0,-5.607,0,0.315,0.53,0,0.344,0.65,83.489,4
Callaita,2TH65lNHgvLxCKXM3apjxI,2019-07-19T08:57:40Z,Callaita,2019-05-31,250533,93,Bad Bunny,4q3ewBCX7sLwd24euuV69X,13815305,97,"reggaeton,trap latino",0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,4
Te Robaré,6v0lAdFF4haL8xjBIUjtOw,2019-07-19T08:57:40Z,Te Robaré,2019-03-22,201818,89,Nicky Jam,1SupJlEpv7RS2tPNRaHViT,9545690,93,"latin,latin hip hop,pop,reggaeton,tropical",0.673,0.752,2,-3.572,0,0.0561,0.241,4.51e-05,0.0813,0.797,175.997,4
HP,31UjYv5vLsDkzchJOtUMtW,2019-07-19T08:57:40Z,HP,2019-03-01,184435,75,Maluma,1r4hJ1h58CWwUQe3MxPuau,16142455,93,reggaeton,0.837,0.791,4,-3.157,0,0.0773,0.252,1.14e-06,0.188,0.618,91.98,4
Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,2019-07-19T08:57:40Z,Calma (Remix),2018-10-05,238200,88,Pedro Capó,4QVBYiagIaa6ZGSPMbybpy,408673,81,latin pop,0.826,0.773,11,-4.218,0,0.0524,0.323,0,0.143,0.761,126.899,4
De Cero,4XfCa8VFYeTsKbXrVlpKIa,2019-07-19T08:57:40Z,De Cero,2019-06-24,219458,72,CNCO,0eecdvMrqBftK0M1VKhaF4,5660167,78,"boy band,latin,latin pop,pop,reggaeton,tropical",0.809,0.676,11,-5.375,1,0.13,0.0306,0,0.0954,0.807,94.004,4
Cristina (feat. Shelow Shaq),2egI1hFZDAYrkCgtepoore,2019-07-19T08:57:40Z,Cristina (feat. Shelow Shaq),2019-03-29,186893,79,Maffio,5RzT7CM6Ot0sh0EHefMicV,3486,69,tropical,0.861,0.599,1,-4.205,1,0.246,0.183,0,0.0921,0.869,102.119,4
DOLLAR,4ziiAuFyXiY1HNSLGM1xv8,2019-07-19T08:57:40Z,DOLLAR,2019-07-10,203486,70,Becky G,4obzFoKoKRHIphyHzJ35G3,5487049,84,"latin viral pop,pop,reggaeton",0.862,0.5,2,-6.875,1,0.276,0.232,0,0.657,0.697,76.992,4
La Boca,0UQwlF2pRkr1lMN6kNNUj3,2019-07-19T08:57:40Z,Para Aventuras y Curiosidades,2019-05-03,206279,83,Mau y Ricky,2wkoKEfS6dXwThbyTnZWFU,1138506,82,"latin,latin pop,pop",0.618,0.795,2,-1.8,1,0.113,0.0655,0,0.309,0.76,185.901,4
China,2ksOAxtIxY8yElEWw8RhgK,2019-07-19T08:57:40Z,China,2019-07-19,301714,66,Anuel AA,2R21vXR83lH98kGeO99Y66,6965291,93,"reggaeton flow,trap latino",0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,4
