track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Unconditional - Moullinex Remix,2wT6938S9FHZJlRahJohuZ,2019-06-07T08:14:56Z,Unconditional,2019-06-07,294959,22,Audio Dope,7vByi0TCh4wNTdqNK7dNqe,5203,48,basel indie,0.73,0.583,7,-10.753,0,0.0579,0.437,0.118,0.136,0.256,120.001,4
Lonely,7EmMUYeZwd1r4SSMc4sjQz,2019-06-07T08:14:56Z,Lonely,2019-05-24,186461,40,Sonn,1VURTzU1i6o1agHFXs3V4E,6504,55,,0.459,0.393,2,-12.993,1,0.155,0.789,0.24,0.179,0.285,121.874,4
Falling for You,1KhtrpraqdyeaLOxJaIvrK,2019-06-07T08:14:56Z,Falling for You,2019-05-17,168960,47,okaywill,79oW06N8yKp6hKp71ieN7L,960,45,,0.879,0.379,7,-8.871,1,0.0501,0.4,0.000102,0.0978,0.854,125.005,4
9 Carrots,2f0VlO0xSJtgt2jkmOJzhT,2019-06-07T08:14:56Z,Flamagra,2019-05-24,181272,54,Flying Lotus,29XOeO6KIWxGthejQqn793,440956,72,"alternative hip hop,escape room,experimental hip hop,glitch,glitch hop,hip hop,indietronica,intelligent dance music,wonky",0.658,0.645,9,-7.323,0,0.113,0.0274,0.0311,0.106,0.55,79.244,4
Tonight (Sundown),5M2MRpRijQsvUub7B8Mx8e,2019-06-07T08:14:56Z,Tonight (Sundown),2019-05-29,235412,38,aiwake,6QVa6WnLgjo0PHIiNdHLa7,915,36,,0.669,0.51,7,-7.803,0,0.0274,0.00962,0.481,0.147,0.441,97.071,4
TEST DRIVE,1DMEzmAoQIikcL52psptQL,2019-06-07T08:14:56Z,BALLADS 1,2018-10-26,179423,74,Joji,3MZsBdqDrRTJihTHQrO6Dq,1261942,83,"alternative r&b,viral pop",0.646,0.648,3,-8.602,1,0.0372,0.71,0.00316,0.108,0.466,75.004,4
Flourish,4yFBgy0781WINf2UukFjJQ,2019-06-07T08:14:56Z,Flourish,2019-05-15,168945,42,Sea Moya,3U2w4PW1aS0fNikBX0u3pG,3065,36,,0.572,0.518,5,-10.568,0,0.0465,0.596,0.172,0.274,0.717,150.025,4
Pressure Reprise,0QIJRX57lTuReEVmA4n3sv,2019-06-07T08:14:56Z,Nocturne Reprise,2019-05-22,150661,40,midnight,7rlI9s1CrQD5Gj4vRW1vvw,4626,38,,0.521,0.696,8,-8.438,1,0.0599,0.76,0.00117,0.334,0.067,136.127,4
fall,0y658R3a6QAgpuQKT91glk,2019-06-07T08:14:56Z,forgiveness,2017-06-13,168000,37,LoneMoon,0KFSt4Hxl95xrVMAc6wzGP,4253,45,,0.706,0.704,8,-7.994,1,0.049,0.0266,0.0032,0.0729,0.382,84.973,4
Frostwire - City Girl Remix,1gsc7F6V1tR3cHPWij6yLY,2019-06-07T08:14:56Z,Frostwire Remixes,2019-05-20,215248,33,Host Family,0LOxYI4hEM1ApV1NBPGA3b,20,22,,0.591,0.416,10,-12.125,1,0.0339,0.526,0.908,0.0907,0.39,150.042,4
