track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Junior Sanchez Remix,4Seru3XCZsCP1lrbBaljwu,2019-07-12T19:50:56Z,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Remixes],2019-07-12,218880,22,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10678033,90,"big room,edm,pop,progressive house,tropical house",0.759,0.905,1,-6.874,1,0.0394,0.0351,0.526,0.0308,0.802,124.987,4
Throwback,2pPYl7Gif7MNAHd706ClhW,2019-07-12T19:50:56Z,Throwback,2019-07-11,172062,23,Bart B More,1eOOXqRHILTxqrEUAYyQU0,11721,46,electro house,0.613,0.865,11,-4.258,0,0.0444,0.0006,0.816,0.492,0.832,124.985,4
Trapped,5M2zB1rDMKU9D1UqKrRStT,2019-07-12T19:50:56Z,Trapped,2019-07-12,151503,26,Todd Helder,6nhsSK9KbToX3Brq0xeWbV,10060,40,,0.569,0.776,6,-6.309,0,0.0757,0.00411,0.021,0.433,0.252,79.977,4
Won't Stop,5pEj5dgjKIqqr0yVINsR1P,2019-07-12T19:50:56Z,Won't Stop,2019-07-12,198797,41,Justin Mylo,7MFJyevu6jq0shwDuVLymu,40230,64,"big room,deep big room,edm,electro house,pop edm",0.683,0.63,1,-6.285,1,0.084,0.0327,1.58e-05,0.187,0.586,128.034,4
Ripper,3bfghBWxMhD4T5zMG1gZsK,2019-07-12T19:50:56Z,Ripper,2019-07-12,217142,27,Tommy Trash,1tBU8jUEdVR3mqSsAqEGfD,122605,60,"aussietronica,australian dance,big room,deep big room,edm,electro house,house,progressive electro house,progressive house",0.796,0.868,1,-6.293,0,0.0463,0.000189,0.928,0.106,0.039,126.006,4
Beograd,4KpCvSCQ3K4vvvE1BqY7FW,2019-07-12T19:50:56Z,Beograd,2019-07-09,216706,39,Sebastian,5tOWIviwLM1EIqGAbF8VSU,65363,49,"alternative dance,dance-punk,electro house,filter house,new rave",0.431,0.483,7,-6.721,1,0.0383,0.226,0,0.228,0.0356,115.025,4
Don't Leave Me,2AacDEMn0NQvcTFdpuBqH6,2019-07-12T19:50:56Z,Don't Leave Me,2019-07-12,345600,42,Jauz,5ttgIeUVka6FLyi00Uu5h8,286788,67,"bass house,brostep,edm,electro house,electronic trap,house,moombahton",0.613,0.855,1,-7.792,0,0.029,0.0971,0.81,0.158,0.133,124.997,4
Thing For You (With Martin Solveig),0IhTEIjFaRt3B2NQYf9azQ,2019-07-12T19:50:56Z,Thing For You (With Martin Solveig),2019-07-12,191398,65,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,19213180,91,"dance pop,edm,pop",0.774,0.723,2,-5.545,1,0.0496,0.0395,1.82e-05,0.1,0.769,121.057,4
Take The Shot,1HKXZzx6DkrQyEXvJTUNQG,2019-07-12T19:50:56Z,Alchemy 3,2018-10-12,232320,28,Rootkit,01olvHW7uzIInQx9VTNuJm,32718,53,"bass trap,catstep,chillstep,complextro,edm,electro house,tracestep",0.686,0.878,7,-6.317,1,0.0454,0.00335,0.765,0.0967,0.0515,124.983,4
Old Rocky - Radio Edit,4ufteeKTY5EnCv9BGjYf7s,2019-07-12T19:50:56Z,Old Rocky,2019-05-31,189124,26,Confesser,3oAPMZYDVvAjaYi5FIwZJm,844,19,,0.817,0.813,6,-7.596,1,0.0683,0.00879,0.887,0.119,0.285,127.007,4
