track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Feeling Forever,4iPLjTektaP9w16qwSOAkY,2019-05-31T15:42:52Z,Run Wild / Feeling Forever,2019-05-31,230052,40,PLS&TY,14byx2nRysWNtgauCXscKT,24882,47,,0.51,0.659,9,-4.641,1,0.0419,0.00128,0.584,0.136,0.117,95.022,4
It's Alright (NGHTMRE Remix) [feat. Liz Kellerman],38JRe3mgJ9TOc2SZPgZ525,2019-05-21T23:28:52Z,It's Alright (NGHTMRE Remix) [feat. Liz Kellerman],2015-06-24,220800,38,Tep No,7MlotYZhHjOlXcvmwrITj8,55279,63,"deep tropical house,indie poptimism,new french touch,tropical house,vapor soul",0.51,0.881,11,-5.342,0,0.0374,0.00717,0.00266,0.115,0.253,150.118,4
Who R U? (feat. Notelle),5rRyT3v9nKrU5u5xyCCf2v,2019-05-21T23:28:52Z,Who R U? (feat. Notelle),2016-05-16,207000,0,PatrickReza,1tJnPDE5oPDB6ZqMsCTTYx,8558,42,la pop,0.568,0.694,5,-6.359,1,0.0815,0.0807,0.000531,0.0842,0.31,160.064,4
runaway,6joXEYaG3uPvYB7aiMo6yQ,2019-06-07T20:55:45Z,runaway,2019-06-07,199685,13,Vorsa,1gh8GYfxnY6D9nXPQ1Pb6g,2766,38,,0.296,0.425,7,-8.566,1,0.0875,0.793,0,0.0626,0.176,165.094,3
Do You Remember - Strange Talk Remix,5AmeVnkkmTZMjFPHSe9sJk,2019-05-21T23:28:52Z,Do You Remember (Remixes),2016-02-05,307213,31,Jarryd James,23IZADrJHPStZ6aMxJVq3s,95653,56,"australian alternative pop,australian r&b",0.528,0.428,1,-6.537,0,0.0352,0.0649,8.97e-06,0.0988,0.311,81.581,4
Gone,0Ly2USSlv6gnBItSVuhhhS,2019-05-21T23:28:52Z,RESET,2019-04-26,190163,40,sober rob,532VhOtZQ47TWSTGwbZ4kF,14585,51,"electronic trap,pop edm,vapor twitch",0.526,0.713,5,-3.048,0,0.042,0.366,0,0.201,0.531,80.403,4
Reach Me,3ggwPNAARhQDPrRie1Gnw9,2019-05-21T23:28:52Z,Reach Me,2019-04-26,195005,38,Raider,7nn5NpdRkUM4QiqegMSmEo,1148,33,,0.799,0.571,3,-7.628,1,0.0396,0.00385,0.731,0.11,0.165,104.996,4
Weddings & Funerals,5XGjHvW9kqp8QqFpMHmESt,2019-05-21T23:28:52Z,Weddings & Funerals,2019-04-26,176597,48,Royal & the Serpent,64EHXDoln95lnccszdPum0,1249,44,,0.507,0.581,6,-5.339,0,0.143,0.139,0,0.54,0.423,96.64,4
Ego,0ksUKPt4Qoe60aCyMA9RrA,2019-05-21T23:28:52Z,Ego,2019-05-13,184000,43,Syence,4VfTgWhy9PKLJN3xKJcDqf,3181,44,pop edm,0.732,0.619,0,-5.19,1,0.138,0.0983,2.34e-06,0.0819,0.342,90.006,4
Meltdown,0myvPCqmLF1Hb1ZmvA7qCW,2019-05-21T23:28:52Z,Meltdown,2019-05-10,205075,41,Ponette,1FJHPnmVpsqtad5lE89HwN,1366,33,,0.668,0.325,4,-10.504,0,0.0461,0.0108,1.12e-06,0.113,0.338,135.154,4
Lies,5hA8S42MUtMJ0LbRupnpM1,2019-05-21T23:28:52Z,Lies,2016-04-20,229914,0,Jane XØ,5keDbKEPwrbe36cPzRpzsK,39100,52,pop edm,0.57,0.627,7,-5.085,0,0.0377,0.0331,0.000278,0.0682,0.0797,94.983,4
Run Wild,6nMsrRnsNPzUF3Bv25mwyF,2019-05-21T23:28:52Z,Run Wild,2019-05-17,207164,51,PLS&TY,14byx2nRysWNtgauCXscKT,24882,47,,0.686,0.909,8,-3.51,1,0.0763,0.633,0.0034,0.347,0.785,94.999,4
Arrest Me (Noah Breakfast Remix) [feat. Tei Shi],1Vf5YI99OWk2vVUp8ybra0,2019-05-21T23:28:52Z,Arrest Me (Noah Breakfast Remix) [feat. Tei Shi],2016-03-04,211428,44,Shy Girls,4oFdxup3UmMDNoLLITyDrs,54661,54,"alternative r&b,electropop,indie r&b,portland hip hop,vapor soul",0.553,0.536,9,-7.722,1,0.0448,0.651,0.000316,0.0852,0.184,105.126,4
