track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Gizmo,03As1KdZnUfricQT09te8C,2019-08-23T09:11:38Z,Gizmo,2019-08-09,191612,54,Syn Cole,6i1GVNJCyyssRwXmnaeEFH,123403,68,"big room,dance pop,deep tropical house,edm,electro house,house,pop,pop edm,progressive electro house,progressive house,tropical house",0.788,0.793,7,-3.568,1,0.0336,0.23,0.237,0.106,0.752,124.039,4
Be Gone,48Hhk69zWxTOFXaMCrMKXt,2019-08-23T09:11:38Z,Be Gone,2019-08-07,233766,48,Rival,4u1nYxjl132D6rcMeYQ6Zz,10008,60,"pop edm,tracestep,traprun",0.498,0.758,6,-7.036,1,0.0579,0.0193,0.00771,0.123,0.412,154.106,4
War Zone,5cNq1c5DqWct55tJ0hZc4U,2019-08-23T09:11:38Z,War Zone,2019-07-12,183007,56,Unknown Brain,0okpgBQamDqOZazBeH0J3I,60994,66,"bass trap,tracestep,traprun",0.597,0.838,10,-4.047,0,0.114,0.176,0.000448,0.0908,0.483,80.011,4
About You,3UfBnI6B36EcuX2kg20vud,2019-08-23T09:11:38Z,About You,2019-08-23,184000,22,Ascence,4nE5XDjvi5Gd4XbVnHGjnE,469,42,tracestep,0.536,0.956,6,-3.798,1,0.036,0.00626,0.237,0.386,0.553,150.004,4
Devil,4BVKDnYVUxbfBYJIip2RBp,2019-08-23T09:11:38Z,Devil,2019-07-19,176000,52,Barren Gates,7eMykQ9NjmtA5FnMarEG2F,2204,52,"bass trap,tracestep,traprun",0.506,0.865,6,-1.421,0,0.155,0.348,2.5e-05,0.0892,0.402,150.062,4
About Me,5hiatfPmopoExZRZ2O1g5S,2019-08-23T09:11:38Z,About Me,2019-06-07,154000,54,Koven,3UCbp6D1lvILlxRJT9LnFa,37610,58,"bass trap,brostep,catstep,chillstep,complextro,edm,electro house,tracestep",0.518,0.943,8,-2.044,1,0.17,0.00216,0,0.08,0.481,180.166,4
Cradles,1y4jsQt7MjnZhiD1L6qFBC,2019-08-23T09:11:38Z,Cradles,2019-01-04,209829,78,Sub Urban,7gXb99Sf9nNmpNYeAgIQFG,35934,68,,0.663,0.594,1,-1.865,1,0.286,0.263,6.62e-05,0.171,0.626,79.934,4
Down,1mGAHy52GWYhdOfIyOxSqQ,2019-08-23T09:11:38Z,Down,2019-08-16,185625,38,RudeLies,7hf6L4LN1RTVN66IdBVpPr,5887,49,"pop edm,sky room",0.778,0.881,9,-4.414,1,0.0988,0.0264,0.481,0.372,0.295,127.939,4
Olympus,1ecXPs0vsMapY8LQqT4Ikb,2019-08-23T09:11:38Z,Olympus,2019-07-10,152851,46,32Stitches,4NH2deLFDDB0YeV3PNLjWQ,994,40,,0.574,0.795,1,-6.417,0,0.137,0.191,0.141,0.13,0.348,84.938,4
Breathe Me In,6pHvmmjUtAtuDC5Fo6QzHX,2019-08-23T09:11:38Z,Breathe Me In,2019-08-21,197822,32,ROY,0MbyCGeLIbsNuDRhII7Y1X,237,46,,0.546,0.86,1,-1.991,1,0.193,0.0726,0,0.11,0.264,90.891,4
