track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Panini,68poZGRClFTzLdeRz9X0M2,2019-06-24T15:49:46Z,Panini,2019-06-20,114893,74,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,465954,93,country rap,0.703,0.594,5,-6.146,0,0.0752,0.342,0,0.123,0.475,153.848,4
EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,2019-06-24T15:49:46Z,IGOR,2019-05-17,190066,92,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,3010976,91,"hip hop,rap",0.554,0.498,9,-8.866,1,0.0685,0.23,5.98e-06,0.795,0.413,79.635,4
Old Town Road - Remix,6u7jPi22kF8CTQ3rb9DHE7,2019-06-24T15:49:46Z,Old Town Road,2019-04-05,157066,98,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,465954,93,country rap,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,4
Pop Out (feat. Lil Tjay),6uFn47ACjqYkc0jADwEdj1,2019-06-24T15:49:46Z,Die A Legend,2019-06-07,166560,81,Polo G,6AgTAQt8XS6jRWi4sX7w49,187873,84,chicago rap,0.772,0.639,1,-7.119,1,0.467,0.15,0,0.0698,0.261,168.112,4
Government Official,2QEnZJ8FwpBoyLKcFcgceT,2019-06-24T15:49:46Z,SAVE ME,2019-06-07,150760,76,Future,1RyvyyTE3xzB2ZywiAwp0i,7875153,91,"atl hip hop,hip hop,pop,pop rap,rap,southern hip hop,trap music",0.801,0.774,1,-5.125,1,0.157,0.0365,3.03e-06,0.114,0.321,144.988,4
Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,2019-06-24T15:49:46Z,The Best In The World Pack,2019-06-15,205426,92,Drake,3TVXtAsR1Inumwj472S9r4,38148550,100,"canadian hip hop,canadian pop,hip hop,pop rap,rap",0.831,0.502,10,-4.045,0,0.046,0.101,0,0.122,0.101,100.541,4
Wigs (feat. City Girls & ANTHA),7swFgLy1v4he4fZUpIWwiK,2019-06-27T08:08:12Z,Wigs (feat. City Girls & ANTHA),2019-06-24,179848,54,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,1944563,81,"hip hop,pop,pop rap,rap,southern hip hop,trap music,underground hip hop",0.8,0.827,1,-2.534,1,0.224,0.0405,0,0.113,0.719,177.08,4
Rodeo,4ak7xjvBeBOcJGWFDX9w5n,2019-06-24T15:49:46Z,7 EP,2019-06-21,158706,84,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,465954,93,country rap,0.706,0.679,9,-5.614,1,0.0324,0.139,6.98e-05,0.465,0.657,140.081,4
Act a Fool,3KIMdTgROcteSwwKwoK3Bs,2019-06-24T15:49:46Z,Act a Fool,2019-06-21,288019,65,Rick Ross,1sBkRIssrMs1AbVkOJbc7a,3193120,87,"dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap music",0.611,0.803,10,-4.081,0,0.11,0.0139,0,0.367,0.481,157.833,4
Just Us (feat. SZA),13L4184XlA7KaHQdMJx6br,2019-06-24T15:49:46Z,Father Of Asahd,2019-05-17,221378,64,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,4033933,88,"hip hop,miami hip hop,pop,pop rap,rap,southern hip hop,trap music",0.639,0.859,9,-2.758,0,0.147,0.135,0,0.129,0.566,93.132,4
WAKE UP,20MuVazoNMv6xjKPnRFOxG,2019-06-24T15:49:46Z,ASTROWORLD,2018-08-03,231963,75,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,5915397,95,"pop,pop rap,rap",0.741,0.645,11,-5.116,0,0.0963,0.192,0,0.163,0.488,149.07,4
Drop Top (feat. Yella Beezy & Flipp Dinero),75pr96PJuWtOGeLS5czCq2,2019-06-28T09:53:54Z,Drop Top (feat. Yella Beezy & Flipp Dinero),2019-06-28,170683,35,Swagger Rite,3QTjKzRi18DafuSJ1ZQlxR,215,29,,0.825,0.574,7,-7.205,0,0.0977,0.25,0.000164,0.136,0.246,129.927,4
Palmolive feat. Pusha T. & Killer Mike (feat. Pusha T & Killer Mike),0w9aWiDqZPCOCOtRTLkTPd,2019-06-28T09:47:09Z,Bandana,2019-06-28,245333,57,Freddie Gibbs,0Y4inQK6OespitzD6ijMwb,317282,72,"alternative hip hop,escape room,gangster rap,hip hop,pop rap,rap,southern hip hop,trap music,underground hip hop",0.33,0.603,0,-7.571,1,0.36,0.601,0.00063,0.307,0.812,168.456,3
