track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Señorita,0TK2YIli7K1leLovkQiNik,2019-07-26T19:09:27Z,Señorita,2019-06-21,190960,100,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,18463488,95,"canadian pop,dance pop,pop,viral pop",0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,4
Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,2019-07-26T19:09:27Z,Goodbyes (Feat. Young Thug),2019-07-05,174960,93,Post Malone,246dkjvS1zLTtiykXe5h60,15856450,95,"dfw rap,pop,rap",0.58,0.653,5,-3.818,1,0.0745,0.447,0,0.111,0.175,150.231,4
bad guy (with Justin Bieber),3yNZ5r3LKfdmjoS3gkhUCT,2019-07-26T19:09:27Z,bad guy (with Justin Bieber),2019-07-11,194839,88,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,10974612,97,"electropop,pop",0.67,0.453,0,-11.265,1,0.295,0.252,0.33,0.117,0.68,135.055,4
How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,2019-07-26T19:09:27Z,How Do You Sleep?,2019-07-19,202204,85,Sam Smith,2wY79sveU1sp5g7SokKOiI,9112773,90,"pop,post-teen pop",0.477,0.682,1,-4.931,0,0.0925,0.153,0,0.0763,0.345,110.567,5
The Archer,3Y7MHz19qCg1Pkxridtu1k,2019-07-26T19:09:27Z,The Archer,2019-07-23,211280,79,Taylor Swift,06HL4z0CvFAxyc27GXpf02,21533796,92,"dance pop,pop,post-teen pop",0.271,0.582,0,-9.412,1,0.0483,0.126,0.00262,0.0654,0.176,124.499,4
Loco Contigo (with J. Balvin & Tyga),1f38Gx6xQz6r4H1jGVNBJo,2019-07-26T19:09:27Z,Loco Contigo (with J. Balvin & Tyga),2019-06-13,185194,90,DJ Snake,540vIaP2JwjQb9dm3aArA4,5236153,87,"dance pop,edm,electronic trap,pop,tropical house",0.814,0.74,1,-3.076,0,0.0637,0.278,1.45e-06,0.102,0.337,96.069,4
Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,2019-07-26T19:09:27Z,The Best In The World Pack,2019-06-15,205426,91,Drake,3TVXtAsR1Inumwj472S9r4,39053424,97,"canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap",0.831,0.502,10,-4.045,0,0.046,0.101,0,0.122,0.101,100.541,4
Hate Me (with Juice WRLD),6kls8cSlUyHW2BUOkDJIZE,2019-07-26T19:09:27Z,Hate Me (with Juice WRLD),2019-06-26,186223,83,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,6747759,85,"dance pop,electropop,metropopolis,pop,post-teen pop,tropical house",0.657,0.768,8,-4.628,1,0.0507,0.108,0,0.144,0.759,75.025,4
Single Again,7IP0lO9tHfNwBWZ9X6TJ84,2019-07-26T19:09:27Z,Single Again,2019-07-26,213733,62,Big Sean,0c173mlxpT3dSFRgMO8XPh,6344267,84,"detroit hip hop,hip hop,pop,pop rap,r&b,rap,southern hip hop,trap music",0.655,0.68,8,-5.599,1,0.0779,0.149,0,0.164,0.226,94.969,4
QUE PRETENDES,25ZAibhr3bdlMCLmubZDVt,2019-07-26T19:09:27Z,OASIS,2019-06-28,222346,88,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,15026093,97,"latin,reggaeton",0.639,0.791,10,-4.443,0,0.253,0.0275,0,0.362,0.939,92.603,4
Only Human,0DiDStADDVh3SvAsoJAFMk,2019-07-26T19:09:27Z,Happiness Begins,2019-06-07,183000,86,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,2641248,88,"boy band,dance pop,pop,post-teen pop",0.795,0.496,0,-5.883,1,0.0722,0.108,0,0.0645,0.874,94.01,4
Ready,6l7lX8hJXVIUyPrTaabpqk,2019-07-26T19:09:27Z,Ready,2019-07-22,178746,61,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,5668535,82,"canadian contemporary r&b,dance pop,pop,post-teen pop,r&b",0.579,0.511,10,-6.597,1,0.134,0.196,0,0.219,0.626,76.161,4
Mad Love,79JBjIq90BrQ8Ws0pUhlzD,2019-07-26T19:09:27Z,Mad Love,2019-06-07,169813,85,Mabel,1MIVXf74SZHmTIp4V4paH4,322849,82,"dance pop,pop,post-teen pop,r&b,tropical house,uk pop",0.622,0.796,0,-2.999,0,0.172,0.667,0,0.106,0.62,197.705,4
Never Really Over,5PYQUBXc7NYeI1obMKSJK0,2019-07-26T19:09:27Z,Never Really Over,2019-05-31,223523,90,Katy Perry,6jJ0s89eD6GaHleKKya26X,13408489,88,"dance pop,pop,post-teen pop",0.77,0.882,8,-4.792,1,0.0602,0.194,0,0.316,0.385,99.991,4
Someone You Loved,2TIlqbIneP0ZY1O0EzYLlc,2019-07-26T19:09:27Z,Breach,2018-11-08,182160,86,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,844508,87,pop,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,4
Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,2019-07-26T19:09:27Z,Beautiful People (feat. Khalid),2019-06-28,197866,92,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,48010706,100,"pop,uk pop",0.64,0.648,5,-8.113,0,0.187,0.124,0,0.0802,0.548,92.977,4
You Need To Calm Down,29fRTIKsJhLUJoldM89GZS,2019-07-26T19:09:27Z,You Need To Calm Down,2019-06-14,171386,90,Taylor Swift,06HL4z0CvFAxyc27GXpf02,21533796,92,"dance pop,pop,post-teen pop",0.767,0.681,2,-5.794,1,0.0501,0.0107,0,0.0707,0.726,85.003,4
Otro Trago,1Ej96GIBCTvgH7tNX1r3qr,2019-07-26T19:09:27Z,Sueños,2019-04-19,225933,92,Sech,77ziqFxp5gaInVrF2lj4ht,538306,91,panamanian pop,0.747,0.7,0,-4.669,1,0.341,0.136,0.000167,0.11,0.62,176.036,4
Easier,4tNXntkAzQ5A2dfYRYGIIQ,2019-07-26T19:09:27Z,Easier,2019-05-23,157492,86,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,4927690,86,"boy band,dance pop,pop,post-teen pop",0.505,0.428,5,-5.604,1,0.221,0.489,0,0.0977,0.618,175.813,4
Piece Of Your Heart,5p1ex0pXv6jSPJ6QbumQpD,2019-07-26T19:09:27Z,Piece Of Your Heart,2019-02-01,152913,57,MEDUZA,0xRXCcSX89eobfrshSVdyu,33442,81,pop house,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,4
If I Can't Have You,6LsAAHotRLMOHfCsSfYCsz,2019-07-26T19:09:27Z,If I Can't Have You,2019-05-03,190800,91,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,18463488,95,"canadian pop,dance pop,pop,viral pop",0.692,0.809,2,-4.198,1,0.0602,0.524,0,0.147,0.864,123.911,4
Call You Mine (with Bebe Rexha),05CwHjIk71RXVU40boRMnR,2019-07-26T19:09:27Z,World War Joy,2019-05-31,217653,89,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,13120709,90,"edm,electropop,pop,tropical house",0.591,0.702,7,-5.59,1,0.0289,0.225,0,0.414,0.501,104.003,4
gone girl,6G0FACzGN80Dj2v4ass5rq,2019-07-26T19:09:27Z,gone girl,2019-07-04,136568,78,iann dior,6ASri4ePR7RlsvIQgWPJpS,84135,75,"emo rap,vapor trap",0.677,0.714,11,-5.637,1,0.0287,0.162,0,0.0717,0.355,94.956,4
Rescue Me,0mjAU3yKR1QnXnHtjGJqTM,2019-07-26T19:09:27Z,Rescue Me,2019-05-17,158899,87,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,8067908,85,"dance pop,neo mellow,piano rock,pop,pop rap,pop rock,post-teen pop",0.759,0.605,7,-7.737,1,0.0433,0.156,0,0.694,0.64,121.049,4
Heaven,0vrmHPfoBadXVr2n0m1aqZ,2019-07-26T19:09:27Z,TIM,2019-06-06,277261,86,Avicii,1vCWHaC5f2uS3yhpwWbIA6,14290387,90,"big room,edm,pop",0.592,0.873,9,-5.65,1,0.0275,0.0715,0.00982,0.142,0.516,122.011,4
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,2019-07-26T19:09:27Z,I Don't Care (with Justin Bieber),2019-05-10,219946,95,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,48010706,100,"pop,uk pop",0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,4
All Around The World (La La La),2xyIwHKujL7tSgkK2Waj2s,2019-07-26T19:09:27Z,All Around The World (La La La),2019-04-05,147840,78,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,1717691,84,"big room,dance pop,dutch house,edm,electro house,pop,progressive electro house,tropical house",0.733,0.859,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948,4
Here With Me,5icOoE6VgqFKohjWWNp0Ac,2019-07-26T19:09:27Z,Here With Me,2019-03-08,156346,85,Marshmello,64KEffDW9EtZ1y2vBYgq8T,14467018,91,"brostep,progressive electro house",0.791,0.565,5,-3.933,0,0.0439,0.0623,0,0.156,0.181,99.961,4
