track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,2019-05-17T22:40:13Z,I Don't Care (with Justin Bieber),2019-05-10,219946,95,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,44100175,94,"pop,uk pop",0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,4
Broken & Beautiful (from the movie UGLYDOLLS),1Y9cAYTmyWJCcmfqdG2I29,2019-05-17T22:40:13Z,Broken & Beautiful (from the movie UGLYDOLLS),2019-03-27,218948,73,Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX,4948239,79,"dance pop,neo mellow,pop,pop rock,post-teen pop,r&b,talent show",0.73,0.732,8,-2.556,1,0.0366,0.0823,0,0.0757,0.546,112.058,4
Stay (Don't Go Away) [feat. Raye],4YhN72dRYL2Z3MsaKyT7rS,2019-05-17T22:40:13Z,Stay (Don't Go Away) [feat. Raye],2019-05-09,185942,78,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,18585937,90,"dance pop,edm,pop",0.669,0.797,9,-5.68,0,0.0624,0.259,0,0.199,0.552,119.865,4
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),7Feaw9WAEREY0DUOSXJLOM,2019-05-17T22:40:13Z,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2019-04-25,163804,86,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10028745,87,"big room,edm,pop,progressive house,tropical house",0.661,0.723,5,-6.976,0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,4
I Don't Belong In This Club,45ZGEdLxCZvdMX9jWlsAAx,2019-05-17T22:40:13Z,I Don't Belong In This Club,2019-03-20,222620,85,Why Don't We,2jnIB6XdLvnJUeNTy5A0J2,1282774,82,"boy band,dance pop,pop,post-teen pop,teen pop",0.797,0.543,11,-5.744,1,0.0439,0.0202,0,0.0726,0.164,115.036,4
ME! (feat. Brendon Urie of Panic! At The Disco),4Sib57MmYGJzSvkW84jTwh,2019-05-17T22:40:13Z,ME!,2019-04-26,193040,94,Taylor Swift,06HL4z0CvFAxyc27GXpf02,19828320,92,"dance pop,pop,post-teen pop",0.715,0.832,0,-4.08,1,0.0502,0.0324,0,0.112,0.66,91.006,4
"Don't Give Up On Me - (From ""Five Feet Apart"")",5N8iCZZbqwxmQKUUabbnd3,2019-05-17T22:40:13Z,Don't Give Up On Me (with R3HAB),2019-04-12,196187,46,Andy Grammer,2oX42qP5ineK3hrhBECLmj,602794,75,"dance pop,indie cafe pop,neo mellow,pop,pop rap,pop rock,post-teen pop,viral pop",0.641,0.537,0,-5.452,0,0.0282,0.0875,9.05e-06,0.115,0.0681,112.864,4
Hurts 2B Human (feat. Khalid),7c5h27Ju8JE5xWKTQ88KhL,2019-05-17T22:40:13Z,Hurts 2B Human (feat. Khalid),2019-04-22,202640,76,P!nk,1KCSPY1glIKqW2TotWuXOR,6330039,88,"dance pop,pop,post-teen pop,r&b",0.463,0.62,7,-5.647,1,0.167,0.131,0,0.0619,0.158,83.031,1
So Am I,0uUNN1nSoUx1A4fkDCWDQ7,2019-05-17T22:40:13Z,So Am I,2019-03-07,184295,90,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,326420,85,"dance pop,pop,post-teen pop",0.684,0.677,6,-4.034,1,0.0464,0.0754,0,0.133,0.595,130.141,4
Rescue Me,0mjAU3yKR1QnXnHtjGJqTM,2019-05-17T22:40:13Z,Rescue Me,2019-05-17,158899,68,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,7565772,84,"dance pop,neo mellow,piano rock,pop,pop rap,pop rock,post-teen pop",0.759,0.605,7,-7.737,1,0.0433,0.156,0,0.694,0.64,121.049,4
Perfect,0tgVpDi06FyKpA1z0VMD4v,2019-05-17T22:40:13Z,÷ (Deluxe),2017-03-03,263400,87,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,44100175,94,"pop,uk pop",0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,3
I Like It,58q2HKrzhC3ozto2nDdN4z,2019-05-17T22:40:13Z,Invasion of Privacy,2018-04-06,253390,86,Cardi B,4kYSro6naA4h99UJvo89HB,8024492,92,"pop,rap",0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,4
That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,2019-05-17T22:40:13Z,24K Magic,2016-11-17,206693,82,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,21004021,90,"dance pop,pop,post-teen pop",0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,4
Shallow - Radio Edit,6QfS2wq5sSC1xAJCQsTSlj,2019-05-17T22:40:13Z,A Star Is Born Soundtrack (Without Dialogue),2018-10-05,217212,83,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,7541801,90,"dance pop,pop",0.575,0.33,7,-6.557,1,0.031,0.416,0,0.0872,0.277,95.801,4
Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn,2019-05-17T22:40:13Z,Blurryface,2015-05-15,202333,82,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,12867551,88,"pop punk,rock",0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,4
bad guy,2Fxmhks0bxGSBdJ92vM42m,2019-05-17T22:40:13Z,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,194087,100,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,7672896,100,"electropop,pop",0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4
High Hopes,1rqqCSm0Qe4I9rUvWncaom,2019-05-17T22:40:13Z,Pray For The Wicked,2018-06-22,190946,90,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,6860550,88,"emo,modern rock,pop punk",0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,4
Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,2019-05-17T22:40:13Z,All Your Fault: Pt. 2,2017-08-11,163870,83,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,3579947,87,"dance pop,electropop,pop,post-teen pop",0.643,0.783,10,-6.458,1,0.0856,0.047,0,0.083,0.579,154.084,4
See You Again (feat. Charlie Puth),2JzZzZUQj3Qff7wapcbKjc,2019-05-17T22:40:13Z,See You Again (feat. Charlie Puth),2015,229525,79,Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,8139627,88,"hip hop,pittsburgh rap,pop,pop rap,rap,southern hip hop,trap music",0.689,0.481,10,-7.503,1,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,4
Thinking out Loud,1Slwb6dOYkBlWal1PGtnNg,2019-05-17T22:40:13Z,x (Wembley Edition),2013,281560,67,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,44100175,94,"pop,uk pop",0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,4
Sucker,4y3OI86AEP6PQoDE6olYhO,2019-05-17T22:40:13Z,Sucker,2019-03-01,181040,95,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,2168600,86,"boy band,dance pop,pop,post-teen pop",0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,4
Flames,33IOhptvC2Qoy2UhjiHXLV,2019-05-17T22:40:13Z,Flames,2018-03-22,195000,80,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,18585937,90,"dance pop,edm,pop",0.609,0.726,5,-4.346,0,0.0414,0.0723,8.45e-06,0.0895,0.362,93.958,4
Woke Up Late (feat. Hailee Steinfeld),3qLBz3j26AHO2jBYUQWLA6,2019-05-17T22:40:13Z,Woke Up Late (feat. Hailee Steinfeld),2019-01-21,181859,76,Drax Project,6S0IvKlvPMX1RtAYtVpUV8,28410,69,"australian pop,nz pop",0.698,0.66,2,-5.429,0,0.083,0.043,0,0.186,0.351,119.214,4
