track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Con Calma,5w9c2J52mkdntKOmRLeM2m,2019-05-10T14:04:36Z,Con Calma,2019-01-24,193226,96,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,10992428,93,"latin,latin hip hop,pop,reggaeton,tropical",0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,4
Contra La Pared,37eGbhE1xVFSvcKkqGb6i1,2019-05-10T14:04:36Z,Contra La Pared,2019-03-14,224680,72,Sean Paul,3Isy6kedDrgPYoTS1dazA9,2424556,86,"dance pop,dancehall,pop",0.828,0.588,2,-7.14,1,0.118,0.0156,0,0.124,0.598,94.052,4
HP,31UjYv5vLsDkzchJOtUMtW,2019-05-10T14:04:36Z,HP,2019-03-01,184435,92,Maluma,1r4hJ1h58CWwUQe3MxPuau,15383364,91,reggaeton,0.837,0.791,4,-3.157,0,0.0773,0.252,1.14e-06,0.188,0.618,91.98,4
Eso Dicen,1449yfsTgjglPFnqQQC7L8,2019-05-10T14:04:36Z,Eso Dicen,2019-05-03,179722,48,Romy Low,6tcyjesmBvfYTx5EUaO26r,736,39,,0.761,0.827,1,-3.668,0,0.0722,0.0844,0.000954,0.0408,0.892,100.021,4
Soltera,4T4CZ3Q4z3GG7lU720YYhM,2019-05-10T14:04:36Z,Soltera,2019-02-21,213913,86,Lunay,47MpMsUfWtgyIIBEFOr4FE,125297,80,reggaeton flow,0.778,0.731,5,-4.325,1,0.0399,0.446,0,0.251,0.854,91.991,4
Baila Baila Baila - Remix,7mWFF4gPADjTQjC97CgFVt,2019-05-10T14:04:36Z,"Baila Baila Baila (Remix) [feat. Farruko, Anuel Aa]",2019-04-25,235284,83,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,16400529,95,"reggaeton,trap latino",0.785,0.572,2,-7.504,1,0.123,0.0598,0,0.218,0.49,100.016,4
Que Le De,08aYFNUTIOMGq93e2VSArQ,2019-05-10T14:04:36Z,Que Le De,2019-01-25,225600,84,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,72637,80,reggaeton flow,0.77,0.75,0,-2.715,1,0.0785,0.19,0,0.0618,0.609,99.997,4
No Te Veo - Remix,0stKSegkdrfLTDvm5sIO38,2019-05-10T14:04:36Z,No Te Veo,2019-04-30,252440,72,Casper Magico,1fux65HMCBvfJHqlBc4Nno,304160,77,"latin hip hop,reggaeton flow",0.861,0.786,1,-3.833,1,0.229,0.485,2.44e-05,0.113,0.778,104.017,4
Calma - Remix,5iwz1NiezX7WWjnCgY5TH4,2019-05-10T14:04:36Z,Calma (Remix),2018-10-05,238200,93,Pedro Capó,4QVBYiagIaa6ZGSPMbybpy,201818,82,latin pop,0.826,0.773,11,-4.218,0,0.0524,0.323,0,0.143,0.761,126.899,4
Anaconda,7xKqknSxOGKjRzuZyFi76E,2019-05-10T14:04:36Z,Anaconda,2019-04-26,190037,51,Leea,3YGcHLZMO2muLIy4fBDhtD,51,39,,0.758,0.789,8,-4.933,0,0.045,0.0919,0,0.133,0.726,97.991,4
