track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
RICKY,7K0iidDYDudSm9BoSt901M,2019-05-11T19:56:42Z,RICKY,2019-05-08,147866,75,Denzel Curry,6fxyWrfmjcbj5d12gXeiNV,832360,79,"dark trap,drill,hip hop,miami hip hop,pop rap,rap,trap music,underground hip hop",0.776,0.562,9,-6.901,1,0.363,0.0399,0,0.138,0.521,169.03,4
Floating (feat. 21 Savage),4NN6N5TxBO5k9uqu0W4gfQ,2019-05-11T19:56:42Z,CrasH Talk,2019-04-26,186826,82,ScHoolboy Q,5IcR3N7QB1j6KBL8eImZ8m,2526303,86,"hip hop,pop,pop rap,rap,southern hip hop,trap music",0.906,0.545,11,-4.977,0,0.344,0.181,0,0.091,0.543,139.932,4
Georgia,3XukKy28kqKFl52GiCUSFo,2019-05-11T19:56:42Z,ARIZONA BABY,2019-04-25,219466,67,Kevin Abstract,07EcmJpfAday8xGkslfanE,268490,72,"hip hop,lgbtq+ hip hop,pop,pop rap,rap",0.664,0.522,8,-9.677,1,0.11,0.729,0.000126,0.0935,0.289,134.047,4
COMMANDO (feat. G-Eazy),2SDFznsHkeFXiPFwN0npVM,2019-05-11T19:56:42Z,Confessions of a Dangerous Mind,2019-05-10,211933,76,Logic,4xRYI6VqpkE3UwrDrAZL8L,3695174,92,"conscious hip hop,dmv rap,pop rap,rap",0.845,0.486,8,-6.473,1,0.313,0.135,0,0.104,0.142,77.028,4
La La Land (feat. YG),3TpBefRZ1vFcOH6z57PQRI,2019-05-11T19:56:42Z,La La Land (feat. YG),2019-03-01,177117,75,Bryce Vine,1ShZZUjkbXCjhwrb18BA8I,161237,73,"indie pop rap,pop,pop rap",0.781,0.469,1,-5.107,0,0.0569,0.223,0,0.19,0.412,98.013,4
Go Loko,3SZqA7rQvROJsCbUu2v0xa,2019-05-05T04:57:07Z,Go Loko,2019-05-03,299226,85,YG,0A0FS04o6zMoto8OKPsDwY,1703766,88,"cali rap,hip hop,pop,pop rap,rap,southern hip hop,trap music",0.88,0.67,2,-5.188,1,0.0429,0.299,5.08e-06,0.0677,0.142,100.995,4
Stop Snitchin,3hhs1XHsWvbH0mP9D1BT2Z,2019-05-05T04:57:07Z,Stop Snitchin,2019-04-24,149893,77,YG,0A0FS04o6zMoto8OKPsDwY,1703766,88,"cali rap,hip hop,pop,pop rap,rap,southern hip hop,trap music",0.924,0.714,7,-5.502,1,0.282,0.00479,4.56e-06,0.172,0.601,90.468,4
Jailbreak the Tesla (feat. Aminé),5GvdOog4FrFxWm6fXfjYIY,2019-05-05T04:57:07Z,Jailbreak the Tesla (feat. Aminé),2019-03-21,199653,56,Injury Reserve,3nf2EaHj8HikLNdaiW3v73,91601,66,"alternative hip hop,conscious hip hop,escape room,hip hop,pop rap,rap,underground hip hop",0.572,0.7,8,-5.575,0,0.258,0.0587,0,0.196,0.713,133.275,4
Started,5t0VcwyjDPOWIdylULdfxk,2019-05-05T04:57:07Z,Started,2019-05-03,186605,76,Iggy Azalea,5yG7ZAZafVaAlMTeBybKAL,4025305,78,"australian hip hop,dance pop,pop,pop rap,post-teen pop,r&b",0.861,0.693,11,-6.052,0,0.313,0.082,0,0.07,0.772,165.036,4
Vossi Bop,44ZJ4hLD5onikKsVLQaILr,2019-05-03T18:47:39Z,Vossi Bop,2019-04-26,196266,86,Stormzy,2SrSdSvpminqmStGELCSNd,831957,79,grime,0.682,0.653,8,-6.062,1,0.339,0.13,0.00116,0.129,0.428,188.115,4
Gravy Train,6JxYOipvMTAnwX8RBoQ1cX,2019-05-05T04:57:07Z,Gravy Train,2019-05-03,169626,65,Yung Gravy,2YOYua8FpudSEiB9s88IgQ,432099,76,"meme rap,minnesota hip hop,vapor trap",0.734,0.635,6,-7.657,0,0.131,0.302,0,0.159,0.714,143.923,4
Praying in the Club,2ZTFbP6slxZkeWVIBBAm9P,2019-05-10T05:23:53Z,Beets . Memes . Life .,2019-01-21,212000,31,Blank Face Villain,4NAtTLJWLOWLRIj3gXXlEq,1088,22,,0.683,0.747,1,-7.573,1,0.368,0.552,0,0.487,0.82,105.04,4
"Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)",6mCqxnyOhr4tHMbRbQL4Yn,2019-05-03T18:47:22Z,"Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)",2019-04-24,248043,78,DJ Snake,540vIaP2JwjQb9dm3aArA4,4736274,85,"dance pop,edm,electronic trap,pop",0.787,0.728,2,-4.049,1,0.0417,0.0902,0,0.316,0.198,119.945,4
If I Tell You,0dQO6DOVHvrfl7DQwO97RE,2019-04-20T09:51:55Z,If I Tell You,2019-04-19,214563,64,Flipp Dinero,2HUwZ0kumzCSlhFcjFZfpp,321700,74,"rap,trap music,underground hip hop,vapor trap",0.711,0.867,11,-1.981,0,0.32,0.152,0,0.0552,0.414,161.966,4
Goddamn,0Zl4G9qcdXV5hVhdOirNHG,2019-04-20T09:51:55Z,Goddamn,2019-04-15,159219,81,Tyga,5LHRHt1k9lMyONurDHEdrp,4797014,89,"hip hop,pop,pop rap,rap,trap music",0.963,0.552,0,-6.118,0,0.22,0.065,0,0.112,0.457,105.036,4
Lit (feat. A$AP Ferg),4OCuHoCvatMsnD5VITttCs,2019-04-20T09:51:55Z,Lit (feat. A$AP Ferg),2019-04-18,186169,66,Octavian,5zfEatKLDdRkgbw6sdLBAQ,65071,68,"grime,indie r&b,uk alternative hip hop,uk hip hop",0.949,0.531,1,-6.509,1,0.0791,0.264,0,0.122,0.591,124.029,4
The Party's Over Here,57puLSZWglg4KrXzluOBQ2,2019-04-20T09:51:55Z,The Party's Over Here,2019-04-16,214800,53,Donae'o,3xcx9CcYTM4M1890B8o9Bp,33981,59,"azonto,grime,speed garage,uk funky,uk garage,uk hip hop",0.709,0.462,11,-6.727,1,0.33,0.458,7.34e-05,0.0467,0.495,134.825,5
Roll The Dice,2MIYfpEKQ8zbKBdVwOaSBH,2019-04-13T08:59:05Z,Roll The Dice,2019-04-12,147342,62,Marshmello,64KEffDW9EtZ1y2vBYgq8T,12427907,92,"brostep,egyptian pop,progressive electro house",0.901,0.694,0,-2.828,0,0.27,0.0511,0,0.119,0.284,100.066,4
Georgia,2B15MgKTaavdlKdlwd4W0R,2019-04-13T08:59:05Z,ARIZONA baby,2019-04-11,219466,52,Kevin Abstract,07EcmJpfAday8xGkslfanE,268490,72,"hip hop,lgbtq+ hip hop,pop,pop rap,rap",0.664,0.522,8,-9.677,1,0.11,0.729,0.000126,0.0935,0.289,134.047,4
Go To Mars (feat. Tee Grizzley),6BKPEw91L4lnevp4FYV3VY,2019-04-13T08:59:05Z,Go To Mars (feat. Tee Grizzley),2019-04-12,154010,56,PnB Rock,21WS9wngs9AqFckK7yYJPM,1906492,85,"hip hop,pop,pop rap,rap,southern hip hop,trap music",0.776,0.791,6,-3.45,1,0.209,0.058,0,0.146,0.529,82.5,4
"Coast/Clear (feat. Joey Bada$$, Flatbush Zombies, Kirk Knight, Nyck Caution & Issa Gold)",1MLGi5JL93ft1He0NrmDq5,2019-04-13T08:59:05Z,"Coast/Clear (feat. Joey Bada$$, Flatbush Zombies, Kirk Knight, Nyck Caution & Issa Gold)",2019-04-12,230360,64,Beast Coast,1Nd1g8fezKoJ6DGauWbZIm,31415,71,"hip hop,rap,underground hip hop",0.672,0.828,11,-5.959,1,0.13,0.0428,0,0.181,0.587,80.016,4
Racks In The Middle (feat. Roddy Ricch and Hit-Boy),6ya8ejoKgw906Y8LWclqrp,2019-04-06T20:02:32Z,Racks In The Middle (feat. Roddy Ricch and Hit-Boy),2019-02-15,233277,82,Nipsey Hussle,0EeQBlQJFiAfJeVN2vT9s0,900209,84,"conscious hip hop,hip hop,pop rap,rap,southern hip hop,trap music",0.671,0.833,5,-5.152,0,0.395,0.0825,0,0.0726,0.702,79.351,4
Wow. - Remix,0fcq51a3gOI6gPvzc0YLsk,2019-04-06T20:02:32Z,Wow. (Remix),2019-03-15,170053,82,Post Malone,246dkjvS1zLTtiykXe5h60,14169699,96,"pop,rap",0.797,0.64,11,-6.272,0,0.194,0.148,0,0.209,0.486,100.002,4
Momma I Hit A Lick (feat. Kendrick Lamar),7jKUnzzOGhAlPjr7LkIUlE,2019-03-31T00:54:07Z,Rap Or Go To The League,2019-03-01,173760,69,2 Chainz,17lzZA2AlOHwCwFALHttmp,4530719,86,"atl hip hop,hip hop,pop,pop rap,rap,southern hip hop,trap music",0.796,0.467,11,-6.293,1,0.34,0.202,3.32e-05,0.206,0.4,179.974,3
Fuck,1QRz6P1bFWznOuWCIy7RlF,2019-04-13T08:59:05Z,Fuck,2019-04-12,154681,63,Oliver Tree,6TLwD7HPWuiOzvXEa3oCNe,255238,72,alternative hip hop,0.826,0.486,2,-8.237,1,0.232,0.0127,1.96e-05,0.259,0.105,129.979,4
Emotional (feat. Quavo),4rrFGOdnreypzg6ux5mdPh,2019-03-31T00:54:07Z,ICY,2019-03-29,190428,60,Saweetie,6cK3NBO6uP7hh0oyuVELFl,334588,72,"cali rap,deep pop r&b,pop,r&b,trap queen",0.791,0.655,5,-7.413,0,0.277,0.0249,1.5e-05,0.0614,0.526,184.091,4
Broke,5wdW18TI2ANBqaXYYJzJJO,2019-03-31T00:54:07Z,Just Another Gangsta,2019-03-29,181066,44,Birdman,35sCXuy5gN6Or69rZ9vqBs,521764,68,"dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap music",0.754,0.788,8,-4.763,0,0.309,0.0355,0,0.0643,0.555,175.006,4
Hello (feat. Lil Pump),7HNhyjMiTMDDDJixTS0yn0,2019-03-31T00:54:07Z,Hello (feat. Lil Pump),2019-03-29,165633,64,Ugly God,3Fdm9TFJQCLmC3AWMuGExi,1481632,68,"rap,southern hip hop,trap music,underground hip hop,vapor trap",0.926,0.519,1,-3.723,1,0.177,0.069,0,0.122,0.361,142.096,4
Nice Things,5X25z9ze3gvahGcKyeRyYs,2019-03-31T00:54:07Z,Nice Things,2019-03-29,190306,44,Tank and The Bangas,5cAtakaadWHJLxmGKrKcX7,97369,53,new orleans funk,0.912,0.571,6,-6.553,1,0.232,0.0816,0.00226,0.0647,0.517,145.021,4
Flaws And Sins,2BSbCCbaSCzkOEZa6N5901,2019-03-31T00:54:07Z,Death Race For Love,2019-03-08,218348,74,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,4352051,93,chicago rap,0.709,0.662,8,-4.55,1,0.0766,0.00966,0,0.108,0.439,150.046,4
Superpowers (with GoldLink),7AOR3bPPaLBJKJB9EMURxI,2019-03-31T00:54:07Z,Superpowers (with GoldLink),2019-03-26,182082,63,Col3trane,4hTL3jOgvZwOqegEZTOrCc,39287,63,"alternative r&b,indie r&b,trap soul,uk alternative hip hop,uk contemporary r&b,underground hip hop",0.824,0.371,1,-9.816,0,0.117,0.467,1.15e-06,0.1,0.404,85.055,4
Gloria,4I5uWfaZIrkKCHrbO7eLMV,2019-03-23T05:35:56Z,Gloria,2019-03-05,156958,56,Tierra Whack,4lPl9gqgox3JDiaJ1yklKh,108055,68,"alternative r&b,escape room",0.446,0.622,9,-7.561,0,0.0543,0.316,0.00011,0.362,0.963,155.66,4
Trigger Happy,1vND7jVyATMuR3WL3UGjf3,2019-03-23T05:35:56Z,Trigger Happy,2019-03-06,196247,54,IDK,6aiFCgyKNwF9Rv5TOxnE8E,67731,63,"dark trap,deep underground hip hop,dmv rap,rap,underground hip hop,vapor trap",0.544,0.669,1,-7.788,1,0.457,0.0353,1.02e-06,0.356,0.52,120.092,5
Pop Shots,3C8FW46uGAM6dBbxPHw9rr,2019-03-23T05:35:56Z,A Long Red Hot Los Angeles Summer Night,2019-03-01,228316,30,Blu,1KeJhR0ENFviw187pD4LPT,67942,56,"alternative hip hop,boom bap,hip hop,southern hip hop,underground hip hop",0.542,0.89,5,-5.422,1,0.368,0.116,0,0.228,0.615,82.136,4
Bird Box,1GVF9LMwzfUyvRxVF0Uq4Q,2019-03-23T05:35:56Z,Bird Box,2019-03-08,193103,44,cupcakKe,76SlrtEaq2oViRXulxjfuM,293419,59,"chicago rap,escape room,hyperpop,lgbtq+ hip hop,pop,strut,trap queen",0.775,0.684,1,-7.37,1,0.424,0.251,0,0.157,0.348,160.17,4
