track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Old Town Road - Diplo Remix,3kgKVcBpBGuSeaEC0AZGlb,2019-08-12T10:07:34Z,Old Town Road (Diplo Remix),2019-04-29,204026,76,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,863700,92,country rap,0.766,0.771,6,-9.108,1,0.0576,0.00407,3.76e-06,0.113,0.297,140.036,4
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,1sI9LpIHEEzQwSVnp8oyfD,2019-08-12T10:07:34Z,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Tiësto Remix],2019-06-21,255238,50,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,11089826,88,"big room,edm,pop,progressive house,tropical house",0.69,0.78,5,-4.446,0,0.0594,0.00733,0.00183,0.0729,0.238,126.07,4
Find U Again - MK Remix,1Yk6VWzkYzpDarxEVmrz7O,2019-08-12T10:07:34Z,Find U Again (MK Remix),2019-07-05,229753,58,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,635529,84,"dance pop,pop,tropical house,uk pop",0.63,0.96,5,-5.564,1,0.0432,0.0639,0.389,0.0607,0.396,123.972,4
Mother's Daughter - R3HAB Remix,43VLjadsOfoCFiJF7CPxLl,2019-08-12T10:07:34Z,Mother's Daughter (R3HAB Remix),2019-08-02,152164,49,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,9525261,86,"dance pop,pop,post-teen pop,uk pop",0.697,0.806,8,-4.245,0,0.0489,0.0803,2.92e-06,0.0883,0.496,97.06,4
Higher Love,6oJ6le65B3SEqPwMRNXWjY,2019-08-12T10:07:34Z,Higher Love,2019-06-28,228267,88,Kygo,23fqKkggKUBHNkbKtXEls4,5307484,89,"edm,pop,tropical house",0.693,0.678,8,-7.159,1,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,4
Giant - Robin Schulz Remix,6TgLQJ87xq6adrAU6HzaTW,2019-08-12T10:07:34Z,Giant (Robin Schulz Remix),2019-02-15,193297,26,Calvin Harris,7CajNmpbOovFoOoasH2HaY,17815734,89,"edm,electro house,house,pop,progressive house,uk dance",0.544,0.88,1,-4.917,0,0.245,0.0634,0.0159,0.453,0.491,126.06,4
I Don't Care (with Justin Bieber) - Loud Luxury Remix,6f807x0ima9a1j3VPbc7VN,2019-08-12T10:07:34Z,I Don't Care (with Justin Bieber) [Loud Luxury Remix],2019-06-14,194754,66,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,49221560,100,"pop,uk pop",0.748,0.916,6,-2.634,1,0.0583,0.102,0,0.0653,0.518,122.036,4
On My Way - Da Tweekaz Remix,4Sp0jLZN8MgPnoGDufJS7N,2019-08-12T10:07:34Z,On My Way (Da Tweekaz Remix),2019-06-25,204198,64,Alan Walker,7vk5e3vY1uw9plTHJAMwjN,12596495,88,electro house,0.478,0.848,1,-3.85,0,0.0431,0.0934,0,0.0925,0.48,149.936,4
One Thing Right - Firebeatz Remix,2M9GeaCQXrV12J0wzBxIwi,2019-08-12T10:07:34Z,One Thing Right (Remixes),2019-08-09,192380,58,Marshmello,64KEffDW9EtZ1y2vBYgq8T,15216904,91,"brostep,progressive electro house",0.682,0.851,1,-7.117,0,0.0363,0.0146,0.000834,0.0289,0.348,126.0,4
Call You Mine - Asketa & Natan Chaim Remix,5EdYlCWou17k0N1PADLKfO,2019-08-12T10:07:34Z,Call You Mine - The Remixes,2019-07-19,183653,67,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,13396242,91,"electropop,pop,tropical house",0.577,0.844,7,-3.364,1,0.0406,0.00407,6.13e-06,0.499,0.283,115.066,4
