track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
I Feel It,5FzuDFYmUFcvjraadJXv28,2019-08-09T12:01:30Z,I Feel It,2019-06-21,155250,61,Leftwing : Kody,7eYXtOjJGhrM16cK2hRmnR,8957,54,"deep groove house,house,uk tech house",0.566,0.954,6,-4.678,1,0.0376,0.00411,0.0257,0.0943,0.887,125.967,4
XTC,7CN6ZYIX338ekn7pb2CpQp,2019-08-09T12:01:30Z,XTC,2019-07-19,156630,63,Solardo,0oO1IaDOBSeI96HbnCa5pZ,46094,59,"bass house,deep groove house,disco house,house",0.703,0.929,3,-6.5,0,0.0661,0.00761,0.00334,0.219,0.585,128.005,4
"My One (feat. Tory Lanez, Kranium & Dappy) (Joel Corry Remix)",1twD4KnEbSZdS7PEoZrOeU,2019-08-09T12:01:30Z,"My One (feat. Tory Lanez, Kranium & Dappy) (Joel Corry Remix)",2019-08-09,149341,14,Wiley,7k9T7lZlHjRAM1bb0r9Rm3,254416,71,"grime,house,uk dancehall,uk garage,uk hip hop,uk pop",0.643,0.953,9,-6.701,1,0.0426,0.0021,0.0175,0.0666,0.782,124.986,4
Find U Again - MK Remix,1Yk6VWzkYzpDarxEVmrz7O,2019-08-09T12:01:30Z,Find U Again (MK Remix),2019-07-05,229753,57,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,628650,84,"dance pop,pop,tropical house,uk pop",0.63,0.96,5,-5.564,1,0.0432,0.0639,0.389,0.0607,0.396,123.972,4
Wish You Well - Gaullin Remix,26vJB2Av9VFy7BKfnJVXxQ,2019-08-09T12:01:30Z,Wish You Well (Remix EP),2019-08-09,170592,41,Sigala,1IueXOQyABrMOprrzwQJWN,886839,79,"dance pop,edm,pop,tropical house,uk pop",0.645,0.741,5,-5.043,0,0.268,0.0425,0,0.101,0.439,124.932,4
Someone (feat. Alamo),5FIOyIWVSnq3YbesfPsEyD,2019-08-09T12:01:30Z,Someone (feat. Alamo),2019-06-21,165607,51,Rowen Reecks,7MW3lTs9G10C55or1KZrwQ,1161,44,,0.617,0.82,4,-5.191,0,0.0525,0.0129,0.00227,0.137,0.378,125.005,4
Finally,4HXO3aRstkQsWrm6bUP8NM,2019-08-09T12:01:30Z,Finally,2019-07-19,173940,52,Parx,2C45tSmv4vJEa6zD0aSwtO,513,44,,0.675,0.88,11,-4.962,0,0.0563,0.0363,3.85e-06,0.332,0.647,124.069,4
You Little Beauty,0mKs1tMPvyVVh0Vb25IYq2,2019-08-09T12:01:30Z,You Little Beauty,2019-05-09,206587,64,FISHER,1VJ0briNOlXRtJUAzoUJdt,217566,74,"australian house,house",0.927,0.953,6,-5.524,0,0.0915,0.00237,0.466,0.31,0.915,123.983,4
Ride It,2tnVG71enUj33Ic2nFN6kZ,2019-08-09T12:01:30Z,Ride It,2019-07-26,157605,69,Regard,4ofCBoyEiGSePFAG500xev,2645,59,,0.893,0.748,7,-4.299,0,0.0821,0.272,1.62e-05,0.093,0.867,117.958,4
Be Someone - Skream Remix,4HTarPImtJ3g8vtD6L03Ez,2019-08-09T12:01:30Z,Be Someone (Skream Remix),2019-07-19,192246,48,CamelPhat,240wlM8vDrf6S4zCyzGj2W,123389,73,"deep groove house,deep tech house,disco house,edm,house,progressive house,tropical house,uk dance",0.564,0.866,5,-5.385,0,0.0276,0.00974,0.0232,0.46,0.464,125.972,4
After Hours,6qLkMLUIkdtX34gHF9sPFL,2019-08-09T12:01:30Z,After Hours,2019-06-14,164975,63,M-22,4WFtYn5RyU8VGPpPyW9Pxw,19968,66,"deep groove house,house,tropical house,uk pop",0.748,0.84,11,-4.537,0,0.054,0.0225,5.41e-06,0.139,0.68,123.974,4
