track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
"Para, Pensa e Volta - Ao Vivo",2KyXyTrp3kp1Fsg7B1osYD,2019-06-27T20:00:39Z,Yasmin Santos Ao Vivo em São Paulo - EP 2,2019-06-28,174178,53,Yasmin Santos,597XBqZtaiZC7laCNx3nVz,249634,72,"funk carioca,sertanejo pop,sertanejo universitario",0.611,0.791,2,-3.095,1,0.0436,0.245,0,0.237,0.572,111.928,4
Posto 24h (feat. Wesley Safadão) - Ao Vivo,3mNmUjoDHYDYj08IaRPtg0,2019-06-17T23:06:14Z,A Origem (Ao Vivo),2018-10-18,153374,78,Lucas Lucco,06cd30Cv9US973Ika84gDw,1964591,74,"brazilian edm,funk carioca,sertanejo pop,sertanejo universitario",0.703,0.929,3,-4.021,0,0.0338,0.169,0,0.396,0.626,126.998,4
A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília,4gDvg62vG96w0qJaF6wzcd,2019-06-17T23:06:14Z,Diego & Victor Hugo Ao Vivo em Brasília - EP1,2019-03-22,182734,77,Diego & Victor Hugo,3k68C6mNMJL6OaAdWeW2ZF,471697,77,"sertanejo pop,sertanejo universitario",0.542,0.876,6,-3.378,1,0.0972,0.724,0,0.925,0.634,118.777,4
Então Vou Avisar - Ao Vivo,1idjI8gtxgHjy8KyZamY6o,2019-06-17T23:06:14Z,Yasmin Santos Ao Vivo em São Paulo - EP 1,2019-05-17,187801,73,Yasmin Santos,597XBqZtaiZC7laCNx3nVz,249634,72,"funk carioca,sertanejo pop,sertanejo universitario",0.534,0.835,9,-3.477,1,0.0939,0.312,0,0.855,0.433,163.907,4
Do Copo Eu Vim (feat. Marília Mendonça) - Ao Vivo em Brasília,6NgwHmEgfQVIYQBq8QcWMi,2019-06-17T23:06:14Z,Do Copo Eu Vim (feat. Marília Mendonça) [Ao Vivo em Brasília],2019-03-08,144071,75,Diego & Victor Hugo,3k68C6mNMJL6OaAdWeW2ZF,471697,77,"sertanejo pop,sertanejo universitario",0.668,0.884,0,-3.239,1,0.0651,0.663,0,0.45,0.707,116.993,4
Flor Que Se Cheira,49pu85144Xir6PgWjeyJhG,2019-06-17T23:06:14Z,"Amando, Bebendo e Sofrendo EP 1",2019-03-18,161374,73,Guilherme & Benuto,6m6e7D2TnV0aYMllFFwMxu,4745,63,sertanejo pop,0.68,0.759,2,-5.254,0,0.144,0.637,0,0.556,0.797,117.827,4
Aham - Ao Vivo,0kDMCzd7KNT18SO7MM5nT9,2019-06-17T23:06:14Z,Aham (Ao Vivo),2019-03-29,227061,65,Lucas Lucco,06cd30Cv9US973Ika84gDw,1964591,74,"brazilian edm,funk carioca,sertanejo pop,sertanejo universitario",0.394,0.538,6,-7.154,1,0.037,0.779,0,0.401,0.521,92.003,4
Sofro Onde Eu Quiser,2Xr33epIjw1fbwOhrng4Pd,2019-06-17T23:06:14Z,Esquenta do DVD,2019-03-18,155661,71,Yasmin Santos,597XBqZtaiZC7laCNx3nVz,249634,72,"funk carioca,sertanejo pop,sertanejo universitario",0.746,0.498,6,-7.237,1,0.0368,0.297,0,0.112,0.691,125.949,4
Entregador de Flor - Ao Vivo em Brasília,3CrzNxy6e6MiUSBPlzCKFO,2019-06-17T23:06:14Z,Diego & Victor Hugo Ao Vivo em Brasília - EP2,2019-05-24,190276,65,Diego & Victor Hugo,3k68C6mNMJL6OaAdWeW2ZF,471697,77,"sertanejo pop,sertanejo universitario",0.376,0.834,2,-4.303,1,0.08,0.549,0,0.412,0.329,125.171,4
Tijolão - Ao Vivo,6QwFUcPc5nhsqZuhXUYtV7,2019-06-17T23:06:14Z,Tijolão (ao Vivo),2019-05-24,175219,79,Jorge & Mateus,1elUiq4X7pxej6FRlrEzjM,10177409,83,"sertanejo,sertanejo universitario",0.637,0.877,4,-3.68,0,0.198,0.469,0,0.343,0.691,118.889,4
Todo Mundo Vai Sofrer - Ao Vivo,4E6RdcCWMiHTu7zy1VTNDo,2019-06-17T23:06:14Z,"Todos Os Cantos, Vol. 2 (ao Vivo)",2019-05-17,154661,83,Marília Mendonça,1yR65psqiazQpeM79CcGh8,9812409,88,sertanejo,0.621,0.743,3,-3.864,1,0.0738,0.281,0,0.411,0.581,111.454,4
Amor de Cerveja - Ao Vivo,71PqyIIAR6fcMiwMf6f313,2019-06-17T23:06:14Z,"Ao Vivo In Rio, Vol. 2",2019-01-11,163423,62,Henrique & Diego,1D6vAeVUcgMbSx80IA3Zun,1461686,73,"sertanejo,sertanejo pop,sertanejo universitario",0.728,0.872,0,-3.434,1,0.0339,0.213,0,0.47,0.962,127.952,4
Tanto Faz - Ao Vivo,7ckW31RA0MPivN8oBuyehc,2019-06-17T23:06:14Z,Paulo e Nathan Ao Vivo - EP 2,2019-05-31,184986,52,Paulo e Nathan,3CGLLDfrPjF2FJ8HDCKMMv,897,46,sertanejo pop,0.567,0.754,11,-4.701,1,0.0492,0.633,0,0.693,0.48,162.009,4
Santo Forte (feat. Luan Santana) - Ao Vivo,1ekX8JX7LF3AyxI0nyOzvB,2019-06-17T23:06:14Z,Terra do Nunca (Ao Vivo),2019-01-31,189335,66,Dilsinho,4NUePmzDvCYqilXBFa91Hg,919287,79,"funk carioca,pagode",0.583,0.683,1,-7.368,1,0.0386,0.711,0,0.921,0.779,143.868,4
Zona de Risco (feat. Maiara & Maraisa) - Ao Vivo,6BhEFJ4QKZC36hNZw2j8Xq,2019-06-17T23:06:14Z,O Chamado da Floresta (Deluxe) [Ao Vivo],2018-12-07,182850,5,Fernando & Sorocaba,1oSgjdbgLYULVmEBojPRw8,2056633,72,"pagode,sertanejo,sertanejo pop,sertanejo universitario",0.652,0.918,2,-2.247,1,0.22,0.519,0,0.864,0.803,145.784,4
Infarto,0XEJ7eph2IWFYZc73Jm3n2,2019-06-17T23:06:14Z,Querosene e o Violão,2018-11-05,161403,78,Diego & Victor Hugo,3k68C6mNMJL6OaAdWeW2ZF,471697,77,"sertanejo pop,sertanejo universitario",0.613,0.794,10,-4.518,1,0.0347,0.277,0,0.173,0.602,124.743,4
Casal Perfeito,5B0dkFOUq0w6hasCeyr4o9,2019-06-17T23:06:14Z,O Chamado da Floresta (EP Acústico),2019-05-10,180825,63,Fernando & Sorocaba,1oSgjdbgLYULVmEBojPRw8,2056633,72,"pagode,sertanejo,sertanejo pop,sertanejo universitario",0.532,0.547,2,-5.076,1,0.222,0.764,0,0.214,0.842,147.527,4
Bomba Relógio,2tNAK7MatTTXHltyiDv3ms,2019-06-17T23:06:14Z,Naturalmente,2019-04-26,223189,58,Avine Vinny,4KDxYlnGZEiS60pAnfZf4W,306768,66,"forro,funk carioca,sertanejo pop",0.742,0.767,0,-5.804,1,0.0315,0.151,0,0.971,0.393,116.033,4
Unidunite - Ao Vivo,15iVxpZZ8JQ05cAewMHT8r,2019-06-17T23:06:14Z,Ao Vivo em Goiânia (EP 5),2019-03-01,162275,62,Diego & Arnaldo,0CrGLmfVKzk9rAyiNb91ft,136647,68,"sertanejo,sertanejo pop,sertanejo universitario",0.708,0.858,0,-3.158,1,0.048,0.353,0,0.687,0.594,141.86,4
Espelho Meu - Ao Vivo,5vAH9kwRajhfewbqBczqwJ,2019-06-17T23:06:14Z,Espelho Meu (Ao Vivo),2018-10-26,161152,73,Henrique & Diego,1D6vAeVUcgMbSx80IA3Zun,1461686,73,"sertanejo,sertanejo pop,sertanejo universitario",0.521,0.918,6,-3.414,0,0.0867,0.203,0,0.579,0.683,185.995,4
