track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Piece Of Your Heart,5p1ex0pXv6jSPJ6QbumQpD,2019-07-19T09:46:54Z,Piece Of Your Heart,2019-02-01,152913,57,MEDUZA,0xRXCcSX89eobfrshSVdyu,33442,81,pop house,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,4
Don’t Feel Like Crying - MK Remix,7m08259Q5tSlCoHKq0l5AL,2019-07-19T09:46:54Z,Don't Feel Like Crying (MK Remix),2019-02-15,220683,51,Sigrid,4TrraAsitQKl821DQY42cZ,372531,71,"dance pop,electropop,norwegian pop,pop,tropical house",0.586,0.93,5,-4.085,0,0.0396,0.00199,2.09e-05,0.15,0.212,123.985,4
Say Something - Zac Samuel Remix,67lnQ6r4oWKZcM8VxSwHq2,2019-07-19T09:46:54Z,Say Something,2014-01-01,213135,7,Karen Harding,1QOHbhVRpDoNtRkz79si6b,21717,64,"deep groove house,house,uk dance",0.697,0.676,7,-6.134,1,0.0412,0.0101,2.66e-06,0.141,0.707,119.988,4
Don't Wanna Dance,6b56B8Ew3d0WDnd4Vq01Gh,2019-07-19T09:46:54Z,Don't Wanna Dance,2019-06-28,169402,53,Boston Bun,1Na1sVrGWKwAigaW7a6hi5,11857,51,pop edm,0.797,0.827,5,-5.607,1,0.0418,0.0334,0.101,0.288,0.68,121.979,4
Hold You Tight,3bn8sZpuyDnDt1LmeUlybV,2019-07-19T09:46:54Z,Hold You Tight,2019-03-27,319354,45,Diplo,5fMUXHkw8R8eOP2RNVYEZX,1995219,87,"bmore,edm,moombahton,ninja,pop",0.796,0.826,4,-5.092,0,0.0599,0.00574,0.57,0.0466,0.689,123.99,4
Make Your Move,4cuJbDiraxt9AsEeevmFuQ,2019-07-19T09:46:54Z,Make Your Move,2019-01-18,168991,59,Anton Powers,7h7ahzbTkbAFsshWJ7fOrc,12006,61,"deep groove house,disco house,house,pop,tropical house,uk dance",0.647,0.992,4,-2.748,0,0.0971,0.0248,0.106,0.156,0.555,124.0,4
White Lies - TRP Remix,06j0ymyhkjl4HsqGziZ9ar,2019-07-19T09:46:54Z,White Lies (TRP Remix),2019-06-07,230322,34,M-22,4WFtYn5RyU8VGPpPyW9Pxw,19070,66,"deep groove house,house,tropical house",0.724,0.878,11,-6.567,0,0.0519,0.0176,1.46e-05,0.323,0.426,124.005,4
Play,29R1IMTTbDDA3VNlk6UEW5,2019-07-19T09:46:54Z,Play,2018-11-28,186240,68,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,529262,81,"dance pop,edm,house,pop,tropical house,uk dance",0.771,0.768,11,-7.773,0,0.0451,0.0266,1.26e-05,0.426,0.607,125.023,4
Sorry,6y1UtRcHQU07aUs3oxZ8Yn,2019-07-26T11:22:23Z,Sorry,2019-04-05,188640,65,Joel Corry,6DgP9otnZw5z6daOntINxp,8930,59,"deep groove house,house,uk dance",0.744,0.79,8,-4.617,0,0.0562,0.0547,0.000802,0.32,0.847,125.002,4
Never Really Over - R3HAB Remix,2OAylPUDDfwRGfe0lYqlCQ,2019-07-26T10:28:40Z,Never Really Over (R3HAB Remix),2019-07-26,187675,52,Katy Perry,6jJ0s89eD6GaHleKKya26X,13408494,88,"dance pop,pop,post-teen pop",0.458,0.84,5,-4.769,0,0.078,0.201,0,0.156,0.174,112.802,4
Read Between the Lines - Radio edit,4Uf1gRJKDrrgGouS6lXuAm,2019-07-19T09:46:54Z,Read Between the Lines,2019-05-17,193000,36,Zurra,2NqTMxpFwTe8BQlCCeiZPW,643,26,,0.706,0.848,11,-7.251,1,0.116,0.00935,0.143,0.31,0.274,125.009,4
Back To You (with Laura White),5uHE5I3K0RQxfPs5gJ9ykg,2019-07-22T11:28:42Z,Back To You (with Laura White),2019-07-12,167523,35,One Bit,7jlMwr0xUcRO1xS6WjkkUT,3099,50,pop edm,0.618,0.833,2,-3.903,1,0.0304,0.0269,2.94e-05,0.301,0.496,124.916,4
Be Happy - VIP,0uGziBDjeWrT42RK29cz73,2019-07-19T09:46:54Z,Be Happy (VIP),2019-02-01,166829,41,Deekline,1V9Bmg9gpcQDBfNZBQCWw7,13128,51,"breakbeat,jungle",0.59,0.983,0,-2.872,0,0.0583,0.449,0.000978,0.129,0.902,122.994,4
Someone You Loved - Future Humans Remix,1e8PAfcKUYoKkxPhrHqw4x,2019-07-19T09:46:54Z,Someone You Loved (Future Humans Remix),2019-03-05,189052,60,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,844508,87,pop,0.65,0.833,1,-4.672,1,0.0359,0.0803,0,0.0833,0.725,123.976,4
I Found You (with Calvin Harris),5sdb5pMhcK44SSLsj1moUh,2019-07-19T09:46:54Z,I Found You (with Calvin Harris),2018-11-02,191495,72,benny blanco,5CiGnKThu5ctn9pBxv7DGa,311447,81,"dance pop,edm,pop,post-teen pop,tropical house",0.775,0.872,6,-4.194,1,0.0469,0.033,0.0579,0.298,0.379,122.994,4
Let You - Mighty Mouse Edit,6kaK6axY2rvNq9UXjvnVJV,2019-07-19T09:46:54Z,Let You (Mighty Mouse Edit),2019-05-30,198891,30,Cheryl,3NyNPJaemMYsL14DK2tO01,393660,57,"australian pop,dance pop,electropop,europop,pop,post-teen pop,tropical house,uk pop",0.635,0.891,11,-6.602,0,0.0415,0.0126,0.0485,0.0601,0.896,122.969,4
On The Run,1nG25ryMPoS60huue0fy3r,2019-07-19T09:46:54Z,On The Run,2019-03-22,209758,31,J. Worra,4q0N3EI67tVnAeeaXbNQIj,2694,34,bass house,0.872,0.787,11,-7.459,0,0.13,0.0134,0.00715,0.0589,0.749,124.034,4
I Wanna Be Down,6nRNYQiLt3RU06fzHxCnsc,2019-07-19T09:46:54Z,I Wanna Be Down,2019-03-08,183444,61,Majestic,6QMABvTzixnxzsLYyhqRxI,11636,54,"bass house,deep groove house,house,uk garage",0.81,0.798,7,-5.798,1,0.0388,0.00502,3.51e-05,0.104,0.916,121.987,4
Using (with Emily Warren) - MEDUZA Remix,7c6tga0CoT6IHhHt16EcBd,2019-07-26T10:40:56Z,Using (MEDUZA Remix),2019-07-26,166451,30,RITUAL,3RP50pmG8Wz1mhNCidQj68,31818,57,"indie electro-pop,vapor soul",0.56,0.939,0,-6.013,0,0.0451,0.00304,0.0924,0.106,0.141,123.974,4
Talk To Me - Theo Kottis Remix,2lpAAqOknmZ5bTPPfh9cuw,2019-07-26T12:13:42Z,Talk To Me (Theo Kottis Remix),2019-07-26,219733,8,Ten Ven,0ZSLz27xUnI816MMtYfLMI,1982,46,,0.623,0.964,11,-8.386,0,0.0395,0.0107,0.784,0.0774,0.549,123.018,4
Heaven Let Me In - MEDUZA Remix Edit,4gsc1FcuBr8L8n2WAmq5Gx,2019-07-19T09:46:54Z,Heaven Let Me In (Remixes),2019-04-19,165338,47,Friendly Fires,3mZqziCJj4pq3P2VBpmK6p,197471,57,"alternative dance,dance-punk,electronic,indie pop,indie rock,indietronica,modern rock,new rave,nu disco,shimmer pop",0.57,0.912,7,-5.373,0,0.0416,0.00994,0.0027,0.169,0.425,123.997,4
Delicious,5s44daf32Q7yNMqhIn1Jj4,2019-07-19T09:46:54Z,Delicious,2019-03-22,236160,50,Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,262327,67,"deep groove house,edm,future garage,house,pop,tropical house,uk dance",0.712,0.88,0,-6.78,1,0.0433,0.0248,0.216,0.0587,0.853,125.015,4
You Already Know - Gerd Janson Remix,70tCAu7IsvNPLaWxTyoPEH,2019-07-19T09:46:54Z,You Already Know (Gerd Janson Remix),2019-06-21,205440,38,Paul Woolford,4CA8PTrbq1l5IgyvBA2JSV,11579,52,"deep groove house,house,uk house",0.582,0.83,1,-10.276,1,0.0403,0.00263,0.438,0.0525,0.647,124.978,4
Ghosts,4MxSucvAbFDVEDLulelfay,2019-07-19T09:46:54Z,Ghosts,2019-06-07,205365,33,FIX8,5vxujRRFyGnxolzJEacI4v,107,29,,0.727,0.748,7,-5.108,1,0.11,0.0405,3.1e-06,0.702,0.376,122.993,4
Move Your Body (Elevation) - Shadow Child Remix,3dSqBYm4FIYRmka55wd1Hq,2019-07-19T09:46:54Z,Move Your Body (Elevation) [Remixes],2019-06-14,184812,33,Xpansions,2oSihaE9ObkcZVx2LAxySj,1524,39,"hardcore techno,hip house",0.624,0.814,9,-6.027,0,0.0335,0.00825,0.581,0.186,0.36,127.014,4
Here With Me,5icOoE6VgqFKohjWWNp0Ac,2019-07-19T09:46:54Z,Here With Me,2019-03-08,156346,85,Marshmello,64KEffDW9EtZ1y2vBYgq8T,14467051,91,"brostep,progressive electro house",0.791,0.565,5,-3.933,0,0.0439,0.0623,0,0.156,0.181,99.961,4
Happy People - Jansons Remix,2ABta23yxKcEqPwXyPYX1M,2019-07-19T09:46:54Z,Happy People (Jansons Remix),2019-07-12,253258,20,Wh0,132Hhe61bhvXtkygENHZHA,1427,46,uk dance,0.803,0.908,1,-4.697,1,0.0442,0.015,0.884,0.0465,0.653,125.007,4
Late Night Feelings - Jax Jones Midnight Snack Remix,4ufczFF0h8LuINuNchy1fQ,2019-07-19T09:46:54Z,Late Night Feelings (Jax Jones Midnight Snack Remix),2019-05-10,228387,15,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,614461,84,"dance pop,pop,tropical house",0.697,0.928,5,-4.052,0,0.113,0.0158,0.00723,0.503,0.654,124.023,4
Got To Keep On - Riton Remix,2hE4UBDF2BPc2hlQLfyDFp,2019-07-19T09:46:54Z,Got To Keep On (Riton Remix),2019-03-15,267914,41,The Chemical Brothers,1GhPHrq36VKCY3ucVaZCfo,1054329,68,"alternative dance,big beat,breakbeat,electronic,new rave",0.77,0.884,6,-5.04,0,0.0588,0.0346,0.531,0.103,0.736,125.018,4
Must Be Love - TRU Concept Remix,52cGBpsalDEtssSWJFqmbO,2019-07-19T09:46:54Z,Must Be Love (TRU Concept Remix),2019-07-12,190466,25,Shaan,7jo2g1o6z6ZK8DDDazCcOY,1848,44,indian edm,0.661,0.898,8,-4.947,1,0.0391,0.00748,6.1e-05,0.159,0.241,124.045,4
Elizabeth Street,4BNYPLZUff4LyxLQlTYzbH,2019-07-19T09:46:54Z,Elizabeth Street,2019-07-03,216586,57,Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,262327,67,"deep groove house,edm,future garage,house,pop,tropical house,uk dance",0.66,0.776,7,-7.051,0,0.0411,0.00784,0.919,0.117,0.327,126.006,4
Let Me Show You,5RcusHYNfrPaU50loKW66P,2019-07-19T09:46:54Z,Let Me Show You,2019-06-28,216290,45,Anton Powers,7h7ahzbTkbAFsshWJ7fOrc,12006,61,"deep groove house,disco house,house,pop,tropical house,uk dance",0.694,0.842,0,-3.524,1,0.0387,0.00632,0.0257,0.423,0.176,123.998,4
FXCK YOU CAUSE YOU WERE THE ONE - GotSome Remix Edit,0Vk8TCC3jn3IWDtE3yKnCm,2019-07-19T09:46:54Z,FXCK YOU CAUSE YOU WERE THE ONE (GotSome Remix),2019-07-12,212775,16,BRUNSWICK,4QxIol1JzAa4ePmDytv0e4,561,25,,0.734,0.631,6,-7.423,0,0.0386,0.00127,0.718,0.0582,0.28,126.022,4
Club Demons,7MaxnWkqimNekK7nSm54rP,2019-07-19T09:46:54Z,Club Demons,2019-06-28,232320,43,Madeaux,1LTDQMVIIdgiJePJvUkBA3,7034,39,vapor twitch,0.983,0.846,1,-5.214,1,0.184,0.0202,0.00813,0.0514,0.815,124.989,4
Hold You Tight,2zSjw13EMIG8tW2vfN9YAc,2019-07-19T09:46:54Z,Higher Ground,2019-05-02,319354,32,Diplo,5fMUXHkw8R8eOP2RNVYEZX,1995219,87,"bmore,edm,moombahton,ninja,pop",0.796,0.826,4,-5.092,0,0.0599,0.00574,0.57,0.0466,0.689,123.99,4
