track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
QUE PRETENDES,25ZAibhr3bdlMCLmubZDVt,2019-07-26T11:16:04Z,OASIS,2019-06-28,222346,88,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,15026105,97,"latin,reggaeton",0.639,0.791,10,-4.443,0,0.253,0.0275,0,0.362,0.939,92.603,4
Hookah,4piZ5m1vZGDkfyHga5U97m,2019-07-26T11:16:04Z,Hookah,2019-07-19,179893,61,Bad Gyal,4F4pp8NUW08JuXwnoxglpN,143915,65,"rap catalan,trap espanol",0.872,0.579,0,-6.149,1,0.113,0.0699,2.38e-06,0.116,0.483,103.973,4
Date La Vuelta,5lwVd35Zg6DJ4qibVMq99H,2019-07-26T11:16:04Z,Date La Vuelta,2019-04-24,219773,80,Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG,6568288,83,"latin,latin pop,pop,tropical",0.747,0.825,6,-2.903,1,0.0566,0.0487,0,0.107,0.866,94.006,4
Con Calma,5w9c2J52mkdntKOmRLeM2m,2019-07-26T11:16:04Z,Con Calma,2019-01-24,193226,91,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,12248304,95,"latin,latin hip hop,pop,reggaeton,tropical",0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,4
China,2ksOAxtIxY8yElEWw8RhgK,2019-07-26T11:16:04Z,China,2019-07-19,301714,85,Anuel AA,2R21vXR83lH98kGeO99Y66,7084132,93,"reggaeton flow,trap latino",0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,4
Sobrenatural,1cYXPXbIR0FxurYVMGnwIN,2019-07-26T11:16:04Z,4.0,2019-07-19,224026,57,Juan Magán,1ackd5XprZEkH3McKbQD51,1289235,77,"dance pop,electro latino,latin,latin pop,pop,spanish pop,tropical",0.715,0.787,6,-5.253,1,0.0681,0.247,0,0.106,0.567,91.978,4
"Fuego (with Sean Paul & Anitta, feat. Tainy)",660eekzsNZ7sdATvfIsAkR,2019-07-26T11:16:04Z,Carte Blanche,2019-07-25,195428,64,DJ Snake,540vIaP2JwjQb9dm3aArA4,5236168,87,"dance pop,edm,electronic trap,pop,tropical house",0.816,0.862,3,-6.253,0,0.234,0.0219,0,0.0986,0.612,104.903,4
No Te Va,1eirccn7AvthKrKtU5QwQP,2019-07-26T11:16:04Z,No Te Va,2019-07-19,204893,57,Joey Montana,3ATyg4fGC9F8trfb0GRWmX,1585299,67,"dance pop,latin,latin hip hop,latin pop,pop,pop reggaeton,reggaeton,tropical",0.846,0.935,7,-1.222,0,0.0672,0.173,0.000132,0.15,0.651,96.967,4
Fugitivo,3Jg5nON0NCou25hp6zW6sw,2019-07-26T11:16:04Z,Fugitivo,2019-07-11,193000,55,Maikel Delacalle,2t7vyRN71qtQT18frElAnV,154597,70,"trap espanol,trap latino",0.612,0.657,4,-7.577,0,0.187,0.0788,0,0.24,0.149,172.0,4
Todo Bien,4Yh1LSAj3nsbaTsEIttCSO,2019-07-26T11:16:04Z,Todo Bien,2019-07-26,217090,45,Lalo Ebratt,1GAymyGBvB4gQy5Z5LZ1Wj,264832,77,"colombian hip hop,latin,reggaeton flow",0.751,0.821,6,-4.212,0,0.0554,0.732,0,0.35,0.827,110.079,4
