track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
These Are The Times (feat. JRM),5YN0zHycJ0Yxz31A5QsVov,2019-07-19T01:18:01Z,These Are The Times (feat. JRM),2019-07-18,188656,73,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10939419,88,"big room,edm,pop,progressive house,tropical house",0.687,0.707,4,-6.19,1,0.0328,0.0536,9.29e-05,0.16,0.607,127.033,4
Letting Go,1S7hEPenrIVKVTuEjtXKz9,2019-07-05T12:48:12Z,Letting Go,2019-06-07,192088,67,Hogland,5s21IKPvmxRf9WxpO8H5UB,15470,62,"deep pop edm,deep tropical house,pop edm,swedish tropical house,tropical house",0.667,0.635,6,-5.924,1,0.0365,0.0534,0,0.0963,0.217,119.948,4
Globetrotter,1bFQhFmmfURmAIzyp5nIRO,2019-07-05T12:48:12Z,Globetrotter,2019-07-05,166299,55,Ludvigsson,3oa1ydh8eLVXesBUwIfBWQ,1169,49,"deep pop edm,deep tropical house,pop edm,swedish tropical house",0.715,0.802,6,-5.002,1,0.0298,0.0816,0,0.108,0.379,113.986,4
Never Go Back - Robin Schulz Remix,6vRCKJDtnrJEcyyzIMa0w0,2019-07-05T12:48:12Z,Never Go Back (Remixes),2019-06-07,184652,70,Dennis Lloyd,3EOEK57CV77D4ovYVcmiyt,275951,76,israeli pop,0.655,0.713,9,-6.293,0,0.0501,0.338,0,0.0971,0.61,94.05,4
Not Ok,6aoGtdWXBkYQ2O2wnyIz2x,2019-07-05T12:48:12Z,Not Ok,2019-05-23,210943,78,Kygo,23fqKkggKUBHNkbKtXEls4,5242127,89,"edm,pop,tropical house",0.618,0.66,11,-8.14,0,0.0372,0.0292,2.07e-06,0.325,0.408,105.0,4
'74 - '75 (feat. Susan Tyler) - Radio Edit,1VpoazEusm1ki8hoSK49ua,2019-07-05T12:48:12Z,'74 - '75 (feat. Susan Tyler),2019-02-08,197000,53,Paolo Pellegrino,3ewQZ4iDkC9CQzceitueXe,223,44,,0.635,0.815,11,-4.303,0,0.0351,0.185,0.000125,0.322,0.522,99.979,4
New Lover,5F0Ri2uaGz78zLg2RifvzO,2019-07-19T09:54:51Z,New Lover,2019-07-19,184000,42,Foxa,6lmt4U7hMQhnQzqpDJ1Tor,10958,47,"belgian edm,pop edm",0.68,0.828,6,-6.577,0,0.0343,0.027,0.00882,0.221,0.452,119.982,4
Good Life,26Nca5uW3NbHDP3kWdw2RA,2019-07-19T10:20:35Z,Good Life,2019-07-19,190346,48,José Lucas,0ZQQqPE9AqroY6kmjfqoRP,642,41,,0.833,0.666,6,-5.546,0,0.043,0.0533,3.83e-05,0.121,0.568,114.962,4
Wannabe,43JztBwps5nHk69OqYOv9D,2019-07-05T12:48:12Z,Wannabe,2019-07-05,187635,57,Jonasu,7u4ayw4QFEsolPxZgnPAMT,376,51,,0.766,0.76,10,-3.812,1,0.0875,0.251,1.67e-05,0.213,0.497,110.05,4
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),7Feaw9WAEREY0DUOSXJLOM,2019-07-05T12:48:12Z,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2019-04-25,163804,89,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10939419,88,"big room,edm,pop,progressive house,tropical house",0.661,0.723,5,-6.976,0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,4
On My Way,4n7jnSxVLd8QioibtTDBDq,2019-07-05T12:48:12Z,On My Way,2019-03-21,193797,84,Alan Walker,7vk5e3vY1uw9plTHJAMwjN,12104532,87,electro house,0.509,0.689,1,-4.929,0,0.102,0.0209,0,0.301,0.297,170.087,4
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",3y3brCCecHC3Db18aIOnny,2019-07-05T12:48:12Z,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",2019-04-19,215315,83,Kygo,23fqKkggKUBHNkbKtXEls4,5242127,89,"edm,pop,tropical house",0.591,0.705,9,-6.519,0,0.079,0.381,0.000116,0.131,0.27,121.799,4
#Summerlovin,0t4P9bDoxCIZ3Wa4HjgFOG,2019-07-05T12:48:12Z,#Summerlovin,2019-06-21,204562,45,ARMAN,1BLoSM09taerQU26f83fDf,699,39,scandipop,0.819,0.62,9,-4.711,1,0.0332,0.414,0.000273,0.283,0.695,110.005,4
Jolene,7BbDdO8vovsdClhMFK7pOi,2019-07-05T12:48:12Z,Jolene,2019-06-21,178454,49,DROP,1xARs9iG7527KpXFVeVzXk,373,42,,0.631,0.576,1,-8.481,0,0.0383,0.341,1.49e-05,0.212,0.334,110.016,4
Different Kind of Love,1ya5gWA89bk37QnP46HEfa,2019-07-05T12:48:12Z,Different Kind of Love,2019-06-14,186179,46,Erlandsson,3mkANE8kTZpm5SXJWCmihm,1022,47,"deep pop edm,swedish tropical house",0.714,0.767,8,-6.028,1,0.0971,0.0895,0,0.0573,0.64,107.0,4
Hola Señorita - Robin Schulz Remix,44ETcHYUz11q8QbqcgSwL6,2019-07-05T12:48:12Z,Hola Señorita (Robin Schulz Remix),2019-07-05,175293,63,Maître Gims,0GOx72r5AAEKRGQFn3xqXK,1735466,79,"french hip hop,rap conscient",0.731,0.828,5,-3.652,0,0.0914,0.0153,0,0.406,0.704,101.071,4
By Your Side,4mNOezZPgOhiVLf0T3U2H2,2019-07-05T12:48:12Z,By Your Side,2019-05-31,163886,57,Lucas Estrada,2tndYCXQneCV4jtoWRwVpz,30958,64,"deep house,deep pop edm,deep tropical house,edm,pop edm,swedish tropical house,tropical house",0.654,0.803,10,-5.137,1,0.0544,0.254,0.000993,0.579,0.517,119.991,4
Tattooed Heart,2erUyluamWVQh4J9fZmEEN,2019-07-05T12:48:12Z,Tattooed Heart,2019-06-07,186885,46,Jason Thurell,5CWkHDzXiViC1TrpoBwDoO,11847,44,belgian edm,0.843,0.814,8,-5.025,1,0.0437,0.0118,1.04e-06,0.0613,0.684,122.014,4
Drinking Alone,767fgY7pkWxWry1qjDlXcg,2019-07-12T07:50:09Z,Drinking Alone,2019-07-12,168211,48,King & Joker,1rpJL2FCzXvDYpwo40LKQU,6536,41,,0.699,0.526,2,-9.629,1,0.0666,0.483,6.67e-06,0.116,0.554,120.013,4
Netflix & Chill,63lqz49MWHGKGVoOJVVWwo,2019-07-05T12:48:12Z,Netflix & Chill,2019-06-21,159946,45,The Twinz,7HlGB1uiPHrVdX6bqsBFMr,555,35,,0.794,0.723,3,-4.479,1,0.071,0.182,0,0.0853,0.272,114.988,4
Think About You,3Kuu5vASpXK8oRsxOvau6P,2019-07-05T12:48:12Z,Think About You,2019-02-14,208566,72,Kygo,23fqKkggKUBHNkbKtXEls4,5242127,89,"edm,pop,tropical house",0.673,0.596,10,-7.891,1,0.0354,0.166,0,0.11,0.19,123.969,4
