track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,2019-05-24T08:27:53Z,I Don't Care (with Justin Bieber),2019-05-10,219946,97,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,44454238,95,"pop,uk pop",0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,4
Cross Me (feat. Chance the Rapper & PnB Rock),543bCW2ruMPmxUBWirQ3MR,2019-05-24T08:27:53Z,Cross Me (feat. Chance the Rapper & PnB Rock),2019-05-24,206186,0,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,44454238,95,"pop,uk pop",0.746,0.787,4,-6.373,1,0.12,0.214,0,0.0669,0.607,95.005,4
Vossi Bop,44ZJ4hLD5onikKsVLQaILr,2019-05-24T08:27:53Z,Vossi Bop,2019-04-26,196266,86,Stormzy,2SrSdSvpminqmStGELCSNd,825245,78,grime,0.682,0.653,8,-6.062,1,0.339,0.13,0.00116,0.129,0.428,188.115,4
Piece Of Your Heart,5p1ex0pXv6jSPJ6QbumQpD,2019-05-24T08:27:53Z,Piece Of Your Heart,2019-02-01,152913,82,MEDUZA,0xRXCcSX89eobfrshSVdyu,9838,77,pop house,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,4
One Touch,5EKiBMhzRLALeGDPdoAKkQ,2019-05-24T08:27:53Z,One Touch,2019-05-24,197875,0,Jess Glynne,4ScCswdRlyA23odg9thgIO,1537062,82,"dance pop,pop,post-teen pop,tropical house,uk pop",0.686,0.693,0,-6.245,0,0.131,0.329,0,0.136,0.699,124.206,4
Fashion Week (feat. AJ Tracey & MoStack),78KyOmqWmqLkQcXO1cA7MO,2019-05-24T08:27:53Z,Fashion Week (feat. AJ Tracey & MoStack),2019-03-21,201998,77,Steel Banglez,6k970rXaWAWVfWMjqWtFNI,53327,67,"birmingham grime,grime,uk drill,uk hip hop",0.694,0.757,11,-6.899,0,0.167,0.272,0.000161,0.0995,0.703,97.167,4
So Am I,0uUNN1nSoUx1A4fkDCWDQ7,2019-05-24T08:27:53Z,So Am I,2019-03-07,184295,90,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,336472,85,"dance pop,pop,post-teen pop",0.684,0.677,6,-4.034,1,0.0464,0.0754,0,0.133,0.595,130.141,4
Old Town Road - Remix,6u7jPi22kF8CTQ3rb9DHE7,2019-05-24T08:27:53Z,Old Town Road,2019-04-05,157066,98,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,256945,90,country rap,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,4
Stay (Don't Go Away) [feat. Raye],4YhN72dRYL2Z3MsaKyT7rS,2019-05-24T08:27:53Z,Stay (Don't Go Away) [feat. Raye],2019-05-09,185942,79,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,18656224,90,"dance pop,edm,pop",0.669,0.797,9,-5.68,0,0.0624,0.259,0,0.199,0.552,119.865,4
Someone You Loved,2TIlqbIneP0ZY1O0EzYLlc,2019-05-24T08:27:53Z,Breach,2018-11-08,182160,91,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,532298,87,"pop,uk pop",0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,4
